,FLT
2013-01-04,4467210000
2013-01-07,4532999820
2013-01-08,4527314280
2013-01-09,4546807560
2013-01-10,4606099620
2013-01-11,4594728540
2013-01-14,4623968460
2013-01-15,4645898400
2013-01-16,4643461740
2013-01-17,4726308180
2013-01-18,4798595760
2013-01-22,4770168060
2013-01-23,4712500440
2013-01-24,4821337920
2013-01-25,4894437720
2013-01-28,4819713480
2013-01-29,4798595760
2013-01-30,4833521220
2013-01-31,4860324480
2013-02-01,4875756660
2013-02-04,4855451160
2013-02-05,4864385580
2013-02-06,4865197800
2013-02-07,4836770100
2013-02-08,5361464220
2013-02-11,5372835300
2013-02-12,5363088660
2013-02-13,5363900880
2013-02-14,5403699660
2013-02-15,5561270340
2013-02-19,5648990100
2013-02-20,5575890300
2013-02-21,5498729400
2013-02-22,5520659340
2013-02-25,5464616160
2013-02-26,5478423900
2013-02-27,5541777060
2013-02-28,5670107820
2013-03-01,5713155480
2013-03-04,5781381960
2013-03-05,5853669539
2013-03-06,5868289500
2013-03-07,5675793360
2013-03-08,5727775440
2013-03-11,5718841020
2013-03-12,5718028800
2013-03-13,5726151000
2013-03-14,5731024320
2013-03-15,5646553440
2013-03-18,5641680119
2013-03-19,5590510260
2013-03-20,5664422280
2013-03-21,5878848360
2013-03-22,6158252039
2013-03-25,6129012119
2013-03-26,6228915180
2013-03-27,6176933100
2013-03-28,6227290740
2013-04-01,6300698520
2013-04-02,6348826590
2013-04-03,6303145710
2013-04-04,6302329980
2013-04-05,6138368250
2013-04-08,6235440120
2013-04-09,6287646840
2013-04-10,6392060280
2013-04-11,6327617609
2013-04-12,6283568190
2013-04-15,6020903130
2013-04-16,6122053650
2013-04-17,6044559300
2013-04-18,5907516660
2013-04-19,5990721120
2013-04-22,6142446900
2013-04-23,6299067060
2013-04-24,6193837890
2013-04-25,6117159270
2013-04-26,6157130040
2013-04-29,6153867120
2013-04-30,6272963700
2013-05-01,6109817700
2013-05-02,6297435600
2013-05-03,6553574820
2013-05-06,6686538810
2013-05-07,6702853410
2013-05-08,6757507320
2013-05-09,6654725340
2013-05-10,6627806250
2013-05-13,6717536550
2013-05-14,6869262329
2013-05-15,6680828700
2013-05-16,6625359060
2013-05-17,6693064650
2013-05-20,6805635390
2013-05-21,6852947730
2013-05-22,6675934320
2013-05-23,6693880380
2013-05-24,6733035420
2013-05-28,6880682550
2013-05-29,7007936430
2013-05-30,7128664470
2013-05-31,7103376840
2013-06-03,7026698220
2013-06-04,6960624090
2013-06-05,6862736490
2013-06-06,6967965660
2013-06-07,7105824030
2013-06-10,7186581300
2013-06-11,7144163340
2013-06-12,7140900420
2013-06-13,7161293670
2013-06-14,7149873450
2013-06-17,7184134109
2013-06-18,7269785760
2013-06-19,7190659950
2013-06-20,6847237620
2013-06-21,6835817400
2013-06-24,6719983740
2013-06-25,6803188200
2013-06-26,6926363430
2013-06-27,6784426410
2013-06-28,6631884900
2013-07-01,6794005120
2013-07-02,6755477340
2013-07-03,6823515760
2013-07-05,6913687160
2013-07-08,6907129240
2013-07-09,7033369200
2013-07-10,7022712580
2013-07-11,7103047100
2013-07-12,7047304780
2013-07-15,7060420620
2013-07-16,6962871560
2013-07-17,7014515179
2013-07-18,7131738000
2013-07-19,7121081380
2013-07-22,7181742140
2013-07-23,7138295920
2013-07-24,7192398760
2013-07-25,7181742140
2013-07-26,7415368039
2013-07-29,7305522880
2013-07-30,7342411179
2013-07-31,7358805980
2013-08-01,7529311900
2013-08-02,8069520560
2013-08-05,8097391720
2013-08-06,8049027060
2013-08-07,8028533560
2013-08-08,8107228600
2013-08-09,8088374580
2013-08-12,7971971500
2013-08-13,7988366300
2013-08-14,8150674820
2013-08-15,7994104480
2013-08-16,8006400580
2013-08-19,7993284740
2013-08-20,8017057200
2013-08-21,7948199039
2013-08-22,8453158880
2013-08-23,8428566679
2013-08-26,8582677800
2013-08-27,8457257580
2013-08-28,8450699660
2013-08-29,8564643520
2013-08-30,8452339140
2013-09-03,8672849200
2013-09-04,8524476260
2013-09-05,8526115740
2013-09-06,8470373420
2013-09-09,8460536539
2013-09-10,8696621660
2013-09-11,8804827340
2013-09-12,8790891760
2013-09-13,8790072020
2013-09-16,8891719780
2013-09-17,8981891180
2013-09-18,9097474520
2013-09-19,9076981020
2013-09-20,9072882320
2013-09-23,9006483380
2013-09-24,9051569080
2013-09-25,9093375820
2013-09-26,9025337400
2013-09-27,9113049580
2013-09-30,9075862080
2013-10-01,9175551560
2013-10-02,9359276800
2013-10-03,9157426200
2013-10-04,9230751520
2013-10-07,9211802280
2013-10-08,8615313160
2013-10-09,8493378920
2013-10-10,8822107040
2013-10-11,8781736920
2013-10-14,8741366800
2013-10-15,8798214520
2013-10-16,9096459080
2013-10-17,9169784400
2013-10-18,9267826120
2013-10-21,9253820160
2013-10-22,9339503680
2013-10-23,9152482920
2013-10-24,9096459080
2013-10-25,9028077040
2013-10-28,8936626360
2013-10-29,9164841120
2013-10-30,8828698080
2013-10-31,9503455800
2013-11-01,9405414080
2013-11-04,9425187200
2013-11-05,9579252760
2013-11-06,9450727480
2013-11-07,9159897840
2013-11-08,9359276800
2013-11-11,9463085680
2013-11-12,9459790160
2013-11-13,9638572120
2013-11-14,9679766120
2013-11-15,9738261600
2013-11-18,9724255640
2013-11-19,9563599040
2013-11-20,9637748240
2013-11-21,9833831680
2013-11-22,9963180840
2013-11-25,9945879360
2013-11-26,9929401760
2013-11-27,9985425600
2013-11-29,10033210640
2013-12-02,10109007600
2013-12-03,10055455400
2013-12-04,10050512120
2013-12-05,10066989720
2013-12-06,9781927240
2013-12-09,9747324280
2013-12-10,9761330240
2013-12-11,9621270640
2013-12-12,9605616920
2013-12-13,9731670560
2013-12-16,9771216800
2013-12-17,9734142200
2013-12-18,9814058560
2013-12-19,9644339280
2013-12-20,9711073560
2013-12-23,9772864560
2013-12-24,9729198920
2013-12-26,9765449640
2013-12-27,9552888600
2013-12-30,9414476760
2013-12-31,9694294290
2014-01-02,9794406060
2014-01-03,9648788940
2014-01-06,9606593070
2014-01-07,9642997350
2014-01-08,9746418600
2014-01-09,9586736190
2014-01-10,9619003620
2014-01-13,9390649500
2014-01-14,9380721060
2014-01-15,9118444770
2014-01-16,9101897370
2014-01-17,8911602270
2014-01-21,8650980720
2014-01-22,8793288360
2014-01-23,8838793710
2014-01-24,8703105030
2014-01-27,8413525530
2014-01-28,8785842030
2014-01-29,8799907320
2014-01-30,9110998440
2014-01-31,8796597840
2014-02-03,8644361760
2014-02-04,8892572760
2014-02-05,8919048600
2014-02-06,9509790780
