,RHI
2003-06-19,3294562000
2003-06-20,3298001000
2003-06-23,3210306500
2003-06-24,3117453500
2003-06-25,3138087500
2003-06-26,3191392000
2003-06-27,3194830999
2003-06-30,3060072672
2003-07-01,3021296672
2003-07-02,3066535339
2003-07-03,3018065339
2003-07-07,3181247673
2003-07-08,3304038340
2003-07-09,3312116673
2003-07-10,3150550006
2003-07-11,3286266006
2003-07-14,3370280673
2003-07-15,3278187673
2003-07-16,3229717673
2003-07-17,2995446006
2003-07-18,3392900007
2003-07-21,3260415340
2003-07-22,3271725006
2003-07-23,3271725006
2003-07-24,3360586673
2003-07-25,3376743340
2003-07-28,3489840007
2003-07-29,3441370007
2003-07-30,3391284340
2003-07-31,3507612340
2003-08-01,3586780007
2003-08-04,3543157007
2003-08-05,3362202340
2003-08-06,3336351673
2003-08-07,3307269673
2003-08-08,3308885340
2003-08-11,3325042006
2003-08-12,3371896340
2003-08-13,3360586673
2003-08-14,3433291673
2003-08-15,3488224340
2003-08-18,3567392007
2003-08-19,3609399340
2003-08-20,3590011340
2003-08-21,3602936674
2003-08-22,3512459340
2003-08-25,3494687007
2003-08-26,3455911007
2003-08-27,3439754340
2003-08-28,3486608673
2003-08-29,3593242674
2003-09-02,3659485007
2003-09-03,3628787340
2003-09-04,3596474007
2003-09-05,3527000340
2003-09-08,3543157007
2003-09-09,3527000340
2003-09-10,3426829007
2003-09-11,3391284340
2003-09-12,3441370007
2003-09-15,3392900007
2003-09-16,3515690673
2003-09-17,3514075007
2003-09-18,3533463007
2003-09-19,3531847340
2003-09-22,3470452007
2003-09-23,3457526673
2003-09-24,3368665006
2003-09-25,3216792339
2003-09-26,3132777673
2003-09-29,3134393339
2003-09-30,4139382000
2003-10-01,4186082719
2003-10-02,4130890960
2003-10-03,4585161600
2003-10-06,4500251200
2003-10-07,4455673240
2003-10-08,4496005680
2003-10-09,4723141000
2003-10-10,4895084560
2003-10-13,5039432240
2003-10-14,5217744080
2003-10-15,5179534400
2003-10-16,5194393720
2003-10-17,4956644600
2003-10-20,5079764680
2003-10-21,4988486000
2003-10-22,4850506600
2003-10-23,4903575600
2003-10-24,4992731520
2003-10-27,4973626680
2003-10-28,5020327400
2003-10-29,4994854280
2003-10-30,5041555000
2003-10-31,5011836360
2003-11-03,5020327400
2003-11-04,4994854280
2003-11-05,5020327400
2003-11-06,5096746760
2003-11-07,5047923280
2003-11-10,5011836360
2003-11-11,4880225240
2003-11-12,4975749440
2003-11-13,4946030800
2003-11-14,4914189400
2003-11-17,4797437600
2003-11-18,4689176840
2003-11-19,4680685800
2003-11-20,4663703720
2003-11-21,4670072000
2003-11-24,4748614120
2003-11-25,4801683120
2003-11-26,4723141000
2003-11-28,4725263760
2003-12-01,4765596200
2003-12-02,4667949240
2003-12-03,4638230600
2003-12-04,4591529880
2003-12-05,4457796000
2003-12-08,4563934000
2003-12-09,4436568400
2003-12-10,4389867680
2003-12-11,4538460880
2003-12-12,4544829160
2003-12-15,4542706400
2003-12-16,4621248520
2003-12-17,4583038840
2003-12-18,4670072000
2003-12-19,4723141000
2003-12-22,4725263760
2003-12-23,4776210000
2003-12-24,4765596200
2003-12-26,4774087240
2003-12-29,4873856960
2003-12-30,4897207320
2003-12-31,3951718740
2004-01-02,4009284480
2004-01-05,4149812610
2004-01-06,4209071460
2004-01-07,4215843899
2004-01-08,4412244660
2004-01-09,4320816720
2004-01-12,4351292700
2004-01-13,4369916910
2004-01-14,4427482650
2004-01-15,4393620450
2004-01-16,4332668490
2004-01-20,4325896050
2004-01-21,4393620450
2004-01-22,4351292700
2004-01-23,4342827150
2004-01-26,4342827150
2004-01-27,4371610020
2004-01-28,4129495290
2004-01-29,4100712420
2004-01-30,3977115389
2004-02-02,3853518360
2004-02-03,3841666590
2004-02-04,3782407740
2004-02-05,3894153000
2004-02-06,3985580940
2004-02-09,3946639410
2004-02-10,3894153000
2004-02-11,3936480750
2004-02-12,3877221899
2004-02-13,3846745920
2004-02-17,3883994340
2004-02-18,3750238649
2004-02-19,3704524680
2004-02-20,3724842000
2004-02-23,3652038270
2004-02-24,3680821139
2004-02-25,3687593580
2004-02-26,3750238649
2004-02-27,3804418170
2004-03-01,3765476639
2004-03-02,3867063240
2004-03-03,3843359700
2004-03-04,3988967160
2004-03-05,3811190610
2004-03-08,3777328410
2004-03-09,3658810710
2004-03-10,3587700090
2004-03-11,3596165639
2004-03-12,3645265830
2004-03-15,3528441240
2004-03-16,3655424490
2004-03-17,3712990230
2004-03-18,3657117600
2004-03-19,3696059129
2004-03-22,3719762670
2004-03-23,3729921330
2004-03-24,3751931760
2004-03-25,3928015200
2004-03-26,3960184290
2004-03-29,4029601800
2004-03-30,4004205149
2004-03-31,4010321700
2004-04-01,4061257200
2004-04-02,4285373399
2004-04-05,4305747600
2004-04-06,4225948650
2004-04-07,4229344350
2004-04-08,4231042200
2004-04-12,4263301350
2004-04-13,4203876600
2004-04-14,4214063700
2004-04-15,4219157250
2004-04-16,4287071250
2004-04-19,4331215350
2004-04-20,4365172350
2004-04-21,4436482050
2004-04-22,4524770250
2004-04-23,4881318750
2004-04-26,4842268200
2004-04-27,4913577900
2004-04-28,4760771400
2004-04-29,4663993950
2004-04-30,4630036950
2004-05-03,4631734800
2004-05-04,4645317600
2004-05-05,4757375700
2004-05-06,4730210100
2004-05-07,4806613350
2004-05-10,4721720850
2004-05-11,4842268200
2004-05-12,4725116550
2004-05-13,4764167100
2004-05-14,4706440200
2004-05-17,4550238000
2004-05-18,4550238000
2004-05-19,4540050900
2004-05-20,4526468100
2004-05-21,4570612200
2004-05-24,4533259500
2004-05-25,4606267050
2004-05-26,4694555250
2004-05-27,4747188600
2004-05-28,4750584300
2004-06-01,4811706900
2004-06-02,4915275750
2004-06-03,4840570350
2004-06-04,4896599400
2004-06-07,5108830650
2004-06-08,5052801600
2004-06-09,5008657500
2004-06-10,5032427400
2004-06-14,4950930600
2004-06-15,5027333850
2004-06-16,5012053200
2004-06-17,4978096200
2004-06-18,4920369300
2004-06-21,4847361750
2004-06-22,4991679000
2004-06-23,5054499450
2004-06-24,5130902700
2004-06-25,5212399500
2004-06-28,5164859700
2004-06-29,5124111300
2004-06-30,5062120570
2004-07-01,4931189000
2004-07-02,4863172600
2004-07-06,4895480390
2004-07-07,4810459890
2004-07-08,4703334060
2004-07-09,4635317660
2004-07-12,4620013970
2004-07-13,4608111100
2004-07-14,4524791010
2004-07-15,4650621350
2004-07-16,4645520120
2004-07-19,4562200030
2004-07-20,4694832010
2004-07-21,4540094700
2004-07-22,4441470920
2004-07-23,4839366860
2004-07-26,4886978340
2004-07-27,4897180800
2004-07-28,4761148000
2004-07-29,4744143900
2004-07-30,4730540620
2004-08-02,4771350460
2004-08-03,4740743080
2004-08-04,4659123400
2004-08-05,4509487320
2004-08-06,4269729510
2004-08-09,4344547550
2004-08-10,4502685680
2004-08-11,4439770510
2004-08-12,4329243860
2004-08-13,4268029100
2004-08-16,4387057800
2004-08-17,4438070100
2004-08-18,4506086500
2004-08-19,4524791010
2004-08-20,4587706180
