,KIM
2003-04-23,3884579493
2003-04-24,3865691748
2003-04-25,3863593110
2003-04-28,3871987663
2003-04-29,3859395833
2003-04-30,3798535323
2003-05-01,3792239408
2003-05-02,3830014897
2003-05-05,3882480855
2003-05-06,3924453621
2003-05-07,3882480855
2003-05-08,3932848174
2003-05-09,3934946812
2003-05-12,3939144089
2003-05-13,3920256344
2003-05-14,3903467238
2003-05-15,3907664514
2003-05-16,3926552259
2003-05-19,3920256344
2003-05-20,3939144089
2003-05-21,3997905961
2003-05-22,4039878727
2003-05-23,4060865110
2003-05-27,4086048770
2003-05-28,3972722301
2003-05-29,3840508089
2003-05-30,3924453621
2003-06-02,3968525025
2003-06-03,4002103238
2003-06-04,4002103238
2003-06-05,3991610046
2003-06-06,4020990982
2003-06-09,4006300514
2003-06-10,4092344685
2003-06-11,4104936514
2003-06-12,4029385536
2003-06-13,3945440004
2003-06-16,4016793706
2003-06-17,3939144089
2003-06-18,3903467238
2003-06-19,3976919578
2003-06-20,4012596429
2003-06-23,3970623663
2003-06-24,3922354982
2003-06-25,3920256344
2003-06-26,3987412770
2003-06-27,3993708684
2003-06-30,4094817685
2003-07-01,4075370002
2003-07-02,4144517319
2003-07-03,4213664637
2003-07-07,4302259637
2003-07-08,4272007685
2003-07-09,4289294515
2003-07-10,4222308051
2003-07-11,4252560002
2003-07-14,4300098783
2003-07-15,4297937929
2003-07-16,4326029027
2003-07-17,4265525124
2003-07-18,4267685978
2003-07-21,4241755734
2003-07-22,4252560002
2003-07-23,4254720856
2003-07-24,4310903051
2003-07-25,4306581344
2003-07-28,4267685978
2003-07-29,4326029027
2003-07-30,4449197685
2003-07-31,4421106588
2003-08-01,4386532929
2003-08-04,4345476710
2003-08-05,4386532929
2003-08-06,4371406954
2003-08-07,4375728661
2003-08-08,4349798417
2003-08-11,4349798417
2003-08-12,4343315856
2003-08-13,4360602685
2003-08-14,4403819759
2003-08-15,4375728661
2003-08-18,4375728661
2003-08-19,4395176344
2003-08-20,4444875978
2003-08-21,4444875978
2003-08-22,4440554271
2003-08-25,4408141466
2003-08-26,4429750003
2003-08-27,4481610490
2003-08-28,4490253905
2003-08-29,4503219027
2003-09-02,4548596954
2003-09-03,4637191954
2003-09-04,4682569881
2003-09-05,4622065978
2003-09-08,4544275246
2003-09-09,4472967076
2003-09-10,4397337198
2003-09-11,4390854637
2003-09-12,4429750003
2003-09-15,4436232563
2003-09-16,4434071710
2003-09-17,4397337198
2003-09-18,4470806222
2003-09-19,4479449637
2003-09-22,4444875978
2003-09-23,4479449637
2003-09-24,4444875978
2003-09-25,4367085246
2003-09-26,4367085246
2003-09-29,4418945734
2003-09-30,4526307100
2003-10-01,4468872261
2003-10-02,4508634842
2003-10-03,4583741939
2003-10-06,4643385810
2003-10-07,4627922584
2003-10-08,4594787100
2003-10-09,4583741939
2003-10-10,4583741939
2003-10-13,4572696778
2003-10-14,4572696778
2003-10-15,4550606455
2003-10-16,4543979358
2003-10-17,4546188391
2003-10-20,4557233552
2003-10-21,4570487745
2003-10-22,4526307100
2003-10-23,4517470971
2003-10-24,4513052907
2003-10-27,4539561294
2003-10-28,4495380649
2003-10-29,4539561294
2003-10-30,4599205165
2003-10-31,4601414197
2003-11-03,4627922584
2003-11-04,4672103229
2003-11-05,4676521294
2003-11-06,4749419359
2003-11-07,4722910971
2003-11-10,4731747100
2003-11-11,4694193552
2003-11-12,4722910971
2003-11-13,4733956133
2003-11-14,4782554842
2003-11-17,4793600004
2003-11-18,4791390971
2003-11-19,4749419359
2003-11-20,4714074842
2003-11-21,4722910971
2003-11-24,4738374197
2003-11-25,4771509681
2003-11-26,4826735488
2003-11-28,4859870972
2003-12-01,4941605165
2003-12-02,4884170326
2003-12-03,4868707101
2003-12-04,4848825810
2003-12-05,4844407746
2003-12-08,4866498068
2003-12-09,4851034842
2003-12-10,4844407746
2003-12-11,4868707101
2003-12-12,4906260649
2003-12-15,4899633552
2003-12-16,4957068391
2003-12-17,4957068391
2003-12-18,4950441294
2003-12-19,4950441294
2003-12-22,4981367746
2003-12-23,4979158714
2003-12-24,4999040004
2003-12-26,5025548391
2003-12-29,5065310972
2003-12-30,5025548391
2003-12-31,4943814197
2004-01-02,4954859359
2004-01-05,4957068391
2004-01-06,4983576778
2004-01-07,4923932907
2004-01-08,4899633552
2004-01-09,4912887746
2004-01-12,4897424520
2004-01-13,4930560004
2004-01-14,4919514843
2004-01-15,4912887746
2004-01-16,4859870972
2004-01-20,4875334197
2004-01-21,4893006455
2004-01-22,4930560004
2004-01-23,4970322585
2004-01-26,5036593552
2004-01-27,5091819359
2004-01-28,5105073552
2004-01-29,5060892907
2004-01-30,5096237423
2004-02-02,5169135488
2004-02-03,5186807746
2004-02-04,5118327746
2004-02-05,5136000004
2004-02-06,5257496778
2004-02-09,5213316133
2004-02-10,5244242585
2004-02-11,5277378069
2004-02-12,5237615488
2004-02-13,5191225811
2004-02-17,5169135488
2004-02-18,5113909681
2004-02-19,5151463230
2004-02-20,5206689036
2004-02-23,5211107101
2004-02-24,5127163875
2004-02-25,5191225811
2004-02-26,5171344520
2004-02-27,5186807746
2004-03-01,5235406456
2004-03-02,5356903230
2004-03-03,5356903230
2004-03-04,5378993553
2004-03-05,5443055488
2004-03-08,5462936778
2004-03-09,5427592262
