,MMC
2002-11-27,25181280000
2002-11-29,25299200000
2002-12-02,25749440000
2002-12-03,25492160000
2002-12-04,25652960000
2002-12-05,25245600000
2002-12-06,25594000000
2002-12-09,25186640000
2002-12-10,25433200000
2002-12-11,25535040000
2002-12-12,25234880000
2002-12-13,24993680000
2002-12-16,24993680000
2002-12-17,25250960000
2002-12-18,24950800000
2002-12-19,24886480000
2002-12-20,25111600000
2002-12-23,25234880000
2002-12-24,25111600000
2002-12-26,25165200000
2002-12-27,24757840000
2002-12-30,24907920000
2002-12-31,24768560000
2003-01-02,25508240000
2003-01-03,25433200000
2003-01-06,26167520000
2003-01-07,26119280000
2003-01-08,25642240000
2003-01-09,25824480000
2003-01-10,25845920000
2003-01-13,26049600000
2003-01-14,26532000000
2003-01-15,25701200000
2003-01-16,25379600000
2003-01-17,25058000000
2003-01-21,24532720000
2003-01-22,23975280000
2003-01-23,23873440000
2003-01-24,22592400000
2003-01-27,22581680000
2003-01-28,22785360000
2003-01-29,23208800000
2003-01-30,22495920000
2003-01-31,22849680000
2003-02-03,22726400000
2003-02-04,22244000000
2003-02-05,22093920000
2003-02-06,21718720000
2003-02-07,21949200000
2003-02-10,21868800000
2003-02-11,21381040000
2003-02-12,21375680000
2003-02-13,21273840000
2003-02-14,22120720000
2003-02-18,22345840000
2003-02-19,22308320000
2003-02-20,22163600000
2003-02-21,22549520000
2003-02-24,22045680000
2003-02-25,22131440000
2003-02-26,21986720000
2003-02-27,22190400000
2003-02-28,21815200000
2003-03-03,21595440000
2003-03-04,21145200000
2003-03-05,21595440000
2003-03-06,21252400000
2003-03-07,21230960000
2003-03-10,20770000000
2003-03-11,20646720000
2003-03-12,20871840000
2003-03-13,21820560000
2003-03-14,22163600000
2003-03-17,22994400000
2003-03-18,22672800000
2003-03-19,23385680000
2003-03-20,23342800000
2003-03-21,23953840000
2003-03-24,23428560000
2003-03-25,23401760000
2003-03-26,23407120000
2003-03-27,23246320000
2003-03-28,23090880000
2003-03-31,22764420000
2003-04-01,23020740000
2003-04-02,23618820000
2003-04-03,23586780000
2003-04-04,23976600000
2003-04-07,24660120000
2003-04-08,24462540000
2003-04-09,23843100000
2003-04-10,23624160000
2003-04-11,23725620000
2003-04-14,24494580000
2003-04-15,24670800000
2003-04-16,24387780000
2003-04-17,24857700000
2003-04-21,24483900000
2003-04-22,24804300000
2003-04-23,25471800000
2003-04-24,24895080000
2003-04-25,24564000000
2003-04-28,25076640000
2003-04-29,25231500000
2003-04-30,25461120000
2003-05-01,25717440000
2003-05-02,25738800000
2003-05-05,25642680000
2003-05-06,26021820000
2003-05-07,25738800000
2003-05-08,25236840000
2003-05-09,25632000000
2003-05-12,25834920000
2003-05-13,25899000000
2003-05-14,26043180000
2003-05-15,26422320000
2003-05-16,26443680000
2003-05-19,25968420000
2003-05-20,25776180000
2003-05-21,25877640000
2003-05-22,26240760000
2003-05-23,26294160000
2003-05-27,26614560000
2003-05-28,26230080000
2003-05-29,26198040000
2003-05-30,26769420000
2003-06-02,27057780000
2003-06-03,27084480000
2003-06-04,27399540000
2003-06-05,27410220000
2003-06-06,27960240000
2003-06-09,27335460000
2003-06-10,27970920000
2003-06-11,28221900000
2003-06-12,28702500000
2003-06-13,28654440000
2003-06-16,29231160000
2003-06-17,28884060000
2003-06-18,28857360000
2003-06-19,27928200000
2003-06-20,27970920000
2003-06-23,27479640000
2003-06-24,27575760000
2003-06-25,27271380000
2003-06-26,27613140000
2003-06-27,27623820000
2003-06-30,27118170000
2003-07-01,27155340000
2003-07-02,28036800000
2003-07-03,27888120000
2003-07-07,28488150000
2003-07-08,28111140000
2003-07-09,28243890000
2003-07-10,27266850000
2003-07-11,27622620000
2003-07-14,27808470000
2003-07-15,27739440000
2003-07-16,27813780000
2003-07-17,27447390000
2003-07-18,28148310000
2003-07-21,27696960000
2003-07-22,26730540000
2003-07-23,26236710000
2003-07-24,26088030000
2003-07-25,26964180000
2003-07-28,26852670000
2003-07-29,26518140000
2003-07-30,26380080000
2003-07-31,26348220000
2003-08-01,25806600000
2003-08-04,25965900000
2003-08-05,25657920000
2003-08-06,25838460000
2003-08-07,25992450000
2003-08-08,26396010000
2003-08-11,26332290000
2003-08-12,26889840000
2003-08-13,26741160000
2003-08-14,27091620000
2003-08-15,27442080000
2003-08-18,27181890000
2003-08-19,27065070000
2003-08-20,26937630000
2003-08-21,26263260000
2003-08-22,26024310000
2003-08-25,26443800000
2003-08-26,26475660000
2003-08-27,26555310000
2003-08-28,26364150000
2003-08-29,26550000000
2003-09-02,27134100000
2003-09-03,26788950000
2003-09-04,26550000000
2003-09-05,26231400000
2003-09-08,26475660000
2003-09-09,26438490000
2003-09-10,26247330000
2003-09-11,26523450000
2003-09-12,26077410000
2003-09-15,25987140000
2003-09-16,26337600000
2003-09-17,26396010000
2003-09-18,26550000000
2003-09-19,26337600000
2003-09-22,25928730000
2003-09-23,26125200000
2003-09-24,25663230000
2003-09-25,25700400000
2003-09-26,25488000000
2003-09-29,25721640000
2003-09-30,24995250000
2003-10-01,25410000000
2003-10-02,25168500000
2003-10-03,25294500000
2003-10-06,25515000000
2003-10-07,25462500000
2003-10-08,25179000000
2003-10-09,25257750000
2003-10-10,25074000000
2003-10-13,25436250000
2003-10-14,25173750000
2003-10-15,25252500000
2003-10-16,25730250000
2003-10-17,25546500000
2003-10-20,25399500000
2003-10-21,24360000000
2003-10-22,24312750000
2003-10-23,24281250000
2003-10-24,23656500000
2003-10-27,23677500000
2003-10-28,24837750000
2003-10-29,23898000000
2003-10-30,23362500000
2003-10-31,22443750000
2003-11-03,23562000000
2003-11-04,23415000000
2003-11-05,23152500000
2003-11-06,23278500000
2003-11-07,23556750000
2003-11-10,23751000000
2003-11-11,23346750000
2003-11-12,23908500000
2003-11-13,23840250000
2003-11-14,23441250000
2003-11-17,23394000000
2003-11-18,23168250000
2003-11-19,23110500000
2003-11-20,22869000000
2003-11-21,22827000000
2003-11-24,23063250000
2003-11-25,23257500000
2003-11-26,23441250000
2003-11-28,23331000000
2003-12-01,23409750000
2003-12-02,23556750000
2003-12-03,23215500000
2003-12-04,23451750000
2003-12-05,23210250000
2003-12-08,23409750000
2003-12-09,23199750000
2003-12-10,23073750000
2003-12-11,23630250000
2003-12-12,23808750000
2003-12-15,23793000000
2003-12-16,23808750000
2003-12-17,23619750000
2003-12-18,24223500000
2003-12-19,24517500000
2003-12-22,24360000000
2003-12-23,24643500000
2003-12-24,24785250000
2003-12-26,24864000000
2003-12-29,25347000000
2003-12-30,25278750000
2003-12-31,25142250000
2004-01-02,25205250000
2004-01-05,25877250000
2004-01-06,25856250000
2004-01-07,25704000000
2004-01-08,25326000000
2004-01-09,24722250000
2004-01-12,24753750000
2004-01-13,24570000000
2004-01-14,24811500000
2004-01-15,25063500000
2004-01-16,25068750000
2004-01-20,25053000000
2004-01-21,25478250000
2004-01-22,25320750000
2004-01-23,25263000000
2004-01-26,25352250000
2004-01-27,24769500000
2004-01-28,24675000000
2004-01-29,24517500000
2004-01-30,24638250000
2004-02-02,24743250000
2004-02-03,24564750000
2004-02-04,24517500000
2004-02-05,24832500000
2004-02-06,24795750000
2004-02-09,24827250000
2004-02-10,25016250000
2004-02-11,25368000000
2004-02-12,25431000000
2004-02-13,25704000000
2004-02-17,25761750000
2004-02-18,25882500000
2004-02-19,25562250000
2004-02-20,25436250000
2004-02-23,25189500000
2004-02-24,25137000000
2004-02-25,25221000000
2004-02-26,25194750000
2004-02-27,25194750000
2004-03-01,25352250000
2004-03-02,25284000000
2004-03-03,25546500000
2004-03-04,25478250000
2004-03-05,25473000000
2004-03-08,25305000000
2004-03-09,25084500000
2004-03-10,24549000000
2004-03-11,24155250000
2004-03-12,24680250000
2004-03-15,24092250000
2004-03-16,24129000000
2004-03-17,24648750000
2004-03-18,24690750000
2004-03-19,24381000000
2004-03-22,24213000000
2004-03-23,24370500000
2004-03-24,24307500000
2004-03-25,24717000000
2004-03-26,24743250000
2004-03-29,24470250000
2004-03-30,24276000000
2004-03-31,24168600000
2004-04-01,24299100000
2004-04-02,23949360000
2004-04-05,24064200000
2004-04-06,23933700000
2004-04-07,23876280000
2004-04-08,24534000000
2004-04-12,24351300000
2004-04-13,24090300000
2004-04-14,23897160000
2004-04-15,23677920000
2004-04-16,23813640000
2004-04-19,23594400000
2004-04-20,23844960000
2004-04-21,23751000000
2004-04-22,24006780000
2004-04-23,23495220000
2004-04-26,23808420000
2004-04-27,23735340000
2004-04-28,23563080000
2004-04-29,23677920000
2004-04-30,23542200000
2004-05-03,23281200000
2004-05-04,23432580000
2004-05-05,23176800000
2004-05-06,23161140000
2004-05-07,23004540000
2004-05-10,22894920000
2004-05-11,22874040000
2004-05-12,23004540000
2004-05-13,22623480000
2004-05-14,22367700000
2004-05-17,22231980000
2004-05-18,22310280000
2004-05-19,22446000000
2004-05-20,22440780000
2004-05-21,22602600000
2004-05-24,22524300000
2004-05-25,22764420000
2004-05-26,22790520000
2004-05-27,22962780000
2004-05-28,23030640000
2004-06-01,22905360000
2004-06-02,23108940000
2004-06-03,22931460000
2004-06-04,22790520000
2004-06-07,23025420000
2004-06-08,23166360000
2004-06-09,22910580000
2004-06-10,22785300000
2004-06-14,22675680000
2004-06-15,22691340000
2004-06-16,22795740000
2004-06-17,22889700000
2004-06-18,22696560000
2004-06-21,22628700000
2004-06-22,22811400000
2004-06-23,23103720000
2004-06-24,23328180000
2004-06-25,23359500000
2004-06-28,23385600000
2004-06-29,23490000000
2004-06-30,23642980000
2004-07-01,23642980000
2004-07-02,23549200000
2004-07-06,23424160000
2004-07-07,23158450000
2004-07-08,23168870000
2004-07-09,23278280000
2004-07-12,23346010000
2004-07-13,23226180000
2004-07-14,23231390000
2004-07-15,23153240000
2004-07-16,23075090000
2004-07-19,23085510000
2004-07-20,23132400000
2004-07-21,22986520000
2004-07-22,22892740000
2004-07-23,22632240000
2004-07-26,22642660000
2004-07-27,22715600000
2004-07-28,23481470000
2004-07-29,23106350000
2004-07-30,23121980000
2004-08-02,22976100000
2004-08-03,22871900000
2004-08-04,22887530000
2004-08-05,22455100000
2004-08-06,22126870000
2004-08-09,22126870000
2004-08-10,22423840000
2004-08-11,22423840000
2004-08-12,22106030000
2004-08-13,22199810000
2004-08-16,22496780000
2004-08-17,22361320000
2004-08-18,22809380000
2004-08-19,22924000000
2004-08-20,23043830000
