,ETR
2002-10-08,9131668239
2002-10-09,8354032258
2002-10-10,9040573739
2002-10-11,8716188444
2002-10-14,8871715640
2002-10-15,8887268360
2002-10-16,8442904942
2002-10-17,8609541223
2002-10-18,8598432138
2002-10-21,9153886410
2002-10-22,8967253775
2002-10-23,9451609900
2002-10-24,9653795256
2002-10-25,9589362560
2002-10-28,9578253474
2002-10-29,9698231597
2002-10-30,9882642416
2002-10-31,9795991549
2002-11-01,9893751501
2002-11-04,10053722332
2002-11-05,9975958734
2002-11-06,9989289636
2002-11-07,9811544269
2002-11-08,9496046242
2002-11-11,9662682524
2002-11-12,9509377145
2002-11-13,9531595316
2002-11-14,9618246182
2002-11-15,9676013426
2002-11-18,9809322452
2002-11-19,9747111573
2002-11-20,9529373499
2002-11-21,9538260767
2002-11-22,9771551561
2002-11-25,9831540623
2002-11-26,9602693462
2002-11-27,9709340683
2002-11-29,9716006134
2002-12-02,9811544269
2002-12-03,9911526038
2002-12-04,9787104281
2002-12-05,9687122512
2002-12-06,9604915280
2002-12-09,9773773378
2002-12-10,9831540623
2002-12-11,9987067819
2002-12-12,9920413306
2002-12-13,9933744209
2002-12-16,10113711393
2002-12-17,10089271405
2002-12-18,10153704101
2002-12-19,10098158674
2002-12-20,10280347675
2002-12-23,10175922272
2002-12-24,10187031357
2002-12-26,10202584077
2002-12-27,10120376844
2002-12-30,10251464053
2002-12-31,10197267205
2003-01-02,10445544604
2003-01-03,10452254804
2003-01-06,10819079068
2003-01-07,10613299603
2003-01-08,10729609736
2003-01-09,10707242402
2003-01-10,10649087336
2003-01-13,10727373002
2003-01-14,10745266869
2003-01-15,10713952602
2003-01-16,10774344402
2003-01-17,10631193469
2003-01-21,10367258938
2003-01-22,10322524271
2003-01-23,10304630405
2003-01-24,10244238605
2003-01-27,9852810274
2003-01-28,10042932606
2003-01-29,10098850939
2003-01-30,9942279607
2003-01-31,9942279607
2003-02-03,10255422272
2003-02-04,10288973272
2003-02-05,10177136606
2003-02-06,10118981539
2003-02-07,9971357140
2003-02-10,9969120407
2003-02-11,9772287875
2003-02-12,9584402276
2003-02-13,9774524608
2003-02-14,10040695873
2003-02-18,10098850939
2003-02-19,10143585606
2003-02-20,10195030472
2003-02-21,10255422272
2003-02-24,10105561139
2003-02-25,10141348872
2003-02-26,10116744806
2003-02-27,10105561139
2003-02-28,10188320272
2003-03-03,10342654871
2003-03-04,10217397805
2003-03-05,10266605938
2003-03-06,10266605938
2003-03-07,10288973272
2003-03-10,10210687605
2003-03-11,10132401939
2003-03-12,10217397805
2003-03-13,10496989470
2003-03-14,10626720003
2003-03-17,10731846469
2003-03-18,10749740335
2003-03-19,10785528069
2003-03-20,10883944335
2003-03-21,11069593200
2003-03-24,10863813735
2003-03-25,11031568734
2003-03-26,10886181068
2003-03-27,10720662802
2003-03-28,10631193469
2003-03-31,10911231005
2003-04-01,10913497097
2003-04-02,10988278119
2003-04-03,10874973540
2003-04-04,11042664318
2003-04-07,10974681570
2003-04-08,10705016671
2003-04-09,10623437373
2003-04-10,10591712091
2003-04-11,10544124168
2003-04-14,10548656351
2003-04-15,10797926426
2003-04-16,10820587342
2003-04-17,10879505723
2003-04-21,10877239632
2003-04-22,10890836181
2003-04-23,10890836181
2003-04-24,10967883295
2003-04-25,10895368364
2003-04-28,10757136777
2003-04-29,10700484487
2003-04-30,10562252900
2003-05-01,10503334519
2003-05-02,10695952304
2003-05-05,10788862059
2003-05-06,10945222379
2003-05-07,10990544211
2003-05-08,11020003402
2003-05-09,10995076394
2003-05-12,11024535585
2003-05-13,10995076394
2003-05-14,10893102273
2003-05-15,11024535585
2003-05-16,11189960271
2003-05-19,11047196501
2003-05-20,11131041890
2003-05-21,10999608577
2003-05-22,11149170622
2003-05-23,11600122849
2003-05-27,11668105596
2003-05-28,11652242955
2003-05-29,11461891262
2003-05-30,11713427428
2003-06-02,11949100954
2003-06-03,12003487152
2003-06-04,12082800357
2003-06-05,11869787748
2003-06-06,11831264191
2003-06-09,11749684894
2003-06-10,11747418802
2003-06-11,11885650389
2003-06-12,12032946342
2003-06-13,12014817610
2003-06-16,12268619868
2003-06-17,12153049197
2003-06-18,12130388281
2003-06-19,12044276800
2003-06-20,12032946342
2003-06-23,11885650389
2003-06-24,11847126832
2003-06-25,11946834862
2003-06-26,12035212434
2003-06-27,11992156694
2003-06-30,12039408553
2003-07-01,12162585526
2003-07-02,12242422453
2003-07-03,12201363462
2003-07-07,12137493921
2003-07-08,11955009517
2003-07-09,11929917911
2003-07-10,11621975479
2003-07-11,11514765892
2003-07-14,11471425846
2003-07-15,11266130891
2003-07-16,11097332818
2003-07-17,11056273827
2003-07-18,11302627772
2003-07-21,11193137130
2003-07-22,11425804745
2003-07-23,11469144791
2003-07-24,11569511213
2003-07-25,11610570204
2003-07-28,11539857497
2003-07-29,11585478598
2003-07-30,11637942865
2003-07-31,11749714562
2003-08-01,11701812406
2003-08-04,11658472360
2003-08-05,11594602819
2003-08-06,11751995617
2003-08-07,11793054608
2003-08-08,11740590342
2003-08-11,11742871397
2003-08-12,11838675709
2003-08-13,11838675709
2003-08-14,11850080984
2003-08-15,11815865159
2003-08-18,11763400892
2003-08-19,11797616718
2003-08-20,11861486260
2003-08-21,11884296810
2003-08-22,11827270434
2003-08-25,11843237819
2003-08-26,11907107361
2003-08-27,11918512636
2003-08-28,11952728462
2003-08-29,11964133737
2003-09-02,12351913095
2003-09-03,12463684793
2003-09-04,12379285756
2003-09-05,12397534196
2003-09-08,12429468967
2003-09-09,12351913095
2003-09-10,12283481444
2003-09-11,12121526535
2003-09-12,12128369700
2003-09-15,12112402315
2003-09-16,12365599426
2003-09-17,12370161536
2003-09-18,12463684793
2003-09-19,12472809013
2003-09-22,12370161536
2003-09-23,12397534196
2003-09-24,12335945710
2003-09-25,12205925572
2003-09-26,12306291994
2003-09-29,12427187912
2003-09-30,12351913095
2003-10-01,12459122683
2003-10-02,12541240664
2003-10-03,12500181674
2003-10-06,12534397499
2003-10-07,12500181674
2003-10-08,12372442591
2003-10-09,12335945710
2003-10-10,12253827728
2003-10-13,12203644517
2003-10-14,12329102545
2003-10-15,12235579288
2003-10-16,12249265618
2003-10-17,12351913095
2003-10-20,12406658416
