,HPE
2018-06-20,22921950000
2018-06-21,23330460000
2018-06-22,23058120000
2018-06-25,22800910000
2018-06-26,22952210000
2018-06-27,22271360000
2018-06-28,22256230000
2018-06-29,22104930000
2018-07-02,22392400000
2018-07-03,22347010000
2018-07-05,22422660000
2018-07-06,22664740000
2018-07-09,23042990000
2018-07-10,23451500000
2018-07-11,22846300000
2018-07-12,23285070000
2018-07-13,23436370000
2018-07-16,23663320000
2018-07-17,23693580000
2018-07-18,24102090000
2018-07-19,23663320000
2018-07-20,23406110000
2018-07-23,23406110000
2018-07-24,23148900000
2018-07-25,23421240000
2018-07-26,23738970000
2018-07-27,23587670000
2018-07-30,23375850000
2018-07-31,22526960000
2018-08-01,22541550000
2018-08-02,22687450000
2018-08-03,23314820000
2018-08-06,23358590000
2018-08-07,23533670000
2018-08-08,23577440000
2018-08-09,23504490000
2018-08-10,23125150000
2018-08-13,22847940000
2018-08-14,23329410000
2018-08-15,23387770000
2018-08-16,23737930000
2018-08-17,24321530000
2018-08-20,24394480000
2018-08-21,23023020000
2018-08-22,23081380000
2018-08-23,23489900000
2018-08-24,23635800000
2018-08-27,24000550000
2018-08-28,24423659999
2018-08-29,24379890000
2018-08-30,24496610000
2018-08-31,24117270000
2018-09-04,24321530000
2018-09-05,24204810000
2018-09-06,24102680000
2018-09-07,24117270000
2018-09-10,23942190000
2018-09-11,24000550000
2018-09-12,23927599999
2018-09-13,24131860000
2018-09-14,24190219999
2018-09-17,23752520000
2018-09-18,24146450000
2018-09-19,24277760000
2018-09-20,24613330000
2018-09-21,24832180000
2018-09-24,24686280000
2018-09-25,24146450000
2018-09-26,24088090000
2018-09-27,23752520000
2018-09-28,23796290000
2018-10-01,23606620000
2018-10-02,24117270000
2018-10-03,24438250000
2018-10-04,24584150000
2018-10-05,23548260000
2018-10-08,23183510000
2018-10-09,22891710000
2018-10-10,22045490000
2018-10-11,21345170000
2018-10-12,22497780000
2018-10-15,22381060000
2018-10-16,22629090000
2018-10-17,22643680000
2018-10-18,22366470000
2018-10-19,22526960000
2018-10-22,23110560000
2018-10-23,22833350000
2018-10-24,22016310000
2018-10-25,22103850000
2018-10-26,21345170000
2018-10-29,21257630000
2018-10-30,21782870000
2018-10-31,21365250000
2018-11-01,22135800000
2018-11-02,22261890000
2018-11-05,22317930000
2018-11-06,22247880000
2018-11-07,22752239999
2018-11-08,22766250000
2018-11-09,22023720000
2018-11-12,21407280000
2018-11-13,21491340000
2018-11-14,21225150000
2018-11-15,21463320000
2018-11-16,21295200000
2018-11-19,20776830000
2018-11-20,20356530000
2018-11-21,20594700000
2018-11-23,20370540000
2018-11-26,20888910000
2018-11-27,21099060000
2018-11-28,21659460000
2018-11-29,21183120000
2018-11-30,21015000000
2018-12-03,21715500000
2018-12-04,21085050000
2018-12-06,22444020000
2018-12-07,20608710000
2018-12-10,20412570000
2018-12-11,20650740000
2018-12-12,20510640000
2018-12-13,20300490000
2018-12-14,19922220000
2018-12-17,19039590000
2018-12-18,19095630000
2018-12-19,18451170000
2018-12-20,17722650000
2018-12-21,17666610000
2018-12-24,17190270000
2018-12-26,17946810000
2018-12-27,18353100000
2018-12-28,18255030000
2018-12-31,18507210000
2019-01-02,18857460000
2019-01-03,18465180000
2019-01-04,19333800000
2019-01-07,19712070000
2019-01-08,19333800000
2019-01-09,19698060000
2019-01-10,19796130000
2019-01-11,19950240000
2019-01-14,19838160000
2019-01-15,20230440000
2019-01-16,20062320000
2019-01-17,19992270000
2019-01-18,20566680000
2019-01-22,20244450000
2019-01-23,20230440000
2019-01-24,20678760000
2019-01-25,21505350000
2019-01-28,21939660000
2019-01-29,21533370000
2019-01-30,21743520000
2019-01-31,21311530000
2019-02-01,21448230000
2019-02-04,21584930000
2019-02-05,21721630000
2019-02-06,21995030000
2019-02-07,21666950000
2019-02-08,21762640000
