,X
2004-06-17,3467959200
2004-06-18,3613024160
2004-06-21,3662890240
2004-06-22,3761489079
2004-06-23,3914487280
2004-06-24,3848754720
2004-06-25,3881621000
2004-06-28,3790955400
2004-06-29,3966620000
2004-06-30,3986927759
2004-07-01,3918813960
2004-07-02,3827995560
2004-07-06,3817778490
2004-07-07,3942653789
2004-07-08,3810967110
2004-07-09,3902920740
2004-07-12,3967628850
2004-07-13,3994874369
2004-07-14,4169699789
2004-07-15,4245760200
2004-07-16,4200351000
2004-07-19,4224190830
2004-07-20,4181052090
2004-07-21,3957411780
2004-07-22,3918813960
2004-07-23,3846159240
2004-07-26,3850700160
2004-07-27,3889297980
2004-07-28,4159482720
2004-07-29,4290034170
2004-07-30,4329767220
2004-08-02,4327496760
2004-08-03,4234407899
2004-08-04,4259382960
2004-08-05,4083422310
2004-08-06,3871134300
2004-08-09,3968764080
2004-08-10,4183322550
2004-08-11,4158347490
2004-08-12,3999415289
2004-08-13,4033472190
2004-08-16,4224190830
2004-08-17,4199215770
2004-08-18,4209432840
2004-08-19,4200351000
2004-08-20,4268464800
2004-08-23,4086828000
