,HSY
2002-02-05,9558553440
2002-02-06,9574958280
2002-02-07,9651514200
2002-02-08,9621438660
2002-02-11,9501136500
2002-02-12,9528477900
2002-02-13,9564021720
2002-02-14,9594097260
2002-02-15,9697994580
2002-02-19,9621438660
2002-02-20,9728070120
2002-02-21,9676121460
2002-02-22,9793689480
2002-02-25,9853840560
2002-02-26,9804626040
2002-02-27,9706197000
2002-02-28,9656982480
2002-03-01,9714399420
2002-03-04,9569490000
2002-03-05,9471060960
2002-03-06,9492934080
2002-03-07,9443719560
2002-03-08,9430048860
2002-03-11,9375366060
2002-03-12,9399973320
2002-03-13,9389036760
2002-03-14,9416378160
2002-03-15,9402707460
2002-03-18,9224988360
2002-03-19,9214051800
2002-03-20,9159369000
2002-03-21,9246861480
2002-03-22,9249595620
2002-03-25,9222254220
2002-03-26,9440985420
2002-03-27,9432783000
2002-03-28,9369897780
2002-04-01,9392079840
2002-04-02,9487861540
2002-04-03,9405762940
2002-04-04,9509754500
2002-04-05,9520700980
2002-04-08,9548067180
2002-04-09,9556277040
2002-04-10,9758786920
2002-04-11,9799836220
2002-04-12,9810782700
2002-04-15,9712264380
2002-04-16,9564486900
2002-04-17,9315454480
2002-04-18,9331874200
2002-04-19,9334610820
2002-04-22,9348293920
2002-04-23,9318191100
2002-04-24,9304508000
2002-04-25,9320927720
2002-04-26,9241565740
2002-04-29,9304508000
2002-04-30,9304508000
2002-05-01,9304508000
2002-05-02,9427655900
2002-05-03,9364713640
2002-05-06,9361977020
2002-05-07,9342820680
2002-05-08,9312717860
2002-05-09,9320927720
2002-05-10,9279878420
2002-05-13,9348293920
2002-05-14,9383869980
2002-05-15,9359240400
2002-05-16,9441339000
2002-05-17,9359240400
2002-05-20,9255248840
2002-05-21,9282615040
2002-05-22,9312717860
2002-05-23,9285351660
2002-05-24,9162203760
2002-05-28,9096524880
2002-05-29,9173150240
2002-05-30,9030846000
2002-05-31,9132100940
2002-06-03,9000743180
2002-06-04,8811916400
2002-06-05,8976113600
2002-06-06,8850229080
2002-06-07,9030846000
2002-06-10,9028109380
2002-06-11,9044529100
2002-06-12,8981586840
2002-06-13,8858438940
2002-06-14,8820126260
2002-06-17,8973376980
2002-06-18,8946010780
2002-06-19,8937800920
2002-06-20,8989796700
2002-06-21,8888541760
2002-06-24,8861175560
2002-06-25,8705188220
2002-06-26,8647719200
2002-06-27,8754447380
2002-06-28,8551937500
2002-07-01,8669712800
2002-07-02,8584661820
2002-07-03,8491380100
2002-07-05,8598379720
2002-07-08,8529790220
2002-07-09,8628559100
2002-07-10,8477662200
2002-07-11,8705379340
2002-07-12,8524303060
2002-07-15,8573687500
2002-07-16,8403585540
2002-07-17,8513328740
2002-07-18,8263662960
2002-07-19,7868587440
2002-07-22,7901510400
2002-07-23,8208791360
2002-07-24,8573687500
2002-07-25,10741115700
2002-07-26,10798730880
2002-07-29,10905730500
2002-07-30,10686244100
2002-07-31,10763064340
2002-08-01,10425604000
2002-08-02,10140271680
2002-08-05,9929016020
2002-08-06,10014067000
2002-08-07,9863170100
2002-08-08,10164963900
2002-08-09,10118323040
2002-08-12,10228066240
2002-08-13,10219835500
2002-08-14,10346040180
2002-08-15,10384450300
2002-08-16,10288425000
2002-08-19,10250014880
2002-08-20,10219835500
2002-08-21,10244527720
2002-08-22,10258245620
2002-08-23,10293912160
2002-08-26,10535347200
2002-08-27,10502424240
2002-08-28,10461270540
2002-08-29,10453039800
2002-08-30,10392681040
2002-09-03,10370732400
2002-09-04,9945477500
2002-09-05,10192399700
2002-09-06,10132040940
2002-09-09,10088143660
2002-09-10,10164963900
2002-09-11,10090887240
2002-09-12,9986631200
2002-09-13,10126553780
2002-09-16,10263732780
2002-09-17,10126553780
2002-09-18,8916635000
2002-09-19,8741045880
2002-09-20,8798661060
2002-09-23,8743789460
2002-09-24,8543508120
2002-09-25,8573687500
2002-09-26,8746533040
2002-09-27,8617584780
2002-09-30,4230751775
2002-10-01,4293469977
2002-10-02,4294833417
2002-10-03,4294833417
2002-10-04,4208936748
2002-10-07,4258020559
2002-10-08,4303014052
2002-10-09,4338463470
2002-10-10,4279835586
2002-10-11,4249839924
2002-10-14,4275745268
2002-10-15,4320738761
2002-10-16,4380730085
2002-10-17,4233478653
2002-10-18,4354824740
2002-10-21,4337100031
2002-10-22,4343917227
2002-10-23,4383456963
2002-10-24,4406635429
2002-10-25,4458446118
2002-10-28,4397091355
2002-10-29,4458446118
2002-10-30,4462536436
2002-10-31,4436631091
2002-11-01,4417542943
2002-11-04,4398454794
2002-11-05,4414816064
2002-11-06,4380730085
2002-11-07,4386183842
2002-11-08,4391637598
2002-11-11,4399818233
2002-11-12,4373912889
2002-11-13,4448902044
2002-11-14,4428450456
2002-11-15,4432540774
2002-11-18,4443448287
2002-11-19,4459809557
2002-11-20,4474807388
2002-11-21,4431177335
2002-11-22,4439357970
2002-11-25,4410725747
2002-11-26,4309831247
2002-11-27,4373912889
2002-11-29,4390274159
2002-12-02,4326192518
2002-12-03,4334373153
2002-12-04,4346644105
2002-12-05,4307104369
2002-12-06,4356188180
2002-12-09,4383456963
2002-12-10,4416179504
2002-12-11,4508893368
2002-12-12,4515710564
2002-12-13,4469353632
2002-12-16,4492532098
2002-12-17,4496622415
2002-12-18,4577065327
2002-12-19,4567521253
2002-12-20,4619331941
2002-12-23,4596153475
2002-12-24,4613878185
2002-12-26,4567521253
2002-12-27,4577065327
2002-12-30,4581155644
2002-12-31,4597516914
2003-01-02,9020876240
2003-01-03,9002205000
2003-01-06,9034212840
2003-01-07,8935522000
2003-01-08,8858169720
2003-01-09,8967529840
2003-01-10,8948858600
2003-01-13,9042214800
2003-01-14,9015541600
2003-01-15,8988868400
2003-01-16,9092893880
2003-01-17,9114232440
2003-01-21,8935522000
2003-01-22,8951525920
2003-01-23,8943523960
2003-01-24,8804823320
2003-01-27,8783484760
2003-01-28,8887510240
2003-01-29,8628780200
2003-01-30,8572766480
2003-01-31,8602107000
2003-02-03,8650118760
2003-02-04,8548760599
2003-02-05,8586103079
2003-02-06,8588770400
2003-02-07,8596772360
2003-02-10,8655453400
2003-02-11,8527422040
2003-02-12,8471408320
2003-02-13,8572766480
2003-02-14,8682126600
2003-02-18,8716801760
2003-02-19,8666122680
2003-02-20,8583435760
2003-02-21,8650118760
2003-02-24,8543425960
2003-02-25,8676791960
2003-02-26,8599439680
2003-02-27,8676791960
2003-02-28,8618110920
2003-03-03,8628780200
2003-03-04,8388721400
2003-03-05,8463406360
2003-03-06,8418061920
2003-03-07,8412727280
2003-03-10,8178003120
2003-03-11,8228682200
2003-03-12,8175335800
2003-03-13,8322038400
2003-03-14,8351378920
2003-03-17,8620778240
2003-03-18,8580768440
2003-03-19,8655453400
2003-03-20,8703465160
2003-03-21,8810157960
2003-03-24,8607441640
2003-03-25,8735473000
2003-03-26,8663455360
2003-03-27,8452737080
2003-03-28,8394056040
2003-03-31,8356713560
2003-04-01,8237586600
2003-04-02,8402810400
2003-04-03,8316264600
2003-04-04,8352981000
2003-04-07,8326755000
2003-04-08,8342490600
2003-04-09,8342490600
2003-04-10,8326755000
2003-04-11,8295283800
2003-04-14,8447394600
2003-04-15,8486733600
2003-04-16,8245454400
2003-04-17,8400187800
2003-04-21,8326755000
2003-04-22,8426413800
2003-04-23,8410678200
2003-04-24,8465752800
2003-04-25,8452639799
2003-04-28,8557543800
2003-04-29,8594260200
2003-04-30,8557543800
2003-05-01,8562789000
2003-05-02,8607373200
2003-05-05,8589015000
2003-05-06,8672938200
2003-05-07,8720145000
2003-05-08,8701786800
2003-05-09,8869633200
2003-05-12,8924707800
2003-05-13,8961424200
2003-05-14,8932575600
2003-05-15,8895859200
2003-05-16,8859142800
2003-05-19,8804068200
2003-05-20,8861765400
2003-05-21,8859142800
2003-05-22,8964046800
2003-05-23,9000763200
2003-05-27,9066328200
2003-05-28,9100422000
2003-05-29,9040102200
2003-05-30,9323343000
2003-06-02,9318097800
2003-06-03,9375795000
2003-06-04,9365304600
2003-06-05,9318097800
2003-06-06,9284004000
2003-06-09,9289249200
2003-06-10,9242042400
2003-06-11,9365304600
2003-06-12,9396775800
2003-06-13,9506925000
2003-06-16,9548886600
2003-06-17,9436114800
2003-06-18,9464963400
2003-06-19,9341701200
2003-06-20,9333833400
2003-06-23,9213193800
2003-06-24,9255155400
2003-06-25,9152874000
2003-06-26,9145006200
2003-06-27,9155496600
