,JKHY
2003-04-24,1114402520
2003-04-25,1139909760
2003-04-28,1148705360
2003-04-29,1140789320
2003-04-30,1143428000
2003-05-01,1158380520
2003-05-02,1183887760
2003-05-05,1199719840
2003-05-06,1239300040
2003-05-07,1234022680
2003-05-08,1217311040
2003-05-09,1222588400
2003-05-12,1231384000
2003-05-13,1217311040
2003-05-14,1216431480
2003-05-15,1210274560
2003-05-16,1206756320
2003-05-19,1158380520
2003-05-20,1175971720
2003-05-21,1162778320
2003-05-22,1175971720
2003-05-23,1184767320
2003-05-27,1230504440
2003-05-28,1256891240
2003-05-29,1292073640
2003-05-30,1329015160
2003-06-02,1356281520
2003-06-03,1330774280
2003-06-04,1350124600
2003-06-05,1348365480
2003-06-06,1358920200
2003-06-09,1345726800
2003-06-10,1371234040
2003-06-11,1416091600
2003-06-12,1456551360
2003-06-13,1424887200
2003-06-16,1425766760
2003-06-17,1424887200
2003-06-18,1442478399
2003-06-19,1417850720
2003-06-20,1452153560
2003-06-23,1436321479
2003-06-24,1512843200
2003-06-25,1507565840
2003-06-26,1562978120
2003-06-27,1562098560
2003-06-30,1574681850
2003-07-01,1580877900
2003-07-02,1579107600
2003-07-03,1558749150
2003-07-07,1562289749
2003-07-08,1564060050
2003-07-09,1518032249
2003-07-10,1496788650
2003-07-11,1526883750
2003-07-14,1538390700
2003-07-15,1504755000
2003-07-16,1504755000
2003-07-17,1463152950
2003-07-18,1483511400
2003-07-21,1479085650
2003-07-22,1505640150
2003-07-23,1518032249
2003-07-24,1564945200
2003-07-25,1619824500
2003-07-28,1598580900
2003-07-29,1621594800
2003-07-30,1639297800
2003-07-31,1649919600
2003-08-01,1645493850
2003-08-04,1620709650
2003-08-05,1598580900
2003-08-06,1593270000
2003-08-07,1588844250
2003-08-08,1593270000
2003-08-11,1627790850
2003-08-12,1632216600
2003-08-13,1620709650
2003-08-14,1630446300
2003-08-15,1645493850
2003-08-18,1663196850
2003-08-19,1668507750
2003-08-20,1677359250
2003-08-21,1709224650
2003-08-22,1687981050
2003-08-25,1611858150
2003-08-26,1624250250
2003-08-27,1617169050
2003-08-28,1636642349
2003-08-29,1653460200
2003-09-02,1697717700
2003-09-03,1682670150
2003-09-04,1657000800
2003-09-05,1619824500
2003-09-08,1651689900
2003-09-09,1665852300
2003-09-10,1588844250
2003-09-11,1603891800
2003-09-12,1615398750
2003-09-15,1618054200
2003-09-16,1658771099
2003-09-17,1670278050
2003-09-18,1673818650
2003-09-19,1681785000
2003-09-22,1672933499
2003-09-23,1666737449
2003-09-24,1631331450
2003-09-25,1587959100
2003-09-26,1574681850
2003-09-29,1566715500
2003-09-30,1551727090
2003-10-01,1602588760
2003-10-02,1595450280
2003-10-03,1641850399
2003-10-06,1659696600
2003-10-07,1648988880
2003-10-08,1632927300
2003-10-09,1656127360
2003-10-10,1634711920
2003-10-13,1698065930
2003-10-14,1720373680
2003-10-15,1717696750
2003-10-16,1740004500
2003-10-17,1709665960
2003-10-20,1690035140
2003-10-21,1725727540
2003-10-22,1694496689
2003-10-23,1685573590
2003-10-24,1672188939
2003-10-27,1676650490
2003-10-28,1713235200
2003-10-29,1694496689
2003-10-30,1743573740
2003-10-31,1769450729
2003-11-03,1817635470
2003-11-04,1829235500
2003-11-05,1797112340
2003-11-06,1781050760
2003-11-07,1803358510
2003-11-10,1755173770
2003-11-11,1771235350
2003-11-12,1815850850
2003-11-13,1807820060
2003-11-14,1755173770
2003-11-17,1766773800
2003-11-18,1744466050
2003-11-19,1768558420
2003-11-20,1755173770
2003-11-21,1787296930
2003-11-24,1873851000
2003-11-25,1851543250
2003-11-26,1853327870
2003-11-28,1848866320
2003-12-01,1883666410
2003-12-02,1891697200
2003-12-03,1955051210
2003-12-04,1914004950
2003-12-05,1897051060
2003-12-08,1960405070
2003-12-09,1887235649
2003-12-10,1873851000
2003-12-11,1918466500
2003-12-12,1938989630
2003-12-15,1878312550
2003-12-16,1897051060
2003-12-17,1873851000
2003-12-18,1882774100
2003-12-19,1862250970
2003-12-22,1872066380
2003-12-23,1860466350
2003-12-24,1864035590
2003-12-26,1842620149
2003-12-29,1864927899
2003-12-30,1859574040
2003-12-31,1845079319
2004-01-02,1849562020
2004-01-05,1873768599
2004-01-06,1837907000
2004-01-07,1828941599
2004-01-08,1810114260
2004-01-09,1763494180
2004-01-12,1784114599
2004-01-13,1768873420
2004-01-14,1788597300
2004-01-15,1766183800
2004-01-16,1749149540
2004-01-20,1707012160
2004-01-21,1725839500
2004-01-22,1700736380
2004-01-23,1683702120
2004-01-26,1690874440
2004-01-27,1692667520
2004-01-28,1640668200
2004-01-29,1658599000
2004-01-30,1637082040
2004-02-02,1640668200
2004-02-03,1646943980
2004-02-04,1637082040
2004-02-05,1635288959
2004-02-06,1655909380
2004-02-09,1694460599
2004-02-10,1721356800
2004-02-11,1724046420
2004-02-12,1705219080
2004-02-13,1640668200
2004-02-17,1700736380
2004-02-18,1684598660
2004-02-19,1627220099
2004-02-20,1619151240
2004-02-23,1600323900
2004-02-24,1619151240
2004-02-25,1641564740
2004-02-26,1647840520
2004-02-27,1663081700
2004-03-01,1672943640
2004-03-02,1663978240
2004-03-03,1679219420
2004-03-04,1710598319
2004-03-05,1704322540
2004-03-08,1663978240
2004-03-09,1678322880
2004-03-10,1637978580
2004-03-11,1628116640
2004-03-12,1678322880
2004-03-15,1632599340
2004-03-16,1641564740
2004-03-17,1684598660
2004-03-18,1672047099
2004-03-19,1641564740
2004-03-22,1618254700
2004-03-23,1640668200
2004-03-24,1645150900
2004-03-25,1698046760
2004-03-26,1675633260
2004-03-29,1697150220
2004-03-30,1730322200
2004-03-31,1719806130
2004-04-01,1744079399
2004-04-02,1776443760
2004-04-05,1812404160
2004-04-06,1777342770
2004-04-07,1795322970
2004-04-08,1789029899
2004-04-12,1765655640
2004-04-13,1726099200
2004-04-14,1708119000
2004-04-15,1698229890
2004-04-16,1682047710
2004-04-19,1715311079
2004-04-20,1667663550
2004-04-21,1717109100
2004-04-22,1717109100
2004-04-23,1694633850
2004-04-26,1706320980
2004-04-27,1734190290
2004-04-28,1669461570
2004-04-29,1654178399
2004-04-30,1645188300
2004-05-03,1672158600
2004-05-04,1703623950
2004-05-05,1682047710
2004-05-06,1663168500
2004-05-07,1628107110
2004-05-10,1610126910
2004-05-11,1664067510
2004-05-12,1682047710
2004-05-13,1676653649
2004-05-14,1648784340
2004-05-17,1635299190
2004-05-18,1652380380
2004-05-19,1627208100
2004-05-20,1630804140
2004-05-21,1626309090
2004-05-24,1646986320
2004-05-25,1690138800
2004-05-26,1715311079
2004-05-27,1737786329
2004-05-28,1741382370
2004-06-01,1745877420
2004-06-02,1743180390
2004-06-03,1712614050
2004-06-04,1717109100
2004-06-07,1719806130
2004-06-08,1718008110
2004-06-09,1694633850
2004-06-10,1699128899
2004-06-14,1671259590
2004-06-15,1708119000
2004-06-16,1740483360
2004-06-17,1709018010
2004-06-18,1748574450
2004-06-21,1745877420
2004-06-22,1753069500
2004-06-23,1771049700
2004-06-24,1791726930
2004-06-25,1751271480
2004-06-28,1759362570
2004-06-29,1764756630
2004-06-30,1814748600
2004-07-01,1794885680
2004-07-02,1781342780
2004-07-06,1738005500
2004-07-07,1697376800
2004-07-08,1666679560
2004-07-09,1682931040
2004-07-12,1699182520
2004-07-13,1655845240
2004-07-14,1652233800
2004-07-15,1650428080
2004-07-16,1619730840
2004-07-19,1623342280
2004-07-20,1663068120
2004-07-21,1643205200
2004-07-22,1616119399
2004-07-23,1570073540
2004-07-26,1558336360
2004-07-27,1606187940
2004-07-28,1683833899
2004-07-29,1725365460
2004-07-30,1738005500
2004-08-02,1756062700
2004-08-03,1708211120
2004-08-04,1702793960
2004-08-05,1652233800
2004-08-06,1603479360
2004-08-09,1601673639
2004-08-10,1634176600
2004-08-11,1601673639
2004-08-12,1580907860
2004-08-13,1591742180
2004-08-16,1635079460
2004-08-17,1621536560
2004-08-18,1643205200
2004-08-19,1654942379
2004-08-20,1662165260
2004-08-23,1648622360
2004-08-24,1638690899
2004-08-25,1650428080
2004-08-26,1628759440
2004-08-27,1645913780
