,CPRI
2014-11-06,14654962199
2014-11-07,14176664442
2014-11-10,14014529610
2014-11-11,13961835789
2014-11-12,14389466411
2014-11-13,14336772590
2014-11-14,14604295064
2014-11-17,14656988885
2014-11-18,14780616695
2014-11-19,14687389166
2014-11-20,14881950965
2014-11-21,14997472034
2014-11-24,15307554901
2014-11-25,15566970634
2014-11-26,15368355464
2014-11-28,15546703780
2014-12-01,14859657426
2014-12-02,15033952371
2014-12-03,15348088609
2014-12-04,15510223442
2014-12-05,15733158837
2014-12-08,15431182711
2014-12-09,15467663049
2014-12-10,15305528216
2014-12-11,15544677094
2014-12-12,15599397600
2014-12-15,15745318950
2014-12-16,15400782430
2014-12-17,15331875126
2014-12-18,15056245910
2014-12-19,15121099844
2014-12-22,15070432708
2014-12-23,15262967822
2014-12-24,15260941137
2014-12-26,15242700968
2014-12-29,14973133994
2014-12-30,15063056726
2014-12-31,15007104804
2015-01-02,14943159750
2015-01-05,14587465389
2015-01-06,13362517952
2015-01-07,13730202012
2015-01-08,13987980510
2015-01-09,13840107573
2015-01-12,13854095553
2015-01-13,13672251807
2015-01-14,13292578050
2015-01-15,13190665620
2015-01-16,13390493913
2015-01-20,13390493913
2015-01-21,13688238070
2015-01-22,13806136763
2015-01-23,13854095553
2015-01-26,13964001114
2015-01-27,14143846578
2015-01-28,13985982227
2015-01-29,14493546091
2015-01-30,14145844861
2015-02-02,14299712647
2015-02-03,14431599320
2015-02-04,14263743554
2015-02-05,13942020002
2015-02-06,14387637096
2015-02-09,14265741837
2015-02-10,14241762442
2015-02-11,14191805368
2015-02-12,14297714364
2015-02-13,14641419028
2015-02-17,14537508315
2015-02-18,13948014851
2015-02-19,13906050909
2015-02-20,13784155651
2015-02-23,13930030305
2015-02-24,13666256958
2015-02-25,13700227768
2015-02-26,13566342811
2015-02-27,13470425231
2015-03-02,13578332509
2015-03-03,13656265543
2015-03-04,13416471592
2015-03-05,13416471592
2015-03-06,13184670772
2015-03-09,12854954088
2015-03-10,12928890557
2015-03-11,13032801269
2015-03-12,13072766928
2015-03-13,12936883688
2015-03-16,12894919747
2015-03-17,12950871669
2015-03-18,13260605523
2015-03-19,13352526538
2015-03-20,13214645016
2015-03-23,13566342811
2015-03-24,13532372001
2015-03-25,13590322206
2015-03-26,13320554011
2015-03-27,13382500782
2015-03-30,13051697411
2015-03-31,12951239130
2015-04-01,12622287505
2015-04-02,12486373361
2015-04-06,12508040833
2015-04-07,12681380611
2015-04-08,12779869122
2015-04-09,12850780850
2015-04-10,12724715556
2015-04-13,12630166586
2015-04-14,12397733701
2015-04-15,12559254858
2015-04-16,12551375778
2015-04-17,12458796578
2015-04-20,12244091625
2015-04-21,12255910246
2015-04-22,12273638178
2015-04-23,12476524510
2015-04-24,12504101293
2015-04-27,12413491863
2015-04-28,12346519676
2015-04-29,12311063812
2015-04-30,12184998519
2015-05-01,12320912663
2015-05-04,12338640595
2015-05-05,12324852203
2015-05-06,12281517259
2015-05-07,12295305650
2015-05-08,12313033582
2015-05-11,12374096459
2015-05-12,12242121855
2015-05-13,12035295983
2015-05-14,12031356442
2015-05-15,12019537821
2015-05-18,12047114604
2015-05-19,11960444715
2015-05-20,11907260919
2015-05-21,12080600697
2015-05-22,12139693804
2015-05-26,11934837702
2015-05-27,9047154574
2015-05-28,9017608021
2015-05-29,9159431476
2015-06-01,9403682982
2015-06-02,9573083220
2015-06-03,9569143680
2015-06-04,9707027594
2015-06-05,9626267016
2015-06-08,9484443561
2015-06-09,9567173909
2015-06-10,9496262182
2015-06-11,9423380684
2015-06-12,9500201722
2015-06-15,9277617689
2015-06-16,9161401246
2015-06-17,9145643085
2015-06-18,9094429059
2015-06-19,9179129178
2015-06-22,9324892174
2015-06-23,9218524582
2015-06-24,9100338370
2015-06-25,8936847442
2015-06-26,8846238013
2015-06-29,8190745351
2015-06-30,7949007881
2015-07-01,8141642427
