,CCU
2002-02-06,1015472471
2002-02-07,996312613
2002-02-08,983539375
2002-02-11,977152755
2002-02-12,954799588
2002-02-13,973959446
2002-02-14,973959446
2002-02-15,977152755
2002-02-19,978749410
2002-02-20,980346065
2002-02-21,980346065
2002-02-22,986732684
2002-02-25,1002699233
2002-02-26,1005892542
2002-02-27,1031439020
2002-02-28,1018665781
2002-03-01,1023455746
2002-03-04,1029842365
2002-03-05,1031439020
2002-03-06,1053792187
2002-03-07,1074548700
2002-03-08,1079338665
2002-03-11,1077742010
2002-03-12,1072952045
2002-03-13,1066565426
2002-03-14,1085725284
2002-03-15,1072952045
2002-03-18,1079338665
2002-03-19,1082531974
2002-03-20,1079338665
2002-03-21,1080935319
2002-03-22,1088918594
2002-03-25,1085725284
2002-03-26,1082531974
2002-03-27,1072952045
2002-03-28,1056985497
2002-04-01,1064968771
2002-04-02,1028245710
2002-04-03,999505923
2002-04-04,1013875817
2002-04-05,1021859091
2002-04-08,1015472471
2002-04-09,1009085852
2002-04-10,1020262436
2002-04-11,1021859091
2002-04-12,1005892542
2002-04-15,996312613
2002-04-16,997909268
2002-04-17,1009085852
2002-04-18,1021859091
2002-04-19,1001102578
2002-04-22,973959446
2002-04-23,957992898
2002-04-24,962782862
2002-04-25,969169481
2002-04-26,975556101
2002-04-29,972362791
2002-04-30,969169481
2002-05-01,978749410
2002-05-02,973959446
2002-05-03,980346065
2002-05-06,973959446
2002-05-07,970766136
2002-05-08,975556101
2002-05-09,973959446
2002-05-10,965976172
2002-05-13,951606278
2002-05-14,961186207
2002-05-15,957992898
2002-05-16,956396243
2002-05-17,940429694
2002-05-20,932446420
2002-05-21,945219659
2002-05-22,950009623
2002-05-23,945219659
2002-05-24,951606278
2002-05-28,945219659
2002-05-29,935639730
2002-05-30,935639730
2002-05-31,957992898
2002-06-03,942026349
2002-06-04,945219659
2002-06-05,957992898
2002-06-06,957992898
2002-06-07,964379517
2002-06-10,1005892542
2002-06-11,996312613
2002-06-12,1031439020
2002-06-13,1063372116
2002-06-14,1034632329
2002-06-17,1013875817
2002-06-18,1017069126
2002-06-19,1002699233
2002-06-20,965976172
2002-06-21,951606278
2002-06-24,948412969
2002-06-25,996312613
2002-06-26,973959446
2002-06-27,983539375
2002-06-28,980346065
2002-07-01,977152755
2002-07-02,951606278
2002-07-03,919673182
2002-07-05,919673182
2002-07-08,881353466
2002-07-09,887740085
2002-07-10,895723359
2002-07-11,849420369
2002-07-12,871773537
2002-07-15,836647130
2002-07-16,827067201
2002-07-17,836647130
2002-07-18,841437095
2002-07-19,862193608
2002-07-22,846227059
2002-07-23,849420369
2002-07-24,859000298
2002-07-25,863790263
2002-07-26,890933395
2002-07-29,938833040
2002-07-30,969169481
2002-07-31,977152755
2002-08-01,1002699233
2002-08-02,980346065
2002-08-05,967572826
2002-08-06,961186207
2002-08-07,967572826
2002-08-08,969169481
2002-08-09,983539375
2002-08-12,956396243
2002-08-13,948412969
2002-08-14,926059801
2002-08-15,916479872
2002-08-16,919673182
2002-08-19,938833040
2002-08-20,926059801
2002-08-21,906899943
2002-08-22,897320014
2002-08-23,898916669
2002-08-26,930849765
2002-08-27,913286562
2002-08-28,881353466
2002-08-29,878160156
2002-08-30,871773537
2002-09-03,868580227
2002-09-04,852613679
2002-09-05,846227059
2002-09-06,849420369
2002-09-09,854210334
2002-09-10,865386917
2002-09-11,865386917
2002-09-12,859000298
2002-09-13,859000298
2002-09-16,855806988
2002-09-17,849420369
2002-09-18,836647130
2002-09-19,830260511
2002-09-20,814293963
2002-09-23,798327415
2002-09-24,801520724
2002-09-25,817487272
2002-09-26,819083927
2002-09-27,798327415
2002-09-30,809503998
2002-10-01,809503998
2002-10-02,801520724
2002-10-03,799924069
2002-10-04,807907343
2002-10-07,815890618
2002-10-08,799924069
2002-10-09,790344140
2002-10-10,787150831
2002-10-11,801520724
2002-10-14,804714034
2002-10-15,798327415
2002-10-16,775974247
2002-10-17,795134105
2002-10-18,785554176
2002-10-21,782360866
2002-10-22,782360866
2002-10-23,782360866
2002-10-24,782360866
2002-10-25,782360866
2002-10-28,811100653
2002-10-29,804714034
2002-10-30,811100653
2002-10-31,835050476
2002-11-01,836647130
2002-11-04,844630405
2002-11-05,836647130
2002-11-06,833453821
2002-11-07,814293963
2002-11-08,820680582
2002-11-11,830260511
2002-11-12,830260511
2002-11-13,843033750
2002-11-14,874966846
2002-11-15,919673182
2002-11-18,910093253
2002-11-19,914883217
2002-11-20,932446420
2002-11-21,954799588
2002-11-22,938833040
2002-11-25,914883217
2002-11-26,906899943
2002-11-27,906899943
2002-11-29,908496598
2002-12-02,916479872
2002-12-03,910093253
2002-12-04,918076527
2002-12-05,921269836
2002-12-06,964379517
2002-12-09,948412969
2002-12-10,962782862
2002-12-11,977152755
2002-12-12,996312613
2002-12-13,975556101
2002-12-16,980346065
2002-12-17,961186207
2002-12-18,967572826
2002-12-19,962782862
2002-12-20,967572826
2002-12-23,970766136
2002-12-24,986732684
2002-12-26,956396243
2002-12-27,956396243
2002-12-30,938833040
2002-12-31,932446420
2003-01-02,935639730
2003-01-03,953202933
2003-01-06,969169481
2003-01-07,967572826
2003-01-08,1012279162
2003-01-09,1031439020
2003-01-10,1117658381
2003-01-13,1088918594
2003-01-14,1098498523
2003-01-15,1066565426
2003-01-16,1041018949
2003-01-17,1060178807
2003-01-21,1041018949
2003-01-22,1013875817
2003-01-23,1029842365
2003-01-24,1015472471
2003-01-27,999505923
2003-01-28,1041018949
2003-01-29,1021859091
2003-01-30,1021859091
2003-01-31,1041018949
2003-02-03,1053792187
2003-02-04,1025052400
2003-02-05,1021859091
2003-02-06,1021859091
2003-02-07,1021859091
2003-02-10,1018665781
2003-02-11,1023455746
2003-02-12,1031439020
2003-02-13,1041018949
2003-02-14,1055388842
2003-02-18,1045808913
2003-02-19,1025052400
2003-02-20,1026649055
2003-02-21,1039422294
2003-02-24,1026649055
2003-02-25,1050598878
2003-02-26,1060178807
2003-02-27,1082531974
2003-02-28,1082531974
2003-03-03,1098498523
2003-03-04,1093708558
2003-03-05,1009085852
2003-03-06,1009085852
2003-03-07,1007489197
2003-03-10,1015472471
2003-03-11,1034632329
2003-03-12,1034632329
2003-03-13,1033035675
2003-03-14,1001102578
2003-03-17,996312613
2003-03-18,1025052400
2003-03-19,1037825639
2003-03-20,1034632329
2003-03-21,1053792187
2003-03-24,1028245710
2003-03-25,1044212258
2003-03-26,1037825639
2003-03-27,1015472471
2003-03-28,1021859091
2003-03-31,999505923
2003-04-01,1015472471
2003-04-02,1012279162
2003-04-03,1015472471
2003-04-04,1026649055
2003-04-07,1041018949
2003-04-08,1047405568
2003-04-09,1041018949
2003-04-10,1036228984
2003-04-11,1034632329
2003-04-14,1047405568
2003-04-15,1053792187
2003-04-16,1069758736
2003-04-17,1071355390
2003-04-21,1050598878
2003-04-22,1052195532
2003-04-23,1072952045
2003-04-24,1063372116
2003-04-25,1063372116
2003-04-28,1056985497
2003-04-29,1060178807
2003-04-30,1045808913
2003-05-01,1056985497
2003-05-02,1069758736
2003-05-05,1063372116
2003-05-06,1060178807
2003-05-07,1050598878
2003-05-08,1060178807
2003-05-09,1064968771
2003-05-12,1072952045
2003-05-13,1104885142
2003-05-14,1087321939
2003-05-15,1077742010
2003-05-16,1082531974
2003-05-19,1037825639
2003-05-20,1034632329
2003-05-21,1021859091
2003-05-22,1050598878
2003-05-23,1058582152
2003-05-27,1036228984
2003-05-28,1056985497
2003-05-29,1063372116
2003-05-30,1063372116
2003-06-02,1053792187
2003-06-03,1042615603
2003-06-04,1041018949
2003-06-05,1058582152
2003-06-06,1056985497
2003-06-09,1031439020
2003-06-10,1031439020
2003-06-11,1039422294
2003-06-12,1050598878
2003-06-13,1039422294
2003-06-16,1053792187
2003-06-17,1050598878
2003-06-18,1037825639
2003-06-19,1028245710
2003-06-20,1025052400
2003-06-23,1013875817
2003-06-24,1004295888
2003-06-25,1018665781
2003-06-26,1002699233
2003-06-27,1009085852
2003-06-30,1028245710
2003-07-01,1072952045
2003-07-02,1082531974
2003-07-03,1104885142
2003-07-07,1119255035
2003-07-08,1104885142
2003-07-09,1112868416
2003-07-10,1085725284
2003-07-11,1092111903
2003-07-14,1096901868
2003-07-15,1080935319
2003-07-16,1079338665
2003-07-17,1072952045
2003-07-18,1088918594
2003-07-21,1092111903
2003-07-22,1108078452
2003-07-23,1116061726
2003-07-24,1147994822
2003-07-25,1175137954
2003-07-28,1171944645
2003-07-29,1175137954
2003-07-30,1162364716
2003-07-31,1184717883
2003-08-01,1213457670
2003-08-04,1202281086
2003-08-05,1187911193
2003-08-06,1213457670
2003-08-07,1195894467
2003-08-08,1192701158
2003-08-11,1200684432
2003-08-12,1192701158
2003-08-13,1175137954
2003-08-14,1162364716
2003-08-15,1168751335
2003-08-18,1159171406
2003-08-19,1186314538
2003-08-20,1079338665
2003-08-21,1063372116
2003-08-22,1025052400
2003-08-25,1044212258
2003-08-26,1042615603
2003-08-27,1053792187
2003-08-28,1053792187
2003-08-29,1047405568
2003-09-02,1063372116
2003-09-03,1064968771
2003-09-04,1056985497
2003-09-05,1058582152
2003-09-08,1063372116
2003-09-09,1056985497
2003-09-10,1047405568
2003-09-11,1053792187
2003-09-12,1053792187
2003-09-15,1047405568
2003-09-16,1069758736
2003-09-17,1063372116
2003-09-18,1061775461
2003-09-19,1061775461
2003-09-22,1061775461
2003-09-23,1068162081
2003-09-24,1072952045
2003-09-25,1101691832
2003-09-26,1143204858
2003-09-29,1140011548
2003-09-30,1130431619
2003-10-01,1127238309
2003-10-02,1127238309
2003-10-03,1144801513
2003-10-06,1165558025
2003-10-07,1168751335
2003-10-08,1226230909
2003-10-09,1262953970
2003-10-10,1285307138
2003-10-13,1302870341
2003-10-14,1293290412
2003-10-15,1283710483
2003-10-16,1325223508
2003-10-17,1302870341
