,BUD
2013-02-07,138412870934
2013-02-08,137355550392
2013-02-11,138204610827
2013-02-12,140207111853
2013-02-13,141392592461
2013-02-14,148601596155
2013-02-15,148553536131
2013-02-19,149130256426
2013-02-20,148777816246
2013-02-21,147480195581
2013-02-22,149594836664
2013-02-25,147255915466
2013-02-26,147063675367
2013-02-27,150091456919
2013-02-28,150572057165
2013-03-01,151453157617
2013-03-04,151437137609
2013-03-05,151709477748
2013-03-06,150780317272
2013-03-07,153119238471
2013-03-08,155618359751
2013-03-11,155362039620
2013-03-12,153519738676
2013-03-13,153263418545
2013-03-14,154208599029
2013-03-15,152878938348
2013-03-18,153183318504
2013-03-19,152638638224
2013-03-20,154000338922
2013-03-21,153263418545
2013-03-22,157156280540
2013-03-25,156018859957
2013-03-26,158101461024
2013-03-27,156114980006
2013-03-28,159479181730
2013-04-01,159249688000
2013-04-02,160564476000
2013-04-03,158864872000
2013-04-04,159618470000
2013-04-05,156491840000
2013-04-08,159105382000
2013-04-09,158303682000
2013-04-10,163290256000
2013-04-11,161750992000
2013-04-12,160949292000
2013-04-15,157501982000
2013-04-16,159281756000
2013-04-17,155112916000
2013-04-18,156443738000
2013-04-19,159089348000
2013-04-22,158768668000
2013-04-23,156219262000
2013-04-24,154375352000
2013-04-25,154263114000
2013-04-26,150928042000
2013-04-29,153092632000
2013-04-30,153317108000
2013-05-01,152146626000
2013-05-02,152723850000
2013-05-03,154247080000
2013-05-06,153605720000
2013-05-07,154439488000
2013-05-08,156764418000
2013-05-09,154343284000
2013-05-10,155128950000
2013-05-13,156395636000
2013-05-14,157918866000
2013-05-15,156748384000
2013-05-16,155080848000
2013-05-17,154519658000
2013-05-20,153092632000
2013-05-21,153285040000
2013-05-22,152755918000
2013-05-23,153285040000
2013-05-24,153301074000
2013-05-28,153589686000
2013-05-29,150350818000
2013-05-30,151040280000
2013-05-31,147384528000
2013-06-03,148009854000
2013-06-04,148041922000
2013-06-05,145155802000
2013-06-06,148635180000
2013-06-07,151376994000
2013-06-10,150270648000
2013-06-11,148731384000
2013-06-12,148603112000
2013-06-13,149549118000
2013-06-14,150286682000
2013-06-17,151793878000
2013-06-18,150142376000
2013-06-19,147127984000
2013-06-20,140265432000
2013-06-21,139880616000
2013-06-24,138918576000
2013-06-25,139367528000
2013-06-26,142173478000
2013-06-27,144370136000
2013-06-28,144722884000
2013-07-01,146412010000
2013-07-02,144186070000
2013-07-03,141072980000
2013-07-05,141944000000
2013-07-08,144621580000
2013-07-09,145202260000
2013-07-10,146702350000
2013-07-11,149896090000
2013-07-12,147847580000
2013-07-15,148283090000
2013-07-16,148089530000
2013-07-17,146444270000
2013-07-18,144605450000
2013-07-19,144250590000
2013-07-22,143911860000
2013-07-23,142847280000
2013-07-24,144089290000
2013-07-25,143427960000
2013-07-26,144089290000
2013-07-29,143218270000
2013-07-30,145121610000
2013-07-31,154380230000
2013-08-01,157977220000
2013-08-02,158315950000
2013-08-05,158493380000
2013-08-06,158751460000
2013-08-07,159719260000
2013-08-08,162929130000
2013-08-09,160203160000
2013-08-12,161348390000
2013-08-13,161654860000
2013-08-14,159606350000
2013-08-15,158203040000
2013-08-16,157477190000
2013-08-19,156477130000
2013-08-20,155654500000
2013-08-21,155235120000
2013-08-22,155638370000
2013-08-23,157041680000
2013-08-26,156219050000
2013-08-27,152976920000
2013-08-28,151622000000
2013-08-29,151541350000
2013-08-30,150573550000
2013-09-03,152976920000
2013-09-04,154073760000
2013-09-05,152799490000
2013-09-06,154477010000
2013-09-09,154299580000
2013-09-10,155493200000
2013-09-11,157509450000
2013-09-12,156138400000
2013-09-13,158622420000
2013-09-16,160783840000
2013-09-17,160751580000
2013-09-18,165219590000
2013-09-19,165445410000
2013-09-20,162203280000
2013-09-23,160574150000
2013-09-24,159864430000
2013-09-25,160428980000
2013-09-26,161638730000
2013-09-27,160670930000
2013-09-30,160009600000
2013-10-01,160766010000
2013-10-02,160261020000
