,PNR
2023-11-27,10603995000
2023-11-28,10536222000
2023-11-29,10633749000
2023-11-30,10627137000
2023-12-01,10842027000
2023-12-04,10901535000
2023-12-05,10818885000
2023-12-06,11023857000
2023-12-07,11012286000
2023-12-08,11066835000
2023-12-11,11156097000
2023-12-12,11202381000
2023-12-13,11046999000
2023-12-14,11782584000
2023-12-15,11754483000
2023-12-18,11615631000
2023-12-19,11774319000
2023-12-20,11856969000
2023-12-21,11771012999
2023-12-22,11866887000
2023-12-26,12000780000
2023-12-27,12053676000
2023-12-28,12065247000
2023-12-29,12005739000
2024-01-02,11882346999
2024-01-03,11406788000
2024-01-04,11433300000
2024-01-05,11376962000
2024-01-08,11443242000
2024-01-09,11396846000
2024-01-10,11655338000
2024-01-11,11733217000
2024-01-12,11706705000
2024-01-16,11594029000
2024-01-17,11663623000
2024-01-18,11557575000
2024-01-19,11683507000
2024-01-22,11946970000
2024-01-23,12056332000
2024-01-24,11844236000
2024-01-25,11834294000
2024-01-26,12039762000
2024-01-29,11980110000
2024-01-30,12129240000
2024-01-31,12273398999
2024-02-01,12185578000
2024-02-02,12255171999
2024-02-05,12004965000
2024-02-06,12170665000
2024-02-07,12293283000
2024-02-08,12227003000
2024-02-09,12276713000
2024-02-12,12429157000
2024-02-13,12178950000
2024-02-14,12381104000
2024-02-15,12397673999
2024-02-16,12500408000
2024-02-20,12351278000
2024-02-21,12318138000
2024-02-22,12435785000
2024-02-23,12664451000
2024-02-26,12677707000
2024-02-27,12606456000
2024-02-28,12742330000
2024-02-29,12863291000
2024-03-01,12989223000
2024-03-04,13067102000
2024-03-05,12937856000
2024-03-06,13274227000
2024-03-07,13426671000
2024-03-08,13587400000
2024-03-11,13395188000
2024-03-12,13544318000
2024-03-13,13645395000
2024-03-14,13353763000
2024-03-15,13388560000
2024-03-18,13383589000
2024-03-19,13506207000
2024-03-20,13552603000
2024-03-21,13999993000
2024-03-22,13862462000
2024-03-25,13766356000
2024-03-26,13723273999
2024-03-27,13888973999
2024-03-28,14089471000
2024-04-02,13756414000
2024-04-03,13862462000
2024-04-04,13983423000
2024-04-05,13879032000
2024-04-08,13902230000
2024-04-09,13769670000
2024-04-10,13695105000
2024-04-11,13635453000
2024-04-12,13370333000
2024-04-15,13444898000
2024-04-16,13267598999
2024-04-17,13070416000
2024-04-18,13020706000
2024-04-19,13007450000
2024-04-22,13090300000
2024-04-23,13033962000
2024-04-24,13042246999
2024-04-25,12926257000
2024-04-26,13340507000
2024-04-29,13343821000
2024-04-30,13198005000
2024-05-01,13082015000
2024-05-02,13103556000
2024-05-03,13212918000
2024-05-06,13426671000
2024-05-07,13754757000
2024-05-08,13807781000
2024-05-09,13857491000
2024-05-10,13812752000
2024-05-13,13698419000
2024-05-14,13701733000
2024-05-15,14137523999
2024-05-16,13908858000
2024-05-17,13832636000
2024-05-20,14049703000
2024-05-21,13990051000
2024-05-22,13945312000
2024-05-23,13774641000
2024-05-24,13768013000
2024-05-28,13290796999
2024-05-29,12989223000
2024-05-30,13146638000
2024-05-31,13188063000
2024-06-03,13154923000
2024-06-04,13070416000
2024-06-05,13186406000
2024-06-06,12956083000
2024-06-07,12903059000
2024-06-10,12916315000
2024-06-11,12944484000
2024-06-12,13355420000
2024-06-13,13043904000
2024-06-14,12594857000
2024-06-17,12866605000
2024-06-18,13083671999
2024-06-20,13241087000
2024-06-21,13136696000
2024-06-24,13352106000
2024-06-25,12396017000
2024-06-26,12293283000
2024-06-27,12581601000
2024-06-28,12806953000
2024-07-01,12301568000
2024-07-02,12334708000
2024-07-03,12485495000
2024-07-05,12223689000
2024-07-08,12445727000
2024-07-09,12510350000
2024-07-10,12513664000
2024-07-11,13141667000
2024-07-12,13173150000
2024-07-15,13378618000
2024-07-16,13779612000
2024-07-17,13774641000
2024-07-18,13451526000
2024-07-19,13070416000
2024-07-22,13185732000
2024-07-23,14439936000
2024-07-24,14262423000
2024-07-25,14590905000
2024-07-26,14733579000
2024-07-29,14587587000
2024-07-30,14529522000
2024-07-31,14707035000
2024-08-01,14207676000
2024-08-02,13799562000
2024-08-05,13413015000
2024-08-06,13807857000
2024-08-07,13875876000
2024-08-08,13729884000
2024-08-09,14048412000
