,CSX
2002-07-15,6787486260
2002-07-16,6902528400
2002-07-17,7055917920
2002-07-18,7055917920
2002-07-19,7017570540
2002-07-22,6825833640
2002-07-23,6749138880
2002-07-24,6902528400
2002-07-25,7170960060
2002-07-26,7132612680
2002-07-29,7439391720
2002-07-30,7439391720
2002-07-31,7362696960
2002-08-01,7362696960
2002-08-02,7055917920
2002-08-05,6787486260
2002-08-06,7132612680
2002-08-07,7286002200
2002-08-08,7631128620
2002-08-09,7631128620
2002-08-12,7401044340
2002-08-13,7362696960
2002-08-14,7592781240
2002-08-15,7516086480
2002-08-16,7592781240
2002-08-19,7669476000
2002-08-20,7554433860
2002-08-21,7707823379
2002-08-22,7746170760
2002-08-23,7631128620
2002-08-26,7669476000
2002-08-27,7784518139
2002-08-28,7477739100
2002-08-29,7247654820
2002-08-30,7401044340
2002-09-03,7170960060
2002-09-04,7362696960
2002-09-05,6173928180
2002-09-06,6288970320
2002-09-09,6135580800
2002-09-10,6173928180
2002-09-11,6212275560
2002-09-12,6135580800
2002-09-13,6173928180
2002-09-16,6173928180
2002-09-17,6173928180
2002-09-18,6173928180
2002-09-19,6058886040
2002-09-20,6250622940
2002-09-23,6058886040
2002-09-24,5752107000
2002-09-25,5828801760
2002-09-26,6020538660
2002-09-27,5835121920
2002-09-30,5643177120
2002-10-01,5835121920
2002-10-02,5604788160
2002-10-03,5719955040
2002-10-04,5604788160
2002-10-07,5451232320
2002-10-08,5604788160
2002-10-09,5451232320
2002-10-10,5604788160
2002-10-11,5643177120
2002-10-14,5604788160
2002-10-15,5950288800
2002-10-16,5758344000
2002-10-17,5873510880
2002-10-18,5796732960
2002-10-21,5950288800
2002-10-22,5873510880
2002-10-23,5950288800
2002-10-24,5873510880
2002-10-25,5835121920
2002-10-28,5873510880
2002-10-29,5796732960
2002-10-30,5950288800
2002-10-31,5873510880
2002-11-01,6103844640
2002-11-04,6180622560
2002-11-05,6219011520
2002-11-06,6410956320
2002-11-07,6257400480
2002-11-08,6180622560
2002-11-11,5950288800
2002-11-12,5988677760
2002-11-13,5988677760
2002-11-14,5950288800
2002-11-15,5950288800
2002-11-18,5873510880
2002-11-19,5835121920
2002-11-20,5835121920
2002-11-21,5911899840
2002-11-22,5835121920
2002-11-25,5873510880
2002-11-26,5796732960
2002-11-27,5988677760
2002-11-29,5911899840
2002-12-02,5835121920
2002-12-03,6027066720
2002-12-04,5988677760
2002-12-05,5950288800
2002-12-06,6065455680
2002-12-09,5988677760
