,VNO
2004-04-20,4870042963
2004-04-21,4832935436
2004-04-22,4930182747
2004-04-23,4876440812
2004-04-26,4905870919
2004-04-27,4953215005
2004-04-28,4958333285
2004-04-29,4786870921
2004-04-30,4722892427
2004-05-03,4763838663
2004-05-04,4772795652
2004-05-05,4729290276
2004-05-06,4766397803
2004-05-07,4550150493
2004-05-10,4501526837
2004-05-11,4555268772
2004-05-12,4591096729
2004-05-13,4602612858
2004-05-14,4699860169
2004-05-17,4731849416
2004-05-18,4849569845
2004-05-19,4684505330
2004-05-20,4762559093
2004-05-21,4780473071
2004-05-24,4862365544
2004-05-25,4954494575
2004-05-26,5036387047
2004-05-27,5054301026
2004-05-28,5115720380
2004-06-01,5055580595
2004-06-02,5119559089
2004-06-03,5138752638
2004-06-04,5179698874
2004-06-07,5195053712
2004-06-08,5197612852
2004-06-09,5188655863
2004-06-10,5197612852
2004-06-14,5108042960
2004-06-15,5170741885
2004-06-16,5178419304
2004-06-17,5244956938
2004-06-18,5282064464
2004-06-21,5298698873
2004-06-22,5291021453
2004-06-23,5369075216
2004-06-24,5383150485
2004-06-25,5369075216
2004-06-28,5394666614
2004-06-29,5257752636
2004-06-30,5385626542
2004-07-01,5381759409
2004-07-02,5536444710
2004-07-06,5502929561
2004-07-07,5563514637
2004-07-08,5540311842
2004-07-09,5514530959
2004-07-12,5576405079
2004-07-13,5551913240
2004-07-14,5568670814
2004-07-15,5591873609
2004-07-16,5620232581
2004-07-19,5639568243
2004-07-20,5644724420
2004-07-21,5613787360
2004-07-22,5479726766
2004-07-23,5438477353
2004-07-26,5381759409
2004-07-27,5428164999
2004-07-28,5483593899
2004-07-29,5446211618
2004-07-30,5478437722
2004-08-02,5563514637
2004-08-03,5591873609
2004-08-04,5658903906
2004-08-05,5544178975
2004-08-06,5599607874
2004-08-09,5582850300
2004-08-10,5648591552
2004-08-11,5649880597
2004-08-12,5603475006
2004-08-13,5602185962
2004-08-16,5671794348
2004-08-17,5733668468
2004-08-18,5774917881
2004-08-19,5670505303
2004-08-20,5861283840
