,FISV
2002-11-29,6503307607
2002-12-02,6587666550
2002-12-03,6556990571
2002-12-04,6595335545
2002-12-05,6441955648
2002-12-06,6518645597
2002-12-09,6257899773
2002-12-10,6495638612
2002-12-11,6418948664
2002-12-12,6403610674
2002-12-13,6219554799
2002-12-16,6418948664
2002-12-17,6380603690
2002-12-18,6165871835
2002-12-19,6204216809
2002-12-20,6434286653
2002-12-23,6495638612
2002-12-24,6541652581
2002-12-26,6549321576
2002-12-27,6518645597
2002-12-30,6518645597
2002-12-31,6510976602
2003-01-02,6847762680
2003-01-03,6740165960
2003-01-06,6886190080
2003-01-07,6763222400
2003-01-08,6563399919
2003-01-09,6655625680
2003-01-10,6840077200
2003-01-13,6824706240
2003-01-14,6793964320
2003-01-15,6517287040
2003-01-16,6409690320
2003-01-17,6194496880
2003-01-21,6294408120
2003-01-22,6171440439
2003-01-23,6279037160
2003-01-24,6194496880
2003-01-27,6148384000
2003-01-28,6263666200
2003-01-29,6317464560
2003-01-30,5902448640
2003-01-31,5986988920
2003-02-03,6033101800
2003-02-04,5963932480
2003-02-05,5986988920
2003-02-06,6025416320
2003-02-07,6010045360
2003-02-10,5948561520
2003-02-11,5956247000
2003-02-12,5817908360
2003-02-13,5694940680
2003-02-14,5956247000
2003-02-18,6179125919
2003-02-19,6209867840
2003-02-20,6033101800
2003-02-21,6148384000
2003-02-24,5963932480
2003-02-25,6017730840
2003-02-26,5864021240
2003-02-27,5971617960
2003-02-28,6133013040
2003-03-03,6033101800
2003-03-04,5940876040
2003-03-05,5940876040
2003-03-06,5864021240
2003-03-07,5825593840
2003-03-10,5571973000
2003-03-11,5295295720
2003-03-12,5395206960
2003-03-13,5579658480
2003-03-14,5641142320
2003-03-17,5917819600
2003-03-18,5986988920
2003-03-19,6063843720
2003-03-20,6248295240
2003-03-21,6571085400
2003-03-24,6225238800
2003-03-25,6409690320
2003-03-26,6448117720
2003-03-27,6409690320
2003-03-28,6263666200
2003-03-31,6048472760
2003-04-01,6131317400
2003-04-02,6332344200
2003-04-03,6324612400
2003-04-04,6239562600
2003-04-07,6270489800
2003-04-08,6216367199
2003-04-09,6046267600
2003-04-10,6084926600
2003-04-11,6053999400
2003-04-14,6247294400
2003-04-15,6332344200
2003-04-16,6463784800
2003-04-17,6680275200
2003-04-21,6556566400
2003-04-22,6510175600
2003-04-23,6146781000
2003-04-24,5752459200
2003-04-25,5706068400
2003-04-28,5798850000
2003-04-29,5783386400
2003-04-30,5690604800
2003-05-01,5744727400
2003-05-02,5736995600
2003-05-05,5721532000
2003-05-06,5806581800
2003-05-07,5698336600
2003-05-08,5559164200
2003-05-09,5667409400
2003-05-12,5837509000
2003-05-13,5945754200
2003-05-14,5945754200
2003-05-15,6100390200
2003-05-16,6077194800
2003-05-19,5868436200
2003-05-20,5945754200
2003-05-21,5922558800
2003-05-22,5976681400
2003-05-23,5999876800
2003-05-27,6239562600
2003-05-28,6278221599
2003-05-29,6224099000
2003-05-30,6401930399
2003-06-02,6270489800
2003-06-03,6417394000
2003-06-04,6633884400
2003-06-05,6742129600
2003-06-06,6780788600
2003-06-09,6657079800
2003-06-10,6757593200
2003-06-11,7020474400
2003-06-12,7066865200
2003-06-13,7059133400
2003-06-16,7159646800
2003-06-17,7097792400
2003-06-18,7105524200
2003-06-19,6943156400
2003-06-20,7159646800
2003-06-23,6935424600
2003-06-24,6943156400
2003-06-25,6865838400
2003-06-26,6950888200
2003-06-27,6757593200
2003-06-30,6889033800
2003-07-01,7017006240
2003-07-02,7040241360
2003-07-03,6955045920
2003-07-07,7047986400
2003-07-08,7233867360
2003-07-09,7148671920
2003-07-10,7009261200
2003-07-11,7109946720
2003-07-14,7241612400
2003-07-15,7311317760
2003-07-16,7404258240
2003-07-17,7195142159
2003-07-18,7249357440
2003-07-21,7140926880
2003-07-22,7280337600
2003-07-23,7535923920
2003-07-24,7427493360
2003-07-25,7520433840
2003-07-28,7528178880
2003-07-29,7543668960
2003-07-30,7419748320
2003-07-31,7566904080
2003-08-01,7442983440
2003-08-04,7512688799
2003-08-05,7458473520
2003-08-06,7280337600
2003-08-07,7195142159
2003-08-08,7195142159
2003-08-11,7272592560
2003-08-12,7357788000
2003-08-13,7357788000
2003-08-14,7473963600
2003-08-15,7489453680
2003-08-18,7605629280
2003-08-19,7683079680
2003-08-20,7783765200
2003-08-21,7752785040
2003-08-22,7652099520
2003-08-25,7667589600
2003-08-26,7675334640
2003-08-27,7597884240
2003-08-28,7551414000
2003-08-29,7512688799
2003-09-02,7613374320
2003-09-03,7566904080
2003-09-04,7597884240
2003-09-05,7435238400
2003-09-08,7489453680
2003-09-09,7388768159
2003-09-10,7218377280
2003-09-11,7218377280
2003-09-12,7264847520
2003-09-15,7117691760
2003-09-16,7195142159
2003-09-17,7156416960
2003-09-18,7326807840
2003-09-19,7388768159
2003-09-22,7381023119
2003-09-23,7504943760
2003-09-24,7326807840
2003-09-25,7102201680
2003-09-26,7071221520
2003-09-29,7202887200
2003-09-30,7024751280
2003-10-01,7301353854
2003-10-02,7247039851
2003-10-03,7456536720
2003-10-06,7448777577
2003-10-07,7448777577
2003-10-08,7177207561
2003-10-09,7278076424
2003-10-10,7425500147
2003-10-13,7456536720
2003-10-14,7441018434
2003-10-15,7456536720
2003-10-16,7293594711
2003-10-17,7122893558
2003-10-20,6952192405
2003-10-21,6975469835
2003-10-22,6727177249
2003-10-23,6688381533
2003-10-24,6579753526
2003-10-27,6556476096
2003-10-28,6765972966
2003-10-29,6828046112
2003-10-30,6928914975
2003-10-31,6851323542
2003-11-03,7029783838
2003-11-04,7014265552
2003-11-05,7022024695
2003-11-06,7084097842
2003-11-07,7122893558
2003-11-10,7192725848
2003-11-11,7107375271
2003-11-12,7316872141
2003-11-13,7262558138
2003-11-14,7153930131
2003-11-17,7068579555
2003-11-18,6921155832
2003-11-19,6944433262
2003-11-20,6843564399
2003-11-21,6828046112
2003-11-24,7208244134
2003-11-25,7285835568
2003-11-26,7293594711
2003-11-28,7278076424
2003-12-01,7472055007
2003-12-02,7409981861
2003-12-03,7425500147
2003-12-04,7565164727
2003-12-05,7433259290
2003-12-08,7619478730
2003-12-09,7510850724
2003-12-10,7503091580
2003-12-11,7658274446
2003-12-12,7588442157
2003-12-15,7510850724
2003-12-16,7634997017
2003-12-17,7425500147
2003-12-18,7534128154
2003-12-19,7425500147
2003-12-22,7565164727
2003-12-23,7689311020
2003-12-24,7704829306
2003-12-26,7735865880
2003-12-29,7759143310
2003-12-30,7704829306
2003-12-31,7673792733
2004-01-02,7603209400
2004-01-05,7688813600
2004-01-06,7665467000
2004-01-07,7673249200
2004-01-08,7587645000
2004-01-09,7533169600
2004-01-12,7548733999
2004-01-13,7432001000
2004-01-14,7626556000
2004-01-15,7517605200
2004-01-16,7291921399
2004-01-20,7385307800
2004-01-21,7315268000
2004-01-22,7377525600
2004-01-23,7338614600
2004-01-26,7548733999
2004-01-27,7548733999
2004-01-28,7159623999
2004-01-29,7237446000
2004-01-30,7268574800
2004-02-02,7175188400
2004-02-03,7035108799
2004-02-04,7182970600
2004-02-05,7206317200
2004-02-06,7385307800
2004-02-09,7346396800
2004-02-10,7439783200
2004-02-11,7649902600
2004-02-12,7572080600
2004-02-13,7572080600
2004-02-17,7657684800
2004-02-18,7533169600
2004-02-19,7400872200
2004-02-20,7369743400
2004-02-23,7369743400
2004-02-24,7416436599
2004-02-25,7424218799
2004-02-26,7470912000
2004-02-27,7502040800
2004-03-01,7603209400
2004-03-02,7525387400
2004-03-03,7478694200
2004-03-04,7494258600
2004-03-05,7447565400
2004-03-08,7385307800
2004-03-09,7416436599
2004-03-10,7315268000
2004-03-11,7136277400
2004-03-12,7190752800
2004-03-15,6988415600
2004-03-16,7105148600
2004-03-17,7245228200
2004-03-18,7167406200
2004-03-19,7074019800
2004-03-22,7042891000
2004-03-23,7003980000
2004-03-24,7058455400
2004-03-25,7081802000
2004-03-26,6910593600
2004-03-29,6918375800
2004-03-30,6957286800
2004-03-31,6957286800
2004-04-01,6943815600
2004-04-02,6850191119
2004-04-05,6842389080
2004-04-06,6787774799
2004-04-07,6694150320
2004-04-08,6686348280
2004-04-12,6764368680
2004-04-13,6756566640
2004-04-14,6748764600
2004-04-15,6740962560
2004-04-16,6701952360
2004-04-19,6857993159
2004-04-20,6748764600
2004-04-21,6842389080
2004-04-22,7965882840
2004-04-23,7591384920
2004-04-26,7380729840
2004-04-27,7404135960
2004-04-28,7294907400
2004-04-29,7162272720
2004-04-30,7146668640
2004-05-03,7240293119
2004-05-04,7146668640
2004-05-05,7177876799
2004-05-06,7060846200
2004-05-07,7029638040
2004-05-10,7092054360
2004-05-11,7271501280
2004-05-12,7302709440
2004-05-13,7333917600
2004-05-14,7271501280
2004-05-17,7185678840
2004-05-18,7209084960
2004-05-19,7240293119
2004-05-20,7107658440
2004-05-21,7193480880
2004-05-24,7248095159
2004-05-25,7341719640
2004-05-26,7294907400
2004-05-27,7365125760
2004-05-28,7357323720
2004-06-01,7224689040
2004-06-02,7185678840
2004-06-03,7131064560
2004-06-04,7185678840
2004-06-07,7333917600
2004-06-08,7357323720
2004-06-09,7302709440
2004-06-10,7333917600
2004-06-14,7240293119
2004-06-15,7380729840
2004-06-16,7380729840
