,XYL
2014-07-23,6801526000
2014-07-24,6779662000
2014-07-25,6712248000
2014-07-28,6643012000
2014-07-29,6777840000
2014-07-30,6637546000
2014-07-31,6429838000
2014-08-01,6373355999
2014-08-04,6431659999
2014-08-05,6491786000
2014-08-06,6493608000
2014-08-07,6566488000
2014-08-08,6570132000
2014-08-11,6661232000
2014-08-12,6652122000
2014-08-13,6694028000
2014-08-14,6684918000
2014-08-15,6690384000
2014-08-18,6814280000
2014-08-19,6834322000
2014-08-20,6925422000
2014-08-21,6883516000
2014-08-22,6814280000
2014-08-25,6890804000
2014-08-26,6859830000
2014-08-27,6819746000
2014-08-28,6788772000
2014-08-29,6788772000
2014-09-02,6934532000
2014-09-03,6896270000
2014-09-04,6901736000
2014-09-05,6881694000
2014-09-08,6863474000
2014-09-09,6808814000
2014-09-10,6799704000
2014-09-11,6816101999
2014-09-12,6768730000
2014-09-15,6774196000
2014-09-16,6834322000
2014-09-17,6814280000
2014-09-18,6881694000
2014-09-19,6881694000
2014-09-22,6801526000
2014-09-23,6812458000
2014-09-24,6810636000
2014-09-25,6652122000
2014-09-26,6668520000
2014-09-29,6604750000
2014-09-30,6462729000
2014-10-01,6348006000
2014-10-02,6375321000
2014-10-03,6386247000
2014-10-06,6479118000
2014-10-07,6218715000
2014-10-08,6306123000
2014-10-09,6078498000
2014-10-10,5918250000
2014-10-13,5810811000
2014-10-14,5954670000
2014-10-15,6063929999
2014-10-16,6198684000
2014-10-17,6229641000
2014-10-20,6138591000
2014-10-21,6284271000
2014-10-22,6202326000
2014-10-23,6382604999
2014-10-24,6435414000
2014-10-27,6377142000
2014-10-28,6643007999
2014-10-29,6502791000
2014-10-30,6521001000
2014-10-31,6621156000
2014-11-03,6562884000
2014-11-04,6544674000
2014-11-05,6626619000
2014-11-06,6757731000
2014-11-07,6744984000
2014-11-10,6788688000
2014-11-11,6801435000
2014-11-12,6837854999
2014-11-13,6819645000
2014-11-14,6850602000
2014-11-17,6870632999
2014-11-18,6958041000
2014-11-19,6799614000
2014-11-20,6821466000
2014-11-21,6965325000
2014-11-24,6992640000
2014-11-25,6990819000
2014-11-26,7018134000
2014-11-28,6981714000
2014-12-01,6999924000
2014-12-02,6923442000
2014-12-03,7081869000
2014-12-04,7023597000
2014-12-05,7027239000
2014-12-08,6887022000
2014-12-09,6941652000
2014-12-10,6708564000
2014-12-11,6734057999
2014-12-12,6592020000
2014-12-15,6599304000
2014-12-16,6604767000
2014-12-17,6721310999
2014-12-18,6938010000
2014-12-19,7027239000
2014-12-22,7054554000
2014-12-23,7050912000
2014-12-24,7058196000
2014-12-26,7092795000
2014-12-29,7076406000
2014-12-30,6998103000
2014-12-31,6932547000
2015-01-02,6934368000
2015-01-05,6502791000
2015-01-06,6464550000
2015-01-07,6515538000
2015-01-08,6564704999
2015-01-09,6440877000
2015-01-12,6300660000
2015-01-13,6315228000
2015-01-14,6275166000
2015-01-15,6231462000
2015-01-16,6276987000
2015-01-20,6264240000
2015-01-21,6391710000
2015-01-22,6433593000
2015-01-23,6404457000
2015-01-26,6408099000
2015-01-27,6326154000
2015-01-28,6238746000
2015-01-29,6220535999
2015-01-30,6209610000
2015-02-02,6326154000
2015-02-03,6444519000
2015-02-04,6353469000
2015-02-05,6348006000
2015-02-06,6408099000
2015-02-09,6393531000
2015-02-10,6444519000
2015-02-11,6419025000
2015-02-12,6484581000
2015-02-13,6566526000
2015-02-17,6533748000
2015-02-18,6524643000
2015-02-19,6493685999
2015-02-20,6561063000
2015-02-23,6521001000
2015-02-24,6548316000
2015-02-25,6562884000
2015-02-26,6513717000
2015-02-27,6500970000
2015-03-02,6586557000
2015-03-03,6573810000
2015-03-04,6499149000
2015-03-05,6479118000
2015-03-06,6404457000
2015-03-09,6419025000
2015-03-10,6318870000
2015-03-11,6297018000
2015-03-12,6404457000
2015-03-13,6302481000
2015-03-16,6378963000
2015-03-17,6313407000
2015-03-18,6531927000
2015-03-19,6471834000
2015-03-20,6553779000
2015-03-23,6391710000
2015-03-24,6386247000
2015-03-25,6326154000
2015-03-26,6313407000
2015-03-27,6368037000
2015-03-30,6437235000
2015-03-31,6356130000
2015-04-01,6426914999
2015-04-02,6495885000
2015-04-06,6546705000
2015-04-07,6546705000
2015-04-08,6397875000
2015-04-09,6345240000
2015-04-10,6388800000
2015-04-13,6381539999
2015-04-14,6388800000
2015-04-15,6441435000
2015-04-16,6503145000
2015-04-17,6377910000
2015-04-20,6435990000
2015-04-21,6417840000
2015-04-22,6435990000
2015-04-23,6515850000
2015-04-24,6466845000
2015-04-27,6588449999
2015-04-28,6601155000
2015-04-29,6648345000
2015-04-30,6719130000
2015-05-01,6740910000
2015-05-04,6697350000
2015-05-05,6650160000
2015-05-06,6630195000
2015-05-07,6659235000
2015-05-08,6697350000
2015-05-11,6681015000
2015-05-12,6622935000
2015-05-13,6677385000
2015-05-14,6731835000
2015-05-15,6684645000
2015-05-18,6717315000
2015-05-19,6675570000
2015-05-20,6681015000
2015-05-21,6740910000
2015-05-22,6713685000
2015-05-26,6595710000
2015-05-27,6624750000
2015-05-28,6661050000
2015-05-29,6637455000
