,MET
2003-02-20,16969673464
2003-02-21,17191306117
2003-02-24,17028775505
2003-02-25,16991836730
2003-02-26,16851469383
2003-02-27,17132204076
2003-02-28,17228244893
2003-03-03,17146979587
2003-03-04,16784979587
2003-03-05,17294734689
2003-03-06,17013999995
2003-03-07,17146979587
2003-03-10,16526408158
2003-03-11,16053591832
2003-03-12,15809795913
2003-03-13,16541183668
2003-03-14,16829306117
2003-03-17,17183918362
2003-03-18,17228244893
2003-03-19,17937469382
2003-03-20,17870979586
2003-03-21,18262530607
2003-03-24,17582857138
2003-03-25,17664122444
2003-03-26,17634571423
2003-03-27,17568081627
2003-03-28,17715836729
2003-03-31,17260506324
2003-04-01,17583544299
2003-04-02,18082784805
2003-04-03,18104810121
2003-04-04,18295696197
2003-04-07,18148860754
2003-04-08,18229620248
2003-04-09,17759746830
2003-04-10,18038734172
2003-04-11,18068101261
2003-04-14,18222278476
2003-04-15,18479240501
2003-04-16,18185569615
2003-04-17,18523291134
2003-04-21,18413164552
2003-04-22,18963797463
2003-04-23,19073924045
2003-04-24,18567341767
2003-04-25,18288354425
2003-04-28,18721518982
2003-04-29,18662784805
2003-04-30,18794936704
2003-05-01,18765569615
2003-05-02,18838987336
2003-05-05,18420506324
2003-05-06,18376455691
2003-05-07,18031392400
2003-05-08,17590886071
2003-05-09,17517468349
2003-05-12,18038734172
2003-05-13,17664303792
2003-05-14,17590886071
2003-05-15,17664303792
2003-05-16,17818481008
2003-05-19,17664303792
2003-05-20,17407341767
2003-05-21,17429367084
2003-05-22,17583544299
2003-05-23,17517468349
2003-05-27,17642278476
2003-05-28,17862531640
2003-05-29,17583544299
2003-05-30,18303037969
2003-06-02,18420506324
2003-06-03,18295696197
2003-06-04,18626075944
2003-06-05,18831645564
2003-06-06,18934430374
2003-06-09,18530632906
2003-06-10,18508607590
2003-06-11,18750886071
2003-06-12,18897721514
2003-06-13,18758227843
2003-06-16,19103291134
2003-06-17,19000506324
2003-06-18,18890379741
2003-06-19,18486582273
2003-06-20,18530632906
2003-06-23,18457215185
2003-06-24,18728860754
2003-06-25,18618734172
2003-06-26,18633417716
2003-06-27,18582025311
2003-06-30,19317013324
2003-07-01,19324666658
2003-07-02,19577226658
2003-07-03,19783866658
2003-07-07,20158879991
2003-07-08,20174186657
2003-07-09,20158879991
2003-07-10,19684373324
2003-07-11,19829786658
2003-07-14,19921626657
2003-07-15,19753253324
2003-07-16,19339973324
2003-07-17,19072106658
2003-07-18,19010879991
2003-07-21,18949653325
2003-07-22,19010879991
2003-07-23,19263439991
2003-07-24,19263439991
2003-07-25,19891013324
2003-07-28,19753253324
2003-07-29,19286399991
2003-07-30,18888426658
2003-07-31,18903733325
