,K
2004-08-25,16281551999
2004-08-26,16314544000
2004-08-27,16256808000
2004-08-30,16145460000
2004-08-31,16244436000
2004-09-01,16166080000
2004-09-02,16281551999
2004-09-03,16256808000
2004-09-07,16339287999
2004-09-08,16240312000
2004-09-09,16219692000
2004-09-10,16298048000
2004-09-13,16252683999
2004-09-14,16397024000
2004-09-15,16512496000
2004-09-16,16450636000
2004-09-17,16528992000
2004-09-20,16438264000
2004-09-21,16401148000
2004-09-22,16269180000
2004-09-23,16058856000
2004-09-24,16034112000
2004-09-27,15995746000
2004-09-28,16037036000
2004-09-29,16115487000
2004-09-30,16528387000
2004-10-01,16544903000
2004-10-04,16660515000
2004-10-05,16643999000
2004-10-06,16656386000
2004-10-07,16441678000
2004-10-08,16305421000
2004-10-11,16466452000
2004-10-12,16276518000
2004-10-13,16185680000
2004-10-14,16371485000
2004-10-15,16293034000
2004-10-18,16495355000
2004-10-19,16528387000
2004-10-20,16507741999
2004-10-21,16635741000
2004-10-22,16429291000
2004-10-25,16718321000
2004-10-26,16573806000
2004-10-27,16635741000
2004-10-28,16701805000
2004-10-29,16660515000
2004-11-01,16491226000
2004-11-02,16511871000
2004-11-03,16763740000
2004-11-04,17056899000
2004-11-05,17151866000
2004-11-08,17180769000
2004-11-09,17122963000
2004-11-10,17180769000
2004-11-11,17279865000
2004-11-12,17432638000
2004-11-15,17428509000
2004-11-16,17333542000
2004-11-17,17267478000
2004-11-18,17383090000
2004-11-19,17160124000
2004-11-22,17527605000
2004-11-23,17445025000
2004-11-24,17300510000
2004-11-26,17436767000
2004-11-29,16842191000
2004-11-30,16928900000
2004-12-01,17155994999
2004-12-02,17118834000
2004-12-03,17234446000
2004-12-06,17180769000
2004-12-07,16776127000
2004-12-08,16813288000
2004-12-09,16755482000
2004-12-10,16805030000
2004-12-13,16846319999
2004-12-14,17110576000
2004-12-15,17094060000
2004-12-16,17242704000
2004-12-17,17056899000
2004-12-20,17056899000
2004-12-21,17193156000
2004-12-22,17217930000
2004-12-23,17259220000
2004-12-27,17209672000
2004-12-28,17283994000
2004-12-29,17131221000
2004-12-30,17238575000
2004-12-31,17304639000
2005-01-03,17193222000
2005-01-04,17131257000
2005-01-05,17238663000
2005-01-06,17259318000
2005-01-07,17135387999
2005-01-10,17102340000
2005-01-11,17118864000
2005-01-12,17073423000
2005-01-13,17003195999
2005-01-14,17172567000
2005-01-18,17436951000
2005-01-19,17308890000
2005-01-20,17180829000
2005-01-21,17172567000
2005-01-24,17180829000
2005-01-25,17234532000
2005-01-26,17168436000
2005-01-27,17424558000
2005-01-28,17556750000
2005-01-31,17304759000
2005-02-01,17424558000
2005-02-02,17325414000
2005-02-03,17164304999
2005-02-04,17230401000
2005-02-07,17300628000
2005-02-08,17172567000
2005-02-09,17197353000
2005-02-10,17284104000
2005-02-11,17403903000
2005-02-14,17424558000
2005-02-15,17424558000
2005-02-16,17379117000
2005-02-17,17168436000
2005-02-18,17061029999
2005-02-22,16928837999
2005-02-23,16994934000
2005-02-24,17056899000
2005-02-25,17172567000
2005-02-28,17056899000
2005-03-01,17205615000
2005-03-02,17147781000
2005-03-03,17189091000
2005-03-04,17279973000
2005-03-07,17106470999
2005-03-08,17003195999
2005-03-09,16941231000
2005-03-10,16949493000
2005-03-11,16804908000
2005-03-14,16866873000
2005-03-15,16796645999
2005-03-16,16689240000
2005-03-17,16437249000
2005-03-18,16594227000
2005-03-21,16689240000
2005-03-22,16573571999
2005-03-23,16623144000
2005-03-24,16598358000
2005-03-28,16602489000
2005-03-29,16606620000
2005-03-30,16747074000
2005-03-31,16771860000
2005-04-01,16548786000
2005-04-04,16648919999
2005-04-05,16793120000
2005-04-06,16776640000
2005-04-07,16826080000
2005-04-08,16739560000
2005-04-11,16677759999
2005-04-12,16789000000
2005-04-13,16661280000
2005-04-14,16801360000
2005-04-15,16789000000
2005-04-18,16710720000
2005-04-19,16607720000
2005-04-20,16504720000
2005-04-21,16644800000
2005-04-22,16591240000
2005-04-25,16624200000
2005-04-26,16545919999
2005-04-27,16545919999
2005-04-28,16838439999
2005-04-29,17378160000
2005-05-02,17357560000
2005-05-03,17439960000
2005-05-04,17584160000
2005-05-05,17542960000
2005-05-06,17575920000
2005-05-09,17596520000
2005-05-10,17468800000
2005-05-11,17452320000
2005-05-12,17427600000
2005-05-13,17357560000
2005-05-16,17518240000
2005-05-17,17501760000
2005-05-18,17617120000
2005-05-19,17571800000
2005-05-20,17468800000
2005-05-23,17650080000
2005-05-24,17637720000
2005-05-25,17621240000
2005-05-26,17707760000
2005-05-27,17687160000
2005-05-31,17584160000
2005-06-01,17790160000
2005-06-02,17831360000
2005-06-03,17851960000
2005-06-06,17930240000
2005-06-07,17946720000
2005-06-08,17823120000
2005-06-09,17835480000
2005-06-10,17596520000
2005-06-13,17456440000
2005-06-14,17456440000
2005-06-15,17501760000
2005-06-16,17497640000
2005-06-17,17588280000
2005-06-20,17608880000
2005-06-21,17534720000
2005-06-22,17571800000
2005-06-23,17357560000
2005-06-24,17192760000
2005-06-27,17168040000
2005-06-28,17299880000
2005-06-29,17213360000
2005-06-30,17180400000
2005-07-01,17258680000
2005-07-05,17292522000
2005-07-06,17218110000
2005-07-07,17102357999
2005-07-08,17313192000
2005-07-11,17185038000
2005-07-12,17346264000
2005-07-13,17275986000
2005-07-14,17387604000
2005-07-15,17379336000
2005-07-18,17209842000
2005-07-19,17251182000
2005-07-20,17271852000
2005-07-21,17267718000
2005-07-22,17259450000
2005-07-25,17222244000
2005-07-26,17247048000
2005-07-27,17404140000
2005-07-28,17792736000
2005-07-29,17577768000
2005-08-01,17453748000
2005-08-02,17643912000
2005-08-03,17635644000
2005-08-04,17519892000
2005-08-05,17387604000
2005-08-08,17400006000
2005-08-09,17457882000
2005-08-10,17594304000
2005-08-11,17685252000
2005-08-12,17573634000
2005-08-15,17689386000
2005-08-16,17581902000
2005-08-17,17672850000
2005-08-18,17697654000
2005-08-19,17743128000
2005-08-22,17747262000
2005-08-23,17643912000
2005-08-24,17540562000
2005-08-25,17532294000
2005-08-26,17515758000
2005-08-29,17623242000
2005-08-30,17420676000
2005-08-31,17581902000
2005-09-01,17515758000
2005-09-02,17519892000
2005-09-06,17767932000
2005-09-07,17788602000
2005-09-08,17652180000
2005-09-09,17776200000
2005-09-12,17614974000
2005-09-13,17573634000
2005-09-14,17594304000
2005-09-15,17648046000
2005-09-16,17453748000
2005-09-19,17329728000
2005-09-20,17321460000
2005-09-21,17032080000
2005-09-22,17003142000
2005-09-23,17089956000
2005-09-26,17156100000
2005-09-27,17577768000
2005-09-28,17598438000
2005-09-29,17747262000
2005-09-30,17896086000
2005-10-03,17711273432
2005-10-04,17682667314
2005-10-05,17551896490
2005-10-06,17568242843
2005-10-07,17490597667
2005-10-10,17502857431
2005-10-11,17527376961
2005-10-12,17519203784
2005-10-13,17478337902
2005-10-14,17564156255
2005-10-17,17637714843
2005-10-18,17658147785
2005-10-19,17674494138
2005-10-20,17519203784
2005-10-21,17674494138
2005-10-24,17780745432
2005-10-25,17788918608
2005-10-26,17690840490
2005-10-27,17588675784
2005-10-28,17813438138
2005-10-31,16938908254
2005-11-01,17135064490
2005-11-02,16963427784
2005-11-03,16889869195
2005-11-04,16832656960
2005-11-07,16918475313
2005-11-08,16853089901
2005-11-09,16934821666
2005-11-10,17192276725
2005-11-11,17204536490
2005-11-14,17139151078
2005-11-15,17008380254
2005-11-16,16865349666
2005-11-17,16967514372
2005-11-18,17090112019
2005-11-21,17196363313
2005-11-22,17253575549
2005-11-23,17314874372
2005-11-25,17323047549
2005-11-28,17347567078
2005-11-29,17274008490
2005-11-30,16898042372
2005-12-01,17041072960
2005-12-02,17086025431
2005-12-05,17004293666
2005-12-06,16951168019
2005-12-07,16808137431
2005-12-08,16836743548
2005-12-09,16828570372
2005-12-12,16816310607
2005-12-13,16840830137
2005-12-14,17041072960
2005-12-15,17036986372
2005-12-16,17114631549
2005-12-19,17008380254
2005-12-20,17081938843
2005-12-21,16942994843
2005-12-22,17008380254
2005-12-23,16922561901
2005-12-27,16812224019
2005-12-28,16783617901
2005-12-29,16673280019
2005-12-30,16571115313
2006-01-03,16366980000
2006-01-04,16510620000
2006-01-05,16570470000
2006-01-06,16622339999
2006-01-09,16702140000
2006-01-10,16654260000
2006-01-11,16542540000
2006-01-12,16466730000
2006-01-13,16382940000
2006-01-17,16378949999
2006-01-18,16378949999
2006-01-19,16402890000
2006-01-20,16223339999
2006-01-23,16147530000
2006-01-24,16151519999
2006-01-25,16287180000
2006-01-26,16343040000
2006-01-27,16378949999
2006-01-30,16355010000
2006-01-31,16059750000
2006-02-01,16351019999
2006-02-02,16366980000
2006-02-03,16207379999
2006-02-06,16131570000
2006-02-07,15983940000
2006-02-08,15963990000
2006-02-09,16071720000
2006-02-10,16103640000
2006-02-13,16079699999
2006-02-14,16135560000
2006-02-15,16390920000
2006-02-16,16638300000
2006-02-17,16662240000
2006-02-21,16754010000
2006-02-22,16833810000
2006-02-23,16885680000
2006-02-24,16821839999
2006-02-27,16690170000
2006-02-28,16590420000
2006-03-01,16594410000
2006-03-02,16574460000
2006-03-03,16558500000
2006-03-06,16550519999
2006-03-07,16662240000
2006-03-08,16829820000
2006-03-09,16901640000
2006-03-10,16953510000
2006-03-13,16965480000
2006-03-14,17065230000
2006-03-15,17109120000
2006-03-16,16921589999
2006-03-17,17029320000
2006-03-20,16957500000
2006-03-21,16905629999
2006-03-22,16997400000
2006-03-23,16845780000
2006-03-24,16841790000
2006-03-27,16710120000
2006-03-28,16410870000
2006-03-29,16554510000
2006-03-30,16542540000
2006-03-31,16486680000
2006-04-03,16280271000
2006-04-04,16280271000
2006-04-05,16370914000
2006-04-06,16307858000
2006-04-07,16232979000
2006-04-10,16268448000
2006-04-11,16189628000
2006-04-12,15980754999
2006-04-13,15941345000
2006-04-17,15972873000
2006-04-18,16028047000
2006-04-19,16240861000
2006-04-20,16288153000
2006-04-21,16343327000
2006-04-24,16481262000
2006-04-25,16473379999
2006-04-26,16638902000
2006-04-27,16863539000
2006-04-28,17123645000
2006-05-01,17107880999
2006-05-02,17064529999
2006-05-03,17001474000
2006-05-04,17115763000
2006-05-05,17155173000
2006-05-08,17159114000
2006-05-09,17198524000
2006-05-10,17285226000
2006-05-11,17143350000
2006-05-12,17033002000
2006-05-15,17103940000
2006-05-16,17186701000
2006-05-17,17005415000
2006-05-18,16946300000
2006-05-19,16969946000
2006-05-22,17103940000
2006-05-23,17029061000
2006-05-24,17226111000
2006-05-25,17423161000
2006-05-26,17494099000
2006-05-30,17348282000
2006-05-31,17419220000
2006-06-01,17529568000
2006-06-02,17628093000
2006-06-05,17478335000
2006-06-06,17663562000
2006-06-07,17494099000
2006-06-08,17324636000
2006-06-09,17379810000
2006-06-12,17332518000
2006-06-13,17230052000
2006-06-14,17285226000
2006-06-15,17505922000
2006-06-16,17517745000
2006-06-19,17332518000
2006-06-20,17561096000
2006-06-21,17553214000
2006-06-22,17758146000
2006-06-23,17687208000
2006-06-26,17683267000
2006-06-27,17529568000
2006-06-28,17624152000
2006-06-29,17856671000
2006-06-30,17907904000
2006-07-03,18123050000
2006-07-05,18031740000
2006-07-06,17872940000
2006-07-07,17706200000
2006-07-10,18047620000
2006-07-11,18234210000
2006-07-12,18119080000
2006-07-13,17868970000
2006-07-14,17908670000
2006-07-17,18198480000
2006-07-18,18127020000
2006-07-19,18222300000
2006-07-20,18190540000
2006-07-21,18154810000
2006-07-24,18289790000
2006-07-25,18377130000
2006-07-26,18226270000
2006-07-27,17805450000
2006-07-28,18023800000
2006-07-31,17944400000
2006-08-01,17809420000
2006-08-02,17980130000
2006-08-03,17908670000
2006-08-04,17984100000
2006-08-07,17829270000
2006-08-08,18039680000
2006-08-09,17960280000
2006-08-10,18190540000
2006-08-11,18230240000
2006-08-14,18476380000
2006-08-15,18527990000
2006-08-16,18635180000
2006-08-17,18440650000
2006-08-18,18504170000
2006-08-21,18460500000
2006-08-22,18551810000
2006-08-23,18404920000
2006-08-24,18551810000
2006-08-25,18551810000
2006-08-28,18702670000
2006-08-29,18881320000
2006-08-30,18833680000
2006-08-31,18885290000
2006-09-01,18817800000
2006-09-05,18730460000
2006-09-06,18714580000
2006-09-07,18555780000
2006-09-08,18611360000
2006-09-11,18666940000
2006-09-12,18801920000
2006-09-13,18496230000
2006-09-14,18698700000
2006-09-15,18516080000
2006-09-18,18436680000
2006-09-19,18480350000
2006-09-20,18440650000
2006-09-21,18527990000
2006-09-22,18595480000
2006-09-25,18714580000
2006-09-26,18710610000
2006-09-27,18591510000
2006-09-28,18555780000
2006-09-29,18448590000
2006-10-02,18345370000
2006-10-03,18361250000
2006-10-04,18488290000
2006-10-05,18587540000
2006-10-06,18512110000
2006-10-09,18448590000
2006-10-10,18309640000
2006-10-11,18262000000
2006-10-12,18250090000
2006-10-13,17845150000
2006-10-16,18019830000
2006-10-17,18325520000
2006-10-18,18452560000
2006-10-19,18412860000
2006-10-20,18396980000
2006-10-23,18531960000
2006-10-24,18500200000
2006-10-25,18492260000
2006-10-26,18702670000
2006-10-27,18627240000
2006-10-30,18662970000
2006-10-31,18742370000
2006-11-01,18543870000
2006-11-02,18472410000
2006-11-03,18393010000
2006-11-06,18472410000
2006-11-07,18539900000
2006-11-08,18476380000
2006-11-09,18428740000
2006-11-10,18389040000
2006-11-13,18412860000
2006-11-14,18535930000
2006-11-15,18543870000
2006-11-16,18631210000
2006-11-17,18682820000
2006-11-20,18615330000
2006-11-21,18627240000
2006-11-22,18738400000
2006-11-24,18662970000
2006-11-27,18555780000
2006-11-28,18555780000
2006-11-29,18444620000
2006-11-30,18543870000
2006-12-01,18476380000
2006-12-04,18571660000
2006-12-05,18659000000
2006-12-06,18786040000
2006-12-07,18452560000
2006-12-08,18595480000
2006-12-11,18603420000
2006-12-12,18853530000
2006-12-13,18801920000
2006-12-14,18905140000
2006-12-15,18841620000
2006-12-18,18853530000
2006-12-19,18921020000
2006-12-20,18778100000
2006-12-21,18797950000
2006-12-22,18666940000
2006-12-26,18805890000
2006-12-27,18813830000
2006-12-28,18845590000
2006-12-29,18647090000
2007-01-03,18841320000
2007-01-04,18694060000
2007-01-05,18566700000
2007-01-08,18614460000
2007-01-09,18654260000
2007-01-10,18749780000
2007-01-11,18849280000
2007-01-12,18757740000
2007-01-16,18837340000
2007-01-17,18765700000
2007-01-18,18713960000
2007-01-19,18674160000
2007-01-22,18809480000
2007-01-23,18777640000
2007-01-24,18853260000
2007-01-25,18773660000
2007-01-26,18793560000
2007-01-29,18976640000
2007-01-30,18749780000
2007-01-31,18399540000
2007-02-01,18443320000
2007-02-02,18292080000
2007-02-05,18300040000
2007-02-06,18292080000
2007-02-07,18296060000
2007-02-08,18296060000
2007-02-09,18256260000
2007-02-12,18284120000
2007-02-13,18315960000
2007-02-14,18534860000
2007-02-15,18419440000
2007-02-16,18590580000
2007-02-20,18522920000
2007-02-21,18439340000
2007-02-22,18586600000
2007-02-23,18614460000
2007-02-26,18801520000
2007-02-27,18327900000
2007-02-28,18614460000
2007-03-01,18558740000
2007-03-02,18387600000
2007-03-05,18395560000
2007-03-06,18439340000
2007-03-07,18622420000
2007-03-08,18793560000
2007-03-09,18849280000
2007-03-12,19004500000
2007-03-13,18873160000
2007-03-14,18924900000
2007-03-15,19068180000
2007-03-16,18877140000
2007-03-19,19052260000
2007-03-20,19155740000
2007-03-21,19303000000
2007-03-22,19374640000
2007-03-23,19322900000
2007-03-26,19251260000
2007-03-27,19211460000
2007-03-28,19088080000
2007-03-29,19111960000
2007-03-30,19207480000
2007-04-02,19333900000
2007-04-03,19397420000
2007-04-04,19357720000
2007-04-05,19286260000
2007-04-09,19290230000
2007-04-10,19298170000
2007-04-11,19194950000
2007-04-12,19171130000
2007-04-13,19206860000
2007-04-16,19373600000
2007-04-17,19464910000
2007-04-18,19484760000
2007-04-19,19345810000
2007-04-20,19572100000
2007-04-23,19572100000
2007-04-24,19584010000
2007-04-25,19707080000
2007-04-26,19655470000
2007-04-27,19774570000
2007-04-30,19711050000
2007-05-01,19881760000
2007-05-02,19734870000
2007-05-03,19691200000
2007-05-04,19822210000
2007-05-07,19869850000
2007-05-08,19965130000
2007-05-09,20155690000
2007-05-10,19834120000
2007-05-11,19770600000
2007-05-14,19853970000
2007-05-15,19730900000
2007-05-16,19961160000
2007-05-17,19850000000
2007-05-18,19984980000
2007-05-21,19965130000
2007-05-22,19973070000
2007-05-23,19790450000
2007-05-24,19873820000
2007-05-25,19925430000
2007-05-29,20032620000
2007-05-30,20096140000
2007-05-31,20108050000
2007-06-01,20235090000
2007-06-04,20131870000
2007-06-05,19746780000
2007-06-06,19703110000
2007-06-07,19314050000
2007-06-08,19389480000
2007-06-11,19540340000
2007-06-12,19238620000
2007-06-13,19429180000
2007-06-14,19409330000
2007-06-15,19433150000
2007-06-18,19341840000
2007-06-19,19341840000
2007-06-20,19222740000
2007-06-21,19306110000
2007-06-22,19131430000
2007-06-25,19333900000
2007-06-26,19246560000
2007-06-27,19147310000
2007-06-28,19198920000
2007-06-29,19294200000
2007-07-02,19185150000
2007-07-03,19086400000
2007-07-05,19252300000
2007-07-06,19157500000
2007-07-09,19149600000
2007-07-10,19027150000
2007-07-11,19086400000
2007-07-12,19366850000
2007-07-13,19358950000
2007-07-16,19260200000
2007-07-17,19039000000
2007-07-18,19181200000
2007-07-19,19343150000
2007-07-20,19185150000
2007-07-23,19351050000
2007-07-24,19189100000
2007-07-25,19244400000
2007-07-26,19240450000
2007-07-27,19256250000
2007-07-30,19307600000
2007-07-31,19200950000
2007-08-01,19347100000
2007-08-02,19331300000
2007-08-03,19489300000
2007-08-06,20299050000
2007-08-07,20212150000
2007-08-08,20532100000
2007-08-09,19923800000
2007-08-10,19761850000
2007-08-13,19730250000
2007-08-14,19746050000
2007-08-15,19753950000
2007-08-16,19983050000
2007-08-17,20089700000
2007-08-20,19963300000
2007-08-21,19860600000
2007-08-22,20014650000
2007-08-23,20077850000
2007-08-24,20235850000
2007-08-27,20409650000
2007-08-28,19979100000
2007-08-29,20192400000
2007-08-30,20216100000
2007-08-31,20358300000
2007-09-04,20520250000
2007-09-05,20243750000
2007-09-06,20413600000
2007-09-07,20235850000
2007-09-10,20330650000
2007-09-11,20626900000
2007-09-12,20619000000
2007-09-13,20559750000
2007-09-14,20812550000
2007-09-17,20812550000
2007-09-18,20907350000
2007-09-19,20812550000
2007-09-20,20879700000
2007-09-21,20753300000
2007-09-24,20654550000
2007-09-25,20358300000
2007-09-26,20559750000
2007-09-27,20690100000
2007-09-28,20757250000
2007-10-01,20628570000
2007-10-02,20483160000
2007-10-03,20160900000
2007-10-04,20278800000
2007-10-05,20329890000
2007-10-08,20282730000
2007-10-09,20412420000
2007-10-10,20318100000
2007-10-11,20046930000
2007-10-12,20278800000
2007-10-15,20062650000
2007-10-16,20113740000
2007-10-17,20090160000
2007-10-18,19921170000
2007-10-19,19728600000
2007-10-22,19850430000
2007-10-23,19999770000
2007-10-24,20039070000
2007-10-25,20015490000
2007-10-26,20074440000
2007-10-29,19583190000
2007-10-30,19162680000
2007-10-31,19465290000
2007-11-01,19335600000
2007-11-02,19390620000
2007-11-05,19205910000
2007-11-06,19264860000
2007-11-07,19111590000
2007-11-08,19394550000
2007-11-09,19319880000
2007-11-12,19213770000
2007-11-13,19429920000
2007-11-14,19323810000
2007-11-15,19276650000
2007-11-16,19461360000
2007-11-19,19339530000
2007-11-20,19606770000
2007-11-21,19500660000
2007-11-23,19528170000
2007-11-26,19343460000
2007-11-27,19575330000
2007-11-28,19976190000
2007-11-29,19980120000
2007-11-30,19929030000
2007-12-03,19846500000
2007-12-04,19728600000
2007-12-05,20050860000
2007-12-06,20153040000
2007-12-07,19995840000
2007-12-10,20121600000
2007-12-11,19944750000
2007-12-12,19799340000
2007-12-13,19909380000
2007-12-14,19771830000
2007-12-17,19587120000
2007-12-18,19594980000
2007-12-19,19539960000
2007-12-20,19477080000
2007-12-21,19744320000
2007-12-24,19767900000
2007-12-26,19716810000
2007-12-27,19473150000
2007-12-28,19516380000
2007-12-31,18991200000
2008-01-02,18678540000
2008-01-03,18740300000
2008-01-04,18531860000
2008-01-07,18929440000
2008-01-08,18906280000
2008-01-09,18805920000
2008-01-10,18979620000
2008-01-11,18431500000
2008-01-14,18180600000
2008-01-15,17976020000
2008-01-16,17964440000
2008-01-17,17860220000
2008-01-18,17590020000
2008-01-22,17204020000
2008-01-23,17315960000
2008-01-24,17304380000
2008-01-25,17238760000
2008-01-28,17941280000
2008-01-29,17972160000
2008-01-30,17786880000
2008-01-31,17312100000
2008-02-01,17756000000
2008-02-04,17767580000
2008-02-05,17439480000
2008-02-06,17779160000
2008-02-07,17976020000
2008-02-08,17813900000
2008-02-11,17960580000
2008-02-12,18307980000
2008-02-13,18528000000
2008-02-14,18423780000
2008-02-15,18736440000
2008-02-19,18778900000
2008-02-20,18578180000
2008-02-21,18470100000
2008-02-22,18485540000
2008-02-25,18558880000
2008-02-26,18724860000
2008-02-27,18724860000
2008-02-28,18651520000
2008-02-29,18369740000
2008-03-03,18365880000
2008-03-04,18261660000
2008-03-05,18311840000
2008-03-06,18053220000
2008-03-07,17910400000
2008-03-10,18022340000
2008-03-11,18416060000
2008-03-12,18493260000
2008-03-13,18223060000
2008-03-14,18068660000
2008-03-17,18022340000
2008-03-18,18524140000
2008-03-19,18551160000
2008-03-20,18697840000
2008-03-24,18636080000
2008-03-25,18790480000
2008-03-26,18713280000
2008-03-27,18805920000
2008-03-28,19006640000
2008-03-31,18692280000
2008-04-01,19238040000
2008-04-02,18877990000
2008-04-03,18847670000
2008-04-04,18900730000
2008-04-07,18870410000
2008-04-08,18836300000
2008-04-09,18787030000
2008-04-10,18699860000
2008-04-11,18476250000
2008-04-14,18605110000
2008-04-15,18889360000
2008-04-16,18927260000
2008-04-17,18828720000
2008-04-18,18726390000
2008-04-21,18480040000
2008-04-22,18294330000
2008-04-23,18480040000
2008-04-24,18423190000
2008-04-25,18267800000
2008-04-28,18195790000
2008-04-29,18483830000
2008-04-30,18195790000
2008-05-01,18646800000
2008-05-02,18635430000
2008-05-05,18552050000
2008-05-06,18453510000
2008-05-07,18290540000
2008-05-08,18275380000
2008-05-09,18089670000
2008-05-12,18260220000
2008-05-13,18298120000
2008-05-14,18320860000
2008-05-15,18324650000
2008-05-16,18309490000
2008-05-19,18237480000
2008-05-20,18192000000
2008-05-21,18101040000
2008-05-22,18051770000
2008-05-23,17979760000
2008-05-27,18199580000
2008-05-28,18066930000
2008-05-29,18252640000
2008-05-30,18423190000
2008-06-02,18271590000
2008-06-03,18089670000
2008-06-04,18264010000
2008-06-05,18279170000
2008-06-06,17797840000
2008-06-09,17896380000
2008-06-10,18495200000
2008-06-11,18377710000
2008-06-12,18404240000
2008-06-13,18491410000
2008-06-16,18309490000
2008-06-17,18021450000
2008-06-18,18180630000
2008-06-19,18275380000
2008-06-20,18135150000
2008-06-23,18082090000
2008-06-24,17873640000
2008-06-25,17714460000
2008-06-26,17255870000
2008-06-27,17055000000
2008-06-30,17122800000
2008-07-01,17130400000
2008-07-02,17278600000
2008-07-03,17400200000
2008-07-07,17544600000
2008-07-08,17890400000
2008-07-09,18008200000
2008-07-10,18129800000
2008-07-11,18137400000
2008-07-14,18023400000
2008-07-15,18152600000
2008-07-16,18680800000
2008-07-17,18555400000
2008-07-18,18399600000
2008-07-21,18319800000
2008-07-22,18646600000
2008-07-23,19095000000
2008-07-24,18840400000
2008-07-25,18639000000
2008-07-28,18844200000
2008-07-29,19057000000
2008-07-30,19307800000
2008-07-31,18920200000
2008-08-01,18703600000
2008-08-04,19228000000
2008-08-05,19383800000
2008-08-06,19532000000
2008-08-07,19098800000
2008-08-08,19862600000
2008-08-11,19862600000
2008-08-12,19771400000
2008-08-13,19516800000
2008-08-14,19471200000
2008-08-15,19790400000
2008-08-18,19501600000
2008-08-19,19216600000
2008-08-20,19402800000
2008-08-21,19319200000
2008-08-22,19395200000
2008-08-25,19224200000
2008-08-26,19038000000
2008-08-27,19368600000
2008-08-28,19562400000
2008-08-29,19410400000
2008-09-02,19744800000
2008-09-03,19421800000
2008-09-04,19353400000
2008-09-05,19615600000
2008-09-08,20045000000
2008-09-09,19855000000
2008-09-10,19763800000
2008-09-11,19919600000
2008-09-12,20041200000
2008-09-15,19855000000
2008-09-16,20010800000
2008-09-17,20113400000
2008-09-18,20303400000
2008-09-19,20208400000
2008-09-22,19741000000
2008-09-23,19779000000
2008-09-24,19870200000
2008-09-25,20143800000
2008-09-26,20463000000
2008-09-29,19791420000
2008-09-30,20108480000
2008-10-01,20261280000
2008-10-02,20437000000
2008-10-03,20505760000
2008-10-06,20074100000
2008-10-07,19948040000
2008-10-08,18855520000
2008-10-09,17426840000
2008-10-10,17381000000
2008-10-13,18737100000
2008-10-14,18187020000
2008-10-15,17316060000
2008-10-16,18106800000
2008-10-17,18087700000
2008-10-20,18225220000
2008-10-21,18030400000
2008-10-22,17652220000
2008-10-23,17885240000
2008-10-24,17285500000
2008-10-27,17063940000
2008-10-28,18164100000
2008-10-29,17931080000
2008-10-30,17919620000
2008-10-31,18072420000
2008-11-03,18748560000
2008-11-04,18802040000
2008-11-05,18041860000
2008-11-06,17350440000
2008-11-07,17755360000
2008-11-10,17919620000
2008-11-11,17457400000
2008-11-12,16888220000
2008-11-13,17575820000
2008-11-14,16823280000
2008-11-17,16601720000
2008-11-18,16884400000
2008-11-19,15814800000
2008-11-20,14584760000
2008-11-21,15421339999
2008-11-24,15524480000
2008-11-25,15207420000
2008-11-26,15490099999
2008-11-28,15566500000
2008-12-01,14664980000
2008-12-02,14844520000
2008-12-03,15024060000
2008-12-04,14653520000
2008-12-05,15314380000
2008-12-08,15360220000
2008-12-09,15092820000
2008-12-10,15054619999
2008-12-11,14909460000
2008-12-12,15245619999
2008-12-15,15108099999
2008-12-16,15746040000
2008-12-17,15329660000
2008-12-18,15272359999
2008-12-19,15280000000
2008-12-22,15138660000
2008-12-23,14848339999
2008-12-24,14932380000
2008-12-26,15161580000
2008-12-29,15081359999
2008-12-30,15482460000
2008-12-31,15719300000
2009-01-02,16147140000
2009-01-05,16055460000
2009-01-06,16005800000
2009-01-07,15940859999
2009-01-08,15902660000
2009-01-09,15604700000
2009-01-12,15662000000
2009-01-13,15734580000
2009-01-14,15287640000
2009-01-15,15322020000
2009-01-16,15998160000
2009-01-20,16013440000
2009-01-21,16170060000
2009-01-22,16101300000
2009-01-23,15853000000
2009-01-26,16024900000
2009-01-27,16215900000
2009-01-28,16196800000
2009-01-29,16173880000
2009-01-30,15662000000
2009-02-02,15826260000
2009-02-03,16105119999
2009-02-04,15589420000
2009-02-05,15658180000
2009-02-06,15619980000
2009-02-09,15493920000
2009-02-10,14791040000
2009-02-11,14863619999
2009-02-12,14806320000
2009-02-13,14833060000
2009-02-17,14393760000
2009-02-18,14454880000
2009-02-19,14642060000
2009-02-20,14397580000
2009-02-23,14004119999
2009-02-24,14218040000
2009-02-25,14057599999
2009-02-26,13874240000
2009-02-27,13950640000
2009-03-02,13606839999
2009-03-03,13629760000
2009-03-04,13645040000
2009-03-05,13163720000
2009-03-06,13320339999
2009-03-09,12903960000
2009-03-10,12965080000
2009-03-11,12846660000
2009-03-12,13148440000
2009-03-13,13259220000
2009-03-16,13583920000
2009-03-17,13572460000
2009-03-18,13266859999
2009-03-19,13144619999
2009-03-20,13056760000
2009-03-23,13515160000
2009-03-24,13324160000
2009-03-25,13434940000
2009-03-26,13484599999
2009-03-27,13221020000
2009-03-30,13075859999
2009-03-31,13129339999
2009-04-01,13473140000
2009-04-02,13679420000
2009-04-03,13625940000
2009-04-06,13849279999
2009-04-07,13998649999
2009-04-08,14094399999
2009-04-09,14213130000
2009-04-13,14102060000
