,CTLT
2017-10-10,5613223489
2017-10-11,5685034450
2017-10-12,5619872652
2017-10-13,5518805373
2017-10-16,5582637338
2017-10-17,5525454536
2017-10-18,5606574325
2017-10-19,5674395789
2017-10-20,5712960935
2017-10-23,5683704617
2017-10-24,5710301270
2017-10-25,5711631102
2017-10-26,5662427295
2017-10-27,5720939931
2017-10-30,5575988175
2017-10-31,5663757128
2017-11-01,5585297004
2017-11-02,5530773866
2017-11-03,5678385287
2017-11-06,5323319977
2017-11-07,5336618304
2017-11-08,5311351484
2017-11-09,5069321947
2017-11-10,5053363956
2017-11-13,5053363956
2017-11-14,4956286174
2017-11-15,4969584500
2017-11-16,5121185419
2017-11-17,5079960608
2017-11-20,5119855587
2017-11-21,5174378724
2017-11-22,5175708557
2017-11-24,5251509016
2017-11-27,5234221192
2017-11-28,5373853617
2017-11-29,5240870355
2017-11-30,5291403994
2017-12-01,5159750565
2017-12-04,5037405964
2017-12-05,5060013119
2017-12-06,5216933368
2017-12-07,5231561527
2017-12-08,5282095166
2017-12-11,5284754831
2017-12-12,5258158179
2017-12-13,5321990145
2017-12-14,5327309475
2017-12-15,5468271733
2017-12-18,5482899892
2017-12-19,5578647840
2017-12-20,5577318008
2017-12-21,5542742360
2017-12-22,5513486042
2017-12-26,5520135205
2017-12-27,5520135205
2017-12-28,5506836879
2017-12-29,5462952402
2018-01-02,5596519465
2018-01-03,5637787805
2018-01-04,5561907308
2018-01-05,5545932467
2018-01-08,5524632678
2018-01-09,5595188228
2018-01-10,5652431410
2018-01-11,5644443989
2018-01-12,5724318197
2018-01-16,5676393672
2018-01-17,5730974380
2018-01-18,5647106463
2018-01-19,5716330776
2018-01-22,5817504772
2018-01-23,5958615872
2018-01-24,6143657785
2018-01-25,6275450228
2018-01-26,6304737437
2018-01-29,6308731147
2018-01-30,6278112701
2018-01-31,6195576020
2018-02-01,6264800333
2018-02-02,6203563441
2018-02-05,5790880036
2018-02-06,5559244835
2018-02-07,5488689285
2018-02-08,5402158893
2018-02-09,5387515289
2018-02-12,5407483840
2018-02-13,5432777339
2018-02-14,5535282572
2018-02-15,5707012118
2018-02-16,5773573958
2018-02-20,5655093883
2018-02-21,5699024697
2018-02-22,5647106463
2018-02-23,5703018408
2018-02-26,5713668302
2018-02-27,5680387382
2018-02-28,5557913598
2018-03-01,5410146314
2018-03-02,5426121156
2018-03-05,5399496420
2018-03-06,5509989073
2018-03-07,5451414655
2018-03-08,5597850701
2018-03-09,5714999539
2018-03-12,5789548799
2018-03-13,5655093883
2018-03-14,5665743778
2018-03-15,5616488017
2018-03-16,5541938756
2018-03-19,5431446103
