,ALK
2003-03-20,435678980
2003-03-21,476083620
2003-03-24,444982679
2003-03-25,453223100
2003-03-26,447109240
2003-03-27,435944799
2003-03-28,424780360
2003-03-31,416837880
2003-04-01,420032040
2003-04-02,445052959
2003-04-03,437599920
2003-04-04,443455880
2003-04-07,449045660
2003-04-08,428283620
2003-04-09,431477780
2003-04-10,424290920
2003-04-11,419233500
2003-04-14,425621820
2003-04-15,435204300
2003-04-16,420830580
2003-04-17,433873400
2003-04-21,430146880
2003-04-22,438930819
2003-04-23,461023760
2003-04-24,469541520
2003-04-25,455700160
2003-04-28,472469500
2003-04-29,469275340
2003-04-30,474598939
2003-05-01,471404780
2003-05-02,526237860
2003-05-05,525705500
2003-05-06,525971680
2003-05-07,507072900
2003-05-08,507339079
2003-05-09,513461220
2003-05-12,519583360
2003-05-13,523043699
2003-05-14,508403800
2003-05-15,508403800
2003-05-16,496958060
2003-05-19,483116699
2003-05-20,477793100
2003-05-21,465815000
2003-05-22,480721079
2003-05-23,484979959
2003-05-27,511065600
2003-05-28,493231540
2003-05-29,491368280
2003-05-30,506008180
2003-06-02,524108420
2003-06-03,505742000
2003-06-04,524374600
2003-06-05,529698199
2003-06-06,536618880
2003-06-09,521446620
2003-06-10,529432020
2003-06-11,530762920
2003-06-12,536086520
2003-06-13,527302579
2003-06-16,546999900
2003-06-17,553654400
2003-06-18,565632500
2003-06-19,543805740
2003-06-20,553654400
2003-06-23,539813040
2003-06-24,539280680
2003-06-25,544870460
2003-06-26,568826660
2003-06-27,564833960
2003-06-30,571857000
2003-07-01,576922400
2003-07-02,585986800
2003-07-03,573989800
2003-07-07,596650800
2003-07-08,585453600
2003-07-09,607581400
2003-07-10,573456600
2003-07-11,578788600
2003-07-14,601183000
2003-07-15,598783600
2003-07-16,608914400
2003-07-17,592118600
2003-07-18,597983800
2003-07-21,606781600
2003-07-22,644105600
2003-07-23,638240400
2003-07-24,640373200
2003-07-25,642239400
2003-07-28,661967800
2003-07-29,647038200
2003-07-30,640373200
2003-07-31,652103600
2003-08-01,631575400
2003-08-04,615046200
2003-08-05,597450600
2003-08-06,590785600
2003-08-07,596384200
2003-08-08,627576400
2003-08-11,644638800
2003-08-12,649970800
2003-08-13,644372200
2003-08-14,655836000
2003-08-15,657968800
2003-08-18,672631800
2003-08-19,679030200
2003-08-20,682496000
2003-08-21,692093600
2003-08-22,691027200
2003-08-25,714488000
2003-08-26,709955800
2003-08-27,714488000
2003-08-28,720886400
2003-08-29,735549400
2003-09-02,749412600
2003-09-03,771807000
2003-09-04,773406600
2003-09-05,779805000
2003-09-08,783004200
2003-09-09,762742600
2003-09-10,753678200
2003-09-11,753944800
2003-09-12,765408600
2003-09-15,771807000
2003-09-16,767008200
2003-09-17,763542400
2003-09-18,775539400
2003-09-19,775806000
2003-09-22,771007200
2003-09-23,778472000
2003-09-24,770474000
2003-09-25,751812000
2003-09-26,736882400
2003-09-29,750745600
2003-09-30,743600780
2003-10-01,768726040
2003-10-02,768191460
2003-10-03,794385880
2003-10-06,808552250
2003-10-07,813630760
2003-10-08,816036370
2003-10-09,844636400
2003-10-10,822451330
2003-10-13,846507430
2003-10-14,835281250
2003-10-15,828331710
2003-10-16,825658810
2003-10-17,804008320
2003-10-20,825926100
2003-10-21,825926100
2003-10-22,768458750
2003-10-23,739056850
2003-10-24,728365250
2003-10-27,756430700
2003-10-28,776744740
2003-10-29,784496150
2003-10-30,785565310
2003-10-31,769527910
2003-11-03,763112950
2003-11-04,752421350
2003-11-05,752688640
2003-11-06,763914820
2003-11-07,760172760
2003-11-10,745204520
2003-11-11,740660590
2003-11-12,750817610
2003-11-13,743066200
