,AIG
2001-10-24,193924477500
2001-10-25,194132370000
2001-10-26,193924477500
2001-10-29,187444507500
2001-10-30,188463050000
2001-10-31,181891555000
2001-11-01,185940882500
2001-11-02,188833072500
2001-11-05,189758782500
2001-11-06,191726570000
2001-11-07,187375210000
2001-11-08,187143782500
2001-11-09,184413722500
2001-11-12,184668685000
2001-11-13,187213080000
2001-11-14,188000195000
2001-11-15,189643722500
2001-11-16,187723005000
2001-11-19,188138790000
2001-11-20,187329447500
2001-11-21,185362967500
2001-11-23,187213080000
2001-11-26,187329447500
2001-11-27,191054515000
2001-11-28,191610202500
2001-11-29,192420852500
2001-11-30,190684492500
2001-12-03,189180867500
2001-12-04,189758782500
2001-12-05,191679500000
2001-12-06,188208087500
2001-12-07,189527355000
2001-12-10,184205830000
2001-12-11,184437257500
2001-12-12,186055942500
2001-12-13,184228057500
2001-12-14,185616622500
2001-12-17,187329447500
2001-12-18,188370217500
2001-12-19,188601645000
2001-12-20,186635165000
2001-12-21,185131540000
2001-12-24,183974402500
2001-12-26,183974402500
2001-12-27,184922340000
2001-12-28,185640157500
2001-12-31,183742975000
2002-01-02,182238042500
2002-01-03,181844485000
2002-01-04,180040135000
2002-01-07,177725860000
2002-01-08,176337295000
2002-01-09,179808707500
2002-01-10,180271562500
2002-01-11,180618050000
2002-01-14,179391615000
2002-01-15,182330875000
2002-01-16,182168745000
2002-01-17,184228057500
2002-01-18,183974402500
2002-01-22,182932325000
2002-01-23,178651570000
2002-01-24,179067355000
2002-01-25,180525217500
2002-01-28,177425135000
2002-01-29,168561592500
2002-01-30,164975120000
2002-01-31,171593685000
2002-02-01,169510837500
2002-02-04,163517257500
2002-02-05,162336585000
2002-02-06,163725150000
2002-02-07,164558027500
2002-02-08,171245890000
2002-02-11,171615912500
2002-02-12,171176592500
2002-02-13,178373072500
2002-02-14,178582272500
2002-02-15,171825112500
2002-02-19,168353700000
2002-02-20,170598677500
2002-02-21,164395897500
2002-02-22,162753677500
2002-02-25,165460202500
2002-02-26,167774477500
2002-02-27,170620905000
2002-02-28,171176592500
2002-03-01,170620905000
2002-03-04,174671540000
2002-03-05,175041562500
2002-03-06,176220927500
2002-03-07,172982250000
2002-03-08,172773050000
2002-03-11,169880860000
2002-03-12,171061532500
2002-03-13,171061532500
2002-03-14,173004477500
2002-03-15,174485875000
2002-03-18,171825112500
2002-03-19,171130830000
2002-03-20,168955150000
2002-03-21,167543050000
2002-03-22,167173027500
2002-03-25,163586555000
2002-03-26,165669402500
2002-03-27,167289395000
2002-03-28,166941600000
2002-04-01,163946152500
2002-04-02,167045170500
2002-04-03,165912435000
2002-04-04,169149942000
2002-04-05,171577419000
2002-04-08,172016403000
2002-04-09,174028413000
2002-04-10,173172655500
2002-04-11,168339912000
2002-04-12,170537445000
2002-04-15,167068687500
2002-04-16,167900928000
2002-04-17,168756685500
2002-04-18,166489908000
2002-04-19,163692691500
2002-04-22,161194663500
2002-04-23,157518172500
2002-04-24,158027707500
2002-04-25,158027707500
2002-04-26,158882158500
2002-04-29,157865701500
2002-04-30,159830677500
2002-05-01,163275918000
2002-05-02,165357172500
2002-05-03,163299435000
2002-05-06,160824924000
2002-05-07,156431164500
2002-05-08,161749926000
2002-05-09,159761433000
2002-05-10,157934946000
2002-05-13,158073435000
2002-05-14,157403200500
2002-05-15,152384934000
2002-05-16,158882158500
2002-05-17,160986930000
2002-05-20,157124916000
2002-05-21,154766683500
2002-05-22,157263405000
2002-05-23,157934946000
2002-05-24,156778693500
2002-05-28,155043661500
2002-05-29,155112906000
2002-05-30,155159940000
2002-05-31,154859445000
2002-06-03,149263705500
2002-06-04,149147427000
2002-06-05,150465685500
2002-06-06,147991174500
2002-06-07,150303679500
2002-06-10,149378677500
2002-06-11,145678669500
2002-06-12,148453675500
2002-06-13,145308930000
2002-06-14,149054665500
2002-06-17,159091198500
2002-06-18,159229687500
2002-06-19,158119162500
2002-06-20,157263405000
2002-06-21,154928689500
2002-06-24,156917182500
2002-06-25,155529679500
2002-06-26,153171447000
2002-06-27,154697439000
2002-06-28,157772940000
2002-07-01,155027475000
2002-07-02,151100730000
2002-07-03,151240365000
2002-07-05,156460365000
2002-07-08,156367710000
2002-07-09,151402185000
2002-07-10,144125505000
2002-07-11,146689830000
2002-07-12,146666340000
2002-07-15,146273535000
2002-07-16,141515505000
2002-07-17,140662035000
2002-07-18,132184755000
2002-07-19,131215140000
2002-07-22,129690900000
2002-07-23,118026810000
2002-07-24,123292485000
2002-07-25,122668695000
2002-07-26,131237325000
2002-07-29,143572185000
2002-07-30,143687025000
2002-07-31,147637260000
2002-08-01,145142100000
2002-08-02,139159980000
2002-08-05,133132185000
2002-08-06,140083920000
2002-08-07,143386875000
2002-08-08,151309530000
2002-08-09,154634670000
2002-08-12,151309530000
2002-08-13,143918010000
2002-08-14,147475440000
2002-08-15,150131115000
2002-08-16,150131115000
2002-08-19,156853170000
2002-08-20,155074455000
2002-08-21,153410580000
2002-08-22,155905740000
2002-08-23,151402185000
2002-08-26,152741115000
2002-08-27,149138010000
2002-08-28,143386875000
2002-08-29,144356490000
2002-08-30,145049445000
2002-09-03,137704905000
2002-09-04,139159980000
2002-09-05,134702100000
2002-09-06,137312100000
2002-09-09,141007860000
2002-09-10,140893020000
2002-09-11,140984370000
2002-09-12,136711799999
2002-09-13,135349380000
2002-09-16,135811350000
2002-09-17,134217945000
2002-09-18,135673020000
2002-09-19,132808545000
2002-09-20,130152870000
2002-09-23,127612035000
2002-09-24,124701885000
2002-09-25,128327175000
2002-09-26,133963470000
2002-09-27,127565055000
2002-09-30,126340965000
2002-10-01,134587259999
2002-10-02,129829230000
2002-10-03,126156960000
2002-10-04,121721265000
2002-10-07,121144455000
2002-10-08,126919080000
2002-10-09,121468095000
2002-10-10,128766960000
2002-10-11,137959380000
2002-10-14,134656424999
2002-10-15,147821265000
2002-10-16,144172485000
2002-10-17,149807475000
2002-10-18,147151800000
2002-10-21,147706425000
2002-10-22,147359295000
2002-10-23,145627560000
2002-10-24,148190580000
2002-10-25,151078545000
2002-10-28,148606875000
2002-10-29,148814370000
2002-10-30,147451950000
2002-10-31,144472635000
2002-11-01,142855740000
2002-11-04,147220965000
2002-11-05,150847560000
2002-11-06,152117325000
2002-11-07,148099230000
2002-11-08,148907025000
2002-11-11,147382785000
2002-11-12,147913920000
2002-11-13,147059145000
2002-11-14,151864155000
2002-11-15,156806190000
2002-11-18,153595890000
2002-11-19,153757710000
2002-11-20,155698245000
2002-11-21,154543320000
2002-11-22,151286040000
2002-11-25,150362100000
2002-11-26,144010665000
2002-11-27,149368995000
2002-11-29,150478245000
2002-12-02,148144905000
2002-12-03,145118610000
2002-12-04,144610965000
2002-12-05,141238845000
2002-12-06,139714605000
2002-12-09,137590065000
2002-12-10,140314905000
2002-12-11,142324605000
2002-12-12,138790665000
2002-12-13,136273320000
2002-12-16,141585975000
2002-12-17,139898610000
2002-12-18,136365975000
2002-12-19,134170965000
2002-12-20,136435140000
2002-12-23,137219445000
2002-12-24,136942784999
2002-12-26,134656424999
2002-12-27,130914990000
2002-12-30,132601050000
2002-12-31,133616340000
2003-01-02,139276125000
2003-01-03,138859830000
2003-01-06,143525205000
2003-01-07,140731200000
2003-01-08,138975975000
2003-01-09,144125505000
2003-01-10,142763085000
2003-01-13,145096425000
2003-01-14,146666340000
2003-01-15,145489230000
2003-01-16,144911115000
2003-01-17,143017560000
2003-01-21,141815655000
2003-01-22,139507110000
2003-01-23,140731200000
2003-01-24,129436425000
2003-01-27,127542870000
2003-01-28,129343770000
2003-01-29,128004840000
2003-01-30,122992335000
2003-01-31,125002035000
2003-02-03,127796040000
2003-02-04,119412720000
2003-02-05,117379530000
2003-02-06,111328245000
2003-02-07,107863470000
2003-02-10,108556425000
2003-02-11,109573020000
2003-02-12,107401500000
2003-02-13,110797110000
2003-02-14,114076575000
2003-02-18,117610515000
2003-02-19,115900965000
2003-02-20,114931350000
2003-02-21,117356040000
2003-02-24,114676875000
2003-02-25,116224605000
2003-02-26,114238395000
2003-02-27,116548245000
2003-02-28,113845590000
2003-03-03,111674070000
2003-03-04,109849680000
2003-03-05,113106960000
2003-03-06,110218995000
2003-03-07,110589615000
2003-03-10,104698845000
2003-03-11,102712635000
2003-03-12,103243770000
2003-03-13,110173320000
2003-03-14,113083470000
2003-03-17,118858095000
2003-03-18,117748845000
2003-03-19,119804220000
2003-03-20,120335355000
2003-03-21,125833320000
2003-03-24,120035205000
2003-03-25,119782035000
2003-03-26,118858095000
2003-03-27,116409915000
2003-03-28,115138845000
2003-03-31,114214905000
2003-04-01,116871885000
2003-04-02,122461200000
2003-04-03,121259295000
2003-04-04,123939765000
2003-04-07,124932870000
2003-04-08,123916275000
2003-04-09,122623020000
2003-04-10,122737860000
2003-04-11,122483385000
2003-04-14,124054605000
2003-04-15,124678395000
2003-04-16,122114070000
2003-04-17,123892785000
2003-04-21,125878995000
2003-04-22,131446125000
2003-04-23,134587259999
2003-04-24,127888695000
2003-04-25,126457110000
2003-04-28,131006340000
2003-04-29,130660515000
2003-04-30,133847325000
2003-05-01,132323085000
2003-05-02,133408845000
2003-05-05,132992550000
2003-05-06,132808545000
2003-05-07,130614840000
2003-05-08,128096190000
2003-05-09,129921885000
2003-05-12,130152870000
2003-05-13,128466810000
2003-05-14,130406040000
2003-05-15,132370065000
2003-05-16,133847325000
2003-05-19,129020130000
2003-05-20,128004840000
2003-05-21,128027025000
2003-05-22,128881800000
2003-05-23,127010430000
2003-05-27,130522185000
2003-05-28,131006340000
2003-05-29,129921885000
2003-05-30,133685505000
2003-06-02,135118395000
2003-06-03,133732485000
2003-06-04,135626040000
2003-06-05,136111500000
2003-06-06,134587259999
2003-06-09,132577560000
2003-06-10,133801650000
2003-06-11,137011950000
2003-06-12,134656424999
2003-06-13,134425439999
2003-06-16,139045140000
2003-06-17,138514005000
2003-06-18,137173770000
2003-06-19,133732485000
2003-06-20,133501500000
2003-06-23,132161265000
2003-06-24,131399145000
2003-06-25,128535975000
2003-06-26,129805740000
2003-06-27,128627325000
2003-06-30,127450215000
2003-07-01,128281500000
2003-07-02,131653620000
2003-07-03,130453020000
2003-07-07,133501500000
2003-07-08,133963470000
2003-07-09,131677110000
2003-07-10,128997945000
2003-07-11,132022935000
2003-07-14,134980064999
2003-07-15,136966275000
2003-07-16,138121200000
2003-07-17,138121200000
2003-07-18,138628845000
2003-07-21,138583170000
2003-07-22,139922100000
2003-07-23,139159980000
2003-07-24,143663535000
2003-07-25,149323320000
2003-07-28,149438160000
2003-07-29,146158695000
2003-07-30,146828160000
2003-07-31,148283235000
2003-08-01,145189080000
2003-08-04,143710515000
2003-08-05,142046640000
2003-08-06,143410365000
2003-08-07,143201565000
2003-08-08,143663535000
2003-08-11,144379980000
2003-08-12,145973385000
2003-08-13,142924905000
2003-08-14,144911115000
2003-08-15,144125505000
2003-08-18,144703620000
2003-08-19,145511415000
2003-08-20,142417260000
2003-08-21,140153085000
2003-08-22,137635740000
2003-08-25,137590065000
2003-08-26,139437945000
2003-08-27,137312100000
2003-08-28,137335590000
2003-08-29,137590065000
2003-09-02,136295505000
2003-09-03,138814155000
2003-09-04,137890215000
2003-09-05,136157174999
2003-09-08,137612250000
2003-09-09,139298310000
2003-09-10,139922100000
2003-09-11,138928995000
2003-09-12,138698010000
2003-09-15,135926189999
2003-09-16,139045140000
2003-09-17,137935890000
2003-09-18,140222250000
2003-09-19,139390965000
2003-09-22,137774070000
2003-09-23,138074220000
2003-09-24,133963470000
2003-09-25,133963470000
2003-09-26,132808545000
2003-09-29,134448930000
2003-09-30,133270515000
2003-10-01,138352185000
2003-10-02,139437945000
2003-10-03,139852935000
2003-10-06,140476725000
2003-10-07,141077025000
2003-10-08,140615055000
2003-10-09,140569380000
2003-10-10,139252635000
2003-10-13,141908310000
2003-10-14,144356490000
2003-10-15,144334305000
2003-10-16,143663535000
2003-10-17,141077025000
2003-10-20,143086725000
2003-10-21,141515505000
2003-10-22,139159980000
2003-10-23,139876425000
2003-10-24,138998160000
2003-10-27,138536190000
2003-10-28,139414455000
2003-10-29,140662035000
2003-10-30,139969080000
2003-10-31,140500215000
2003-11-03,142739595000
2003-11-04,141424155000
2003-11-05,138652335000
2003-11-06,138283020000
2003-11-07,134609445000
2003-11-10,137150280000
2003-11-11,137590065000
2003-11-12,137612250000
2003-11-13,136666125000
2003-11-14,134679915000
2003-11-17,134632935000
2003-11-18,133616340000
2003-11-19,134170965000
2003-11-20,131098995000
2003-11-21,130706190000
2003-11-24,132577560000
2003-11-25,132069915000
2003-11-26,135002250000
2003-11-28,133847325000
2003-12-01,136642634999
2003-12-02,134679915000
2003-12-03,134056125000
2003-12-04,136088009999
2003-12-05,135418545000
2003-12-08,136388159999
2003-12-09,138374370000
2003-12-10,137843235000
2003-12-11,140522400000
2003-12-12,143479530000
2003-12-15,145280430000
