,EBAY
2002-07-03,7022802960
2002-07-05,7192163160
2002-07-08,6684082560
2002-07-09,6774408000
2002-07-10,6988930920
2002-07-11,7169581800
2002-07-12,7248616560
2002-07-15,7226035200
2002-07-16,7214744520
2002-07-17,7316360640
2002-07-18,7180872480
2002-07-19,7079256359
2002-07-22,6661501200
2002-07-23,6311490120
2002-07-24,6627629160
2002-07-25,6334071480
2002-07-26,6526013040
2002-07-29,6864733440
2002-07-30,6921186840
2002-07-31,6785698680
2002-08-01,6559885080
2002-08-02,6526013040
2002-08-05,6334071480
2002-08-06,6571175760
2002-08-07,6593757120
2002-08-08,6774408000
2002-08-09,6796989359
2002-08-12,6887314800
2002-08-13,6661501200
2002-08-14,6830861400
2002-08-15,6977640240
2002-08-16,7000221600
2002-08-19,7350232680
2002-08-20,7180872480
2002-08-21,7180872480
2002-08-22,7293779280
2002-08-23,7147000440
2002-08-26,7034093640
2002-08-27,6796989359
2002-08-28,6582466440
2002-08-29,6774408000
2002-08-30,6717954600
2002-09-03,6469559640
2002-09-04,6605047800
2002-09-05,6492141000
2002-09-06,6706663920
2002-09-09,7011512280
2002-09-10,7113128400
2002-09-11,6943768200
2002-09-12,6876024120
2002-09-13,6887314800
2002-09-16,6876024120
2002-09-17,6796989359
2002-09-18,6909896160
2002-09-19,6785698680
2002-09-20,6763117320
2002-09-23,6650210520
2002-09-24,6627629160
2002-09-25,6729245280
2002-09-26,6729245280
2002-09-27,6830861400
2002-09-30,6922800479
2002-10-01,7009958040
2002-10-02,6985055880
2002-10-03,6798289680
2002-10-04,6860545080
2002-10-07,6636425640
2002-10-08,6860545080
2002-10-09,6947702640
2002-10-10,6985055880
2002-10-11,7371039360
2002-10-14,7532903400
2002-10-15,7595158800
2002-10-16,7595158800
2002-10-17,7620060960
2002-10-18,7856631479
2002-10-21,8255066040
2002-10-22,8143006320
2002-10-23,8329772520
2002-10-24,8130555240
2002-10-25,8118104159
2002-10-28,7943789040
2002-10-29,8018495520
2002-10-30,8192810640
2002-10-31,8279968200
2002-11-01,8491636560
2002-11-04,8504087640
2002-11-05,8665951680
2002-11-06,8641049520
2002-11-07,8342223600
2002-11-08,8367125760
2002-11-11,8105653080
2002-11-12,8230163880
2002-11-13,8267517120
2002-11-14,8541440880
2002-11-15,8641049520
2002-11-18,8865168960
2002-11-19,8528989800
2002-11-20,8827815720
2002-11-21,9064386240
2002-11-22,9176445960
2002-11-25,9039484080
2002-11-26,8852717880
2002-11-27,9126641640
2002-11-29,9027033000
2002-12-02,9263603520
2002-12-03,9027033000
2002-12-04,8939875440
2002-12-05,8890071120
2002-12-06,8977228680
2002-12-09,8840266800
2002-12-10,8939875440
2002-12-11,8852717880
2002-12-12,9002130840
2002-12-13,8827815720
2002-12-16,9076837320
2002-12-17,9176445960
2002-12-18,9089288400
2002-12-19,9002130840
2002-12-20,9151543800
2002-12-23,9188897040
2002-12-24,9126641640
2002-12-26,8852717880
2002-12-27,8778011400
2002-12-30,8877620040
2002-12-31,8958072480
2003-01-02,9158813600
2003-01-03,9234091520
2003-01-06,9635573760
2003-01-07,9585388480
2003-01-08,9485017920
2003-01-09,9710851680
2003-01-10,9685759040
2003-01-13,9761036960
2003-01-14,9798675920
2003-01-15,9698305360
2003-01-16,9409740000
2003-01-17,9886500160
2003-01-21,9999417040
2003-01-22,9936685440
2003-01-23,9999417040
2003-01-24,9936685440
2003-01-27,9723398000
2003-01-28,9698305360
2003-01-29,9886500160
2003-01-30,9798675920
2003-01-31,9924139120
2003-02-03,9773583280
2003-02-04,9648120080
2003-02-05,9710851680
2003-02-06,9660666400
2003-02-07,9547749520
2003-02-10,9710851680
2003-02-11,9685759040
2003-02-12,9685759040
2003-02-13,9673212720
2003-02-14,9899046480
2003-02-18,10099787600
2003-02-19,10162519200
2003-02-20,10137426560
2003-02-21,10338167680
2003-02-24,10262889760
2003-02-25,10250343440
2003-02-26,10124880240
2003-02-27,10225250800
2003-02-28,10350714000
2003-03-03,10237797120
2003-03-04,10313075040
2003-03-05,10413445600
2003-03-06,10413445600
2003-03-07,10551455120
2003-03-10,10488723520
2003-03-11,10413445600
2003-03-12,10438538240
2003-03-13,10940391040
2003-03-14,11078400560
2003-03-17,11479882800
2003-03-18,11630438640
2003-03-19,11605346000
2003-03-20,11768448160
2003-03-21,11856272400
2003-03-24,11555160720
2003-03-25,11705716560
2003-03-26,11893911360
2003-03-27,11856272400
2003-03-28,11793540800
2003-03-31,22869545600
2003-04-01,23073283200
2003-04-02,23811832000
2003-04-03,23888233600
2003-04-04,23786364800
2003-04-07,23888233600
2003-04-08,23913700800
2003-04-09,23302488000
2003-04-10,23760897600
2003-04-11,23659028799
2003-04-14,23506225600
2003-04-15,23633561600
2003-04-16,23684496000
2003-04-17,24168372800
2003-04-21,24321176000
2003-04-22,23913700800
2003-04-23,25263462400
2003-04-24,25365331200
2003-04-25,25034257600
2003-04-28,25085192000
2003-04-29,24830520000
2003-04-30,24906921600
2003-05-01,24830520000
2003-05-02,25518134400
2003-05-05,25187060800
2003-05-06,25543601600
2003-05-07,25263462400
2003-05-08,24983323200
2003-05-09,25365331200
2003-05-12,25390798400
2003-05-13,26129347200
2003-05-14,26154814400
2003-05-15,26282150400
2003-05-16,26587756800
2003-05-19,25874675200
2003-05-20,26205748799
2003-05-21,26002011200
2003-05-22,26613224000
2003-05-23,26638691200
2003-05-27,27606444800
2003-05-28,27122568000
2003-05-29,26842428799
2003-05-30,27249904000
2003-06-02,26638691200
2003-06-03,26536822400
2003-06-04,27504576000
2003-06-05,27097100800
2003-06-06,25976544000
2003-06-09,26002011200
2003-06-10,26002011200
2003-06-11,26562289600
2003-06-12,27020699200
2003-06-13,26587756800
2003-06-16,27249904000
2003-06-17,27275371200
2003-06-18,27555510400
2003-06-19,27300838400
2003-06-20,27300838400
2003-06-23,27402707200
2003-06-24,27300838400
2003-06-25,27020699200
2003-06-26,27631912000
2003-06-27,27428174400
2003-06-30,14062910520
2003-07-01,14422838760
2003-07-02,14782767000
2003-07-03,14898458220
2003-07-07,15412641420
2003-07-08,15386932260
2003-07-09,15528332640
2003-07-10,15155549819
2003-07-11,15296950200
2003-07-14,15412641420
2003-07-15,15296950200
2003-07-16,15245531880
2003-07-17,14911312800
2003-07-18,14898458220
2003-07-21,15027004020
2003-07-22,15039858600
2003-07-23,15438350580
2003-07-24,15656878440
2003-07-25,15181258980
2003-07-28,15001294860
2003-07-29,14628512040
2003-07-30,14628512040
2003-07-31,14512820819
2003-08-01,14242874640
2003-08-04,13985783040
2003-08-05,13831528080
2003-08-06,13728691440
2003-08-07,13728691440
2003-08-08,13587291060
