,CMA
2002-02-25,10159747200
2002-02-26,10319370300
2002-02-27,10375501500
2002-02-28,10498288500
2002-03-01,10596518100
2002-03-04,10921026600
2002-03-05,10836829800
2002-03-06,11092928400
2002-03-07,10989436500
2002-03-08,11035043100
2002-03-11,11056092300
2002-03-12,11063108700
2002-03-13,10896469200
2002-03-14,10917518400
2002-03-15,11249043300
2002-03-18,11180633400
2002-03-19,11301666300
2002-03-20,11120994000
2002-03-21,11103453000
2002-03-22,11077141500
2002-03-25,10926288900
2002-03-26,10968387300
2002-03-27,11110469400
2002-03-28,10975403700
2002-04-01,10898223300
2002-04-02,10989436500
2002-04-03,10770174000
2002-04-04,10843846200
2002-04-05,10903485600
2002-04-08,11038551300
2002-04-09,11038551300
2002-04-10,11059600500
2002-04-11,10878928200
2002-04-12,10963125000
2002-04-15,10878928200
2002-04-16,11054338200
2002-04-17,11085912000
2002-04-18,11092928400
2002-04-19,11185895700
2002-04-22,11068371000
2002-04-23,11092928400
2002-04-24,11057846400
2002-04-25,11108715300
2002-04-26,11010485700
2002-04-29,11006977500
2002-04-30,11024518500
2002-05-01,11150813700
2002-05-02,11252551500
2002-05-03,11164846500
2002-05-06,10933305300
2002-05-07,10980666000
2002-05-08,11156076000
2002-05-09,11103453000
2002-05-10,11091174300
2002-05-13,11182387500
2002-05-14,11313945000
2002-05-15,11345518800
2002-05-16,11384109000
2002-05-17,11389371300
2002-05-20,11313945000
2002-05-21,11313945000
2002-05-22,11359551600
2002-05-23,11454273000
2002-05-24,11410420500
2002-05-28,11270092500
2002-05-29,11261322000
2002-05-30,11213961300
2002-05-31,11243780999
2002-06-03,11161338300
2002-06-04,11038551300
2002-06-05,11156076000
2002-06-06,10891206900
2002-06-07,10975403700
2002-06-10,11092928400
2002-06-11,10954354500
2002-06-12,10919272500
2002-06-13,10700010000
2002-06-14,10778944500
2002-06-17,11052584100
2002-06-18,11105207100
2002-06-19,11056092300
2002-06-20,11015748000
2002-06-21,10936813500
2002-06-24,10945584000
2002-06-25,10892961000
2002-06-26,10694747700
2002-06-27,10728075600
2002-06-28,10770174000
2002-07-01,10694040000
2002-07-02,10634880000
2002-07-03,10485240000
2002-07-05,10822800000
2002-07-08,10941120000
2002-07-09,10770600000
2002-07-10,10474800000
2002-07-11,10480020000
2002-07-12,10241640000
2002-07-15,10126800000
2002-07-16,9951060000
2002-07-17,9999780000
2002-07-18,9402960000
2002-07-19,9262020000
2002-07-22,9013200000
2002-07-23,8743500000
2002-07-24,9300300000
2002-07-25,9268980000
2002-07-26,9496920000
2002-07-29,10041540000
2002-07-30,10003260000
2002-07-31,10119840000
2002-08-01,10001520000
2002-08-02,9850140000
2002-08-05,9505620000
2002-08-06,9730080000
2002-08-07,9745740000
2002-08-08,10309500000
2002-08-09,10326900000
2002-08-12,10144200000
2002-08-13,9964980000
2002-08-14,10018920000
2002-08-15,10092000000
2002-08-16,10112880000
2002-08-19,10248600000
2002-08-20,10058940000
2002-08-21,10128540000
2002-08-22,10290360000
2002-08-23,10116360000
2002-08-26,10234680000
2002-08-27,10250340000
2002-08-28,10107660000
2002-08-29,10130280000
2002-08-30,10179000000
