,CHIR
2021-10-19,20774025.0
2021-10-20,20774025.0
2021-10-21,21488302.0
2021-10-22,22197127.0
2021-10-25,21679140.0
2021-10-26,20708595.0
2021-10-27,20495947.0
2021-10-28,20348730.0
2021-10-29,19683525.0
2021-11-01,19716240.0
2021-11-02,18991057.0
2021-11-03,19165537.0
2021-11-04,18511237.0
2021-11-05,18402187.0
2021-11-08,18729337.0
2021-11-09,18407640.0
2021-11-10,19661715.0
2021-11-11,20970315.0
2021-11-12,20774025.0
2021-11-15,19923435.0
2021-11-16,20212417.0
2021-11-17,20365087.0
2021-11-18,19383637.0
2021-11-19,20087010.0
2021-11-22,19721692.0
2021-11-23,19787122.0
2021-11-24,19678072.0
2021-11-26,19072845.0
2021-11-29,18991057.0
2021-11-30,18762052.0
2021-12-01,18598477.0
2021-12-02,18794767.0
2021-12-03,18778410.0
2021-12-06,19269135.0
2021-12-07,19672620.0
2021-12-08,19699882.0
2021-12-09,19841647.0
2021-12-10,19776217.0
2021-12-13,18778410.0
2021-12-14,18075037.0
2021-12-15,17895105.0
2021-12-16,18320400.0
2021-12-17,18325852.0
2021-12-20,17715172.0
2021-12-21,18020512.0
2021-12-22,17987797.0
2021-12-23,18124110.0
2021-12-27,18238612.0
2021-12-28,18113205.0
2021-12-29,17846032.0
2021-12-30,17633385.0
2021-12-31,17502525.0
2022-01-03,17388022.0
2022-01-04,17993250.0
2022-01-05,17420737.0
2022-01-06,17649742.0
2022-01-07,18500332.0
2022-01-10,19056487.0
2022-01-11,19841647.0
2022-01-12,19432710.0
2022-01-13,18320400.0
2022-01-14,17960535.0
2022-01-18,18238612.0
2022-01-19,19465425.0
2022-01-20,20136082.0
2022-01-21,19699882.0
2022-01-24,19727145.0
2022-01-25,19661715.0
2022-01-26,19465425.0
2022-01-27,18941985.0
2022-01-28,18494880.0
2022-01-31,19383637.0
2022-02-01,19383637.0
2022-02-02,19476330.0
2022-02-03,19165537.0
2022-02-04,19421805.0
2022-02-07,19350922.0
2022-02-08,19378185.0
2022-02-09,19367280.0
2022-02-10,20234227.0
2022-02-11,19923435.0
2022-02-14,19209157.0
2022-02-15,19220062.0
2022-02-16,19694430.0
2022-02-17,19252777.0
2022-02-18,19678072.0
2022-02-22,19612642.0
2022-02-23,18909270.0
2022-02-24,18287685.0
2022-02-25,18254970.0
2022-02-28,18140467.0
2022-03-01,18320400.0
2022-03-02,17726077.0
2022-03-03,17747887.0
2022-03-04,17458905.0
2022-03-07,17175375.0
2022-03-08,16684650.0
2022-03-09,16472002.0
2022-03-10,15703200.0
2022-03-11,15097972.0
2022-03-14,13822087.0
2022-03-15,12775207.0
2022-03-16,15130687.0
