,NOV
2002-05-03,2134632800
2002-05-06,2014782400
2002-05-07,1967814000
2002-05-08,2058511600
2002-05-09,2001825600
2002-05-10,1995347200
2002-05-13,2053652800
2002-05-14,2050413600
2002-05-15,1930563200
2002-05-16,1943520000
2002-05-17,1870638000
2002-05-20,1859300800
2002-05-21,1846344000
2002-05-22,1903030000
2002-05-23,1883594800
2002-05-24,1860920400
2002-05-28,1880355600
2002-05-29,1885214400
2002-05-30,1878736000
2002-05-31,1920845600
2002-06-03,1809093200
2002-06-04,1815571600
2002-06-05,1763744400
2002-06-06,1745928800
2002-06-07,1810712800
2002-06-10,1737830800
2002-06-11,1690862400
2002-06-12,1718395600
2002-06-13,1771842400
2002-06-14,1794516800
2002-06-17,1805854000
2002-06-18,1763744400
2002-06-19,1739450400
2002-06-20,1715156400
2002-06-21,1666568399
2002-06-24,1690862400
2002-06-25,1686003600
2002-06-26,1639035199
2002-06-27,1590447200
2002-06-28,1582349200
2002-07-01,1576104320
2002-07-02,1527509120
2002-07-03,1527509120
2002-07-05,1584203520
2002-07-08,1522649600
2002-07-09,1508071040
2002-07-10,1498352000
2002-07-11,1406021120
2002-07-12,1414120320
2002-07-15,1372004480
2002-07-16,1383343359
2002-07-17,1389822720
2002-07-18,1420599680
2002-07-19,1342847359
2002-07-22,1237557760
2002-07-23,1211640320
2002-07-24,1308830720
2002-07-25,1274814080
2002-07-26,1255376000
2002-07-29,1307210880
2002-07-30,1323409280
2002-07-31,1299111680
2002-08-01,1221359360
2002-08-02,1192202240
2002-08-05,1164664960
2002-08-06,1214880000
2002-08-07,1197061760
2002-08-08,1276433920
2002-08-09,1357425920
2002-08-12,1393062400
2002-08-13,1346087040
2002-08-14,1370384640
2002-08-15,1465955200
2002-08-16,1425459200
2002-08-19,1443277440
2002-08-20,1388202880
2002-08-21,1399541760
2002-08-22,1470814720
2002-08-23,1430318720
2002-08-26,1456236160
2002-08-27,1410880640
2002-08-28,1389822720
2002-08-29,1406021120
2002-08-30,1422219520
2002-09-03,1336368000
2002-09-04,1336368000
2002-09-05,1323409280
2002-09-06,1372004480
2002-09-09,1388202880
2002-09-10,1448136960
2002-09-11,1462715520
2002-09-12,1397921920
2002-09-13,1422219520
2002-09-16,1427079040
2002-09-17,1359045760
2002-09-18,1380103680
2002-09-19,1331508480
2002-09-20,1342847359
2002-09-23,1344467200
2002-09-24,1303971200
2002-09-25,1393062400
2002-09-26,1469194880
2002-09-27,1431938560
2002-09-30,1458072000
2002-10-01,1501814160
2002-10-02,1524495280
2002-10-03,1493713760
2002-10-04,1459692080
2002-10-07,1437010959
2002-10-08,1419190080
2002-10-09,1383548319
2002-10-10,1402989280
2002-10-11,1471032640
2002-10-14,1558516959
2002-10-15,1671922560
2002-10-16,1608739440
2002-10-17,1673542640
2002-10-18,1657341840
2002-10-21,1652481600
2002-10-22,1603879200
2002-10-23,1650861520
2002-10-24,1586058319
2002-10-25,1505054319
2002-10-28,1537455920
2002-10-29,1480753120
2002-10-30,1589298480
2002-10-31,1568237440
2002-11-01,1644381200
2002-11-04,1616839840
2002-11-05,1605499280
2002-11-06,1646001280
2002-11-07,1613599680
2002-11-08,1587678400
2002-11-11,1569857520
2002-11-12,1532595680
2002-11-13,1495333840
2002-11-14,1568237440
2002-11-15,1530975600
2002-11-18,1550416560
2002-11-19,1532595680
2002-11-20,1637900880
2002-11-21,1662202080
2002-11-22,1615219760
2002-11-25,1608739440
2002-11-26,1548796480
2002-11-27,1605499280
2002-11-29,1636280800
2002-12-02,1699463920
2002-12-03,1668682400
2002-12-04,1616839840
2002-12-05,1623320160
2002-12-06,1654101680
2002-12-09,1658961920
2002-12-10,1667062319
2002-12-11,1668682400
2002-12-12,1722145040
2002-12-13,1689743440
2002-12-16,1743206080
2002-12-17,1728625360
2002-12-18,1670302480
2002-12-19,1683263120
2002-12-20,1749686400
2002-12-23,1736725760
2002-12-24,1709184400
2002-12-26,1689743440
2002-12-27,1637900880
2002-12-30,1623320160
2002-12-31,1697517120
2003-01-02,1756109920
2003-01-03,1734346880
2003-01-06,1730998720
2003-01-07,1652316959
2003-01-08,1573635200
2003-01-09,1565264800
2003-01-10,1566938880
2003-01-13,1521738720
2003-01-14,1516716480
2003-01-15,1571961120
2003-01-16,1617161280
2003-01-17,1563590720
2003-01-21,1531783200
2003-01-22,1578657440
2003-01-23,1638924319
2003-01-24,1571961120
2003-01-27,1504997920
2003-01-28,1545175840
2003-01-29,1555220319
2003-01-30,1566938880
2003-01-31,1587027840
2003-02-03,1598746400
2003-02-04,1637250240
2003-02-05,1632228000
2003-02-06,1630553920
2003-02-07,1600420480
2003-02-10,1640598400
2003-02-11,1637250240
2003-02-12,1558568480
2003-02-13,1573635200
2003-02-14,1565264800
2003-02-18,1652316959
2003-02-19,1653991040
2003-02-20,1679102240
2003-02-21,1730998720
2003-02-24,1782895200
2003-02-25,1787917440
2003-02-26,1821399040
2003-02-27,1757784000
2003-02-28,1749413600
2003-03-03,1737695040
2003-03-04,1764480319
2003-03-05,1749413600
2003-03-06,1791265600
2003-03-07,1777872959
2003-03-10,1764480319
2003-03-11,1714257920
2003-03-12,1660687360
2003-03-13,1662361440
2003-03-14,1695843040
2003-03-17,1679102240
2003-03-18,1772850720
2003-03-19,1741043200
2003-03-20,1802984160
2003-03-21,1746065440
2003-03-24,1695843040
2003-03-25,1702539360
2003-03-26,1692494880
2003-03-27,1725976480
2003-03-28,1767828480
2003-03-31,1754663200
2003-04-01,1764795999
2003-04-02,1790128000
2003-04-03,1761418400
2003-04-04,1744530400
2003-04-07,1724264800
2003-04-08,1703999200
2003-04-09,1703999200
2003-04-10,1746219200
2003-04-11,1747908000
2003-04-14,1727642400
2003-04-15,1690488800
2003-04-16,1661779200
2003-04-17,1688800000
2003-04-21,1732708800
2003-04-22,1734397600
2003-04-23,1693866400
2003-04-24,1697244000
2003-04-25,1688800000
2003-04-28,1661779200
2003-04-29,1611115199
2003-04-30,1644891200
2003-05-01,1638135999
2003-05-02,1702310400
2003-05-05,1688800000
2003-05-06,1671912000
2003-05-07,1739464000
2003-05-08,1786750400
2003-05-09,1817148800
2003-05-12,1849235999
2003-05-13,1884700800
2003-05-14,1926920800
2003-05-15,1908344000
2003-05-16,1904966400
2003-05-19,1874568000
2003-05-20,1830659200
2003-05-21,1942120000
2003-05-22,1901588800
2003-05-23,1883012000
2003-05-27,1933675999
2003-05-28,1894833600
2003-05-29,1847547200
2003-05-30,1906655199
2003-06-02,1898211200
2003-06-03,1881323200
2003-06-04,1881323200
2003-06-05,1884700800
2003-06-06,1862746400
2003-06-09,1874568000
2003-06-10,1869501600
2003-06-11,1921854400
2003-06-12,1883012000
2003-06-13,1818837600
2003-06-16,1763107200
2003-06-17,1712443200
2003-06-18,1729331200
2003-06-19,1776617600
2003-06-20,1749596800
2003-06-23,1741152800
2003-06-24,1742841600
2003-06-25,1776617600
2003-06-26,1720887200
2003-06-27,1725953600
2003-06-30,1735332440
2003-07-01,1682643600
2003-07-02,1667346840
2003-07-03,1701339640
2003-07-07,1643551880
2003-07-08,1665647200
2003-07-09,1720035679
2003-07-10,1643551880
2003-07-11,1650350440
2003-07-14,1621456559
2003-07-15,1616357640
2003-07-16,1602760520
2003-07-17,1604460160
2003-07-18,1692841440
2003-07-21,1657149000
2003-07-22,1616357640
2003-07-23,1585764120
2003-07-24,1570467360
2003-07-25,1524577080
2003-07-28,1490584280
2003-07-29,1425997960
2003-07-30,1456591480
2003-07-31,1451492559
2003-08-01,1466789320
2003-08-04,1429397240
2003-08-05,1409001559
2003-08-06,1437895440
2003-08-07,1500782120
2003-08-08,1505881040
2003-08-11,1533075280
2003-08-12,1548372040
2003-08-13,1529676000
2003-08-14,1514379240
2003-08-15,1514379240
2003-08-18,1516078880
2003-08-19,1519478160
2003-08-20,1568767720
2003-08-21,1573866640
2003-08-22,1522877440
2003-08-25,1514379240
2003-08-26,1521177799
