,EC
2011-04-01,85052985186
2011-04-04,85518419081
2011-04-05,86267160564
2011-04-06,85720781644
2011-04-07,84162589910
2011-04-08,83960227347
2011-04-11,81896129205
2011-04-12,80256992446
2011-04-13,82037782999
2011-04-14,82219909306
2011-04-15,82179436793
2011-04-18,80985497672
2011-04-19,82402035612
2011-04-20,85356529031
2011-04-21,86793303227
2011-04-25,86206451795
2011-04-26,86489759383
2011-04-27,86833775740
2011-04-28,88371731218
2011-04-29,88776456344
2011-05-02,88108659886
2011-05-03,86550468152
2011-05-04,87096847072
2011-05-05,85983852976
2011-05-06,86064798001
2011-05-09,85842199182
2011-05-10,88695511319
2011-05-11,87380154660
2011-05-12,87926533580
2011-05-13,87542044710
2011-05-16,85275584006
2011-05-17,85781490413
2011-05-18,86085034257
2011-05-19,88695511319
2011-05-20,88108659886
2011-05-23,87278973378
2011-05-24,87481335941
2011-05-25,87218264609
2011-05-26,88108659886
2011-05-27,88999055163
2011-05-31,92014257350
2011-06-01,90800081973
2011-06-02,91144098330
2011-06-03,91528587199
2011-06-06,92297564938
2011-06-07,93086778934
2011-06-08,92843943858
2011-06-09,92054729863
2011-06-10,91346460893
2011-06-13,91063153305
2011-06-14,90678664435
2011-06-15,87278973378
2011-06-16,86307633076
2011-06-17,86206451795
2011-06-20,86085034257
2011-06-21,86509995639
2011-06-22,86692121946
2011-06-23,85680309131
2011-06-24,85599364106
2011-06-27,86429050614
2011-06-28,86874248252
2011-06-29,88169368655
2011-06-30,89059763932
2011-07-01,89504961570
2011-07-05,88391967474
2011-07-06,86590940664
2011-07-07,85842199182
2011-07-08,85619600362
2011-07-11,82725815713
2011-07-12,82260381818
2011-07-13,83636447246
2011-07-14,83171013351
2011-07-15,82705579457
2011-07-18,83899518578
2011-07-19,85255347749
2011-07-20,84891095136
2011-07-21,85477946568
2011-07-22,85720781644
2011-07-25,86671885690
2011-07-26,85943380463
2011-07-27,85720781644
2011-07-28,86004089232
2011-07-29,85498182825
2011-08-01,86105270513
2011-08-02,84708968829
2011-08-03,85437474056
2011-08-04,82847233251
2011-08-05,82766288226
2011-08-08,79548723475
2011-08-09,83757864784
2011-08-10,81936601718
2011-08-11,83373375914
2011-08-12,84628023804
2011-08-15,86712358202
2011-08-16,84668496317
2011-08-17,85235111493
2011-08-18,81693766642
2011-08-19,81390222798
2011-08-22,82381799356
2011-08-23,83798337296
2011-08-24,82280618075
2011-08-25,81612821617
2011-08-26,82482980638
2011-08-29,86307633076
2011-08-30,87967006092
2011-08-31,88472912499
2011-09-01,88655038806
2011-09-02,88371731218
2011-09-06,87278973378
2011-09-07,88047951117
2011-09-08,87299209635
2011-09-09,85943380463
2011-09-12,85902907951
2011-09-13,86692121946
2011-09-14,86631413177
2011-09-15,89343071520
2011-09-16,92135674888
2011-09-19,90273939309
2011-09-20,90172758028
2011-09-21,86408814358
2011-09-22,81592585361
2011-09-23,81127151466
2011-09-26,82482980638
2011-09-27,83090068326
2011-09-28,81208096491
2011-09-29,84081644884
2011-09-30,81531876592
2011-10-03,79087969449
2011-10-04,81041012625
2011-10-05,82911822404
2011-10-06,83055730848
2011-10-07,82891264055
2011-10-10,84042531611
2011-10-11,83549131230
2011-10-12,84700398786
2011-10-13,84535931992
2011-10-14,86488975168
2011-10-17,86242274977
2011-10-18,86118924882
2011-10-19,85255474215
2011-10-20,85789991295
2011-10-21,87434659232
2011-10-24,88277551550
2011-10-25,87619684375
2011-10-26,87989734661
2011-10-27,90497853266
2011-10-28,89593285900
2011-10-31,87455217581
2011-11-01,86303950025
2011-11-02,86817908756
2011-11-03,87496334280
2011-11-04,86468416819
2011-11-07,88236434852
2011-11-08,88154201455
2011-11-09,86057249834
2011-11-10,86077808184
2011-11-11,86653441962
2011-11-14,86817908756
2011-11-15,86447858470
2011-11-16,85543291104
2011-11-17,85193799167
2011-11-18,85440499358
2011-11-21,83878064817
2011-11-22,84268673452
2011-11-23,82253955229
2011-11-25,82089488435
2011-11-28,84679840437
2011-11-29,84762073834
2011-11-30,86797350406
2011-12-01,87311309137
2011-12-02,89141002217
2011-12-05,88154201455
2011-12-06,87105725645
2011-12-07,88668160185
2011-12-08,87722476121
2011-12-09,89326027360
2011-12-12,88647601836
2011-12-13,88770951931
2011-12-14,87372984185
2011-12-15,88133643106
2011-12-16,88400901646
2011-12-19,87763592820
2011-12-20,90004452885
2011-12-21,90867903552
2011-12-22,91854704314
2011-12-23,91895821013
2011-12-27,91587445775
2011-12-28,90374503171
2011-12-29,91587445775
2011-12-30,91525770727
2012-01-03,92450896487
2012-01-04,94609523156
2012-01-05,94486173061
2012-01-06,94116122774
2012-01-09,95657998967
2012-01-10,99132359987
2012-01-11,100468652687
2012-01-12,97199875159
2012-01-13,99666877067
2012-01-17,101064844814
2012-01-18,104066363802
2012-01-19,102647837705
2012-01-20,102853421197
2012-01-23,104045805453
2012-01-24,103346821579
2012-01-25,104251388945
2012-01-26,103264588182
2012-01-27,103305704880
2012-01-30,104045805453
2012-01-31,104991489517
2012-02-01,105423214851
2012-02-02,108054683552
2012-02-03,108116358600
2012-02-06,107006207742
2012-02-07,107766866663
2012-02-08,109000367617
2012-02-09,109925493332
2012-02-10,108774225775
2012-02-13,110151635174
2012-02-14,110048843428
2012-02-15,110377777015
2012-02-16,114366096766
2012-02-17,117593757595
2012-02-21,113790462988
2012-02-22,113913813083
2012-02-23,114695030354
2012-02-24,115784622863
2012-02-27,116113556451
2012-02-28,116504165086
2012-02-29,119629034169
2012-03-01,122507203061
2012-03-02,120739185027
2012-03-05,121232585409
2012-03-06,119341217280
2012-03-07,120204667947
2012-03-08,120656951630
2012-03-09,119978526106
2012-03-12,119731825915
2012-03-13,124378012841
2012-03-14,123864054110
2012-03-15,123637912269
2012-03-16,122568878109
2012-03-19,125076996715
2012-03-20,121808219187
2012-03-21,122753903252
2012-03-22,122774461601
2012-03-23,124830296524
2012-03-26,127173948336
2012-03-27,126413289415
2012-03-28,124850854873
2012-03-29,124460246238
2012-03-30,125590955446
2012-04-02,128016840655
2012-04-03,129784858688
2012-04-04,129270899958
2012-04-05,128798057925
2012-04-09,130812776150
2012-04-10,130134350625
2012-04-11,128489682687
2012-04-12,128469124338
2012-04-13,128962524719
2012-04-16,130771659452
2012-04-17,132395769041
2012-04-18,130812776150
2012-04-19,124378012841
2012-04-20,122013802680
2012-04-23,122877253347
2012-04-24,122609994807
2012-04-25,126433847764
2012-04-26,128201865798
2012-04-27,129743741990
2012-04-30,133012519518
2012-05-01,138727740604
2012-05-02,137083072665
2012-05-03,136589672284
2012-05-04,130874451198
2012-05-07,132498560787
2012-05-08,131265059833
2012-05-09,130689426055
2012-05-10,130812776150
2012-05-11,129640950244
2012-05-14,126968364844
2012-05-15,125282580207
2012-05-16,124789179826
2012-05-17,120595276583
2012-05-18,119916851058
2012-05-21,119341217280
2012-05-22,121787660838
2012-05-23,120698068329
2012-05-24,117819899437
2012-05-25,118683350104
2012-05-29,123596795570
2012-05-30,120862535123
2012-05-31,122445528013
2012-06-01,119361775629
2012-06-04,120924210170
2012-06-05,120965326869
2012-06-06,121787660838
2012-06-07,122198827823
2012-06-08,120821418424
2012-06-11,118888933597
2012-06-12,118971166994
2012-06-13,117963807881
2012-06-14,119361775629
2012-06-15,122013802680
2012-06-18,123021161792
2012-06-19,125796538938
2012-06-20,125940447382
2012-06-21,120328018043
2012-06-22,115620156069
2012-06-25,110665593905
2012-06-26,111282344381
2012-06-27,113769904638
2012-06-28,111549602921
2012-06-29,114695030354
2012-07-02,112906453971
2012-07-03,116524723435
2012-07-05,116421931689
2012-07-06,114592238608
2012-07-09,114921172195
2012-07-10,113872696384
2012-07-11,114653913655
2012-07-12,113605437844
2012-07-13,114941730544
2012-07-16,114695030354
2012-07-17,115023963941
2012-07-18,115517364323
2012-07-19,114797822100
2012-07-20,113235387558
2012-07-23,113440971051
2012-07-24,113996046480
2012-07-25,110932852445
2012-07-26,113379296003
2012-07-27,118251624770
2012-07-30,118991725343
2012-07-31,117655432643
2012-08-01,118436649914
2012-08-02,120122434550
2012-08-03,121458727250
2012-08-06,120142992900
2012-08-07,121767102489
2012-08-08,118786141850
2012-08-09,120718626678
2012-08-10,122219386172
2012-08-13,121438168901
2012-08-14,120903651821
2012-08-15,121109235313
2012-08-16,122404411315
2012-08-17,122424969664
2012-08-20,122178269473
2012-08-21,122116594426
2012-08-22,122383852966
2012-08-23,121746544140
2012-08-24,121088676964
2012-08-27,120266342995
2012-08-28,120698068329
2012-08-29,119012283692
2012-08-30,118601116707
2012-08-31,118930050295
2012-09-04,116401373340
2012-09-05,117717107690
2012-09-06,120245784646
2012-09-07,121047560266
2012-09-10,120101876201
2012-09-11,120184109598
2012-09-12,118703908454
2012-09-13,120430809789
2012-09-14,121253143758
2012-09-17,120060759503
2012-09-18,119752384264
2012-09-19,120595276583
2012-09-20,120615834932
2012-09-21,121869894235
2012-09-24,119444009026
2012-09-25,119156192137
2012-09-26,119238425534
2012-09-27,120328018043
2012-09-28,121150352012
2012-10-01,120451368138
2012-10-02,122178269473
2012-10-03,122096036076
2012-10-04,123000603443
2012-10-05,122342736267
2012-10-08,122836136649
2012-10-09,123062278490
2012-10-10,123535120523
2012-10-11,123822937412
2012-10-12,125159230112
2012-10-15,127852373861
2012-10-16,129209224910
2012-10-17,129620391895
2012-10-18,130956684595
2012-10-19,130566075959
2012-10-22,129805417038
2012-10-23,128325215893
2012-10-24,129291458307
2012-10-25,129024199767
2012-10-26,129764300339
2012-10-31,121725985790
2012-11-01,120389693090
2012-11-02,118046041278
2012-11-05,118087157977
2012-11-06,117634874294
2012-11-07,116257464895
2012-11-08,117490965849
2012-11-09,116565840134
2012-11-12,115537922672
2012-11-13,115394014227
2012-11-14,116072439752
2012-11-15,117717107690
2012-11-16,119444009026
2012-11-19,120698068329
2012-11-20,121294260457
2012-11-21,120780301726
2012-11-23,121088676964
2012-11-26,119793500963
2012-11-27,119053400390
2012-11-28,119690709217
2012-11-29,119629034169
2012-11-30,119526242423
2012-12-03,119094517089
2012-12-04,117819899437
2012-12-05,118046041278
2012-12-06,118683350104
2012-12-07,119361775629
2012-12-10,120040201153
2012-12-11,120471926487
2012-12-12,121191468710
2012-12-13,121170910361
2012-12-14,121890452584
2012-12-17,120739185027
2012-12-18,121869894235
2012-12-19,121643752393
2012-12-20,122445528013
2012-12-21,124439687889
2012-12-24,124974204969
2012-12-26,125632072144
2012-12-27,126639431256
2012-12-28,124172429349
2012-12-31,122671669855
2013-01-02,127687907067
2013-01-03,127852373861
2013-01-04,127831815512
2013-01-07,127276740082
2013-01-08,125961005732
2013-01-09,127132831638
2013-01-10,127400090178
2013-01-11,126845014749
2013-01-14,127543998622
2013-01-15,126680547955
2013-01-16,125981564081
2013-01-17,126063797478
2013-01-18,127050598241
2013-01-22,126618872907
2013-01-23,128674707830
2013-01-24,129229783259
2013-01-25,130072675578
2013-01-28,129106433164
2013-01-29,130298817419
2013-01-30,130113792276
2013-01-31,130134350625
2013-02-01,130730542753
2013-02-04,130874451198
2013-02-05,131162268087
2013-02-06,128983083069
2013-02-07,126146030875
2013-02-08,126495522812
2013-02-11,125076996715
2013-02-12,125323696906
2013-02-13,125426488652
2013-02-14,125488163699
2013-02-15,124275221095
2013-02-19,119156192137
2013-02-20,117819899437
2013-02-21,118909491946
2013-02-22,119711267566
2013-02-25,118806700200
2013-02-26,117922691183
2013-02-27,118539441660
2013-02-28,118313299818
2013-03-01,117511524198
2013-03-04,116586398483
2013-03-05,116195789847
2013-03-06,115784622863
2013-03-07,115147314037
2013-03-08,116668631880
2013-03-11,117367615754
2013-03-12,116668631880
2013-03-13,116113556451
2013-03-14,116278023244
2013-03-15,115558481021
2013-03-18,112166353398
2013-03-19,111117877588
2013-03-20,110418893714
2013-03-21,112289703494
2013-03-22,113050362415
2013-03-25,112084120001
2013-03-26,113790462988
2013-03-27,112824220574
2013-03-28,112084120001
2013-04-01,111954937295
2013-04-02,112448311972
2013-04-03,111029859774
2013-04-04,110495370540
2013-04-05,112222181912
2013-04-08,111811036347
2013-04-09,104451530737
2013-04-10,101902428235
2013-04-11,102046329183
2013-04-12,100216731420
2013-04-15,94501808069
2013-04-16,98284347265
2013-04-17,95611901094
2013-04-18,95940817546
2013-04-19,97133139684
2013-04-22,97297597909
2013-04-23,97626514361
2013-04-24,98366576378
2013-04-25,98695492830
2013-04-26,96907009623
2013-04-29,97503170692
2013-04-30,97790972587
2013-05-01,96351963110
2013-05-02,96208062163
2013-05-03,97009796014
2013-05-06,94090662504
