,DFS
2010-10-14,9613715480
2010-10-15,9308863800
2010-10-18,9363301600
2010-10-19,9428626960
2010-10-20,9548390120
2010-10-21,9553833900
2010-10-22,9477620980
2010-10-25,9537502560
2010-10-26,9613715480
2010-10-27,9532058780
2010-10-28,9499396100
2010-10-29,9608271700
2010-11-01,9815135340
2010-11-02,9820579120
2010-11-03,9875016920
2010-11-04,10201643720
2010-11-05,10294187980
2010-11-08,10310519320
2010-11-09,10054661660
2010-11-10,10190756160
2010-11-11,10392176020
2010-11-12,10125430800
2010-11-15,10272412860
2010-11-16,9853241800
2010-11-17,9989336300
2010-11-18,10005667640
2010-11-19,10016555200
2010-11-22,10032886540
2010-11-23,9913123380
2010-11-24,10125430800
2010-11-26,10027442760
2010-11-29,10027442760
2010-11-30,9962600000
2010-12-01,10278700000
2010-12-02,10322300000
2010-12-03,10267800000
2010-12-06,10376800000
2010-12-07,10066150000
2010-12-08,10262350000
2010-12-09,10229650000
2010-12-10,10502150000
2010-12-13,10409500000
2010-12-14,10436750000
2010-12-15,10425850000
2010-12-16,10098850000
2010-12-17,9820900000
2010-12-20,9957150000
2010-12-21,9935350000
2010-12-22,9919000000
2010-12-23,10060700000
2010-12-27,10126100000
2010-12-28,10115200000
2010-12-29,10120650000
2010-12-30,9902650000
2010-12-31,10098850000
2011-01-03,10262350000
2011-01-04,10147900000
2011-01-05,10447650000
2011-01-06,10349550000
2011-01-07,10300500000
2011-01-10,10420400000
2011-01-11,10485800000
2011-01-12,10845500000
2011-01-13,10921800000
2011-01-14,11107100000
2011-01-18,11303300000
2011-01-19,11128900000
2011-01-20,11085300000
2011-01-21,11156150000
2011-01-24,11128900000
2011-01-25,11145250000
2011-01-26,11297850000
2011-01-27,11466800000
2011-01-28,11150700000
2011-01-31,11221550000
2011-02-01,11385050000
2011-02-02,11221550000
2011-02-03,11199750000
2011-02-04,11232450000
2011-02-07,11515850000
2011-02-08,11701150000
2011-02-09,11504950000
2011-02-10,11772000000
2011-02-11,11837400000
2011-02-14,11881000000
2011-02-15,11782900000
2011-02-16,11979100000
2011-02-17,11984550000
2011-02-18,11913700000
2011-02-22,11499500000
2011-02-23,11445000000
2011-02-24,11777450000
2011-02-25,11891900000
2011-02-28,11875500000
2011-03-01,11531520000
2011-03-02,11493300000
2011-03-03,11711700000
2011-03-04,11799060000
2011-03-07,11760840000
2011-03-08,12159420000
2011-03-09,11951940000
2011-03-10,11848200000
2011-03-11,11919180000
2011-03-14,11968320000
2011-03-15,11864580000
2011-03-16,11558820000
2011-03-17,11804520000
2011-03-18,12012000000
2011-03-21,12361440000
2011-03-22,12148500000
2011-03-23,12798240000
2011-03-24,13027560000
2011-03-25,13104000000
2011-03-28,13300560000
2011-03-29,13371540000
2011-03-30,13639080000
2011-03-31,13169520000
2011-04-01,13185900000
2011-04-04,13453440000
2011-04-05,13431600000
2011-04-06,13333320000
2011-04-07,13125840000
2011-04-08,13022100000
2011-04-11,13169520000
2011-04-12,13136760000
2011-04-13,13229580000
2011-04-14,13076700000
2011-04-15,13256880000
2011-04-18,13022100000
2011-04-19,13306020000
2011-04-20,13606320000
2011-04-21,13518960000
2011-04-25,13377000000
2011-04-26,13508040000
2011-04-27,13377000000
2011-04-28,13469820000
2011-04-29,13562640000
2011-05-02,13469820000
2011-05-03,13513500000
2011-05-04,13131300000
2011-05-05,13109460000
2011-05-06,13262340000
2011-05-09,13437060000
2011-05-10,13420680000
