,F
2002-02-22,26346060000
2002-02-25,27520610000
2002-02-26,28098850000
2002-02-27,27647100000
2002-02-28,26888160000
2002-03-01,28261480000
2002-03-04,29219190000
2002-03-05,28442180000
2002-03-06,29544450000
2002-03-07,30556370000
2002-03-08,30375669999
2002-03-11,31080400000
2002-03-12,30737070000
2002-03-13,30917770000
2002-03-14,30556370000
2002-03-15,30592510000
2002-03-18,30845490000
2002-03-19,31044260000
2002-03-20,29815500000
2002-03-21,30176900000
2002-03-22,30122690000
2002-03-25,29002350000
2002-03-26,29074630000
2002-03-27,29092700000
2002-03-28,29797429999
2002-04-01,28518490000
2002-04-02,27865810000
2002-04-03,27303780000
2002-04-04,27448820000
2002-04-05,27285650000
2002-04-08,27394430000
2002-04-09,27249390000
2002-04-10,28282800000
2002-04-11,27013700000
2002-04-12,27811420000
2002-04-15,27303780000
2002-04-16,28754180000
2002-04-17,29334340000
2002-04-18,28772310000
2002-04-19,29660680000
2002-04-22,29098650000
2002-04-23,29823850000
2002-04-24,29406859999
2002-04-25,29588160000
2002-04-26,29551900000
2002-04-29,28754180000
2002-04-30,29008000000
2002-05-01,29624420000
2002-05-02,29189300000
2002-05-03,29171170000
2002-05-06,28881090000
2002-05-07,28355320000
2002-05-08,29008000000
2002-05-09,28899220000
2002-05-10,28699790000
2002-05-13,29352470000
2002-05-14,29896369999
2002-05-15,30168320000
2002-05-16,30059539999
2002-05-17,30313359999
2002-05-20,30331490000
2002-05-21,31872539999
2002-05-22,32978470000
2002-05-23,32779039999
2002-05-24,32162619999
2002-05-28,31890670000
2002-05-29,32144490000
2002-05-30,31890670000
2002-05-31,31999449999
2002-06-03,31383029999
2002-06-04,30675960000
2002-06-05,30730350000
2002-06-06,30367750000
2002-06-07,30005150000
2002-06-10,30440270000
2002-06-11,30494660000
2002-06-12,30240840000
2002-06-13,29878240000
2002-06-14,28808570000
2002-06-17,29660680000
2002-06-18,30675960000
2002-06-19,29878240000
2002-06-20,28518490000
2002-06-21,28137760000
2002-06-24,28736050000
2002-06-25,29098650000
2002-06-26,28554750000
2002-06-27,28591010000
