,IEX
2002-11-29,1095002077
2002-12-02,1105886790
2002-12-03,1083391717
2002-12-04,1076860890
2002-12-05,1044932400
2002-12-06,1042755457
2002-12-09,1033322040
2002-12-10,1027516860
2002-12-11,1039852867
2002-12-12,1052914522
2002-12-13,1007924377
2002-12-16,1031870745
2002-12-17,1036950277
2002-12-18,1029693802
2002-12-19,1034773335
2002-12-20,1036950277
2002-12-23,1057994055
2002-12-24,1052914522
2002-12-26,1061622292
2002-12-27,1042029810
2002-12-30,1057994055
2002-12-31,1055673517
2003-01-02,1089821250
2003-01-03,1099266367
2003-01-06,1092000892
2003-01-07,1088368155
2003-01-08,1025885070
2003-01-09,1033150545
2003-01-10,1038236377
2003-01-13,1033877092
2003-01-14,1035330187
2003-01-15,988104600
2003-01-16,978659482
2003-01-17,969214365
2003-01-21,948871035
2003-01-22,932886990
2003-01-23,945964845
2003-01-24,935793180
2003-01-27,921988777
2003-01-28,914723302
2003-01-29,908910922
2003-01-30,924894967
2003-01-31,941605560
2003-02-03,937972822
2003-02-04,935066632
2003-02-05,924894967
2003-02-06,908184375
2003-02-07,886387950
2003-02-10,877669380
2003-02-11,884934855
2003-02-12,870403905
2003-02-13,858052597
2003-02-14,879849022
2003-02-18,902371995
2003-02-19,892200330
2003-02-20,895833067
2003-02-21,903098542
2003-02-24,887841045
2003-02-25,900918900
2003-02-26,883481760
2003-02-27,894379972
2003-02-28,895106520
2003-03-03,898012710
2003-03-04,895833067
2003-03-05,890747235
2003-03-06,882028665
2003-03-07,877669380
2003-03-10,860232240
2003-03-11,860232240
2003-03-12,863864977
2003-03-13,903098542
2003-03-14,909637470
2003-03-17,924168420
2003-03-18,929980800
2003-03-19,929254252
2003-03-20,929980800
2003-03-21,964128532
2003-03-24,952503772
2003-03-25,960495795
2003-03-26,943058655
2003-03-27,949597582
2003-03-28,943058655
2003-03-31,939216960
2003-04-01,945774720
2003-04-02,973463040
2003-04-03,971277120
2003-04-04,973463040
2003-04-07,990950400
2003-04-08,978563520
2003-04-09,978563520
2003-04-10,985849920
2003-04-11,963990720
