,FTV
2018-08-10,23334831000
2018-08-13,23222863000
2018-08-14,23296342000
2018-08-15,23334831000
2018-08-16,23523777000
2018-08-17,23495785000
2018-08-20,23600755000
2018-08-21,23537773000
2018-08-22,23401312000
2018-08-23,23429303999
2018-08-24,23460795000
2018-08-27,23915664999
2018-08-28,24031132000
2018-08-29,24559481000
2018-08-30,24520992000
2018-08-31,24590972000
2018-09-04,24437016000
2018-09-05,24695942000
2018-09-06,24643457000
2018-09-07,24769421000
2018-09-10,24797413000
2018-09-11,24895385000
2018-09-12,24979361000
2018-09-13,25325762000
2018-09-14,25469221000
2018-09-17,25507710000
2018-09-18,25584688000
2018-09-19,25178803999
2018-09-20,25581189000
2018-09-21,25469221000
2018-09-24,25276776000
2018-09-25,25182303000
2018-09-26,24895385000
2018-09-27,24783417000
2018-09-28,23575915999
2018-10-01,23639490000
2018-10-02,23411962000
2018-10-03,23448768000
2018-10-04,23505650000
2018-10-05,23515688000
2018-10-08,23422000000
2018-10-09,23017134000
2018-10-10,22461698000
2018-10-11,22003296000
2018-10-12,22177288000
2018-10-15,22103676000
2018-10-16,22337896000
2018-10-17,22461698000
2018-10-18,22408162000
2018-10-19,22341242000
2018-10-22,21752346000
2018-10-23,21575008000
2018-10-24,20741854000
2018-10-25,21370902000
2018-10-26,20457444000
2018-10-29,20216532000
2018-10-30,20069308000
2018-10-31,20788698000
2018-11-01,20945960000
2018-11-02,20959344000
2018-11-05,21029610000
2018-11-06,21247100000
2018-11-07,21317366000
2018-11-08,21528164000
2018-11-09,21063070000
2018-11-12,20989458000
2018-11-13,21059724000
2018-11-14,20608014000
2018-11-15,21203602000
2018-11-16,21126644000
2018-11-19,20651512000
2018-11-20,20323604000
2018-11-21,20681626000
2018-11-23,20383832000
2018-11-26,20497596000
2018-11-27,20651512000
2018-11-28,20996150000
2018-11-29,20755238000
2018-11-30,21300636000
2018-12-03,21267176000
2018-12-04,20397216000
2018-12-06,20199802000
2018-12-07,19584138000
2018-12-10,19801628000
2018-12-11,19617598000
2018-12-12,19815012000
2018-12-13,19587484000
2018-12-14,19279652000
2018-12-17,19025356000
2018-12-18,19068854000
2018-12-19,18643912000
2018-12-20,18245738000
2018-12-21,18339426000
2018-12-24,17820796000
2018-12-26,18396308000
2018-12-27,18727562000
2018-12-28,18677372000
2018-12-31,18973362000
2019-01-02,18886236000
2019-01-03,18122208000
2019-01-04,18916395000
2019-01-07,19013574000
2019-01-08,19100700000
2019-01-09,19412343000
2019-01-10,19596648000
2019-01-11,19492767000
2019-01-14,19526277000
2019-01-15,19626807000
2019-01-16,19633509000
2019-01-17,20015523000
2019-01-18,20477961000
2019-01-22,20095947000
2019-01-23,19948503000
2019-01-24,19908291000
2019-01-25,20260146000
2019-01-28,20159616000
2019-01-29,20665617000
2019-01-30,20957154000
2019-01-31,21027525000
2019-02-01,20843220000
2019-02-04,20836518000
2019-02-05,20900187000
2019-02-06,21017472000
2019-02-07,20870028000
2019-02-08,21540228000
2019-02-11,21637406999
2019-02-12,22103195999
2019-02-13,22555581000
2019-02-14,22558931999
2019-02-15,22937595000
2019-02-19,22568985000
2019-02-20,22729833000
2019-02-21,22605845999
2019-02-22,22816959000
2019-02-25,22880628000
2019-02-26,22920840000
2019-02-27,22914138000
2019-02-28,22873926000
2019-03-01,23152059000
2019-03-04,23155410000
2019-03-05,23064933000
2019-03-06,23004615000
2019-03-07,22729833000
2019-03-08,22545528000
2019-03-11,23044827000
2019-03-12,23028072000
2019-03-13,23326311000
2019-03-14,23172165000
2019-03-15,23145356999
2019-03-18,23389980000
2019-03-19,23289450000
2019-03-20,23272695000
2019-03-21,23617848000
2019-03-22,23058231000
2019-03-25,23162112000
2019-03-26,23436894000
2019-03-27,23088390000
2019-03-28,23259291000
2019-03-29,23559120000
2019-04-01,23891364000
2019-04-02,24062520000
2019-04-03,24297440000
2019-04-04,24237032000
2019-04-05,24357848000
2019-04-08,24411544000
2019-04-09,24186691999
2019-04-10,24159844000
2019-04-11,24391408000
2019-04-12,24619616000
2019-04-15,24663244000
2019-04-16,24612904000
2019-04-17,24602836000
2019-04-18,24854536000
2019-04-22,24814264000
2019-04-23,24982064000
2019-04-24,25012268000
2019-04-25,24653175999
2019-04-26,23934991999
2019-04-29,24109504000
2019-04-30,24247100000
2019-05-01,23978620000
2019-05-02,24102791999
2019-05-03,24310864000
2019-05-06,23854448000
2019-05-07,23445016000
2019-05-08,23163112000
2019-05-09,23102704000
2019-05-10,23206740000
2019-05-13,22606016000
2019-05-14,22609372000
2019-05-15,22847648000
2019-05-16,22847648000
2019-05-17,22612728000
2019-05-20,22280484000
2019-05-21,22438216000
2019-05-22,22350959999
2019-05-23,22045564000
2019-05-24,21918036000
2019-05-28,21569012000
2019-05-29,21511959999
2019-05-30,21579080000
2019-05-31,21384432000
2019-06-03,21277040000
2019-06-04,21840848000
2019-06-05,22139532000
2019-06-06,22293908000
2019-06-07,22176448000
2019-06-10,22163024000
2019-06-11,22230144000
2019-06-12,21954952000
2019-06-13,22048920000
2019-06-14,21716675999
2019-06-17,21525384000
2019-06-18,22001936000
2019-06-19,22139532000
2019-06-20,22696628000
2019-06-21,22585880000
2019-06-24,22653000000
2019-06-25,22642932000
2019-06-26,22428148000
2019-06-27,22575812000
2019-06-28,22928742000
2019-07-01,23251398000
2019-07-02,23053099000
2019-07-03,23224509999
2019-07-05,22777497000
2019-07-08,22626251999
2019-07-09,22575837000
2019-07-10,22330484000
2019-07-11,22414509000
2019-07-12,22868244000
2019-07-15,22710276999
2019-07-16,22898493000
2019-07-17,22414509000
2019-07-18,22246459000
2019-07-19,22081770000
2019-07-22,22216209999
2019-07-23,22901854000
2019-07-24,23133763000
2019-07-25,23006045000
2019-07-26,22064965000
2019-07-29,21607869000
2019-07-30,21601147000
2019-07-31,21389404000
2019-08-01,20744092000
2019-08-02,20710482000
2019-08-05,19803012000
2019-08-06,20088697000
2019-08-07,20008033000
2019-08-08,20206332000
2019-08-09,19829900000
2019-08-12,19416497000
2019-08-13,19692099000
2019-08-14,18935874000
2019-08-15,18935874000
2019-08-16,19386248000
2019-08-19,19708904000
2019-08-20,19692099000
2019-08-21,19759319000
2019-08-22,19618157000
2019-08-23,19228281000
2019-08-26,19446746000
2019-08-27,19416497000
2019-08-28,19587908000
2019-08-29,19880315000
2019-08-30,19940813000
2019-09-03,19413136000
2019-09-04,18831683000
2019-09-05,19154339000
2019-09-06,19258530000
2019-09-09,19127451000
2019-09-10,19295501000
2019-09-11,19853427000
2019-09-12,19682016000
2019-09-13,19692099000
2019-09-16,19547576000
2019-09-17,19423219000
2019-09-18,19601352000
2019-09-19,19345916000
2019-09-20,19174505000
2019-09-23,19110646000
2019-09-24,18828322000
2019-09-25,19080397000
2019-09-26,19120729000
2019-09-27,19312724000
2019-09-30,19299268000
2019-10-01,18656744000
2019-10-02,18138688000
2019-10-03,18488544000
2019-10-04,18720660000
2019-10-07,18478452000
2019-10-08,18084864000
2019-10-09,18259792000
2019-10-10,18417900000
2019-10-11,19127704000
2019-10-14,19131068000
2019-10-15,19568388000
2019-10-16,19521292000
2019-10-17,19961976000
2019-10-18,19968704000
2019-10-21,20244552000
2019-10-22,20342108000
2019-10-23,20365656000
2019-10-24,20130176000
2019-10-25,19245444000
2019-10-28,19322816000
2019-10-29,19279084000
2019-10-30,19541476000
2019-10-31,19423736000
2019-11-01,20210912000
2019-11-04,20755880000
2019-11-05,20691964000
2019-11-06,20604500000
2019-11-07,20348836000
2019-11-08,20517036000
2019-11-11,20291648000
2019-11-12,20295012000
2019-11-13,19982160000
2019-11-14,20022528000
2019-11-15,20163816000
2019-11-18,20029256000
2019-11-19,20015800000
2019-11-20,19733224000
