,LIFE
2020-05-26,37991173
2020-05-27,36681133
2020-05-28,34716072
2020-05-29,34996795
2020-06-01,36306836
2020-06-02,36400410
2020-06-03,34996795
2020-06-04,35838964
2020-06-05,36493984
2020-06-08,37055430
2020-06-09,37616876
2020-06-10,36681133
2020-06-11,32189566
2020-06-12,32283140
2020-06-15,34996795
2020-06-16,35838964
2020-06-17,36213261
2020-06-18,36681133
2020-06-19,39581937
2020-06-22,38552619
2020-06-23,36868282
2020-06-24,38459045
2020-06-25,42014869
2020-06-26,41546998
2020-06-29,42857038
2020-06-30,42839490
2020-07-01,41488696
2020-07-02,41102754
2020-07-06,41006269
2020-07-07,41295725
2020-07-08,41778152
2020-07-09,41102754
2020-07-10,41006269
2020-07-13,37436311
2020-07-14,40137901
2020-07-15,43418403
2020-07-16,43514888
2020-07-17,49111038
2020-07-20,52005598
2020-07-21,49689950
2020-07-22,43128946
2020-07-23,43611373
2020-07-24,42453549
2020-07-27,40427357
2020-07-28,39944930
2020-07-29,39269533
2020-07-30,39173048
2020-07-31,38111709
2020-08-03,37629282
2020-08-04,38304679
2020-08-05,38883592
2020-08-06,38497650
2020-08-07,38594136
2020-08-10,38594136
2020-08-11,36857399
2020-08-12,35120663
2020-08-13,37725767
2020-08-14,36760914
2020-08-17,40234386
2020-08-18,42357064
2020-08-19,44672712
2020-08-20,44672712
2020-08-21,42743005
2020-08-24,38883592
2020-08-25,41585181
2020-08-26,42260578
2020-08-27,37725767
2020-08-28,38015223
2020-08-31,36278487
2020-09-01,37629282
2020-09-02,38594136
2020-09-03,37822253
2020-09-04,35892546
2020-09-08,36182002
2020-09-09,37146855
2020-09-10,37725767
2020-09-11,34638237
2020-09-14,36374973
2020-09-15,39655474
2020-09-16,40523842
2020-09-17,40716813
2020-09-18,41585181
2020-09-21,38883592
2020-09-22,37532797
2020-09-23,37243341
2020-09-24,37146855
2020-09-25,35796061
2020-09-28,35313634
2020-09-29,31550706
2020-09-30,34152676
2020-10-01,34681355
2020-10-02,32778110
2020-10-05,34892827
2020-10-06,34681355
2020-10-07,34892827
2020-10-08,36901808
2020-10-09,36584600
2020-10-12,37219015
2020-10-13,38805053
2020-10-14,37007544
2020-10-15,36161657
2020-10-16,36267393
2020-10-19,36584600
2020-10-20,35844449
2020-10-21,34469883
2020-10-22,34892827
2020-10-23,34998563
2020-10-26,34469883
2020-10-27,34046940
2020-10-28,32672374
2020-10-29,34575619
2020-10-30,33518261
2020-11-02,32460902
2020-11-03,33941204
2020-11-04,33623997
2020-11-05,34787091
2020-11-06,33518261
2020-11-09,32883846
2020-11-10,32672374
2020-11-11,34892827
2020-11-12,35527242
2020-11-13,35738713
2020-11-16,35104298
2020-11-17,34575619
2020-11-18,34892827
2020-11-19,35104298
2020-11-20,35210034
2020-11-23,37113279
2020-11-24,37113279
2020-11-25,37959166
2020-11-27,37536223
2020-11-30,46100826
2020-12-01,44409052
2020-12-02,44514788
2020-12-03,48004071
2020-12-04,45995090
2020-12-07,45783618
2020-12-08,43668901
2020-12-09,42823015
2020-12-10,45466411
2020-12-11,49061429
2020-12-14,49272901
2020-12-15,46206562
2020-12-16,45254939
2020-12-17,43351694
2020-12-18,42928751
2020-12-21,44937732
2020-12-22,43563166
2020-12-23,44937732
2020-12-24,44726260
2020-12-28,45254939
2020-12-29,43245958
2020-12-30,41659920
2020-12-31,54722678
2021-01-04,55992018
2021-01-05,54299564
2021-01-06,52466072
2021-01-07,54581640
2021-01-08,56133056
2021-01-11,57966548
2021-01-12,57825510
2021-01-13,55568905
2021-01-14,57825510
2021-01-15,56697207
2021-01-19,57684472
2021-01-20,55850980
2021-01-21,55286829
2021-01-22,56838245
2021-01-25,57684472
2021-01-26,55568905
2021-01-27,50773618
2021-01-28,49786353
2021-01-29,51760883
2021-02-01,53312299
2021-02-02,55286829
2021-02-03,54863715
2021-02-04,63749099
2021-02-05,78134957
2021-02-08,113676490
2021-02-09,104226956
2021-02-10,87584492
2021-02-11,88430719
2021-02-12,87866568
2021-02-16,86879303
2021-02-17,80673638
2021-02-18,76301466
2021-02-19,77570806
2021-02-22,72775520
2021-02-23,65582590
2021-02-24,67275044
2021-02-25,64313250
2021-02-26,61351456
2021-03-01,65864666
2021-03-02,64031174
2021-03-03,60928342
2021-03-04,62620796
2021-03-05,59517964
2021-03-08,61351456
2021-03-09,67557120
2021-03-10,61069380
2021-03-11,67557120
2021-03-12,69390612
2021-03-15,68544385
2021-03-16,86597227
2021-03-17,79122222
2021-03-18,74185898
2021-03-19,79122222
2021-03-22,75032125
2021-03-23,69390612
2021-03-24,65723628
2021-03-25,67839196
2021-03-26,65300515
2021-03-29,60646266
2021-03-30,61915607
2021-03-31,71771704
2021-04-01,73707121
2021-04-05,71287850
2021-04-06,72739413
2021-04-07,67094447
2021-04-08,69675003
2021-04-09,72578128
2021-04-12,64675176
2021-04-13,60320489
2021-04-14,64191322
2021-04-15,59675350
2021-04-16,60804343
2021-04-19,60643058
2021-04-20,59030211
2021-04-21,61449482
2021-04-22,64836461
2021-04-23,64997746
2021-04-26,67417017
2021-04-27,65481600
2021-04-28,67900871
2021-04-29,66449308
2021-04-30,65320315
2021-05-03,66288024
2021-05-04,63546183
2021-05-05,61772051
2021-05-06,59675350
2021-05-07,61610766
2021-05-10,59191495
2021-05-11,62094621
2021-05-12,62094621
2021-05-13,58385072
2021-05-14,59352780
2021-05-17,59030211
2021-05-18,63868753
2021-05-19,65159030
2021-05-20,69997572
2021-05-21,71771704
2021-05-24,66933162
2021-05-25,68707294
2021-05-26,69029864
2021-05-27,69836288
2021-05-28,73223267
2021-06-01,74513545
2021-06-02,75319968
2021-06-03,73384552
2021-06-04,73545836
2021-06-07,75319968
2021-06-08,75803823
2021-06-09,75642538
2021-06-10,76932816
2021-06-11,76610246
2021-06-14,76287677
2021-06-15,76771531
2021-06-16,77900524
2021-06-17,75319968
2021-06-18,72578128
2021-06-21,69675003
2021-06-22,71287850
2021-06-23,72900697
2021-06-24,75158684
2021-06-25,77577955
2021-06-28,78545663
2021-06-29,77094100
2021-06-30,88617047
2021-07-01,90796155
2021-07-02,87890678
2021-07-06,86074754
2021-07-07,82806093
2021-07-08,84985201
2021-07-09,86437939
2021-07-12,84985201
2021-07-13,83532462
2021-07-14,80808577
2021-07-15,80808577
2021-07-16,81716539
2021-07-19,76631954
2021-07-20,81171762
2021-07-21,81353354
2021-07-22,80808577
2021-07-23,80990170
2021-07-26,80082208
2021-07-27,80808577
2021-07-28,83169277
2021-07-29,83169277
2021-07-30,84622016
2021-08-02,84803608
2021-08-03,82624501
2021-08-04,82987685
2021-08-05,85711570
2021-08-06,85348385
2021-08-09,86801124
2021-08-10,87164308
2021-08-11,87890678
2021-08-12,89343416
2021-08-13,87709085
2021-08-16,85166793
2021-08-17,84803608
2021-08-18,84803608
2021-08-19,82079724
2021-08-20,83350870
2021-08-23,89161824
2021-08-24,92430485
2021-08-25,95335962
2021-08-26,94246408
2021-08-27,96607108
2021-08-30,99694178
2021-08-31,100238955
2021-09-01,99149401
2021-09-02,99512585
2021-09-03,99694178
2021-09-07,98967808
2021-09-08,96243924
2021-09-09,100783732
2021-09-10,99512585
2021-09-13,166156963
2021-09-14,163433079
2021-09-15,154716648
2021-09-16,186313710
2021-09-17,187221671
2021-09-20,185587340
2021-09-21,218092364
2021-09-22,209194341
2021-09-23,226627202
2021-09-24,186132117
2021-09-27,179776386
2021-09-28,177234094
2021-09-29,161072378
2021-09-30,252197662
2021-10-01,237754624
2021-10-04,242476387
2021-10-05,237199123
2021-10-06,236921372
2021-10-07,236365871
2021-10-08,246920398
2021-10-11,261641187
2021-10-12,263029941
2021-10-13,263863193
2021-10-14,253864167
2021-10-15,241920885
2021-10-18,238865627
2021-10-19,243865140
2021-10-20,239976630
2021-10-21,238032375
2021-10-22,236921372
2021-10-25,239421129
2021-10-26,235254868
2021-10-27,239976630
2021-10-28,245809396
2021-10-29,238587877
2021-11-01,242754138
2021-11-02,243309639
2021-11-03,244698393
2021-11-04,236088120
2021-11-05,233866114
2021-11-08,234699366
2021-11-09,238310126
2021-11-10,230810856
2021-11-11,239698879
2021-11-12,242476387
2021-11-15,239143378
2021-11-16,236643621
2021-11-17,235532619
2021-11-18,233310613
2021-11-19,227755598
2021-11-22,222200584
2021-11-23,223867088
2021-11-24,224978091
2021-11-26,223867088
2021-11-29,219700827
2021-11-30,231644108
2021-12-01,224700340
2021-12-02,223867088
2021-12-03,216645569
2021-12-06,216645569
2021-12-07,227477847
2021-12-08,239143378
2021-12-09,227477847
2021-12-10,223033836
2021-12-13,221089581
2021-12-14,216090067
2021-12-15,223867088
2021-12-16,221089581
2021-12-17,222200584
2021-12-20,220534079
2021-12-21,215812317
2021-12-22,216090067
2021-12-23,218034323
2021-12-27,212757059
2021-12-28,205535540
2021-12-29,202480282
2021-12-30,208313047
2021-12-31,207803291
2022-01-03,209750577
2022-01-04,206412372
2022-01-05,202239615
2022-01-06,198901409
2022-01-07,187774058
2022-01-10,190555896
2022-01-11,193337734
2022-01-12,187495874
2022-01-13,186104955
2022-01-14,186383139
2022-01-18,181375831
2022-01-19,180819463
2022-01-20,175255787
2022-01-21,166632090
2022-01-24,168301192
2022-01-25,164962987
2022-01-26,157173841
2022-01-27,149662879
2022-01-28,149662879
2022-01-31,158286576
2022-02-01,160790230
2022-02-02,154670187
2022-02-03,153557452
2022-02-04,156617473
2022-02-07,154670187
2022-02-08,156061106
2022-02-09,161624781
2022-02-10,154113819
2022-02-11,149941062
2022-02-14,143542835
2022-02-15,146324673
2022-02-16,144655570
2022-02-17,141873732
2022-02-18,139370078
2022-02-22,141873732
2022-02-23,139926446
2022-02-24,140482813
2022-02-25,140482813
2022-02-28,137979159
2022-03-01,138813711
2022-03-02,143542835
2022-03-03,143542835
2022-03-04,139370078
2022-03-07,134919138
2022-03-08,135475505
2022-03-09,144099203
2022-03-10,146602857
2022-03-11,145768305
2022-03-14,132137300
2022-03-15,132137300
2022-03-16,133528219
2022-03-17,142708284
2022-03-18,140760997
2022-03-21,145768305
2022-03-22,147993776
2022-03-23,166353906
2022-03-24,164684803
2022-03-25,160512046
2022-03-28,154113819
2022-03-29,159677495
2022-03-30,151610165
2022-03-31,150139120
2022-04-01,156874333
2022-04-04,157435601
2022-04-05,154629262
2022-04-06,150419754
2022-04-07,146771514
2022-04-08,142562005
2022-04-11,137510596
2022-04-12,133020454
2022-04-13,142842639
2022-04-14,138913765
2022-04-18,127969044
2022-04-19,127127143
2022-04-20,127969044
2022-04-21,123759536
2022-04-22,121233831
2022-04-25,122356367
2022-04-26,119550028
2022-04-27,117866225
2022-04-28,117304957
2022-04-29,116743689
2022-05-02,117585591
2022-05-03,121795099
2022-05-04,122917635
2022-05-05,116182422
2022-05-06,109727843
2022-05-09,100747559
2022-05-10,97660586
2022-05-11,88680302
2022-05-12,84751428
2022-05-13,85873964
2022-05-16,86435231
2022-05-17,89802838
2022-05-18,84190161
2022-05-19,84190161
2022-05-20,84190161
2022-05-23,83628893
2022-05-24,78858117
2022-05-25,78577483
2022-05-26,78577483
2022-05-27,79700019
2022-05-31,78858117
2022-06-01,78296849
2022-06-02,81103188
2022-06-03,81664456
2022-06-06,79700019
2022-06-07,84190161
2022-06-08,85593330
2022-06-09,82506357
2022-06-10,79138751
2022-06-13,74367975
2022-06-14,75209877
2022-06-15,75490511
2022-06-16,73806707
2022-06-17,74087341
2022-06-21,76613046
2022-06-22,75771144
2022-06-23,81103188
2022-06-24,80261286
2022-06-27,80541920
2022-06-28,78858117
2022-06-29,77174314
2022-06-30,81116423
2022-07-01,81689683
2022-07-05,82836205
2022-07-06,82836205
2022-07-07,84555988
2022-07-08,92581641
2022-07-11,88855445
2022-07-12,89142076
2022-07-13,88855445
2022-07-14,86849032
2022-07-15,84555988
2022-07-18,85989141
2022-07-19,85989141
2022-07-20,87708923
2022-07-21,96021207
2022-07-22,95734576
2022-07-25,98314251
2022-07-26,99174142
2022-07-27,98887512
2022-07-28,97454359
2022-07-29,100607294
2022-08-01,102900338
2022-08-02,101180555
2022-08-03,105480012
2022-08-04,106626534
2022-08-05,103473599
2022-08-08,106053273
2022-08-09,105480012
2022-08-10,106913165
2022-08-11,104620121
2022-08-12,101467186
2022-08-15,104333491
2022-08-16,118951645
2022-08-17,113792296
2022-08-18,114078927
2022-08-19,105193382
2022-08-22,103473599
2022-08-23,103473599
2022-08-24,104906752
2022-08-25,105480012
2022-08-26,101180555
2022-08-29,100034034
2022-08-30,97454359
2022-08-31,98027620
2022-09-01,94874685
2022-09-02,98887512
2022-09-06,99460773
2022-09-07,102040447
2022-09-08,104620121
2022-09-09,104333491
2022-09-12,106053273
2022-09-13,105766643
2022-09-14,98027620
2022-09-15,98027620
2022-09-16,91435119
2022-09-19,87422293
2022-09-20,83982727
2022-09-21,81116423
2022-09-22,79969901
2022-09-23,80543162
2022-09-26,81116423
2022-09-27,79969901
2022-09-28,78536748
2022-09-29,81689683
2022-09-30,87349572
2022-10-03,83273258
2022-10-04,88805398
2022-10-05,83855589
2022-10-06,80943936
2022-10-07,79488110
2022-10-10,79779275
2022-10-11,78323449
2022-10-12,77158788
2022-10-13,77741119
2022-10-14,73664805
2022-10-17,74247136
2022-10-18,76576458
2022-10-19,74247136
2022-10-20,73955970
2022-10-21,72500144
2022-10-24,69006161
2022-10-25,70753153
2022-10-26,72500144
2022-10-27,71044318
2022-10-28,69588492
2022-10-31,71917814
2022-11-01,72500144
2022-11-02,70753153
2022-11-03,71917814
2022-11-04,69879657
2022-11-07,69879657
2022-11-08,69297327
2022-11-09,66094509
2022-11-10,69297327
2022-11-11,72500144
2022-11-14,70753153
2022-11-15,71917814
2022-11-16,69297327
2022-11-17,66676839
2022-11-18,64638683
2022-11-21,62018196
2022-11-22,62018196
2022-11-23,61435865
2022-11-25,62600526
2022-11-28,61727030
2022-11-29,62018196
2022-11-30,62891691
2022-12-01,66385674
2022-12-02,67259170
2022-12-05,66676839
2022-12-06,60271204
2022-12-07,58815378
2022-12-08,62018196
2022-12-09,63182857
2022-12-12,62891691
2022-12-13,64638683
2022-12-14,64347518
2022-12-15,63182857
2022-12-16,63474022
2022-12-19,62600526
2022-12-20,61144700
2022-12-21,59980039
2022-12-22,60271204
2022-12-23,62309361
2022-12-27,61727030
2022-12-28,59397708
2022-12-29,60562369
2022-12-30,63765187
2023-01-03,98878586
2023-01-04,101392448
2023-01-05,102649379
2023-01-06,104744265
2023-01-09,100554494
2023-01-10,95526769
2023-01-11,93431884
2023-01-12,95945746
2023-01-13,97202677
2023-01-17,95945746
2023-01-18,93850861
2023-01-19,95526769
2023-01-20,100135517
2023-01-23,100973471
2023-01-24,101392448
2023-01-25,104325287
2023-01-26,102649379
2023-01-27,99297563
2023-01-30,94269838
2023-01-31,96364723
2023-02-01,95107792
2023-02-02,93850861
2023-02-03,96364723
2023-02-06,102649379
2023-02-07,103487333
2023-02-08,99716540
2023-02-09,92174953
2023-02-10,92174953
2023-02-13,92174953
2023-02-14,92174953
2023-02-15,91336999
2023-02-16,91755976
2023-02-17,94688815
2023-02-21,90918022
2023-02-22,91755976
2023-02-23,90499044
2023-02-24,89242113
2023-02-27,88404159
2023-02-28,88404159
2023-03-01,86309274
2023-03-02,88823136
2023-03-03,91755976
2023-03-06,90499044
2023-03-07,87985182
2023-03-08,89242113
2023-03-09,80862572
2023-03-10,81281549
2023-03-13,81700526
2023-03-14,82538480
2023-03-15,82538480
2023-03-16,80024618
2023-03-17,78767687
2023-03-20,80443595
2023-03-21,81281549
2023-03-22,79186664
2023-03-23,78767687
2023-03-24,80443595
2023-03-27,82538480
2023-03-28,90499044
2023-03-29,88404159
2023-03-30,87985182
2023-03-31,115801990
2023-04-03,115801990
2023-04-04,115801990
2023-04-05,115250552
2023-04-06,115801990
2023-04-10,104773229
2023-04-11,109736171
2023-04-12,106978981
2023-04-13,106427543
2023-04-14,105324667
2023-04-17,105876105
2023-04-18,105876105
2023-04-19,103118915
2023-04-20,94847344
2023-04-21,103670353
2023-04-24,118559180
2023-04-25,113044800
2023-04-26,111390486
2023-04-27,109736171
2023-04-28,107530419
2023-05-01,115801990
2023-05-02,109184733
2023-05-03,113044800
2023-05-04,113044800
2023-05-05,118559180
2023-05-08,118007742
2023-05-09,117456304
2023-05-10,124624999
2023-05-11,129036503
2023-05-12,130690817
2023-05-15,141719578
2023-05-16,140616702
2023-05-17,138962388
2023-05-18,133448008
2023-05-19,134550884
2023-05-22,134550884
2023-05-23,137308074
2023-05-24,136205198
2023-05-25,130139379
2023-05-26,129587941
2023-05-30,125727875
2023-05-31,125176437
2023-06-01,125176437
2023-06-02,127933627
2023-06-05,128485065
2023-06-06,129587941
2023-06-07,126830751
2023-06-08,124624999
2023-06-09,121316371
2023-06-12,123522123
2023-06-13,126279313
2023-06-14,121867809
2023-06-15,121867809
2023-06-16,135102322
2023-06-20,128485065
2023-06-21,127382189
2023-06-22,125176437
2023-06-23,120764932
2023-06-26,116353428
2023-06-27,113596238
2023-06-28,115801990
2023-06-29,116904866
2023-06-30,125032448
2023-07-03,129084426
2023-07-05,122138179
2023-07-06,115191932
2023-07-07,116349639
2023-07-10,116349639
2023-07-11,116349639
2023-07-12,115770786
2023-07-13,114613078
2023-07-14,112876516
2023-07-17,115191932
2023-07-18,111718808
2023-07-19,112876516
2023-07-20,117507347
2023-07-21,119822763
2023-07-24,115191932
2023-07-25,113455370
2023-07-26,113455370
2023-07-27,112297662
2023-07-28,116349639
2023-07-31,113455370
2023-08-01,114034224
2023-08-02,115770786
2023-08-03,116349639
2023-08-04,115770786
2023-08-07,114034224
2023-08-08,113455370
2023-08-09,113455370
2023-08-10,113455370
2023-08-11,115770786
2023-08-14,112876516
2023-08-15,113455370
2023-08-16,111718808
2023-08-17,109403392
2023-08-18,110561100
2023-08-21,110561100
2023-08-22,107087977
2023-08-23,105351415
2023-08-24,106509123
2023-08-25,107087977
2023-08-28,103614853
2023-08-29,103035999
2023-08-30,102457145
2023-08-31,98405168
2023-09-01,98405168
2023-09-05,98405168
2023-09-06,95510898
2023-09-07,95510898
2023-09-08,96089752
2023-09-11,96089752
2023-09-12,95510898
2023-09-13,94932044
2023-09-14,97826314
2023-09-15,97826314
2023-09-18,93195482
2023-09-19,93774336
2023-09-20,93774336
2023-09-21,94353190
2023-09-22,93195482
2023-09-25,89722359
2023-09-26,92037774
2023-09-27,94932044
2023-09-28,92037774
2023-09-29,91458920
2023-10-02,89484440
2023-10-03,81780482
2023-10-04,85928767
2023-10-05,88299216
2023-10-06,85928767
2023-10-09,85928767
2023-10-10,83854624
2023-10-11,84150930
2023-10-12,82373094
2023-10-13,82373094
2023-10-16,82965706
2023-10-17,81484176
2023-10-18,78817421
2023-10-19,75854360
2023-10-20,77632196
2023-10-23,74076523
2023-10-24,72891299
2023-10-25,73483911
2023-10-26,72891299
2023-10-27,71113462
2023-10-30,74076523
2023-10-31,74076523
2023-11-01,72891299
2023-11-02,76446972
2023-11-03,77039584
2023-11-06,75854360
2023-11-07,74076523
2023-11-08,72298687
2023-11-09,68150401
2023-11-10,66372565
2023-11-13,66076259
2023-11-14,65779953
2023-11-15,66372565
2023-11-16,67557789
2023-11-17,67557789
2023-11-20,69928238
2023-11-21,67557789
2023-11-22,69335626
2023-11-24,71706074
2023-11-27,75261748
2023-11-28,74076523
2023-11-29,72298687
2023-11-30,77039584
2023-12-01,75261748
2023-12-04,74669135
2023-12-05,74076523
2023-12-06,73483911
2023-12-07,71706074
2023-12-08,71113462
2023-12-11,69335626
2023-12-12,70520850
2023-12-13,71706074
2023-12-14,71113462
2023-12-15,72298687
2023-12-18,75261748
2023-12-19,82965706
2023-12-20,77632196
2023-12-21,78817421
2023-12-22,80002645
2023-12-26,86521379
2023-12-27,87113991
2023-12-28,87113991
2023-12-29,83558318
2024-01-02,99120888
2024-01-03,103085723
2024-01-04,99781693
2024-01-05,99120888
2024-01-08,103746529
2024-01-09,104407335
2024-01-10,105068141
2024-01-11,103085723
2024-01-12,101764111
2024-01-16,101103305
2024-01-17,96477664
2024-01-18,93834440
2024-01-19,99120888
2024-01-22,102424917
2024-01-23,101764111
2024-01-24,101764111
2024-01-25,102424917
2024-01-26,104407335
2024-01-29,107050559
2024-01-30,106389753
2024-01-31,105728947
2024-02-01,105728947
2024-02-02,116301841
2024-02-05,112337006
2024-02-06,109032976
2024-02-07,109693782
2024-02-08,130178766
2024-02-09,130178766
2024-02-12,130178766
2024-02-13,126213930
2024-02-14,126874736
2024-02-15,127535542
2024-02-16,133482795
2024-02-20,124231512
2024-02-21,130178766
2024-02-22,124892318
2024-02-23,126213930
2024-02-26,128196348
2024-02-27,132161184
2024-02-28,125553124
2024-02-29,126874736
2024-03-01,126213930
2024-03-04,118284259
2024-03-05,110354588
2024-03-06,112337006
2024-03-07,109693782
2024-03-08,105068141
2024-03-11,105728947
2024-03-12,107050559
2024-03-13,107711364
2024-03-14,107050559
2024-03-15,131500378
2024-03-18,129517960
2024-03-19,132161184
2024-03-20,133482795
2024-03-21,133482795
2024-03-22,128857154
2024-03-25,126874736
2024-03-26,126874736
2024-03-27,132161184
2024-03-28,128857154
2024-04-01,126213930
2024-04-02,121588289
2024-04-03,122249095
2024-04-04,123570707
2024-04-05,122909901
2024-04-08,120927483
2024-04-09,113658618
2024-04-10,116962647
2024-04-11,116301841
2024-04-12,114980230
2024-04-15,112337006
2024-04-16,106389753
2024-04-17,105068141
2024-04-18,107050559
2024-04-19,105728947
2024-04-22,108372170
2024-04-23,107050559
2024-04-24,105728947
2024-04-25,105728947
2024-04-26,103746529
2024-04-29,105728947
2024-04-30,103746529
2024-05-01,105068141
2024-05-02,105728947
2024-05-03,106389753
2024-05-06,109693782
2024-05-07,112337006
2024-05-08,111676200
2024-05-09,113658618
2024-05-10,111676200
2024-05-13,112337006
2024-05-14,120266677
2024-05-15,126874736
2024-05-16,127535542
2024-05-17,132161184
2024-05-20,136786825
2024-05-21,128857154
2024-05-22,122909901
2024-05-23,118945065
2024-05-24,118945065
2024-05-28,118284259
2024-05-29,111015394
2024-05-30,116301841
2024-05-31,114319424
2024-06-03,122249095
2024-06-04,125553124
2024-06-07,130839572
2024-06-10,127535542
2024-06-11,128857154
2024-06-12,125553124
2024-06-13,122249095
2024-06-14,120927483
2024-06-17,116962647
2024-06-18,109032976
2024-06-21,98460082
2024-06-24,107711364
2024-06-25,96477664
2024-06-26,101103305
2024-06-27,101764111
2024-06-28,103085723
2024-07-01,103085723
2024-07-02,100442499
