,GIS
2004-07-01,18002500000
2004-07-02,17805420000
2004-07-06,17722040000
2004-07-07,17509800000
2004-07-08,17524960000
2004-07-09,17699300000
2004-07-12,17668980000
2004-07-13,17585600000
2004-07-14,17464320000
2004-07-15,17312720000
2004-07-16,17297560000
2004-07-19,17373360000
2004-07-20,17790260000
2004-07-21,17722040000
2004-07-22,17509800000
2004-07-23,17259660000
2004-07-26,17358200000
2004-07-27,17244500000
2004-07-28,17153540000
2004-07-29,17047419999
2004-07-30,17017100000
2004-08-02,17191440000
2004-08-03,17024680000
2004-08-04,17017100000
2004-08-05,17032260000
2004-08-06,17085320000
2004-08-09,17077740000
2004-08-10,17145960000
2004-08-11,17335460000
2004-08-12,17206600000
2004-08-13,17388520000
2004-08-16,17327880000
2004-08-17,17418840000
2004-08-18,17593180000
2004-08-19,17615920000
2004-08-20,17668980000
