,AMGN
2002-11-22,61234225000
2002-11-25,60459925000
2002-11-26,60679310000
2002-11-27,62318245000
2002-11-29,60911600000
2002-12-02,62679585000
2002-12-03,60847075000
2002-12-04,60563165000
2002-12-05,61982715000
2002-12-06,63750700000
2002-12-09,61479420000
2002-12-10,60756740000
2002-12-11,61001935000
2002-12-12,65105725000
2002-12-13,64937960000
2002-12-16,65183155000
2002-12-17,66615610000
2002-12-18,66783375000
2002-12-19,65518685000
2002-12-20,66434939999
2002-12-23,66641420000
2002-12-24,66396225000
2002-12-26,65402540000
2002-12-27,63931370000
2002-12-30,63440979999
2002-12-31,62382770000
2003-01-02,63647460000
2003-01-03,63479695000
2003-01-06,64873435000
2003-01-07,64834720000
2003-01-08,63079640000
2003-01-09,64124945000
2003-01-10,65092820000
2003-01-13,66486560000
2003-01-14,65944550000
2003-01-15,65454160000
2003-01-16,66047790000
2003-01-17,66228460000
2003-01-21,65647735000
2003-01-22,67751250000
2003-01-23,69041750000
2003-01-24,67415720000
2003-01-27,65531590000
2003-01-28,66576895000
2003-01-29,67351195000
2003-01-30,65789689999
2003-01-31,65763880000
2003-02-03,67273765000
2003-02-04,66886615000
2003-02-05,66163935000
2003-02-06,66189745000
2003-02-07,67222145000
2003-02-10,68370689999
2003-02-11,68977225000
2003-02-12,67518960000
2003-02-13,66822090000
2003-02-14,67880300000
2003-02-18,69196610000
2003-02-19,69661190000
2003-02-20,69674095000
2003-02-21,70461300000
2003-02-24,68590075000
2003-02-25,69506330000
2003-02-26,68719125000
2003-02-27,69764430000
2003-02-28,70512920000
2003-03-03,69493425000
2003-03-04,69841860000
2003-03-05,71403365000
2003-03-06,71493700000
2003-03-07,71880850000
2003-03-10,71106550000
2003-03-11,70977500000
2003-03-12,71183980000
2003-03-13,73558500000
2003-03-14,74384420000
2003-03-17,75636205000
2003-03-18,75971735000
2003-03-19,75236150000
2003-03-20,74810285000
2003-03-21,75571680000
2003-03-24,73997270000
2003-03-25,75442630000
2003-03-26,74784475000
2003-03-27,75584585000
2003-03-28,75571680000
2003-03-31,74118645000
2003-04-01,75367908000
2003-04-02,76926267000
2003-04-03,76501260000
2003-04-04,76346712000
2003-04-07,75226239000
2003-04-08,75535335000
2003-04-09,74183040000
2003-04-10,74633805000
2003-04-11,74543652000
2003-04-14,76089132000
2003-04-15,77467185000
2003-04-16,76681566000
2003-04-17,77441427000
2003-04-21,77377032000
2003-04-22,78484626000
2003-04-23,82168020000
2003-04-24,82412721000
2003-04-25,81137700000
2003-04-28,80996031000
2003-04-29,79978590000
2003-04-30,78948270000
2003-05-01,80532387000
2003-05-02,81485433000
2003-05-05,80764209000
2003-05-06,78523263000
2003-05-07,76694445000
2003-05-08,77879313000
2003-05-09,78870996000
2003-05-12,79836921000
2003-05-13,79205850000
2003-05-14,79656615000
2003-05-15,80661177000
2003-05-16,80249049000
2003-05-19,77621733000
2003-05-20,78600537000
2003-05-21,78162651000
2003-05-22,79682373000
2003-05-23,79579341000
2003-05-27,81974835000
2003-05-28,82103625000
2003-05-29,81549828000
2003-05-30,83378646000
2003-06-02,81846045000
2003-06-03,82502874000
2003-06-04,83056671000
2003-06-05,84280176000
2003-06-06,81627102000
2003-06-09,80789967000
2003-06-10,82000593000
2003-06-11,84138507000
2003-06-12,83752137000
2003-06-13,83713500000
2003-06-16,86933250000
2003-06-17,86083236000
2003-06-18,84833973000
2003-06-19,82193778000
2003-06-20,83674863000
2003-06-23,82580148000
2003-06-24,83777895000
2003-06-25,83185461000
2003-06-26,85413527999
2003-06-27,83945322000
2003-06-30,84996660000
2003-07-01,84880650000
2003-07-02,86633689999
2003-07-03,85563820000
2003-07-07,88824990000
2003-07-08,90217110000
2003-07-09,90165550000
2003-07-10,89598390000
2003-07-11,89972200000
2003-07-14,90861610000
2003-07-15,92215060000
2003-07-16,92008820000
2003-07-17,91158080000
2003-07-18,91222530000
2003-07-21,89044120000
2003-07-22,88850770000
2003-07-23,89869080000
2003-07-24,88038700000
2003-07-25,88567189999
2003-07-28,90088210000
2003-07-29,89314810000
2003-07-30,89765960000
2003-07-31,89495270000
2003-08-01,87974250000
2003-08-04,87858240000
2003-08-05,85293130000
2003-08-06,85164229999
2003-08-07,86388780000
2003-08-08,86130979999
2003-08-11,87020390000
2003-08-12,89005450000
2003-08-13,87703560000
2003-08-14,88399620000
2003-08-15,88554300000
2003-08-18,89598390000
2003-08-19,88064479999
2003-08-20,88438290000
2003-08-21,88554300000
2003-08-22,85692720000
2003-08-25,85331800000
2003-08-26,84468170000
2003-08-27,84725970000
2003-08-28,85434920000
2003-08-29,84996660000
2003-09-02,87445760000
2003-09-03,85473590000
2003-09-04,86543460000
2003-09-05,86723920000
2003-09-08,87909800000
2003-09-09,86904380000
2003-09-10,86350110000
2003-09-11,87974250000
2003-09-12,88322280000
2003-09-15,88296500000
2003-09-16,89985090000
2003-09-17,89753070000
2003-09-18,90230000000
2003-09-19,88799210000
2003-09-22,88244939999
2003-09-23,88399620000
2003-09-24,84880650000
2003-09-25,84274820000
2003-09-26,83978350000
2003-09-29,84261930000
2003-09-30,82546888000
2003-10-01,84798632000
2003-10-02,84632310000
2003-10-03,83122618000
2003-10-06,83071442000
2003-10-07,84709073999
2003-10-08,83391292000
2003-10-09,85118482000
2003-10-10,84517164000
2003-10-13,85898916000
2003-10-14,85476714000
2003-10-15,83583202000
2003-10-16,83365704000
2003-10-17,80614994000
2003-10-20,79182066000
2003-10-21,81433810000
2003-10-22,77147820000
2003-10-23,76431356000
2003-10-24,78644718000
2003-10-27,77825902000
2003-10-28,77851490000
2003-10-29,76955910000
2003-10-30,78184134000
2003-10-31,79015744000
2003-11-03,78235310000
2003-11-04,78158546000
2003-11-05,78350456000
2003-11-06,78209722000
2003-11-07,76700030000
2003-11-10,75663716000
2003-11-11,75459012000
2003-11-12,77122232000
2003-11-13,76700030000
2003-11-14,74525050000
2003-11-17,76687236000
2003-11-18,75279896000
2003-11-19,76891940000
2003-11-20,76444150000
2003-11-21,76700030000
2003-11-24,76981498000
2003-11-25,75369454000
2003-11-26,74384316000
2003-11-28,73719028000
2003-12-01,75778862000
2003-12-02,75343866000
2003-12-03,75279896000
2003-12-04,76265034000
2003-12-05,74589020000
2003-12-08,74141230000
2003-12-09,74115642000
2003-12-10,74473874000
2003-12-11,75151956000
2003-12-12,76034742000
2003-12-15,76418562000
2003-12-16,77250172000
2003-12-17,79514710000
2003-12-18,78798246000
2003-12-19,79130890000
2003-12-22,78248104000
2003-12-23,79028538000
2003-12-24,78631924000
2003-12-26,78196928000
2003-12-29,79156478000
2003-12-30,79284418000
2003-12-31,79029410000
2004-01-02,79745650000
2004-01-05,79745650000
2004-01-06,80001450000
2004-01-07,81063020000
2004-01-08,81037440000
2004-01-09,80577000000
2004-01-12,80615370000
2004-01-13,81536250000
2004-01-14,81919950000
2004-01-15,80768850000
2004-01-16,81216500000
2004-01-20,80513050000
2004-01-21,80333990000
2004-01-22,78620130000
2004-01-23,81766470000
2004-01-26,83557070000
2004-01-27,82495500000
2004-01-28,82239700000
2004-01-29,83122210000
2004-01-30,82700140000
2004-02-02,84580270000
2004-02-03,84708170000
2004-02-04,83595440000
2004-02-05,82559450000
2004-02-06,82955940000
2004-02-09,82137380000
2004-02-10,83096630000
2004-02-11,84209360000
2004-02-12,83582650000
2004-02-13,82712930000
2004-02-17,82559450000
2004-02-18,81958320000
2004-02-19,80922330000
2004-02-20,81306030000
2004-02-23,80730480000
2004-02-24,80922330000
2004-02-25,81510670000
2004-02-26,82354810000
2004-02-27,81254870000
2004-03-01,82175750000
2004-03-02,81267660000
2004-03-03,80628160000
2004-03-04,80436310000
2004-03-05,80896750000
2004-03-08,79886340000
2004-03-09,80270040000
2004-03-10,78070160000
2004-03-11,76995800000
2004-03-12,77827150000
2004-03-15,76074920000
2004-03-16,75524950000
2004-03-17,78402700000
2004-03-18,78249220000
2004-03-19,77955050000
2004-03-22,76880690000
2004-03-23,73964570000
2004-03-24,74412220000
2004-03-25,75499370000
2004-03-26,74297110000
2004-03-29,76164450000
2004-03-30,75486580000
2004-03-31,73734200000
2004-04-01,74355520000
2004-04-02,75458680000
2004-04-05,75686920000
2004-04-06,74495000000
2004-04-07,73556680000
2004-04-08,73924400000
2004-04-12,74621800000
2004-04-13,74304800000
2004-04-14,74888080000
2004-04-15,76536480000
2004-04-16,76257520000
2004-04-19,76625240000
2004-04-20,74266760000
2004-04-21,72288680000
2004-04-22,72453520000
2004-04-23,73937080000
2004-04-26,74888080000
2004-04-27,75991240000
2004-04-28,74342840000
2004-04-29,73696160000
2004-04-30,71527880000
2004-05-03,73467920000
2004-05-04,73163600000
2004-05-05,74114600000
2004-05-06,73265040000
2004-05-07,72212600000
2004-05-10,72554960000
2004-05-11,72364760000
2004-05-12,72707120000
2004-05-13,72529600000
2004-05-14,71946320000
2004-05-17,71540560000
2004-05-18,70944600000
2004-05-19,69106000000
2004-05-20,67901400000
2004-05-21,68345200000
2004-05-24,67901400000
2004-05-25,69270840000
2004-05-26,69448360000
2004-05-27,69714640000
2004-05-28,69359600000
2004-06-01,68839720000
2004-06-02,69942880000
2004-06-03,69955560000
2004-06-04,70285240000
2004-06-07,70716360000
2004-06-08,70627600000
2004-06-09,69942880000
2004-06-10,70209160000
2004-06-14,70323280000
2004-06-15,69562480000
2004-06-16,68979200000
2004-06-17,68433960000
2004-06-18,67812639999
2004-06-21,66975760000
2004-06-22,67330800000
2004-06-23,68750960000
2004-06-24,69131360000
2004-06-25,68636840000
2004-06-28,67914080000
2004-06-29,68586120000
