,CCI
2003-09-24,2088226440
2003-09-25,2060065710
2003-09-26,2025406350
2003-09-29,2008076670
2003-09-30,2053638400
2003-10-01,2097286399
2003-10-02,2269696000
2003-10-03,2332985600
2003-10-06,2407187200
2003-10-07,2402822400
2003-10-08,2396275200
2003-10-09,2431193600
2003-10-10,2422464000
2003-10-13,2483571200
2003-10-14,2466112000
2003-10-15,2463929600
2003-10-16,2463929600
2003-10-17,2446470400
2003-10-20,2494483200
2003-10-21,2549043200
2003-10-22,2509760000
2003-10-23,2455200000
2003-10-24,2433376000
2003-10-27,2514124800
2003-10-28,2586144000
2003-10-29,2828390400
2003-10-30,2771648000
2003-10-31,2762918400
2003-11-03,2747641600
2003-11-04,2756371200
2003-11-05,2669075200
2003-11-06,2721452800
2003-11-07,2813113600
2003-11-10,2662528000
2003-11-11,2621062400
2003-11-12,2717088000
2003-11-13,2669075200
2003-11-14,2594873600
2003-11-17,2531584000
2003-11-18,2575232000
2003-11-19,2531584000
2003-11-20,2496665600
2003-11-21,2597056000
2003-11-24,2638521600
2003-11-25,2625427200
2003-11-26,2658163200
2003-11-28,2708358400
2003-12-01,2760736000
2003-12-02,2771648000
2003-12-03,2782560000
2003-12-04,2732364800
2003-12-05,2749824000
2003-12-08,2717088000
2003-12-09,2640704000
2003-12-10,2562137600
2003-12-11,2618880000
2003-12-12,2553408000
2003-12-15,2498848000
2003-12-16,2455200000
2003-12-17,2446470400
2003-12-18,2446470400
2003-12-19,2356992000
2003-12-22,2400640000
2003-12-23,2435558400
2003-12-24,2429011200
2003-12-26,2444288000
2003-12-29,2422464000
2003-12-30,2398457600
2003-12-31,2418812820
2004-01-02,2412234000
2004-01-05,2532845700
2004-01-06,2587669200
2004-01-07,2660036220
2004-01-08,2774069100
2004-01-09,2872751400
2004-01-12,2861786700
2004-01-13,2846436120
2004-01-14,2763104400
2004-01-15,2752139700
2004-01-16,2774069100
2004-01-20,2785033800
2004-01-21,2730210300
2004-01-22,2723631480
2004-01-23,2763104400
2004-01-26,2728017360
2004-01-27,2745560880
2004-01-28,2662229160
2004-01-29,2620563300
2004-01-30,2719245600
2004-02-02,2686351500
2004-02-03,2688544440
2004-02-04,2565739800
2004-02-05,2631528000
2004-02-06,2756525580
2004-02-09,2765297340
2004-02-10,2708280900
2004-02-11,2719245600
2004-02-12,2706087960
2004-02-13,2688544440
2004-02-17,2800384380
2004-02-18,2653457400
2004-02-19,2662229160
2004-02-20,2627142120
2004-02-23,2618370360
2004-02-24,2532845700
2004-02-25,2565739800
2004-02-26,2598633900
2004-02-27,2642492700
2004-03-01,2660036220
2004-03-02,2846436120
2004-03-03,2881523160
2004-03-04,3037221900
2004-03-05,2967047820
2004-03-08,2901259620
2004-03-09,2857400820
2004-03-10,2787226740
2004-03-11,2771876160
2004-03-12,2769683220
2004-03-15,2741175000
2004-03-16,2883716100
2004-03-17,2916610200
2004-03-18,2850822000
2004-03-19,2817927900
2004-03-22,2749946760
2004-03-23,2660036220
2004-03-24,2611791540
2004-03-25,2673193860
2004-03-26,2655650340
2004-03-29,2706087960
2004-03-30,2763104400
2004-03-31,2802003390
2004-04-01,2853029580
2004-04-02,2877433410
2004-04-05,2939552250
2004-04-06,3019419330
2004-04-07,3061571400
2004-04-08,3121471710
2004-04-12,3083756700
2004-04-13,3057134340
2004-04-14,3028293450
2004-04-15,3190246140
2004-04-16,3225742620
2004-04-19,3327795000
2004-04-20,3307828230
2004-04-21,3398787960
2004-04-22,3467562390
2004-04-23,3398787960
2004-04-26,3405443550
2004-04-27,3310046760
2004-04-28,3219087030
2004-04-29,3190246140
2004-04-30,3094849350
2004-05-03,3278987340
2004-05-04,3327795000
2004-05-05,3272331750
2004-05-06,3227961150
2004-05-07,3203557320
2004-05-10,3061571400
2004-05-11,3059352870
2004-05-12,3028293450
2004-05-13,3014982270
2004-05-14,2997234030
2004-05-17,2919585480
2004-05-18,2972830200
2004-05-19,3010545210
2004-05-20,3063789930
2004-05-21,3105942000
2004-05-24,3112597590
2004-05-25,3205775850
2004-05-26,3216868500
2004-05-27,3267894690
2004-05-28,3267894690
2004-06-01,3232398210
2004-06-02,3194683200
2004-06-03,3114816120
2004-06-04,3239053800
2004-06-07,3316702350
2004-06-08,3334450590
2004-06-09,3285642930
2004-06-10,3338887650
2004-06-14,3316702350
2004-06-15,3332232060
2004-06-16,3327795000
2004-06-17,3376602660
2004-06-18,3376602660
2004-06-21,3316702350
2004-06-22,3414317670
2004-06-23,3538555350
2004-06-24,3600674190
2004-06-25,3567396239
2004-06-28,3134782890
2004-06-29,3212431440
2004-06-30,3286904750
2004-07-01,3228966090
2004-07-02,3215595630
2004-07-06,3202225170
2004-07-07,3347071820
2004-07-08,3300275210
2004-07-09,3313645670
2004-07-12,3277991110
2004-07-13,3262392240
2004-07-14,3193311530
2004-07-15,3175484250
2004-07-16,3220052450
2004-07-19,3264620650
2004-07-20,3318102490
2004-07-21,3177712660
2004-07-22,3108631950
2004-07-23,3003896680
2004-07-26,2818938650
2004-07-27,3081891030
2004-07-28,3213367220
2004-07-29,3166570610
2004-07-30,3146514920
2004-08-02,3097489900
2004-08-03,2972698940
2004-08-04,2932587560
2004-08-05,2914760280
2004-08-06,2921445510
2004-08-09,2874648900
2004-08-10,2957100070
2004-08-11,2952643250
2004-08-12,2954871660
2004-08-13,2986069400
2004-08-16,2970470530
2004-08-17,2988297810
2004-08-18,3046236470
2004-08-19,3028409190
2004-08-20,3041779650
2004-08-23,3046236470
2004-08-24,2999439860
2004-08-25,3075205800
2004-08-26,3061835340
2004-08-27,3197768350
2004-08-30,3159885380
2004-08-31,3188854710
2004-09-01,3157656970
2004-09-02,3195539940
2004-09-03,3164342200
2004-09-07,3153200150
2004-09-08,3220052450
2004-09-09,3211138810
2004-09-10,3264620650
2004-09-13,3266849060
2004-09-14,3271305880
2004-09-15,3242336550
