,CNXT
2019-03-08,17613629
2019-03-11,18615221
2019-03-12,18977569
2019-03-13,18218214
2019-03-14,17572290
2019-03-15,17865319
2019-03-18,18336686
2019-03-19,18268628
2019-03-20,18167801
2019-03-21,18319041
2019-03-22,17871621
2019-03-25,17802302
2019-03-26,17581743
2019-03-27,17493519
2019-03-28,17569139
2019-03-29,18274930
2019-04-01,19150866
2019-04-02,18980720
2019-04-03,19163469
2019-04-04,19232788
2019-04-05,19409236
2019-04-08,19018530
2019-04-09,18832630
2019-04-10,18829479
2019-04-11,18375757
2019-04-12,18802697
2019-04-15,18161499
2019-04-16,18495489
2019-04-17,18823177
2019-04-18,18590015
2019-04-22,18319041
2019-04-23,18196158
2019-04-24,18281042
2019-04-25,17709037
2019-04-26,17669966
2019-04-29,17235590
2019-04-30,17279324
2019-05-01,17291864
2019-05-02,17172447
2019-05-03,17411597
2019-05-06,16258386
2019-05-07,15747948
2019-05-08,15817203
2019-05-09,15703395
2019-05-10,16113446
2019-05-13,15218605
2019-05-14,15678629
2019-05-15,15860622
2019-05-16,15943301
2019-05-17,15306829
2019-05-20,15145442
2019-05-21,15551965
2019-05-22,15476975
2019-05-23,15067364
2019-05-24,14997100
2019-05-28,15432863
2019-05-29,15521969
2019-05-30,15451894
2019-05-31,15452209
2019-06-03,15464371
2019-06-04,15407656
2019-06-05,15199889
2019-06-06,14935029
2019-06-07,15011468
2019-06-10,15117778
2019-06-11,15653422
2019-06-12,15490586
2019-06-13,15596707
2019-06-14,15262717
2019-06-17,15218605
2019-06-18,15666026
2019-06-19,15703836
2019-06-20,16176463
2019-06-21,16145018
2019-06-24,16189067
2019-06-25,15911792
2019-06-26,16144955
2019-06-27,16258386
2019-06-28,16264687
2019-07-01,16927626
2019-07-02,16828689
2019-07-03,16676440
2019-07-05,16397023
2019-07-08,16217424
2019-07-09,16292919
2019-07-10,16296196
2019-07-11,16129201
2019-07-12,16201670
2019-07-15,16460040
2019-07-16,16397338
2019-07-17,16451785
2019-07-18,16283592
2019-07-19,16302497
2019-07-22,16204758
2019-07-23,16390721
2019-07-24,16592376
2019-07-25,16667996
2019-07-26,16766366
2019-07-29,16762522
2019-07-30,16731013
2019-07-31,16567169
2019-08-01,16031524
2019-08-02,16100843
2019-08-05,15388751
2019-08-06,15577802
2019-08-07,15602316
2019-08-08,15798361
