,IGT
2003-04-29,1895184060
2003-04-30,1916498219
2003-05-01,1903176870
2003-05-02,1937812380
2003-05-05,1932483840
2003-05-06,1952909909
2003-05-07,1947581370
2003-05-08,1949357550
2003-05-09,1976888340
2003-05-12,1987545420
2003-05-13,1972447890
2003-05-14,1952021820
2003-05-15,1950245640
2003-05-16,1962678900
2003-05-19,1936924290
2003-05-20,1904953050
2003-05-21,1912945860
2003-05-22,1959126540
2003-05-23,1959126540
2003-05-27,1997314409
2003-05-28,1992873960
2003-05-29,1982216880
2003-05-30,1954686090
2003-06-02,1884526980
2003-06-03,1895184060
2003-06-04,2011523849
2003-06-05,2064809250
2003-06-06,2031949920
2003-06-09,2011523849
2003-06-10,2039942730
2003-06-11,2095004310
2003-06-12,2125199370
2003-06-13,2151842070
2003-06-16,2163387240
2003-06-17,2134968360
2003-06-18,2131416000
2003-06-19,2122535099
2003-06-20,2119870830
2003-06-23,2178484770
2003-06-24,2184701400
2003-06-25,2216672640
2003-06-26,2247755790
2003-06-27,2253972420
2003-06-30,2271734220
2003-07-01,2274398490
2003-07-02,2278838940
2003-07-03,2279727030
2003-07-07,2293936470
2003-07-08,2306369730
2003-07-09,2341005240
2003-07-10,2355214680
2003-07-11,2361431310
2003-07-14,2385409740
2003-07-15,2378305020
2003-07-16,2354326590
2003-07-17,2312586360
2003-07-18,2299265010
2003-07-21,2319691080
2003-07-22,2329460070
2003-07-23,2329460070
2003-07-24,2384521650
2003-07-25,2356102770
2003-07-28,2287719840
2003-07-29,2295712650
2003-07-30,2269069950
2003-07-31,2260189050
2003-08-01,2225553540
2003-08-04,2244203430
2003-08-05,2181149040
2003-08-06,2190918030
2003-08-07,2182037130
2003-08-08,2233546350
2003-08-11,2211344100
2003-08-12,2206015560
2003-08-13,2182925220
2003-08-14,2184701400
2003-08-15,2175820500
2003-08-18,2215784550
2003-08-19,2239762980
2003-08-20,2293048380
2003-08-21,2309034000
2003-08-22,2271734220
2003-08-25,2264629500
2003-08-26,2246867700
2003-08-27,2227329720
2003-08-28,2253084330
2003-08-29,2294824560
2003-09-02,2293936470
2003-09-03,2289496020
2003-09-04,2352550410
2003-09-05,2396066820
2003-09-08,2427149970
2003-09-09,2411164350
2003-09-10,2349886140
2003-09-11,2334788610
2003-09-12,2388074010
2003-09-15,2365871760
2003-09-16,2420045250
2003-09-17,2447576040
2003-09-18,2482211550
2003-09-19,2501749530
2003-09-22,2496420990
2003-09-23,2531056500
2003-09-24,2563915830
2003-09-25,2507966160
2003-09-26,2536385040
2003-09-29,2548818300
2003-09-30,2499973350
2003-10-01,2581677630
2003-10-02,2593222800
2003-10-03,2553258750
2003-10-06,2546154030
2003-10-07,2539049310
2003-10-08,2496420990
2003-10-09,2501749530
2003-10-10,2494644810
2003-10-13,2767288440
2003-10-14,2694465060
2003-10-15,2664270000
2003-10-16,2711338770
2003-10-17,2745974280
2003-10-20,2731764840
2003-10-21,2790378780
2003-10-22,2753079000
2003-10-23,2759295630
2003-10-24,2763736080
2003-10-27,2803700130
2003-10-28,2835671370
2003-10-29,2855209350
2003-10-30,2886292500
2003-10-31,2908494750
2003-11-03,2936025540
2003-11-04,2869418790
2003-11-05,3071903310
2003-11-06,3019506000
2003-11-07,2968884870
2003-11-10,2936025540
2003-11-11,2919151830
2003-11-12,2907606660
2003-11-13,2930697000
2003-11-14,2941354080
2003-11-17,2887180590
2003-11-18,2888068680
2003-11-19,2848992720
2003-11-20,2893397220
2003-11-21,2932473180
2003-11-24,3003520380
2003-11-25,3020394090
2003-11-26,3023946449
2003-11-28,3080784210
2003-12-01,3117195900
2003-12-02,3095881740
2003-12-03,3062134319
2003-12-04,3019506000
2003-12-05,3028386900
2003-12-08,3071015220
2003-12-09,3028386900
2003-12-10,2993751390
2003-12-11,3079896120
2003-12-12,3083448480
2003-12-15,3098546010
2003-12-16,3090553199
2003-12-17,3143838600
2003-12-18,3282380640
2003-12-19,3249521310
2003-12-22,3123412530
2003-12-23,3155383770
2003-12-24,3172257480
2003-12-26,3172257480
2003-12-29,3198900180
2003-12-30,3168705120
2003-12-31,3170481300
2004-01-02,4044114530
2004-01-05,4044114530
2004-01-06,4122018152
2004-01-07,4062444794
2004-01-08,4078483775
2004-01-09,4045260171
2004-01-12,4018910417
2004-01-13,3969647832
2004-01-14,3997143228
2004-01-15,4110561737
2004-01-16,4083066341
2004-01-20,4068173002
2004-01-21,4193047926
2004-01-22,4261786417
2004-01-23,4301883870
2004-01-26,4376350568
2004-01-27,4347709530
2004-01-28,4242310511
2004-01-29,4278971039
2004-01-30,4291573096
2004-02-02,4259495134
2004-02-03,4273242832
2004-02-04,4180445869
2004-02-05,4189611002
2004-02-06,4320214134
2004-02-09,4288136171
2004-02-10,4257203851
2004-02-11,4359165945
2004-02-12,4351146454
2004-02-13,4305320794
2004-02-17,4322505417
2004-02-18,4360311587
2004-02-19,4390098266
2004-02-20,4352292096
2004-02-23,4292718737
2004-02-24,4248038719
2004-02-25,4262932058
2004-02-26,4284699247
2004-02-27,4495497285
2004-03-01,4764723040
2004-03-02,4886161040
2004-03-03,4851791794
2004-03-04,4832315889
2004-03-05,4835752813
2004-03-08,4795655360
2004-03-09,4725771228
2004-03-10,4645576323
2004-03-11,4579129115
2004-03-12,4629537341
2004-03-15,4576837832
2004-03-16,4683382492
2004-03-17,4791072794
2004-03-18,4789927153
2004-03-19,4742955851
2004-03-22,4619226568
2004-03-23,4749829700
2004-03-24,5060298549
2004-03-25,5140493455
2004-03-26,5118726266
2004-03-29,5149658587
2004-03-30,5125600115
2004-03-31,5150804228
2004-04-01,5167988851
2004-04-02,5244746832
2004-04-05,5363893549
2004-04-06,5323796096
2004-04-07,5237872983
2004-04-08,5173717059
2004-04-12,5194338606
2004-04-13,5158823719
2004-04-14,5166843210
2004-04-15,5077483172
2004-04-16,5244746832
2004-04-19,5287135568
2004-04-20,5283698644
2004-04-21,5336398153
2004-04-22,5041968285
2004-04-23,4771596889
2004-04-26,4498934209
2004-04-27,4556216285
2004-04-28,4455399832
2004-04-29,4346563888
2004-04-30,4323651058
2004-05-03,4403845964
2004-05-04,4190756643
2004-05-05,4272097190
2004-05-06,4411865455
2004-05-07,4297301304
2004-05-10,4204504341
2004-05-11,4261786417
2004-05-12,4274388473
2004-05-13,4272097190
2004-05-14,4374059285
2004-05-17,4292718737
2004-05-18,4399263398
2004-05-19,4353437738
2004-05-20,4421030587
2004-05-21,4504662417
2004-05-24,4561944492
2004-05-25,4569963983
2004-05-26,4547051153
2004-05-27,4490914719
2004-05-28,4502371134
2004-06-01,4479458304
2004-06-02,4618080926
2004-06-03,4579129115
2004-06-04,4559653209
2004-06-07,4669634794
2004-06-08,4594022455
2004-06-09,4526429606
2004-06-10,4346563888
2004-06-14,4210232549
2004-06-15,3832170850
2004-06-16,3990269379
2004-06-17,4025784266
2004-06-18,4110561737
2004-06-21,4038386322
2004-06-22,3995997586
2004-06-23,4039531964
2004-06-24,4204504341
2004-06-25,4240019228
2004-06-28,4256058209
2004-06-29,4316777209
2004-06-30,4422176228
2004-07-01,4352292096
2004-07-02,4441652134
2004-07-06,4372913643
2004-07-07,4351146454
2004-07-08,4248038719
2004-07-09,4274388473
2004-07-12,4244601794
2004-07-13,4193047926
2004-07-14,4172426379
2004-07-15,4143785341
2004-07-16,4036095039
2004-07-19,3835607775
2004-07-20,3991415020
2004-07-21,3884870360
2004-07-22,3520556360
2004-07-23,3442652737
2004-07-26,3614498964
2004-07-27,3606479473
2004-07-28,3576692794
2004-07-29,3621372813
2004-07-30,3705004643
2004-08-02,3699276435
2004-08-03,3638557435
2004-08-04,3572110228
2004-08-05,3513682511
2004-08-06,3469002492
2004-08-09,3474730699
2004-08-10,3551488681
2004-08-11,3552634322
2004-08-12,3511391228
2004-08-13,3444944020
2004-08-16,3401409643
2004-08-17,3370477322
2004-08-18,3425468114
2004-08-19,3435778888
2004-08-20,3417448624
2004-08-23,3399118360
2004-08-24,3345273209
2004-08-25,3305175756
2004-08-26,3329234228
2004-08-27,3301738831
2004-08-30,3290282416
2004-08-31,3305175756
2004-09-01,3418594265
2004-09-02,3452963511
2004-09-03,3442652737
2004-09-07,3653450775
2004-09-08,3768014926
2004-09-09,3687820020
2004-09-10,3686674379
2004-09-13,3658033341
2004-09-14,3630537945
2004-09-15,3637411794
2004-09-16,3694693869
2004-09-17,3746247737
2004-09-20,3803529813
2004-09-21,3923822171
2004-09-22,3883724718
