,KDP
2011-12-05,1296552000
2011-12-06,1292280000
2011-12-07,1296552000
2011-12-08,1305096000
2011-12-09,1300824000
2011-12-12,1298688000
2011-12-13,1294416000
2011-12-14,1298688000
2011-12-15,1313640000
2011-12-16,1335000000
2011-12-19,1324320000
2011-12-20,1349952000
2011-12-21,1352088000
2011-12-22,1349952000
2011-12-23,1369176000
2011-12-27,1371312000
2011-12-28,1356360000
2011-12-29,1373448000
2011-12-30,1358496000
2012-01-03,1311742000
2012-01-04,1320246000
2012-01-05,1328750000
2012-01-06,1318120000
2012-01-09,1318120000
2012-01-10,1322372000
2012-01-11,1305364000
2012-01-12,1298986000
2012-01-13,1294734000
2012-01-17,1288356000
2012-01-18,1290482000
2012-01-19,1277726000
2012-01-20,1288356000
2012-01-23,1303238000
2012-01-24,1294734000
2012-01-25,1326624000
2012-01-26,1337254000
2012-01-27,1324498000
2012-01-30,1313868000
2012-01-31,1328750000
2012-02-01,1337254000
2012-02-02,1337254000
2012-02-03,1322372000
2012-02-06,1311742000
2012-02-07,1315994000
2012-02-08,1307490000
2012-02-09,1305364000
2012-02-10,1318120000
2012-02-13,1322372000
2012-02-14,1339380000
2012-02-15,1364892000
2012-02-16,1369144000
2012-02-17,1354262000
2012-02-21,1341506000
2012-02-22,1330876000
2012-02-23,1330876000
2012-02-24,1320246000
2012-02-27,1313868000
2012-02-28,1305364000
2012-02-29,1303238000
2012-03-01,1305364000
2012-03-02,1294734000
2012-03-05,1296860000
2012-03-06,1296860000
2012-03-07,1290482000
2012-03-08,1290482000
2012-03-09,1303238000
2012-03-12,1318120000
2012-03-13,1333002000
2012-03-14,1322372000
2012-03-15,1315994000
2012-03-16,1320246000
2012-03-19,1322372000
2012-03-20,1313868000
2012-03-21,1320246000
2012-03-22,1333002000
2012-03-23,1326624000
2012-03-26,1326624000
2012-03-27,1320246000
2012-03-28,1324498000
2012-03-29,1360640000
2012-03-30,1375522000
2012-04-02,1385826000
2012-04-03,1379469000
2012-04-04,1375231000
2012-04-05,1383707000
2012-04-09,1356160000
2012-04-10,1339208000
2012-04-11,1345565000
2012-04-12,1334970000
2012-04-13,1339208000
2012-04-16,1343446000
2012-04-17,1366755000
2012-04-18,1377350000
2012-04-19,1381588000
2012-04-20,1383707000
2012-04-23,1362517000
2012-04-24,1375231000
2012-04-25,1341327000
2012-04-26,1354041000
2012-04-27,1354041000
2012-04-30,1383707000
2012-05-01,1381588000
2012-05-02,1409135000
2012-05-03,1368874000
2012-05-04,1362517000
2012-05-07,1358279000
2012-05-08,1383707000
2012-05-09,1396421000
2012-05-10,1404897000
2012-05-11,1396421000
2012-05-14,1392183000
2012-05-15,1379469000
2012-05-16,1402778000
2012-05-17,1392183000
2012-05-18,1373112000
2012-05-21,1383707000
2012-05-22,1396421000
2012-05-23,1402778000
2012-05-24,1390064000
2012-05-25,1402778000
2012-05-29,1402778000
2012-05-30,1402778000
2012-05-31,1407016000
2012-06-01,1385826000
2012-06-04,1392183000
2012-06-05,1394302000
2012-06-06,1411254000
2012-06-07,1428206000
2012-06-08,1455753000
2012-06-11,1447277000
2012-06-12,1489657000
2012-06-13,1474824000
2012-06-14,1462110000
2012-06-15,1455753000
2012-06-18,1464229000
2012-06-19,1459991000
2012-06-20,1455753000
2012-06-21,1440920000
2012-06-22,1464229000
2012-06-25,1455753000
2012-06-26,1451515000
2012-06-27,1459991000
2012-06-28,1483300000
2012-06-29,1491776000
2012-07-02,1474904000
2012-07-03,1487528000
2012-07-05,1487528000
2012-07-06,1466488000
2012-07-09,1464384000
2012-07-10,1485424000
2012-07-11,1477008000
2012-07-12,1481216000
2012-07-13,1493840000
2012-07-16,1470696000
2012-07-17,1479112000
2012-07-18,1493840000
2012-07-19,1489632000
2012-07-20,1483320000
2012-07-23,1472800000
2012-07-24,1468592000
2012-07-25,1483320000
2012-07-26,1512776000
2012-07-27,1544336000
2012-07-30,1544336000
2012-07-31,1544336000
2012-08-01,1540128000
2012-08-02,1527504000
2012-08-03,1544336000
2012-08-06,1535920000
2012-08-07,1531712000
2012-08-08,1540128000
2012-08-09,1525400000
2012-08-10,1525400000
2012-08-13,1514880000
2012-08-14,1523296000
2012-08-15,1525400000
2012-08-16,1521192000
2012-08-17,1529608000
2012-08-20,1538024000
2012-08-21,1535920000
2012-08-22,1535920000
2012-08-23,1512776000
2012-08-24,1531712000
2012-08-27,1535920000
2012-08-28,1523296000
2012-08-29,1525400000
2012-08-30,1510672000
2012-08-31,1516984000
2012-09-04,1521192000
2012-09-05,1516984000
2012-09-06,1540128000
2012-09-07,1523296000
2012-09-10,1510672000
2012-09-11,1519088000
2012-09-12,1519088000
2012-09-13,1538024000
2012-09-14,1493840000
2012-09-17,1491736000
2012-09-18,1502256000
2012-09-19,1514880000
2012-09-20,1506464000
2012-09-21,1483320000
2012-09-24,1485424000
2012-09-25,1479112000
2012-09-26,1489632000
2012-09-27,1504360000
2012-09-28,1508568000
2012-10-01,1492644000
2012-10-02,1492644000
2012-10-03,1480188000
2012-10-04,1461504000
2012-10-05,1471884000
2012-10-08,1471884000
2012-10-09,1467732000
2012-10-10,1444896000
2012-10-11,1451124000
2012-10-12,1453200000
2012-10-15,1459428000
2012-10-16,1490568000
2012-10-17,1494720000
2012-10-18,1513404000
2012-10-19,1486416000
2012-10-22,1482264000
2012-10-23,1471884000
2012-10-24,1424136000
2012-10-25,1434516000
2012-10-26,1428288000
2012-10-31,1432440000
2012-11-01,1446972000
2012-11-02,1434516000
2012-11-05,1446972000
2012-11-06,1461504000
2012-11-07,1455276000
2012-11-08,1444896000
2012-11-09,1455276000
2012-11-12,1469808000
2012-11-13,1453200000
2012-11-14,1436592000
2012-11-15,1424136000
2012-11-16,1432440000
2012-11-19,1453200000
2012-11-20,1465656000
2012-11-21,1471884000
2012-11-23,1496796000
2012-11-26,1478112000
2012-11-27,1478112000
2012-11-28,1492644000
2012-11-29,1498872000
2012-11-30,1498872000
2012-12-03,1498872000
2012-12-04,1505100000
2012-12-05,1519632000
2012-12-06,1521708000
2012-12-07,1521708000
2012-12-10,1534164000
2012-12-11,1521708000
2012-12-12,1509252000
2012-12-13,1484340000
2012-12-14,1492644000
2012-12-17,1490568000
2012-12-18,1494720000
2012-12-19,1486416000
2012-12-20,1498872000
2012-12-21,1492644000
2012-12-24,1494720000
2012-12-26,1480188000
2012-12-27,1478112000
2012-12-28,1465656000
2012-12-31,1454706000
2013-01-02,1501764000
2013-01-03,1495626000
2013-01-04,1503810000
2013-01-07,1489488000
2013-01-08,1495626000
2013-01-09,1505856000
2013-01-10,1507902000
2013-01-11,1485396000
