,BDX
2003-07-08,9705994480
2003-07-09,9408846720
2003-07-10,9373888160
2003-07-11,9361402960
2003-07-14,9343923680
2003-07-15,9306468080
2003-07-16,9206586480
2003-07-17,9099213760
2003-07-18,9091722640
2003-07-21,9116693040
2003-07-22,9348917760
2003-07-23,9401355600
2003-07-24,8984349920
2003-07-25,9104207840
2003-07-28,9126681200
2003-07-29,9179119040
2003-07-30,9144160480
2003-07-31,8916929840
2003-08-01,8959379520
2003-08-04,8824539360
2003-08-05,8999332160
2003-08-06,9111698960
2003-08-07,9136669360
2003-08-08,9166633840
2003-08-11,9181616080
2003-08-12,9291485840
2003-08-13,9296479920
2003-08-14,9491249040
2003-08-15,9603615840
2003-08-18,9558669120
2003-08-19,9348917760
2003-08-20,9201592400
2003-08-21,9091722640
2003-08-22,8784586720
2003-08-25,8809557120
2003-08-26,8914432800
2003-08-27,8827036400
2003-08-28,8799568960
2003-08-29,8894456480
2003-09-02,8959379520
2003-09-03,8934409120
2003-09-04,8971864720
2003-09-05,8794574880
2003-09-08,8949391360
2003-09-09,8792077840
2003-09-10,8896953520
2003-09-11,8874480160
2003-09-12,8889462400
2003-09-15,8994338080
2003-09-16,8949391360
2003-09-17,9006823280
2003-09-18,9104207840
2003-09-19,9251533200
2003-09-22,8971864720
2003-09-23,8979355840
2003-09-24,8732148880
2003-09-25,8639758400
2003-09-26,8662231760
2003-09-29,8724657760
2003-09-30,8792077840
2003-10-01,8989344000
2003-10-02,8896953520
2003-10-03,9044278880
2003-10-06,8976858800
2003-10-07,8934409120
2003-10-08,9006823280
2003-10-09,9129178240
2003-10-10,9151651600
2003-10-13,9116693040
2003-10-14,9141663440
2003-10-15,9126681200
2003-10-16,9156645680
2003-10-17,9096716720
2003-10-20,9216574640
2003-10-21,9151651600
2003-10-22,8886965360
2003-10-23,8739640000
2003-10-24,8737142960
2003-10-27,8767107440
2003-10-28,8936906160
2003-10-29,8901947600
2003-10-30,8837024560
2003-10-31,8899450560
2003-11-03,8904444640
2003-11-04,8889462400
2003-11-05,8886965360
2003-11-06,8861994960
2003-11-07,8824539360
2003-11-10,8694693280
2003-11-11,8752125200
2003-11-12,8876977200
2003-11-13,9214077600
2003-11-14,9226562800
2003-11-17,9136669360
2003-11-18,9196598320
2003-11-19,9239048000
2003-11-20,9209083520
2003-11-21,9396361520
2003-11-24,9463781600
2003-11-25,9708491520
2003-11-26,9713485600
2003-11-28,9745947120
2003-12-01,9780905680
2003-12-02,9800882000
2003-12-03,9858313920
2003-12-04,9898266560
2003-12-05,9718479680
2003-12-08,9710988560
2003-12-09,9558669120
2003-12-10,9681024080
2003-12-11,9813367200
2003-12-12,9860810960
2003-12-15,9810870160
2003-12-16,9850822800
2003-12-17,9820858320
2003-12-18,9763426400
2003-12-19,9760929360
2003-12-22,9691012240
2003-12-23,9705994480
2003-12-24,9745947120
2003-12-26,9798384960
2003-12-29,10073059360
2003-12-30,10090538640
2003-12-31,10158628855
2004-01-02,10130769240
2004-01-05,10285263470
2004-01-06,10346048086
2004-01-07,10452421163
2004-01-08,10505607701
2004-01-09,10399234624
2004-01-12,10454953855
2004-01-13,10414430778
2004-01-14,10505607701
2004-01-15,10591719240
2004-01-16,10776605779
2004-01-20,10713288471
2004-01-21,10801932702
2004-01-22,10981753856
2004-01-23,10931100009
2004-01-26,11037473086
2004-01-27,10900707702
2004-01-28,10708223086
2004-01-29,11077996163
2004-01-30,11126117317
2004-02-02,11407246164
2004-02-03,11374321164
2004-02-04,11435105779
2004-02-05,11452834625
2004-02-06,11759290395
2004-02-09,11865663472
2004-02-10,11853000010
2004-02-11,12311417318
2004-02-12,12042951934
2004-02-13,12050550010
2004-02-17,12017625010
2004-02-18,12086007703
2004-02-19,12070811549
2004-02-20,11923915395
2004-02-23,11890990395
2004-02-24,12058148087
2004-02-25,12037886549
2004-02-26,11984700010
2004-02-27,12012559626
2004-03-01,12235436549
2004-03-02,12156923088
2004-03-03,12075876934
2004-03-04,12078409626
2004-03-05,12055615395
2004-03-08,12319015395
2004-03-09,12197446164
2004-03-10,12025223087
2004-03-11,11609861549
2004-03-12,11703571164
2004-03-15,11604796164
2004-03-16,11645319241
2004-03-17,11728898087
2004-03-18,11766888472
2004-03-19,11807411549
2004-03-22,11680776933
2004-03-23,11759290395
2004-03-24,11875794241
2004-03-25,11901121164
2004-03-26,11789682703
2004-03-29,12025223087
2004-03-30,12035353857
2004-03-31,11968764000
2004-04-01,12287796000
2004-04-02,12302988000
2004-04-05,12470100000
2004-04-06,12219432000
2004-04-07,12204240000
2004-04-08,12092832000
2004-04-12,12242220000
2004-04-13,11978892000
2004-04-14,12133344000
2004-04-15,12067512000
2004-04-16,12257412000
2004-04-19,12429588000
2004-04-20,12490356000
2004-04-21,12854964000
2004-04-22,13146144000
2004-04-23,13037268000
2004-04-26,12672660000
2004-04-27,12490356000
2004-04-28,12257412000
2004-04-29,12373884000
2004-04-30,12477696000
2004-05-03,12500484000
2004-05-04,12490356000
2004-05-05,12784068000
2004-05-06,12697980000
2004-05-07,12510612000
2004-05-10,12249816000
2004-05-11,12285264000
2004-05-12,12095364000
2004-05-13,12092832000
2004-05-14,11951040000
2004-05-17,11786460000
2004-05-18,11783928000
2004-05-19,11885208000
2004-05-20,11885208000
2004-05-21,12037128000
2004-05-24,12042192000
2004-05-25,12105492000
2004-05-26,12133344000
2004-05-27,12214368000
2004-05-28,12421992000
2004-06-01,12485292000
2004-06-02,12568848000
2004-06-03,12553656000
2004-06-04,12437184000
2004-06-07,12687852000
2004-06-08,12708108000
2004-06-09,12657468000
2004-06-10,12854964000
2004-06-14,12675192000
2004-06-15,12685320000
2004-06-16,12766344000
2004-06-17,12935988000
2004-06-18,13067652000
2004-06-21,13136016000
2004-06-22,12946116000
2004-06-23,12834708000
2004-06-24,12713172000
2004-06-25,12492888000
2004-06-28,12465036000
2004-06-29,12454908000
2004-06-30,12623964093
2004-07-01,12004014965
2004-07-02,12061510247
2004-07-06,11979017017
2004-07-07,12154002657
2004-07-08,12124005119
2004-07-09,11731537324
2004-07-12,11746536094
2004-07-13,11829029324
2004-07-14,11809030965
2004-07-15,11959018658
2004-07-16,11681541427
2004-07-19,11704039581
2004-07-20,11799031786
2004-07-21,11624046145
2004-07-22,11431561940
2004-07-23,11331570145
2004-07-26,11436561530
2004-07-27,11534053530
2004-07-28,11454060094
2004-07-29,11476558248
2004-07-30,11511555376
