,AL
2015-12-07,3476608908
2015-12-08,3337339744
2015-12-09,3308666681
2015-12-10,3299450339
2015-12-11,3248248440
2015-12-14,3141748491
2015-12-15,3217527301
2015-12-16,3279993617
2015-12-17,3227767681
2015-12-18,3182710010
2015-12-21,3278969579
2015-12-22,3348604161
2015-12-23,3456128148
2015-12-24,3459200262
2015-12-28,3423358933
2015-12-29,3458176224
2015-12-30,3425407009
2015-12-31,3437706680
2016-01-04,3370965063
2016-01-05,3373018651
2016-01-06,3283687563
2016-01-07,3071141183
2016-01-08,2926363213
2016-01-11,2891452213
2016-01-12,2854487625
2016-01-13,2731272332
2016-01-14,2783638832
2016-01-15,2674798656
2016-01-19,2556717333
2016-01-20,2497163275
2016-01-21,2519752745
2016-01-22,2621405362
2016-01-25,2530020687
2016-01-26,2673771862
2016-01-27,2531047481
2016-01-28,2501270451
2016-01-29,2645021627
2016-02-01,2676852244
2016-02-02,2515645569
2016-02-03,2511538393
2016-02-04,2588547951
2016-02-05,2535154657
2016-02-08,2400644629
2016-02-09,2385242717
2016-02-10,2419126923
2016-02-11,2333903012
2016-02-12,2495109687
2016-02-16,2596762304
2016-02-17,2768236920
2016-02-18,2858594802
2016-02-19,2747701038
2016-02-22,2918148860
2016-02-23,2931497184
2016-02-24,2926363213
2016-02-25,3035203389
2016-02-26,2999265595
2016-02-29,3085516300
2016-03-01,3118373712
2016-03-02,3172793799
2016-03-03,3234401446
2016-03-04,3230294270
2016-03-07,3212838770
2016-03-08,3115293329
2016-03-09,3202570829
2016-03-10,3155338300
2016-03-11,3225160299
2016-03-14,3236455034
2016-03-15,3163552652
2016-03-16,3251856946
2016-03-17,3325786122
2016-03-18,3365831092
2016-03-21,3365831092
2016-03-22,3306277034
2016-03-23,3214892358
2016-03-24,3214892358
2016-03-28,3168686623
2016-03-29,3213865564
2016-03-30,3289848328
2016-03-31,3303138669
2016-04-01,3292854924
2016-04-04,3251719947
2016-04-05,3173563490
2016-04-06,3197216102
2016-04-07,3121116395
2016-04-08,3159166248
2016-04-11,3202357975
2016-04-12,3191045856
2016-04-13,3292854924
2016-04-14,3270230687
2016-04-15,3284627929
2016-04-18,3292854924
2016-04-19,3329876404
2016-04-20,3327819655
2016-04-21,3287713052
2016-04-22,3291826550
2016-04-25,3207499847
2016-04-26,3249663198
2016-04-27,3292854924
2016-04-28,3216755217
2016-04-29,3134485262
2016-05-02,3194130979
2016-05-03,3109804276
2016-05-04,3098492157
2016-05-05,3097463783
2016-05-06,3292854924
2016-05-09,3187960733
2016-05-10,3221897089
2016-05-11,3186932358
2016-05-12,3051186933
2016-05-13,2978172349
2016-05-16,2995654714
2016-05-17,3016222203
2016-05-18,3036789691
2016-05-19,2973030477
2016-05-20,3027534321
2016-05-23,3018278952
2016-05-24,3088208413
2016-05-25,3123173143
2016-05-26,3108775901
2016-05-27,3079981417
2016-05-31,3090265162
2016-06-01,3050158559
2016-06-02,3030619445
2016-06-03,2931895499
2016-06-06,3063527426
2016-06-07,3055300431
2016-06-08,3074839545
2016-06-09,2996683089
2016-06-10,2887675399
2016-06-13,2850653919
2016-06-14,2810547317
2016-06-15,2823916184
2016-06-16,2787923079
2016-06-17,2765298842
2016-06-20,2858880915
2016-06-21,2860937664
2016-06-22,2848597171
2016-06-23,2892817271
2016-06-24,2701539627
2016-06-27,2563737453
2016-06-28,2605900805
2016-06-29,2709766623
2016-06-30,2754135432
2016-07-01,2800414781
2016-07-05,2648207147
2016-07-06,2635865987
2016-07-07,2670832606
2016-07-08,2796301061
2016-07-11,2856978428
2016-07-12,2942338115
2016-07-13,2949537125
2016-07-14,2986560603
2016-07-15,2995816473
2016-07-18,3026669372
2016-07-19,3013299782
2016-07-20,3022555652
2016-07-21,3044152681
2016-07-22,3016385072
2016-07-25,2984503743
2016-07-26,2974219444
2016-07-27,2979361594
2016-07-28,2971134154
2016-07-29,2962906714
2016-08-01,2939252825
2016-08-02,2833324539
2016-08-03,2877547028
2016-08-04,2853893139
2016-08-05,2921769516
2016-08-08,2913542076
2016-08-09,2867262728
2016-08-10,2867262728
2016-08-11,2844637269
2016-08-12,2825097100
2016-08-15,2859035288
2016-08-16,2822011810
2016-08-17,2876518598
2016-08-18,2885774467
2016-08-19,2916627366
2016-08-22,2915598936
2016-08-23,2972162584
2016-08-24,2944394975
2016-08-25,2931025386
2016-08-26,2918684226
2016-08-29,2944394975
2016-08-30,2987589033
2016-08-31,3021527222
2016-09-01,3014328212
2016-09-02,3014328212
2016-09-06,2991702753
2016-09-07,3056493841
2016-09-08,3080147730
2016-09-09,2956736135
2016-09-12,3004043913
2016-09-13,2946451835
2016-09-14,2947480265
2016-09-15,2979361594
2016-09-16,2899144057
2016-09-19,2871376448
2016-09-20,2803500070
2016-09-21,2817898090
2016-09-22,2869319588
2016-09-23,2863149008
2016-09-26,2813784370
2016-09-27,2833324539
2016-09-28,2897087197
2016-09-29,2880632317
2016-09-30,2939277718
2016-10-03,2933107086
2016-10-04,2901225488
2016-10-05,2937220841
2016-10-06,2977329949
2016-10-07,3033894076
2016-10-10,3083259132
2016-10-11,3043150024
2016-10-12,3032865637
2016-10-13,2913566752
2016-10-14,2903282365
2016-10-17,2920765822
2016-10-18,2999955600
2016-10-19,3062690359
2016-10-20,3052405972
2016-10-21,3047263779
2016-10-24,3058576604
2016-10-25,3068860991
2016-10-26,3117197608
2016-10-27,3117197608
2016-10-28,3126453556
2016-10-31,3112055415
2016-11-01,3124396679
2016-11-02,3136737943
2016-11-03,3114112292
2016-11-04,3282776234
2016-11-07,3262207461
2016-11-08,3286889989
2016-11-09,3329055974
2016-11-10,3412359507
2016-11-11,3451440176
2016-11-14,3573824378
2016-11-15,3620104118
2016-11-16,3574852816
2016-11-17,3587194080
2016-11-18,3579995010
2016-11-21,3610848170
2016-11-22,3685924193
2016-11-23,3707521405
2016-11-25,3742488320
2016-11-28,3702379212
2016-11-29,3661241665
2016-11-30,3687981070
2016-12-01,3689009509
2016-12-02,3646843523
2016-12-05,3699293895
2016-12-06,3733232372
2016-12-07,3757914900
2016-12-08,3807279956
2016-12-09,3757914900
2016-12-12,3693123263
2016-12-13,3696208579
2016-12-14,3617018802
2016-12-15,3610848170
2016-12-16,3609819731
2016-12-19,3626274750
2016-12-20,3634502259
2016-12-21,3680781999
2016-12-22,3618047241
2016-12-23,3606734415
2016-12-27,3605705977
2016-12-28,3539885902
2016-12-29,3545028095
2016-12-30,3530629954
2017-01-03,3619638002
2017-01-04,3698907663
2017-01-05,3709202424
2017-01-06,3658758094
2017-01-09,3575370530
2017-01-10,3675229712
2017-01-11,3700966615
2017-01-12,3631991716
2017-01-13,3640227524
2017-01-17,3566105245
2017-01-18,3624785383
2017-01-19,3600077956
2017-01-20,3623755907
2017-01-23,3631991716
2017-01-24,3708172948
2017-01-25,3764794134
2017-01-26,3786413132
2017-01-27,3755528849
2017-01-30,3755528849
2017-01-31,3745234088
2017-02-01,3769941514
2017-02-02,3755528849
2017-02-03,3809061607
2017-02-06,3812150035
2017-02-07,3826562700
2017-02-08,3805973178
2017-02-09,3897596552
2017-02-10,3947011405
2017-02-13,4000544163
2017-02-14,4063342206
2017-02-15,4068489586
2017-02-16,4012897876
2017-02-17,4009809448
2017-02-21,4130258153
2017-02-22,4115845487
2017-02-23,4042752683
2017-02-24,3923333455
2017-02-27,4006721020
2017-02-28,4007750496
2017-03-01,4082902252
2017-03-02,4044811636
2017-03-03,4066430634
2017-03-06,4035546351
2017-03-07,4018045257
2017-03-08,4031428446
2017-03-09,3967600927
2017-03-10,3995396782
2017-03-13,3997455735
2017-03-14,4002603115
2017-03-15,4032457922
2017-03-16,4049959016
2017-03-17,4025251590
2017-03-20,3995396782
2017-03-21,3890390219
2017-03-22,3870830173
2017-03-23,3909950265
2017-03-24,3887301791
2017-03-27,3875977554
2017-03-28,3949070357
2017-03-29,3957306166
2017-03-30,3999514687
2017-03-31,3998254798
2017-04-03,3946664414
2017-04-04,3938409952
2017-04-05,3928091875
2017-04-06,3838324606
2017-04-07,3784670606
2017-04-10,3822847491
2017-04-11,3813561222
2017-04-12,3691807914
2017-04-13,3667044530
2017-04-17,3773320722
2017-04-18,3813561222
2017-04-19,3820783876
2017-04-20,3864119799
2017-04-21,3798084106
2017-04-24,3905392106
2017-04-25,3896105837
2017-04-26,3967300568
2017-04-27,3906423914
2017-04-28,3935314529
2017-05-01,3918805606
2017-05-02,3982777683
2017-05-03,3953887068
2017-05-04,3960077914
2017-05-05,3777447953
2017-05-08,3720698530
2017-05-09,3657758261
2017-05-10,3602040645
2017-05-11,3708316837
2017-05-12,3674267184
2017-05-15,3796020491
2017-05-16,3861024375
2017-05-17,3738239260
2017-05-18,3752684568
2017-05-19,3851738106
2017-05-22,3924996452
2017-05-23,3973491414
2017-05-24,3914678375
2017-05-25,3868247029
2017-05-26,3870310645
2017-05-30,3774352530
2017-05-31,3809433991
2017-06-01,3956982491
2017-06-02,3923964645
2017-06-05,3889914991
2017-06-06,3916741991
2017-06-07,3931187298
2017-06-08,3929123683
2017-06-09,3964205144
2017-06-12,3920869222
2017-06-13,3945632606
2017-06-14,3997222991
2017-06-15,3966268760
2017-06-16,3921901029
2017-06-19,3895074029
2017-06-20,3850706299
2017-06-21,3742366491
2017-06-22,3751652760
2017-06-23,3772288914
2017-06-26,3801179529
2017-06-27,3814593029
2017-06-28,3889914991
2017-06-29,3883724145
2017-06-30,3856362413
2017-07-03,3915198777
2017-07-05,3913134343
2017-07-06,3916230994
2017-07-07,3929649814
2017-07-10,3991582829
2017-07-11,3981260660
2017-07-12,3965777406
2017-07-13,3994679480
2017-07-14,3964745189
2017-07-17,4045258109
2017-07-18,4028742638
2017-07-19,4077256834
2017-07-20,4164995272
2017-07-21,4128867680
2017-07-24,4127835463
2017-07-25,4112352209
2017-07-26,4130932113
2017-07-27,4082417918
2017-07-28,4084482352
2017-07-31,4085514569
2017-08-01,4092740087
2017-08-02,4057644712
2017-08-03,4121642161
2017-08-04,4393115211
2017-08-07,4411695116
2017-08-08,4385889693
2017-08-09,4254798144
2017-08-10,4140222066
2017-08-11,4129899896
2017-08-14,4170156356
2017-08-15,4121642161
2017-08-16,4132996547
2017-08-17,4064870230
2017-08-18,4058676929
2017-08-21,4039064807
2017-08-22,4090675653
2017-08-23,4090675653
2017-08-24,4074160183
2017-08-25,4066934664
2017-08-28,4070031315
2017-08-29,4070031315
2017-08-30,4145383150
2017-08-31,4194929562
2017-09-01,4179446309
2017-09-05,4080353484
2017-09-06,4070031315
2017-09-07,4019452686
2017-09-08,4080353484
2017-09-11,4109255558
2017-09-12,4141254283
2017-09-13,4120609944
2017-09-14,4094804521
2017-09-15,4125771029
2017-09-18,4118545510
2017-09-19,4199058430
2017-09-20,4249637059
2017-09-21,4231057155
2017-09-22,4242411541
2017-09-25,4223831636
2017-09-26,4236218239
2017-09-27,4234153805
2017-09-28,4255830361
2017-09-29,4399308513
2017-10-02,4476241714
2017-10-03,4543452550
2017-10-04,4493819933
2017-10-05,4490717894
2017-10-06,4473139675
2017-10-09,4461765534
2017-10-10,4467969611
2017-10-11,4533112422
2017-10-12,4570336885
2017-10-13,4599289245
2017-10-16,4607561348
2017-10-17,4532078409
2017-10-18,4490717894
2017-10-19,4453493431
2017-10-20,4564132808
2017-10-23,4516568216
2017-10-24,4553792679
2017-10-25,4450391392
2017-10-26,4481411778
2017-10-27,4477275727
2017-10-30,4458663495
2017-10-31,4492785920
2017-11-01,4528976370
2017-11-02,4595153194
2017-11-03,4549656628
2017-11-06,4527942357
2017-11-07,4459697508
2017-11-08,4412132916
2017-11-09,4382146543
2017-11-10,4470037637
2017-11-13,4331479912
2017-11-14,4269439140
2017-11-15,4251860921
2017-11-16,4304595577
2017-11-17,4302527552
2017-11-20,4288051371
2017-11-21,4300459526
2017-11-22,4303561564
2017-11-24,4318037745
2017-11-27,4351126156
2017-11-28,4407996864
2017-11-29,4406962851
2017-11-30,4477275727
2017-12-01,4517602229
2017-12-04,4583779052
2017-12-05,4563098795
2017-12-06,4503126048
2017-12-07,4535180447
2017-12-08,4537248473
2017-12-11,4523806306
2017-12-12,4596187207
2017-12-13,4661330017
2017-12-14,4625139567
2017-12-15,4735778944
2017-12-18,4856758450
2017-12-19,4838146218
2017-12-20,4852622398
2017-12-21,4906391068
2017-12-22,4944649544
2017-12-26,4974635917
2017-12-27,4983942033
2017-12-28,4995316174
2017-12-29,4972567891
2018-01-02,4983012597
2018-01-03,4999612264
2018-01-04,4975750243
2018-01-05,5026586724
2018-01-08,5109585060
2018-01-09,5026586724
2018-01-10,5024511765
2018-01-11,5166646416
2018-01-12,5200883229
2018-01-16,5102322705
2018-01-17,5106472622
2018-01-18,5019324369
2018-01-19,5053561183
2018-01-22,5113734976
2018-01-23,5110622539
2018-01-24,5132409602
2018-01-25,5179096166
2018-01-26,5222670292
2018-01-29,5194658354
2018-01-30,5064973454
2018-01-31,5044223870
2018-02-01,5074310767
2018-02-02,4884452073
2018-02-05,4627157232
2018-02-06,4751654736
2018-02-07,4707043130
2018-02-08,4544158896
2018-02-09,4541046458
2018-02-12,4624044794
2018-02-13,4627157232
2018-02-14,4764104486
2018-02-15,4758917090
2018-02-16,4778629195
2018-02-20,4749579777
2018-02-21,4721567839
2018-02-22,4742317423
2018-02-23,4790041466
2018-02-26,4717417922
2018-02-27,4575283272
2018-02-28,4530671666
2018-03-01,4524446791
2018-03-02,4471535352
2018-03-05,4475685268
2018-03-06,4501622248
2018-03-07,4424848788
2018-03-08,4468422914
2018-03-09,4552458729
2018-03-12,4544158896
2018-03-13,4556608646
2018-03-14,4585658064
2018-03-15,4550383771
2018-03-16,4584620584
2018-03-19,4553496208
2018-03-20,4534821583
2018-03-21,4564908480
2018-03-22,4441448455
2018-03-23,4321100868
2018-03-26,4427961225
2018-03-27,4344962889
2018-03-28,4359487598
2018-03-29,4421736350
2018-04-02,4333845013
2018-04-03,4476330438
2018-04-04,4530412497
2018-04-05,4569934002
2018-04-06,4318244419
2018-04-09,4315124300
2018-04-10,4409767904
2018-04-11,4360886042
2018-04-12,4422248379
2018-04-13,4400407547
2018-04-16,4428488616
2018-04-17,4426408537
2018-04-18,4481530636
2018-04-19,4477370478
2018-04-20,4442009131
2018-04-23,4447209329
2018-04-24,4370246399
2018-04-25,4385846993
2018-04-26,4368166320
2018-04-27,4404567706
2018-04-30,4335925092
2018-05-01,4336965132
2018-05-02,4357765924
2018-05-03,4438889012
2018-05-04,4503371468
2018-05-07,4496091190
2018-05-08,4538732814
2018-05-09,4592814873
2018-05-10,4654177210
2018-05-11,4566813883
2018-05-14,4600095150
2018-05-15,4621935982
2018-05-16,4650017051
2018-05-17,4628176220
2018-05-18,4636496536
2018-05-21,4730100100
2018-05-22,4658337368
2018-05-23,4570974042
2018-05-24,4566813883
2018-05-25,4638576616
2018-05-29,4605295348
2018-05-30,4617775824
2018-05-31,4618815863
2018-06-01,4672897922
2018-06-04,4680178200
2018-06-05,4676018041
2018-06-06,4702019031
2018-06-07,4709299308
2018-06-08,4673937962
2018-06-11,4665617645
2018-06-12,4687458477
2018-06-13,4634416457
2018-06-14,4562653725
2018-06-15,4569934002
2018-06-18,4565773844
2018-06-19,4505451547
2018-06-20,4466970082
2018-06-21,4395207349
2018-06-22,4427448577
2018-06-25,4324484656
2018-06-26,4358805963
2018-06-27,4312004181
2018-06-28,4312004181
2018-06-29,4365046201
2018-07-02,4355194952
2018-07-03,4370804970
2018-07-05,4399943669
2018-07-06,4389536991
2018-07-09,4479034426
2018-07-10,4474871755
2018-07-11,4425960366
2018-07-12,4397862334
2018-07-13,4402025005
2018-07-16,4400984337
2018-07-17,4475912422
2018-07-18,4557084515
2018-07-19,4527945815
2018-07-20,4441570383
2018-07-23,4443651719
2018-07-24,4467587080
2018-07-25,4508173126
2018-07-26,4555003179
2018-07-27,4560206518
2018-07-30,4501929119
2018-07-31,4574775868
2018-08-01,4535230490
2018-08-02,4535230490
2018-08-03,4595589225
2018-08-06,4597670561
2018-08-07,4636175271
2018-08-08,4615361914
2018-08-09,4593507889
2018-08-10,4693412003
2018-08-13,4645541282
2018-08-14,4700696678
2018-08-15,4650744621
2018-08-16,4727754042
2018-08-17,4730876046
2018-08-20,4747526731
2018-08-21,4816210809
2018-08-22,4838064834
2018-08-23,4794356784
2018-08-24,4791234781
2018-08-27,4881772884
2018-08-28,4886976223
2018-08-29,4875528877
2018-08-30,4844308841
2018-08-31,4808926134
2018-09-04,4791234781
2018-09-05,4756892742
2018-09-06,4707981353
2018-09-07,4598711229
2018-09-10,4714225360
2018-09-11,4683005325
2018-09-12,4680923989
2018-09-13,4696534007
2018-09-14,4753770738
2018-09-17,4738160721
2018-09-18,4756892742
2018-09-19,4757933410
2018-09-20,4771462092
2018-09-21,4802682127
2018-09-24,4739201388
2018-09-25,4773543427
2018-09-26,4772502760
2018-09-27,4797478788
2018-09-28,4774584095
2018-10-01,4855394999
2018-10-02,4883219613
2018-10-03,4919605645
2018-10-04,4898202097
2018-10-05,4831851096
2018-10-08,4810447547
2018-10-09,4662763062
2018-10-10,4567517271
2018-10-11,4478692544
2018-10-12,4465850415
2018-10-15,4485113609
2018-10-16,4563236561
2018-10-17,4549324254
2018-10-18,4453008286
2018-10-19,4461569705
2018-10-22,4278569365
2018-10-23,4241113155
2018-10-24,4033498733
2018-10-25,4148007718
2018-10-26,4094498847
2018-10-29,3951095071
2018-10-30,4035639088
2018-10-31,4077376008
2018-11-01,4201516590
2018-11-02,4197235880
2018-11-05,4242183332
2018-11-06,4271078123
2018-11-07,4329937881
2018-11-08,4257165816
2018-11-09,4320306284
2018-11-12,4120183105
2018-11-13,4170481444
2018-11-14,4121253282
2018-11-15,4103060266
2018-11-16,4067744411
2018-11-19,3979989862
2018-11-20,3941463474
2018-11-21,4012095185
2018-11-23,3972498620
2018-11-26,4023867136
2018-11-27,4031358378
2018-11-28,4130884879
2018-11-29,4119112928
2018-11-30,4158709492
2018-12-03,4238972800
2018-12-04,4057042637
2018-12-06,3968217910
2018-12-07,3886884425
2018-12-10,3774515795
2018-12-11,3792708811
2018-12-12,3847287860
2018-12-13,3754182424
2018-12-14,3561550487
2018-12-17,3460953808
2018-12-18,3532655696
2018-12-19,3440620437
2018-12-20,3289725419
2018-12-21,3175216434
2018-12-24,3074619756
2018-12-26,3205181402
2018-12-27,3197690160
2018-12-28,3181637499
2018-12-31,3353862208
2019-01-02,3416032444
2019-01-03,3291691972
2019-01-04,3550364562
2019-01-07,3829020442
2019-01-08,3901182324
2019-01-09,3968903474
2019-01-10,4049946817
2019-01-11,4082142118
2019-01-14,4005539506
2019-01-15,4037734807
2019-01-16,4068819925
2019-01-17,4107676323
2019-01-18,4164295645
2019-01-22,4034404258
2019-01-23,3974454388
2019-01-24,4033294076
2019-01-25,4120998516
2019-01-28,4122108699
2019-01-29,4138761441
2019-01-30,4249779720
2019-01-31,4212033505
2019-02-01,4210923322
2019-02-04,4228686247
2019-02-05,4318611053
2019-02-06,4207592774
2019-02-07,4144312355
2019-02-08,4088803215
2019-02-11,4137651258
2019-02-12,4240898257
2019-02-13,4238677892
2019-02-14,4222025150
2019-02-15,4252000085
2019-02-19,4285305569
2019-02-20,4254220451
2019-02-21,4197601128
2019-02-22,4244228806
2019-02-25,4279754655
2019-02-26,4234237161
2019-02-27,4204262225
2019-02-28,4147642903
2019-03-01,4225355698
2019-03-04,4130990161
2019-03-05,4109896688
2019-03-06,3947810001
2019-03-07,3875648119
2019-03-08,3927826711
2019-03-11,3862325926
2019-03-12,3886749947
2019-03-13,3913394334
2019-03-14,3856775012
2019-03-15,3756858561
2019-03-18,3785723313
2019-03-19,3734654905
2019-03-20,3675815217
2019-03-21,3774621486
2019-03-22,3628077357
2019-03-25,3673594852
2019-03-26,3713561432
2019-03-27,3716891980
2019-03-28,3776841851
2019-03-29,3813477883
2019-04-01,3944788801
2019-04-02,3958153416
2019-04-03,3984882646
2019-04-04,4076207514
2019-04-05,4102936743
2019-04-08,4076207514
2019-04-09,3964835724
2019-04-10,4041682259
2019-04-11,4120756230
2019-04-12,4198716483
2019-04-15,4173100971
2019-04-16,4190920457
2019-04-17,4232128020
2019-04-18,4209853661
2019-04-22,4155281484
2019-04-23,4232128020
2019-04-24,4264425839
2019-04-25,4225445712
2019-04-26,4257743531
2019-04-29,4278904171
2019-04-30,4294496222
2019-05-01,4332362631
2019-05-02,4327907759
2019-05-03,4408095448
2019-05-06,4385821090
2019-05-07,4281131607
2019-05-08,4269994428
2019-05-09,4247720070
2019-05-10,4332362631
2019-05-13,4205398790
2019-05-14,4291155068
2019-05-15,4272221864
2019-05-16,4249947506
2019-05-17,4189806739
2019-05-20,4145258023
2019-05-21,4217649687
2019-05-22,4167532381
2019-05-23,4070638924
2019-05-24,4094027000
2019-05-28,4090685846
2019-05-29,4088458410
2019-05-30,4092913282
2019-05-31,4009384440
2019-06-03,4055046873
2019-06-04,4315656862
2019-06-05,4275563018
2019-06-06,4295609940
2019-06-07,4293382504
2019-06-10,4414777755
2019-06-11,4408095448
2019-06-12,4362433014
2019-06-13,4414777755
2019-06-14,4325680323
2019-06-17,4306747119
2019-06-18,4439279549
2019-06-19,4468236214
2019-06-20,4500534033
2019-06-21,4484941983
2019-06-24,4421460063
2019-06-25,4400299422
2019-06-26,4487169419
2019-06-27,4525035827
2019-06-28,4604109798
2019-07-01,4635601205
2019-07-02,4606446480
2019-07-03,4605325144
2019-07-05,4647935896
2019-07-08,4575049084
2019-07-09,4606446480
2019-07-10,4547015695
2019-07-11,4656906580
2019-07-12,4674847949
2019-07-15,4647935896
2019-07-16,4720822707
2019-07-17,4584019769
2019-07-18,4581777098
2019-07-19,4588505111
2019-07-22,4592990453
2019-07-23,4687182640
2019-07-24,4775768150
2019-07-25,4709609352
2019-07-26,4725308049
2019-07-29,4594111789
2019-07-30,4792588183
2019-07-31,4686061305
2019-08-01,4544773024
2019-08-02,4429275462
2019-08-05,4301443208
2019-08-06,4357509986
2019-08-07,4339568617
2019-08-08,4504404944
2019-08-09,4497676931
2019-08-12,4398999401
2019-08-13,4370966012
2019-08-14,4252104443
2019-08-15,4255468450
2019-08-16,4316020570
2019-08-19,4367602006
2019-08-20,4378815361
2019-08-21,4400120737
2019-08-22,4448338166
2019-08-23,4373208684
2019-08-26,4439367482
2019-08-27,4346296630
2019-08-28,4484220904
2019-08-29,4612053158
2019-08-30,4658027916
2019-09-03,4568321071
2019-09-04,4649057231
2019-09-05,4749977432
2019-09-06,4696153325
2019-09-09,4811650887
2019-09-10,4863232323
2019-09-11,5022461973
2019-09-12,5032553993
2019-09-13,4937240470
2019-09-16,4895751054
2019-09-17,4894629719
2019-09-18,4873324343
2019-09-19,4855382974
2019-09-20,4785860170
2019-09-23,4765676130
2019-09-24,4704002674
2019-09-25,4760069452
2019-09-26,4754462774
2019-09-27,4711852023
2019-09-30,4727054613
2019-10-01,4585762928
2019-10-02,4447862243
2019-10-03,4471599246
2019-10-04,4524724920
2019-10-07,4464817246
2019-10-08,4419603906
2019-10-09,4471599246
2019-10-10,4521333920
2019-10-11,4611760598
2019-10-14,4661495271
2019-10-15,4738357948
2019-10-16,4799395956
2019-10-17,4860433964
2019-10-18,4809568957
2019-10-21,4905647303
2019-10-22,4923732638
2019-10-23,4987031313
2019-10-24,5001725649
2019-10-25,5051460322
2019-10-28,5058242323
2019-10-29,5067284990
2019-10-30,4975727978
2019-10-31,4971206645
2019-11-01,5076327658
2019-11-04,5172406004
2019-11-05,5234574345
2019-11-06,5226662011
2019-11-07,5267354016
2019-11-08,5170145337
2019-11-11,5178057671
2019-11-12,5141887000
2019-11-13,5076327658
2019-11-14,5106846662
2019-11-15,5137365666
2019-11-18,5059372656
2019-11-19,5098934328
2019-11-20,5130583665
2019-11-21,5175797004
2019-11-22,5183709339
2019-11-25,5260572015
2019-11-26,5287700019
2019-11-27,5266223683
2019-11-29,5248138347
2019-12-02,5227792345
2019-12-03,5110237663
2019-12-04,5121540997
2019-12-05,5152060001
2019-12-06,5294482020
2019-12-09,5288830352
2019-12-10,5263963016
2019-12-11,5269614683
2019-12-12,5363432362
2019-12-13,5335174025
2019-12-16,5365693029
2019-12-17,5371344696
2019-12-18,5389430032
2019-12-19,5408645701
2019-12-20,5443686039
2019-12-23,5436904038
2019-12-24,5466292709
2019-12-26,5473074710
2019-12-27,5440295039
2019-12-30,5379257031
2019-12-31,5392186826
2020-01-02,5369492437
2020-01-03,5403534020
2020-01-06,5354741084
2020-01-07,5280984320
2020-01-08,5301409270
2020-01-09,5372896595
2020-01-10,5403534020
2020-01-13,5510197649
2020-01-14,5506793490
2020-01-15,5553316988
2020-01-16,5631612630
2020-01-17,5607783521
2020-01-21,5417150654
2020-01-22,5341124451
2020-01-23,5374031315
2020-01-24,5219709470
2020-01-27,5032480760
2020-01-28,5061983466
2020-01-29,5050636271
2020-01-30,5001843335
2020-01-31,4872485318
2020-02-03,4882697793
2020-02-04,5026807163
2020-02-05,5140279108
2020-02-06,5046097394
2020-02-07,4894044987
2020-02-10,4945107363
2020-02-11,5015459969
2020-02-12,5047232113
2020-02-13,5140279108
2020-02-14,5139144389
2020-02-18,4936029607
2020-02-19,4964397593
2020-02-20,5067657063
2020-02-21,4916739376
2020-02-24,4713624595
2020-02-25,4372074040
2020-02-26,4263140973
2020-02-27,4282431204
2020-02-28,4352783810
2020-03-02,4448100244
2020-03-03,4336897737
2020-03-04,4322146385
2020-03-05,3971518075
2020-03-06,3979461111
2020-03-09,3624293923
2020-03-10,3850103093
2020-03-11,3507417819
2020-03-12,2544041006
2020-03-13,2696093413
2020-03-16,2276247216
2020-03-17,1778105378
2020-03-18,1226631725
2020-03-19,1675980627
2020-03-20,1877960689
2020-03-23,1748602672
2020-03-24,2541771568
2020-03-25,2991120470
2020-03-26,2840202783
2020-03-27,2374967808
2020-03-30,2475957839
2020-03-31,2517115175
2020-04-01,2342031283
2020-04-02,2312471665
2020-04-03,2147619948
2020-04-06,2467091206
2020-04-07,2717211052
2020-04-08,2799068456
2020-04-09,2960509447
2020-04-13,2751318303
2020-04-14,2757002845
2020-04-15,2660365632
2020-04-16,2476186473
2020-04-17,2701294334
2020-04-20,2514841358
2020-04-21,2437531588
2020-04-22,2274953688
2020-04-23,2288596589
2020-04-24,2339757466
2020-04-27,2480734106
2020-04-28,2618300022
2020-04-29,3037819218
2020-04-30,2973015439
2020-05-01,2751318303
2020-05-04,2683103800
2020-05-05,2724032502
2020-05-06,2655817999
2020-05-07,2770645746
2020-05-08,3067378836
2020-05-11,2811574448
2020-05-12,2701294334
2020-05-13,2496650824
2020-05-14,2546674793
2020-05-15,2506882999
2020-05-18,2968467806
2020-05-19,2875241318
2020-05-20,2960509447
2020-05-21,3035545401
2020-05-22,3038956126
2020-05-26,3242462728
2020-05-27,3456201505
2020-05-28,3453927688
2020-05-29,3423231162
2020-06-01,3549427993
2020-06-02,3626737764
2020-06-03,3929155395
2020-06-04,3923470853
2020-06-05,3965536464
2020-06-08,4197465775
2020-06-09,4016697341
2020-06-10,3664255740
2020-06-11,3391397727
2020-06-12,3611957955
2020-06-15,3658571199
2020-06-16,3712005893
2020-06-17,3542606543
2020-06-18,3480076581
2020-06-19,3427778795
2020-06-22,3401629902
2020-06-23,3457338413
2020-06-24,3298171239
2020-06-25,3287939063
2020-06-26,3176522041
2020-06-29,3342510666
2020-06-30,3332573231
2020-07-01,3222208054
2020-07-02,3209692415
2020-07-06,3356466723
2020-07-07,3150527578
2020-07-08,3208554630
2020-07-09,3021957836
2020-07-10,3141425296
2020-07-13,3136874154
2020-07-14,3184661138
2020-07-15,3408804848
2020-07-16,3318919807
2020-07-17,3310955310
2020-07-20,3201727918
2020-07-21,3120945160
2020-07-22,3100465024
2020-07-23,3116394018
2020-07-24,3018544480
