,DYN
2023-06-12,749135289
2023-06-13,770077569
2023-06-14,741955078
2023-06-15,724004552
2023-06-16,655194202
2023-06-20,704258973
2023-06-21,703062272
2023-06-22,703062272
2023-06-23,628268413
2023-06-26,608822010
2023-06-27,618694799
2023-06-28,636645325
2023-06-29,624079957
2023-06-30,687486566
2023-07-03,685653268
2023-07-05,676486781
2023-07-06,683208872
2023-07-07,671597987
2023-07-10,704597343
2023-07-11,720485921
2023-07-12,710708334
2023-07-13,700319648
2023-07-14,678320078
2023-07-17,677097880
2023-07-18,675264582
2023-07-19,686264367
2023-07-20,671597987
2023-07-21,664264797
2023-07-24,631876541
2023-07-25,633098740
2023-07-26,652042814
2023-07-27,655098310
2023-07-28,719263723
2023-07-31,744318789
2023-08-01,723541417
2023-08-02,718652623
2023-08-03,702764045
2023-08-04,705819541
2023-08-07,706430640
2023-08-08,606821475
2023-08-09,646542921
2023-08-10,667320293
2023-08-11,671597987
2023-08-14,671597987
2023-08-15,667931392
2023-08-16,645320723
2023-08-17,631265442
2023-08-18,626376649
2023-08-21,661820401
2023-08-22,664264797
2023-08-23,709486136
2023-08-24,718041524
2023-08-25,726596913
2023-08-28,708875037
2023-08-29,719263723
2023-08-30,726596913
2023-08-31,696653053
2023-09-01,719263723
2023-09-05,712541632
2023-09-06,719263723
2023-09-07,703986243
2023-09-08,670986888
2023-09-11,683208872
2023-09-12,604988178
2023-09-13,566183381
2023-09-14,570766624
2023-09-15,565877831
2023-09-18,601932682
2023-09-19,602543781
2023-09-20,569544426
2023-09-21,566488930
2023-09-22,555489145
2023-09-25,529822980
2023-09-26,550600352
2023-09-27,525545286
2023-09-28,537156170
2023-09-29,547544856
2023-10-02,487463667
2023-10-03,531052987
2023-10-04,510179228
2023-10-05,579553780
2023-10-06,577711978
2023-10-09,550698878
2023-10-10,551926746
2023-10-11,514476767
2023-10-12,479175557
2023-10-13,500970217
2023-10-16,482552194
2023-10-17,473957117
2023-10-18,454311226
2023-10-19,457994831
2023-10-20,445102215
2023-10-23,408880103
2023-10-24,427298126
2023-10-25,408880103
2023-10-26,421772719
2023-10-27,406424367
2023-10-30,449399753
2023-10-31,432823533
2023-11-01,448171885
2023-11-02,438962874
2023-11-03,505267756
2023-11-06,500970217
2023-11-07,574028374
2023-11-08,574028374
2023-11-09,518160371
2023-11-10,534122658
2023-11-13,534122658
2023-11-14,635421783
2023-11-15,667960289
2023-11-16,599506638
2023-11-17,676555367
2023-11-20,653839805
2023-11-21,645244728
2023-11-22,645858662
2023-11-24,678397169
2023-11-27,654453739
2023-11-28,638491453
2023-11-29,674713564
2023-11-30,680238971
2023-12-01,687606180
2023-12-04,715233214
2023-12-05,717075017
2023-12-06,701112730
2023-12-07,709707808
2023-12-08,686378312
2023-12-11,669188158
2023-12-12,672871762
2023-12-13,694973389
2023-12-14,725670094
2023-12-15,779696294
2023-12-18,732423369
2023-12-19,774170887
2023-12-20,718916819
2023-12-21,750227457
