,PLL
2022-12-28,729436111
2022-12-29,763945937
2022-12-30,771128185
2023-01-03,793184362
2023-01-04,909698366
2023-01-05,897102258
2023-01-06,957304247
2023-01-09,973234620
2023-01-10,1003613470
2023-01-11,1071595408
2023-01-12,1132908819
2023-01-13,1124017448
2023-01-17,1107901839
2023-01-18,1075670620
2023-01-19,1091786229
2023-01-20,1158841983
2023-01-23,1212745918
2023-01-24,1214598287
2023-01-25,1279245962
2023-01-26,1257388009
2023-01-27,1238123372
2023-01-30,1212931155
2023-01-31,1271466012
2023-02-01,1252386613
2023-02-02,1290360175
2023-02-03,1268316985
2023-02-06,1267576038
2023-02-07,1275726461
2023-02-08,1246829506
2023-02-09,1258499430
2023-02-10,1212375445
2023-02-13,1230158186
2023-02-14,1293694439
2023-02-15,1343152689
2023-02-16,1360750193
2023-02-17,1194407466
2023-02-21,1178106620
2023-02-22,1169770960
2023-02-23,1194963177
2023-02-24,1141985426
2023-02-27,1184960385
2023-02-28,1202187416
2023-03-01,1221637289
2023-03-02,1158841983
2023-03-03,1216080182
2023-03-06,1139577347
2023-03-07,1058443589
2023-03-08,1102715206
2023-03-09,1050478403
2023-03-10,1022137159
2023-03-13,1041031321
2023-03-14,1056591220
2023-03-15,984348833
2023-03-16,1011208182
2023-03-17,988424045
2023-03-20,957304247
2023-03-21,1009911524
2023-03-22,952858562
2023-03-23,950450482
2023-03-24,952117614
2023-03-27,962676117
2023-03-28,1026582844
2023-03-29,1061407379
2023-03-30,1095676204
2023-03-31,1152157732
2023-04-03,1100929403
2023-04-04,1046631212
2023-04-05,998089012
2023-04-06,985042097
2023-04-10,997321547
2023-04-11,1018810584
2023-04-12,996170348
2023-04-13,1037037892
2023-04-14,1077713568
2023-04-17,1126447634
2023-04-18,1112633253
2023-04-19,1104191132
2023-04-20,1015740721
2023-04-21,1039724021
2023-04-24,1108604059
2023-04-25,1056608264
2023-04-26,1062172390
2023-04-27,1081934629
2023-04-28,1103231800
2023-05-01,1035886693
2023-05-02,1012095260
2023-05-03,1021880446
2023-05-04,994251684
2023-05-05,1066585317
2023-05-08,1084620759
2023-05-09,1090760484
2023-05-10,1132779225
2023-05-11,1103039933
2023-05-12,1121650974
2023-05-15,1100929403
2023-05-16,1085963824
2023-05-17,1114935650
2023-05-18,1141605080
2023-05-19,1121842840
2023-05-22,1123761504
2023-05-23,1108412192
2023-05-24,1065242252
2023-05-25,1043561349
2023-05-26,1061596791
2023-05-30,1078097301
2023-05-31,1050852272
2023-06-01,1095557144
2023-06-02,1188612348
2023-06-05,1178635295
2023-06-06,1221229636
2023-06-07,1214130579
2023-06-08,1195519538
2023-06-09,1172495570
2023-06-12,1146018007
2023-06-13,1204920992
2023-06-14,1171536238
2023-06-15,1206647789
2023-06-16,1196095137
2023-06-20,1174222368
2023-06-21,1153692663
2023-06-22,1128750031
2023-06-23,1098051407
2023-06-26,1098243273
2023-06-27,1112633253
2023-06-28,1107260994
2023-06-29,1072149443
2023-06-30,1108205130
2023-07-03,1113774000
2023-07-05,1128560310
2023-07-06,1102444230
2023-07-07,1112429790
2023-07-10,1136049480
2023-07-11,1141042260
2023-07-12,1139121960
2023-07-13,1137201660
2023-07-14,1122799410
2023-07-17,1174455480
2023-07-18,1188089610
2023-07-19,1156212630
2023-07-20,1106860920
2023-07-21,1056357030
2023-07-24,1021023510
2023-07-25,1037730120
2023-07-26,1040994630
2023-07-27,1027360500
2023-07-28,1038306210
2023-07-31,1053476580
2023-08-01,1015646670
2023-08-02,989914650
2023-08-03,989146530
2023-08-04,992795100
2023-08-07,948436170
2023-08-08,922896180
2023-08-09,912142500
2023-08-10,872776350
2023-08-11,877001010
2023-08-14,873544470
2023-08-15,849732750
2023-08-16,836866740
2023-08-17,860294400
2023-08-18,869703870
2023-08-21,885258300
2023-08-22,873544470
2023-08-23,877193040
2023-08-24,851845080
2023-08-25,833986290
2023-08-28,802877430
2023-08-29,851653050
2023-08-30,858950189
2023-08-31,859526280
2023-09-01,866823420
2023-09-05,885066270
2023-09-06,862022670
2023-09-07,837250800
2023-09-08,818047800
2023-09-11,846852300
2023-09-12,844163880
2023-09-13,854341470
2023-09-14,872008229
2023-09-15,878345220
2023-09-18,852805229
2023-09-19,819968100
2023-09-20,791163600
2023-09-21,748532939
2023-09-22,747956850
2023-09-25,745844520
2023-09-26,733746630
2023-09-27,707054460
2023-09-28,756214140
2023-09-29,762359100
2023-10-02,725105280
2023-10-03,700525439
2023-10-04,684778979
2023-10-05,663079590
2023-10-06,662119439
2023-10-09,654438240
2023-10-10,686891310
2023-10-11,687083340
2023-10-12,666728160
2023-10-13,632354790
2023-10-16,658470870
2023-10-17,687275370
2023-10-18,639651930
2023-10-19,610271340
2023-10-20,586267590
2023-10-23,569368950
2023-10-24,584155260
2023-10-25,557079030
2023-10-26,537299940
2023-10-27,542676780
2023-10-30,527314380
2023-10-31,527506410
2023-11-01,515984610
2023-11-02,536531820
2023-11-03,563608050
2023-11-06,541140540
2023-11-07,532883250
2023-11-08,543636930
2023-11-09,517328820
2023-11-10,492364920
2023-11-13,493517100
2023-11-14,555926850
2023-11-15,576282030
2023-11-16,526162200
2023-11-17,545941290
2023-11-20,563031960
2023-11-21,540372420
2023-11-22,552278280
2023-11-24,538260090
2023-11-27,506767170
2023-11-28,511567920
2023-11-29,502158450
2023-11-30,497549730
2023-12-01,521937540
2023-12-04,484107630
2023-12-05,452806739
2023-12-06,456071250
2023-12-07,476810489
2023-12-08,509455590
2023-12-11,480651090
2023-12-12,456071250
2023-12-13,505038900
2023-12-14,569560980
2023-12-15,572441430
2023-12-18,565912410
2023-12-19,588379920
2023-12-20,556887000
2023-12-21,568984890
2023-12-22,559767450
2023-12-26,570713160
2023-12-27,567640680
2023-12-28,579354510
2023-12-29,542100690
2024-01-02,535379640
2024-01-03,506191080
2024-01-04,503310630
2024-01-05,491980860
2024-01-08,504462810
2024-01-09,474314100
2024-01-10,464712600
2024-01-11,441669000
2024-01-12,437252310
2024-01-16,396157890
2024-01-17,372922260
2024-01-18,359672190
2024-01-19,344117760
2024-01-22,344885880
2024-01-23,335284380
2024-01-24,331827840
2024-01-25,328755360
2024-01-26,338356860
2024-01-29,332403930
2024-01-30,307055970
2024-01-31,293421840
2024-02-01,286124700
2024-02-02,263273130
2024-02-05,237733140
2024-02-06,245414340
2024-02-07,278251470
2024-02-08,281131920
2024-02-09,270186210
2024-02-12,289197180
2024-02-13,252903510
2024-02-14,260392680
2024-02-15,267881850
2024-02-16,277291320
2024-02-20,268457940
2024-02-21,275371020
2024-02-22,265385460
2024-02-23,236965020
2024-02-26,236004869
2024-02-27,260968770
2024-02-28,266153580
2024-02-29,279595680
2024-03-01,296302290
2024-03-04,278251470
2024-03-05,260968770
2024-03-06,268649970
2024-03-07,274602900
2024-03-08,264809369
2024-03-11,262697040
2024-03-12,255207869
2024-03-13,254823810
2024-03-14,240613590
2024-03-15,241957800
2024-03-18,231012090
2024-03-19,227171490
2024-03-20,237157050
2024-03-21,248294790
2024-03-22,237733140
2024-03-25,235236750
2024-03-26,231396150
2024-03-27,255591930
2024-03-28,255783960
2024-04-01,254439750
2024-04-02,247334640
2024-04-03,254823810
2024-04-04,252519450
2024-04-05,245222310
2024-04-08,255975990
2024-04-09,274026810
2024-04-10,259048470
2024-04-11,256168020
2024-04-12,243494040
2024-04-15,281900040
2024-04-16,257896290
2024-04-17,259432530
2024-04-18,238885320
2024-04-19,222946830
2024-04-22,215841720
2024-04-23,223330890
2024-04-24,213345330
2024-04-25,219298260
2024-04-26,233700510
2024-04-29,253671630
2024-04-30,235236750
2024-05-01,232356300
2024-05-02,250407119
2024-05-03,255975990
2024-05-06,258472380
2024-05-07,255975990
2024-05-08,251943359
2024-05-09,257320200
2024-05-10,253671630
2024-05-13,274602900
2024-05-14,300334920
2024-05-15,282476130
2024-05-16,293421840
2024-05-17,311664690
2024-05-20,309552360
2024-05-21,308976270
2024-05-22,298414620
2024-05-23,283052220
2024-05-24,278443500
2024-05-28,264425310
2024-05-29,260584710
2024-05-30,261736890
2024-05-31,250791180
2024-06-03,244838250
2024-06-04,236580960
2024-06-05,242917950
2024-06-06,241189680
2024-06-07,232548330
2024-06-10,234276600
2024-06-11,227747580
2024-06-12,228131640
2024-06-13,223714950
2024-06-14,216993900
2024-06-17,204896010
2024-06-18,194718420
2024-06-20,197790900
2024-06-21,196254660
2024-06-24,181660380
2024-06-25,178203840
2024-06-26,190301730
2024-06-27,192990150
2024-06-28,191645940
2024-07-01,188573460
2024-07-02,183388650
2024-07-03,198751050
2024-07-05,197790900
2024-07-08,199519170
2024-07-09,199519170
2024-07-10,204319920
2024-07-11,215265630
2024-07-12,221026530
2024-07-15,224099010
2024-07-16,244838250
2024-07-17,234660660
2024-07-18,219298260
2024-07-19,220450440
2024-07-22,215265630
2024-07-23,217185930
2024-07-24,205856160
2024-07-25,199519170
2024-07-26,204896010
2024-07-29,193950300
2024-07-30,184540830
2024-07-31,192414060
2024-08-01,178395869
2024-08-02,175323390
2024-08-05,174747300
2024-08-06,177627750
2024-08-07,171866850
2024-08-08,168794369
2024-08-09,159384900
