,FOSL
2002-02-05,711065178
2002-02-06,721370462
2002-02-07,722885931
2002-02-08,721673529
2002-02-11,724401400
2002-02-12,722885931
2002-02-13,736525288
2002-02-14,745618170
2002-02-15,741981031
2002-02-19,760166864
2002-02-20,754407986
2002-02-21,754104919
2002-02-22,748649177
2002-02-25,742284098
2002-02-26,789567248
2002-02-27,798357064
2002-02-28,775624756
2002-03-01,784111505
2002-03-04,800781800
2002-03-05,804722074
2002-03-06,832303855
2002-03-07,828666716
2002-03-08,841093671
2002-03-11,838365799
2002-03-12,833819392
2002-03-13,822907907
2002-03-14,818361432
2002-03-15,834122459
2002-03-18,818361432
2002-03-19,818361432
2002-03-20,829575984
2002-03-21,827151247
2002-03-22,824423376
2002-03-25,815936627
2002-03-26,815633560
2002-03-27,819876900
2002-03-28,805934477
2002-04-01,805328276
2002-04-02,802297269
2002-04-03,791082717
2002-04-04,807449946
2002-04-05,815027359
2002-04-08,828829782
2002-04-09,836793371
2002-04-10,854864662
2002-04-11,843838102
2002-04-12,848126262
2002-04-15,857621302
2002-04-16,857621302
2002-04-17,837405965
2002-04-18,836793371
2002-04-19,850576571
2002-04-22,844144434
2002-04-23,865584960
2002-04-24,870179382
2002-04-25,859459085
2002-04-26,856089851
2002-04-29,879674422
2002-04-30,849963977
2002-05-01,888556937
2002-05-02,903565325
2002-05-03,896214262
2002-05-06,917654857
2002-05-07,888250674
2002-05-08,890088457
2002-05-09,877530377
2002-05-10,846901074
2002-05-13,848432525
2002-05-14,960229577
2002-05-15,1027614125
2002-05-16,1015056114
2002-05-17,1000966582
2002-05-20,975544297
2002-05-21,964211405
2002-05-22,959616982
2002-05-23,950428205
2002-05-24,978607200
2002-05-28,974319108
2002-05-29,963292548
2002-05-30,955022628
2002-05-31,948284160
2002-06-03,926537302
2002-06-04,955022628
2002-06-05,995453302
2002-06-06,995453302
2002-06-07,1050586102
2002-06-10,1027767257
2002-06-11,1013524662
2002-06-12,1013065200
2002-06-13,1036037177
2002-06-14,1019497337
2002-06-17,1047063737
2002-06-18,1038334422
2002-06-19,1023172902
2002-06-20,1036956102
2002-06-21,1047063737
2002-06-24,1033280537
2002-06-25,1008470777
2002-06-26,999741462
2002-06-27,1017659622
2002-06-28,944608662
2002-07-01,972634457
2002-07-02,952419120
2002-07-03,907394022
2002-07-05,907853417
2002-07-08,913472850
2002-07-09,981856273
2002-07-10,974925523
2002-07-11,968918850
2002-07-12,923637973
2002-07-15,864957600
2002-07-16,861723226
2002-07-17,832614076
2002-07-18,831690000
2002-07-19,792415726
2002-07-22,781326526
2002-07-23,781326526
2002-07-24,812283900
2002-07-25,827993623
2002-07-26,847399723
2002-07-29,877432950
2002-07-30,878819100
2002-07-31,852020176
2002-08-01,845551500
2002-08-02,806739300
2002-08-05,785484976
2002-08-06,785484976
2002-08-07,789643426
2002-08-08,807663376
2002-08-09,806277226
2002-08-12,791029576
2002-08-13,860337076
2002-08-14,961064023
2002-08-15,1013275650
2002-08-16,1048391473
2002-08-19,1084431373
2002-08-20,1094134423
2002-08-21,1078886773
2002-08-22,1106609773
2002-08-23,1118160976
2002-08-26,1073804176
2002-08-27,1026675076
2002-08-28,1000338226
2002-08-29,1004496676
2002-08-30,1010041276
2002-09-03,1036378126
2002-09-04,1099679023
2002-09-05,1057170376
2002-09-06,1073342173
2002-09-09,1068721650
2002-09-10,1045619173
2002-09-11,1041922726
2002-09-12,1055322223
2002-09-13,1065949350
2002-09-16,1070569873
2002-09-17,1080272923
2002-09-18,1036378126
2002-09-19,1008655126
2002-09-20,985552650
2002-09-23,962450173
2002-09-24,929644576
2002-09-25,947202523
2002-09-26,954133273
2002-09-27,940271773
2002-09-30,926410273
2002-10-01,887598073
2002-10-02,868653976
2002-10-03,855254550
2002-10-04,815518273
2002-10-07,783520080
2002-10-08,784909300
2002-10-09,749715703
2002-10-10,723320523
2002-10-11,772869416
2002-10-14,794633840
2002-10-15,829364340
2002-10-16,813156796
2002-10-17,844182663
2002-10-18,889100800
2002-10-21,888637703
2002-10-22,879839356
2002-10-23,903919123
2002-10-24,894657680
2002-10-25,898362243
2002-10-28,886785456
2002-10-29,870577843
2002-10-30,877523943
2002-10-31,908086783
2002-11-01,995607643
2002-11-04,963192556
2002-11-05,1001627620
2002-11-06,1017835163
2002-11-07,1018298260
2002-11-08,1015056723
2002-11-11,1006258376
2002-11-12,889100800
2002-11-13,921052860
2002-11-14,928462056
2002-11-15,865947156
2002-11-18,865020963
2002-11-19,867799403
2002-11-20,877523943
2002-11-21,887248483
2002-11-22,978010880
2002-11-25,996533836
2002-11-26,965044803
2002-11-27,942354256
2002-11-29,940038843
2002-12-02,968749436
2002-12-03,960414116
2002-12-04,971527876
2002-12-05,942354256
2002-12-06,939575816
2002-12-09,946984943
2002-12-10,974306316
2002-12-11,992366176
2002-12-12,988198516
2002-12-13,964581776
2002-12-16,992366176
2002-12-17,1006721403
2002-12-18,995607643
2002-12-19,967823243
2002-12-20,1016445943
2002-12-23,986346200
2002-12-24,965507900
2002-12-26,966434023
2002-12-27,949300356
2002-12-30,948837260
2002-12-31,941891160
2003-01-02,981715443
2003-01-03,982178540
2003-01-06,978349751
2003-01-07,975542435
2003-01-08,957762788
2003-01-09,975542435
2003-01-10,940450980
2003-01-13,938111573
2003-01-14,928753805
2003-01-15,913781475
2003-01-16,928753805
2003-01-17,924074991
2003-01-21,919396107
2003-01-22,908166842
2003-01-23,912377817
2003-01-24,857635147
2003-01-27,865121348
2003-01-28,863249780
2003-01-29,877286362
2003-01-30,836580275
2003-01-31,865589187
2003-02-03,839387591
2003-02-04,822543693
2003-02-05,813185995
2003-02-06,803360388
2003-02-07,802424569
2003-02-10,806635544
2003-02-11,792598962
2003-02-12,780901857
2003-02-13,793534781
2003-02-14,805231885
2003-02-18,842194908
2003-02-19,818800628
2003-02-20,806635544
2003-02-21,823479442
2003-02-24,818800628
2003-02-25,831901391
2003-02-26,815057493
2003-02-27,821607944
2003-02-28,841259159
2003-03-03,837516024
2003-03-04,815057493
2003-03-05,811782337
2003-03-06,799617253
2003-03-07,806167704
2003-03-10,786048580
2003-03-11,774351405
2003-03-12,766865275
2003-03-13,829094074
2003-03-14,827222577
2003-03-17,874479046
