,FDS
2002-02-05,1237847400
2002-02-06,1191050730
2002-02-07,1164381660
2002-02-08,1211681520
2002-02-11,1190044350
2002-02-12,1215707040
2002-02-13,1242879300
2002-02-14,1194069870
2002-02-15,1204133670
2002-02-19,1154821050
2002-02-20,1115572230
2002-02-21,1105508430
2002-02-22,1110540330
2002-02-25,1084374450
2002-02-26,1132680690
2002-02-27,1139222160
2002-02-28,1156644150
2002-03-01,1226498370
2002-03-04,1234091220
2002-03-05,1256363580
2002-03-06,1256869770
2002-03-07,1280660700
2002-03-08,1316600190
2002-03-11,1370256330
2002-03-12,1332798270
2002-03-13,1312044480
2002-03-14,1244721210
2002-03-15,1245227400
2002-03-18,1282179270
2002-03-19,1285216410
2002-03-20,1251807870
2002-03-21,1256869770
2002-03-22,1302933060
2002-03-25,1313563050
2002-03-26,1329761130
2002-03-27,1355576820
2002-03-28,1361651100
2002-04-01,1330773510
2002-04-02,1313563050
2002-04-03,1324699230
2002-04-04,1330773510
2002-04-05,1297364970
2002-04-08,1357601580
2002-04-09,1383417270
2002-04-10,1357601580
2002-04-11,1320143520
2002-04-12,1317612570
2002-04-15,1322168280
2002-04-16,1336341600
2002-04-17,1292303070
2002-04-18,1236622170
2002-04-19,1238646930
2002-04-22,1231560270
2002-04-23,1249276920
2002-04-24,1243708830
2002-04-25,1196126970
2002-04-26,1223461230
2002-04-29,1167780330
2002-04-30,1175373180
2002-05-01,1153607010
2002-05-02,1135384170
2002-05-03,1079703270
2002-05-06,1017441900
2002-05-07,1033639980
2002-05-08,1072110420
2002-05-09,1073122800
2002-05-10,1045282349
2002-05-13,1073122800
2002-05-14,1162718430
2002-05-15,1189040310
2002-05-16,1168792710
2002-05-17,1181953650
2002-05-20,1150569870
2002-05-21,1126778940
2002-05-22,1113618000
2002-05-23,1139433690
2002-05-24,1123741800
2002-05-28,1104000390
2002-05-29,1089827070
2002-05-30,1099950870
2002-05-31,1101645810
2002-06-03,1061088210
2002-06-04,952596630
2002-06-05,992140290
2002-06-06,963243000
2002-06-07,979466040
2002-06-10,962736029
2002-06-11,950568750
2002-06-12,944992080
2002-06-13,939922380
2002-06-14,954624509
2002-06-17,1040809410
2002-06-18,1066157910
2002-06-19,1015967880
2002-06-20,990112410
2002-06-21,986056650
2002-06-24,992140290
2002-06-25,948540870
2002-06-26,941443290
2002-06-27,997209990
2002-06-28,1006335450
2002-07-01,941443290
2002-07-02,878579009
2002-07-03,870467490
2002-07-05,896322960
2002-07-08,904434480
2002-07-09,889225380
2002-07-10,898857810
2002-07-11,857286270
2002-07-12,851709600
2002-07-15,814700790
2002-07-16,848160810
2002-07-17,865397790
2002-07-18,846639900
2002-07-19,838021410
2002-07-22,799491690
2002-07-23,767552580
2002-07-24,827882009
2002-07-25,847146870
2002-07-26,855258390
2002-07-29,913559940
2002-07-30,951582690
2002-07-31,881113860
2002-08-01,823319279
2002-08-02,807603210
2002-08-05,786310470
2002-08-06,755385300
2002-08-07,751836510
2002-08-08,770594400
2002-08-09,754371360
2002-08-12,749808630
2002-08-13,734599530
2002-08-14,755892270
2002-08-15,778198950
2002-08-16,804561390
2002-08-19,834979590
2002-08-20,839035350
2002-08-21,871988400
2002-08-22,892267200
2002-08-23,834472620
2002-08-26,855258390
2002-08-27,832951710
2002-08-28,827375040
2002-08-29,830923830
2002-08-30,838021410
2002-09-03,1156518678
2002-09-04,1188454105
2002-09-05,1178569330
2002-09-06,1193776676
2002-09-09,1219629165
2002-09-10,1197578513
2002-09-11,1191495574
2002-09-12,1183891901
2002-09-13,1165643086
