,BAC
2002-05-09,114144130860
2002-05-10,113285212380
2002-05-13,115033725000
2002-05-14,116383454040
2002-05-15,116444805360
2002-05-16,116904940260
2002-05-17,117947912700
2002-05-20,116260751400
2002-05-21,115033725000
2002-05-22,115677913860
2002-05-23,117549129120
2002-05-24,116782237620
2002-05-28,116138048760
2002-05-29,116996967240
2002-05-30,116444805360
2002-05-31,116291427059
2002-06-03,114205482179
2002-06-04,114113455200
2002-06-05,112303591260
2002-06-06,106996702080
2002-06-07,108867917340
2002-06-10,109113322620
2002-06-11,108469133760
2002-06-12,109113322620
2002-06-13,106751296799
2002-06-14,109051971299
2002-06-17,112518320880
2002-06-18,113499942000
2002-06-19,113131834080
2002-06-20,110585754299
2002-06-21,107763593580
2002-06-24,107916971880
2002-06-25,107426161320
2002-06-26,103469001179
2002-06-27,105217513799
2002-06-28,107916971880
2002-07-01,104168217420
2002-07-02,104529181500
2002-07-03,103476369600
2002-07-05,106514483939
2002-07-08,108198982980
2002-07-09,105642154079
2002-07-10,102423557699
2002-07-11,103987735380
2002-07-12,103205646540
2002-07-15,101942272260
2002-07-16,99716327100
2002-07-17,97761105000
2002-07-18,94181544540
2002-07-19,92527125840
2002-07-22,90662144760
2002-07-23,87082584300
2002-07-24,88737003000
2002-07-25,90180859320
2002-07-26,92707607880
2002-07-29,96708293100
2002-07-30,96678212760
2002-07-31,100017130500
2002-08-01,97460301600
2002-08-02,95505079500
2002-08-05,93339295020
2002-08-06,95866043580
2002-08-07,98152149420
2002-08-08,102874762800
2002-08-09,103506449939
2002-08-12,102965003819
2002-08-13,101310585120
2002-08-14,103777173000
2002-08-15,104378779800
2002-08-16,103356048240
2002-08-19,105431591699
2002-08-20,103777173000
2002-08-21,104589342180
2002-08-22,105822636120
2002-08-23,104378779800
2002-08-26,106785207000
2002-08-27,107386813800
2002-08-28,105281190000
2002-08-29,105822636120
2002-08-30,105401511360
2002-09-03,100979701380
2002-09-04,101340665460
2002-09-05,101250424439
2002-09-06,104198297760
2002-09-09,104168217420
2002-09-10,103085325180
2002-09-11,103386128579
2002-09-12,101280504780
2002-09-13,102724361100
2002-09-16,103747092660
2002-09-17,102363397020
2002-09-18,99716327100
2002-09-19,95294517120
2002-09-20,94903472700
2002-09-23,96046525620
2002-09-24,93249054000
2002-09-25,95505079500
2002-09-26,99144800640
2002-09-27,96377409360
2002-09-30,95662039000
2002-10-01,99170646700
2002-10-02,96261801000
2002-10-03,89664419000
2002-10-04,86965490000
2002-10-07,83366918000
2002-10-08,85765966000
2002-10-09,81177786700
2002-10-10,84956287300
2002-10-11,89064657000
2002-10-14,91043871600
2002-10-15,98600872800
2002-10-16,100250218300
2002-10-17,102829194900
2002-10-18,103938754599
2002-10-21,105498135800
2002-10-22,104418564200
2002-10-23,105108290499
2002-10-24,102679254400
2002-10-25,104688457099
2002-10-28,104208647500
2002-10-29,104118683200
2002-10-30,105648076299
2002-10-31,104658469000
2002-11-01,105348195300
2002-11-04,105348195300
2002-11-05,106487743100
2002-11-06,105108290499
2002-11-07,101119873200
2002-11-08,100640063600
2002-11-11,100100277800
2002-11-12,100999920800
2002-11-13,100939944599
2002-11-14,103099087800
2002-11-15,103129075900
2002-11-18,101089885100
2002-11-19,102289409100
2002-11-20,104208647500
2002-11-21,107087505100
2002-11-22,106877588400
2002-11-25,106757636000
2002-11-26,104298611800
2002-11-27,106457755000
2002-11-29,105078302400
2002-12-02,103638873600
2002-12-03,103908766500
2002-12-04,103249028300
2002-12-05,101359777999
2002-12-06,102319397199
2002-12-09,102049504300
2002-12-10,104028718900
2002-12-11,104208647500
2002-12-12,104268623700
2002-12-13,102349385300
2002-12-16,105378183400
2002-12-17,104088695100
2002-12-18,102679254400
2002-12-19,102709242500
2002-12-20,105408171500
2002-12-23,105138278600
2002-12-24,104598492800
2002-12-26,104718445200
2002-12-27,103728837900
2002-12-30,104658469000
2002-12-31,104328599900
2003-01-02,105977945400
2003-01-03,105318207199
2003-01-06,106847600300
2003-01-07,106997540800
2003-01-08,106577707400
2003-01-09,107957160000
2003-01-10,107657279000
2003-01-13,108526933900
2003-01-14,108676874400
2003-01-15,107147481299
2003-01-16,106457755000
2003-01-17,107177469400
2003-01-21,106067909699
2003-01-22,106307814500
2003-01-23,107357397999
2003-01-24,104388576100
2003-01-27,102889171100
2003-01-28,103608885499
2003-01-29,104358587999
2003-01-30,103039111600
2003-01-31,105048314300
2003-02-03,105018326200
2003-02-04,102919159200
2003-02-05,102709242500
2003-02-06,102589290100
2003-02-07,101869575700
2003-02-10,102289409100
2003-02-11,101569694699
2003-02-12,100760016000
2003-02-13,101359777999
2003-02-14,103279016400
2003-02-18,104688457099
2003-02-19,104598492800
2003-02-20,104148671299
2003-02-21,105498135800
2003-02-24,102979135400
2003-02-25,103578897400
2003-02-26,102469337700
2003-02-27,103758826000
2003-02-28,103818802199
2003-03-03,102829194900
2003-03-04,102049504300
2003-03-05,102469337700
2003-03-06,102169456700
2003-03-07,103458945000
2003-03-10,100220230200
2003-03-11,98420944200
2003-03-12,98720825200
2003-03-13,101359777999
2003-03-14,100939944599
2003-03-17,103638873600
2003-03-18,102469337700
2003-03-19,104208647500
2003-03-20,104238635600
2003-03-21,105708052500
2003-03-24,103159064000
2003-03-25,103938754599
2003-03-26,102799206800
2003-03-27,102379373400
2003-03-28,102829194900
2003-03-31,99865242960
2003-04-01,101598392000
2003-04-02,104317643079
2003-04-03,103391304800
2003-04-04,104586580000
2003-04-07,103749887360
2003-04-08,105871500840
2003-04-09,104825635040
2003-04-10,106409374680
2003-04-11,106588665960
2003-04-14,107574768000
2003-04-15,108590751920
2003-04-16,107574768000
2003-04-17,108889570720
2003-04-21,108770043200
2003-04-22,110921538559
2003-04-23,111399648640
2003-04-24,109905554640
2003-04-25,108441342520
2003-04-28,110084845920
2003-04-29,110174491559
2003-04-30,110652601640
2003-05-01,110951420440
2003-05-02,111937522480
2003-05-05,110772129160
2003-05-06,111190475480
2003-05-07,110951420440
2003-05-08,110114727800
2003-05-09,110562956000
2003-05-12,111310003000
2003-05-13,111041066079
2003-05-14,110473310360
2003-05-15,111190475480
2003-05-16,110802011040
2003-05-19,108291933120
2003-05-20,108321815000
2003-05-21,109158507640
2003-05-22,109248153280
2003-05-23,110204373440
2003-05-27,112057050000
2003-05-28,111070947960
2003-05-29,109935436520
2003-05-30,110861774800
2003-06-02,110772129160
2003-06-03,113132797680
2003-06-04,114537246040
2003-06-05,114626891680
2003-06-06,114925710480
2003-06-09,113312088960
2003-06-10,115194647399
2003-06-11,117136969600
2003-06-12,117196733360
2003-06-13,117286379000
2003-06-16,119378110600
2003-06-17,119288464960
2003-06-18,119139055559
2003-06-19,117166851480
2003-06-20,117913898480
