,MTG
2002-09-10,5970002067
2002-09-11,5877204108
2002-09-12,5663768800
2002-09-13,5694701454
2002-09-16,5021400702
2002-09-17,4463581856
2002-09-18,4507918659
2002-09-19,4275923760
2002-09-20,4287265733
2002-09-23,4136726821
2002-09-24,4044959950
2002-09-25,4142913351
2002-09-26,4379032604
2002-09-27,4167659474
2002-09-30,4057409348
2002-10-01,4218393995
2002-10-02,4081258925
2002-10-03,3874562588
2002-10-04,3801026391
2002-10-07,3586380195
2002-10-08,3746371110
2002-10-09,3365771604
2002-10-10,3759289631
2002-10-11,4049459489
2002-10-14,4028591109
2002-10-15,4439002586
2002-10-16,4163738714
2002-10-17,4422109135
2002-10-18,4476764416
2002-10-21,4818608359
2002-10-22,4607937092
2002-10-23,4436021388
2002-10-24,4336648149
2002-10-25,4496639064
2002-10-28,4276030474
2002-10-29,4176657235
2002-10-30,4227337587
2002-10-31,4169701108
2002-11-01,4290936460
2002-11-04,4342610544
2002-11-05,4275036741
2002-11-06,4238268643
2002-11-07,4055421883
2002-11-08,4057409348
2002-11-11,4027597376
2002-11-12,3952073715
2002-11-13,3817919842
2002-11-14,4050453221
2002-11-15,4059396813
2002-11-18,4041509630
2002-11-19,4069334137
2002-11-20,4132933010
2002-11-21,4337641882
2002-11-22,4583093782
2002-11-25,4579118853
2002-11-26,4473783219
2002-11-27,4662592373
2002-11-29,4637749064
2002-12-02,4675510894
2002-12-03,4493657867
2002-12-04,4384347304
2002-12-05,4305842445
2002-12-06,4173676038
2002-12-09,4099146108
2002-12-10,4171688573
2002-12-11,4231312516
2002-12-12,4203488009
2002-12-13,4122995686
2002-12-16,4286961530
2002-12-17,4269074347
2002-12-18,4200506812
2002-12-19,4066352939
2002-12-20,4089208784
2002-12-23,4088215052
2002-12-24,4067346672
2002-12-26,4104114770
2002-12-27,4050453221
2002-12-30,4099146108
2002-12-31,4104114770
2003-01-02,4279011671
2003-01-03,4275036741
2003-01-06,4454902304
2003-01-07,4401240755
2003-01-08,4280005403
2003-01-09,4571168994
2003-01-10,4600980965
2003-01-13,4541357022
2003-01-14,4574150191
2003-01-15,4498626529
2003-01-16,4397265825
2003-01-17,4404221952
2003-01-21,4377391177
2003-01-22,4342610544
2003-01-23,4345591741
2003-01-24,4283980333
2003-01-27,4274043009
2003-01-28,4297892586
2003-01-29,4282986600
2003-01-30,4218393995
2003-01-31,4285967798
2003-02-03,4314786037
2003-02-04,4162744981
2003-02-05,4175663502
2003-02-06,4074302799
2003-02-07,4049459489
2003-02-10,4138895404
2003-02-11,4085233855
2003-02-12,4074302799
2003-02-13,4089208784
2003-02-14,4162744981
2003-02-18,4201500544
2003-02-19,4159763784
2003-02-20,4124983150
2003-02-21,4121008221
2003-02-24,3972942095
2003-02-25,3963004771
2003-02-26,3856675405
2003-02-27,3935180264
2003-02-28,3921268010
2003-03-03,3909343222
2003-03-04,3731465124
2003-03-05,3805995053
2003-03-06,3776183082
2003-03-07,3811957448
2003-03-10,3676809843
2003-03-11,3627123223
2003-03-12,3557561956
2003-03-13,3663891321
2003-03-14,3676809843
2003-03-17,3852700476
2003-03-18,3890462306
2003-03-19,3956048644
2003-03-20,3933192799
2003-03-21,4094177446
2003-03-24,3974929560
2003-03-25,3982879419
2003-03-26,3991823010
2003-03-27,4027597376
2003-03-28,3972942095
2003-03-31,3867207380
2003-04-01,3910537434
2003-04-02,4073025139
2003-04-03,4031664633
2003-04-04,4064162174
2003-04-07,4016893023
2003-04-08,3999167092
2003-04-09,3928263366
2003-04-10,3931217688
2003-04-11,3953867489
2003-04-14,4010984379
2003-04-15,4323157728
2003-04-16,4144913639
2003-04-17,4358609591
2003-04-21,4390122358
2003-04-22,4611696501
2003-04-23,4589046700
2003-04-24,4539808001
2003-04-25,4398000550
2003-04-28,4451178344
2003-04-29,4468904275
2003-04-30,4476782467
2003-05-01,4528975488
2003-05-02,4627452885
2003-05-05,4603818309
2003-05-06,4692447967
2003-05-07,4636315850
2003-05-08,4547686193
2003-05-09,4596924891
2003-05-12,4664874295
2003-05-13,4694417514
2003-05-14,4591016248
2003-05-15,4452163118
2003-05-16,4526021166
2003-05-19,4423604673
2003-05-20,4411787385
2003-05-21,4437391508
2003-05-22,4436406734
2003-05-23,4436406734
2003-05-27,4475797693
2003-05-28,4718052090
2003-05-29,5018408151
2003-05-30,5319748985
2003-06-02,5502916944
2003-06-03,5104083486
2003-06-04,5071585945
2003-06-05,5076509815
2003-06-06,5070601171
2003-06-09,4930763267
2003-06-10,4944550103
2003-06-11,5037118856
2003-06-12,5022347247
2003-06-13,5015453829
2003-06-16,5085372781
2003-06-17,5058783883
2003-06-18,5028255890
2003-06-19,4930763267
2003-06-20,4871676829
2003-06-23,4826377226
2003-06-24,4827362000
2003-06-25,4732823699
2003-06-26,4633361528
2003-06-27,4628437659
2003-06-30,4582445389
2003-07-01,4666941595
2003-07-02,4770105567
2003-07-03,4730805006
2003-07-07,4975450997
2003-07-08,5034401838
2003-07-09,5070754857
2003-07-10,4888007249
2003-07-11,4958748258
2003-07-14,5079597483
2003-07-15,5253502464
2003-07-16,5452952811
2003-07-17,5359613979
2003-07-18,5439197614
2003-07-21,5351753866
2003-07-22,5293785539
2003-07-23,5173918829
2003-07-24,5201429221
2003-07-25,5278065315
2003-07-28,5344876268
2003-07-29,5339963698
2003-07-30,5305575708
2003-07-31,5452952811
2003-08-01,5410704708
2003-08-04,5396949511
2003-08-05,5306558222
2003-08-06,5266275147
2003-08-07,5241712296
2003-08-08,5267257661
2003-08-11,5320313418
2003-08-12,5408739680
2003-08-13,5445092698
2003-08-14,5463760465
2003-08-15,5435267558
2003-08-18,5498148455
2003-08-19,5501095997
2003-08-20,5561029353
2003-08-21,5562011867
2003-08-22,5504043540
2003-08-25,5418564820
2003-08-26,5411687222
2003-08-27,5406774652
2003-08-28,5448040240
2003-08-29,5538431530
2003-09-02,5665175839
2003-09-03,5747707017
2003-09-04,5734934334
2003-09-05,5684826119
2003-09-08,5691703717
2003-09-09,5644543044
2003-09-10,5664193325
2003-09-11,5551204213
2003-09-12,5456882867
2003-09-15,5314418334
2003-09-16,5416599792
2003-09-17,5336033642
2003-09-18,5433302530
2003-09-19,5420529848
2003-09-22,5366491577
2003-09-23,5425442418
2003-09-24,5267257661
2003-09-25,5256450007
2003-09-26,5133635754
2003-09-29,5200446707
2003-09-30,5110019781
2003-10-01,5371065539
2003-10-02,5319052662
2003-10-03,5530048294
2003-10-06,5549675794
2003-10-07,5564396420
2003-10-08,5607576921
2003-10-09,5446631416
2003-10-10,5278816286
2003-10-13,5367140039
2003-10-14,5412283290
2003-10-15,5251337785
2003-10-16,5150256157
2003-10-17,5032491153
2003-10-20,5039360779
2003-10-21,4945148776
2003-10-22,4900005524
2003-10-23,4928465400
2003-10-24,4876452524
2003-10-27,4864676023
2003-10-28,5060951029
2003-10-29,5061932404
2003-10-30,4963794901
2003-10-31,5035435278
2003-11-03,5128665906
2003-11-04,5063895154
2003-11-05,5046230404
2003-11-06,5056044154
2003-11-07,5177734658
2003-11-10,5099224655
2003-11-11,5069783404
2003-11-12,5036416653
2003-11-13,5091373655
2003-11-14,5044267654
2003-11-17,5031509778
2003-11-18,4999124402
2003-11-19,5020714653
2003-11-20,4940241901
2003-11-21,4952999776
2003-11-24,5049174529
2003-11-25,5086466780
2003-11-26,5190492533
2003-11-28,5196380783
2003-12-01,5412283290
2003-12-02,5407376415
2003-12-03,5441724541
2003-12-04,5484905042
2003-12-05,5474109917
2003-12-08,5598744546
2003-12-09,5523178668
2003-12-10,5463314792
2003-12-11,5510420793
2003-12-12,5515327668
2003-12-15,5448594166
2003-12-16,5440743166
2003-12-17,5404432290
2003-12-18,5431910791
2003-12-19,5403450915
2003-12-22,5486867792
2003-12-23,5530048294
2003-12-24,5574210170
2003-12-26,5572247420
2003-12-29,5619353421
2003-12-30,5613465171
2003-12-31,5610876254
2004-01-02,5549781360
2004-01-05,5640438300
2004-01-06,5725182831
2004-01-07,5647336111
2004-01-08,5759671884
2004-01-09,5780365316
2004-01-12,6561788721
2004-01-13,6825876329
2004-01-14,6774635450
2004-01-15,6788431071
2004-01-16,6838686548
2004-01-20,6853467571
2004-01-21,6855438374
2004-01-22,6775620851
2004-01-23,6698759532
2004-01-26,6749015010
2004-01-27,6740146396
2004-01-28,6720438366
2004-01-29,6737190192
2004-01-30,6793358078
2004-02-02,6753942018
2004-02-03,6812080707
2004-02-04,6757883624
2004-02-05,6809124503
2004-02-06,6873175602
2004-02-09,6885985821
2004-02-10,6906679253
2004-02-11,6822920124
2004-02-12,6769708442
2004-02-13,6560803320
2004-02-17,6714525957
2004-02-18,6652445661
2004-02-19,6594306971
2004-02-20,6577555146
2004-02-23,6540109888
2004-02-24,6551934706
2004-02-25,6542080691
2004-02-26,6508577039
2004-02-27,6521387259
2004-03-01,6584452956
2004-03-02,6580511350
2004-03-03,6646533252
2004-03-04,6614015002
2004-03-05,6494781418
2004-03-08,6355839804
2004-03-09,6267153667
2004-03-10,6272080674
2004-03-11,6159744901
2004-03-12,6246460235
2004-03-15,6134124462
2004-03-16,6141022272
2004-03-17,6267153667
2004-03-18,6252372644
2004-03-19,6238577023
2004-03-22,6099635408
2004-03-23,6158759500
2004-03-24,6164671909
2004-03-25,6200146363
2004-03-26,6271095273
2004-03-29,6351898197
2004-03-30,6355839804
2004-03-31,6321704793
2004-04-01,6369932029
2004-04-02,6495913380
2004-04-05,6525440259
2004-04-06,6470323418
2004-04-07,6462449583
2004-04-08,6540203698
2004-04-12,6572683265
2004-04-13,6644532004
2004-04-14,6861062450
2004-04-15,6890589329
2004-04-16,6860078221
2004-04-19,6906336998
2004-04-20,7000823010
2004-04-21,7022476055
2004-04-22,7253769941
2004-04-23,7324634450
2004-04-26,7326602909
2004-04-27,7362035164
2004-04-28,7293139112
2004-04-29,7249833023
2004-04-30,7245896106
2004-05-03,7332508285
2004-05-04,7170110450
2004-05-05,7225227291
2004-05-06,7166173533
2004-05-07,7139599342
