,MMI
2015-07-29,1942166600
2015-07-30,1937888700
2015-07-31,1992723600
2015-08-03,1983390000
2015-08-04,2009835200
2015-08-05,2010613000
2015-08-06,1951111300
2015-08-07,1924277199
2015-08-10,2057669899
2015-08-11,2025780100
2015-08-12,1861275400
2015-08-13,1842608200
2015-08-14,1891220700
2015-08-17,1924277199
2015-08-18,1910665700
2015-08-19,1888498400
2015-08-20,1851552900
2015-08-21,1783884300
2015-08-24,1660991900
2015-08-25,1622879699
2015-08-26,1658658500
2015-08-27,1683548100
2015-08-28,1689381600
2015-08-31,1651269400
2015-09-01,1594101100
2015-09-02,1652047199
2015-09-03,1685492600
2015-09-04,1621713000
2015-09-08,1649324899
2015-09-09,1668769899
2015-09-10,1685881500
2015-09-11,1730605000
2015-09-14,1732938400
2015-09-15,1753550100
2015-09-16,1773772900
2015-09-17,1795551300
2015-09-18,1799440300
2015-09-21,1777273000
2015-09-22,1815774100
2015-09-23,1823552100
2015-09-24,1818885300
2015-09-25,1813829600
2015-09-28,1790106700
2015-09-29,1744605400
2015-09-30,1783860120
2015-10-01,1780757079
2015-10-02,1805581400
2015-10-05,1894793800
2015-10-06,1831181480
2015-10-07,1859496720
2015-10-08,1891302880
2015-10-09,1876951320
2015-10-12,1861436120
2015-10-13,1849799720
2015-10-14,1807520800
2015-10-15,1842817880
2015-10-16,1846696680
2015-10-19,1911472640
2015-10-20,1826914800
2015-10-21,1764466120
2015-10-22,1797823800
2015-10-23,1829629960
2015-10-26,1628320239
2015-10-27,1641120280
2015-10-28,1699690160
2015-10-29,1668659760
2015-10-30,1689993160
2015-11-02,1700078040
2015-11-03,1738090280
2015-11-04,1686502239
2015-11-05,1586429200
2015-11-06,1191955240
2015-11-09,1210961360
2015-11-10,1234622040
2015-11-11,1228415960
2015-11-12,1205918920
2015-11-13,1224149280
2015-11-16,1250137239
2015-11-17,1273797920
2015-11-18,1280004000
2015-11-19,1241991760
2015-11-20,1251300880
2015-11-23,1322282920
2015-11-24,1340901160
2015-11-25,1338961760
2015-11-27,1298234360
2015-11-30,1272634280
2015-12-01,1255567560
2015-12-02,1269531239
2015-12-03,1224537160
2015-12-04,1241991760
2015-12-07,1227252320
2015-12-08,1230355360
2015-12-09,1237337200
2015-12-10,1212512880
2015-12-11,1181094600
2015-12-14,1152003600
2015-12-15,1153167240
2015-12-16,1203979520
2015-12-17,1198161320
2015-12-18,1151227840
2015-12-21,1116318640
2015-12-22,1135712640
2015-12-23,1143470240
2015-12-24,1115930760
2015-12-28,1114767120
2015-12-29,1152003600
2015-12-30,1121748960
2015-12-31,1133283740
2016-01-04,1078447430
2016-01-05,1084669990
2016-01-06,1073002690
2016-01-07,1026333490
2016-01-08,1011166000
2016-01-11,1013499460
2016-01-12,987053580
2016-01-13,942717839
2016-01-14,955940779
2016-01-15,943884570
2016-01-19,917438690
2016-01-20,928328170
2016-01-21,928717080
2016-01-22,945051300
2016-01-25,906549210
2016-01-26,921716700
2016-01-27,917049779
2016-01-28,915883050
2016-01-29,919383240
2016-02-01,936495279
2016-02-02,904604660
2016-02-03,870769490
2016-02-04,875047500
2016-02-05,825655930
2016-02-08,813210810
2016-02-09,777042180
2016-02-10,771986350
2016-02-11,738929000
2016-02-12,753318670
2016-02-16,757985589
2016-02-17,757207770
2016-02-18,749040660
2016-02-19,772764170
2016-02-22,814766450
2016-02-23,828767210
2016-02-24,846268160
2016-02-25,878158779
2016-02-26,878158779
2016-02-29,866880390
2016-03-01,880881150
2016-03-02,900326650
2016-03-03,894881910
2016-03-04,922105610
2016-03-07,938828740
2016-03-08,920549970
2016-03-09,943106750
2016-03-10,940384380
2016-03-11,970330450
2016-03-14,927161440
2016-03-15,923661250
2016-03-16,915494140
2016-03-17,920938880
2016-03-18,957885330
2016-03-21,1007276900
2016-03-22,986275760
2016-03-23,961774430
2016-03-24,964496800
2016-03-28,933384000
2016-03-29,976553010
2016-03-30,980442110
2016-03-31,988128020
2016-04-01,980344420
2016-04-04,964388040
2016-04-05,944539860
2016-04-06,956604439
2016-04-07,922745780
2016-04-08,926248400
2016-04-11,919243160
2016-04-12,939869700
2016-04-13,971782460
2016-04-14,967112300
2016-04-15,969836560
2016-04-18,965944760
2016-04-19,974506720
2016-04-20,971782460
2016-04-21,948820840
2016-04-22,950766740
2016-04-25,927026760
2016-04-26,970614920
2016-04-27,1002138500
2016-04-28,973339180
2016-04-29,976063439
2016-05-02,976841800
2016-05-03,950377560
2016-05-04,931307740
2016-05-05,956993620
2016-05-06,1029381100
2016-05-09,1018484060
2016-05-10,1007587020
2016-05-11,977620160
2016-05-12,981122780
2016-05-13,978787700
2016-05-16,968279840
2016-05-17,950766740
2016-05-18,963609680
2016-05-19,943761500
2016-05-20,958161160
2016-05-23,957771980
2016-05-24,987738840
2016-05-25,994354900
2016-05-26,983068680
2016-05-27,982290319
2016-05-31,989295560
2016-06-01,997079160
2016-06-02,998635880
2016-06-03,992019819
2016-06-06,1048840100
2016-06-07,1060904680
2016-06-08,1061293860
2016-06-09,1059347960
2016-06-10,1037943060
2016-06-13,1022375860
2016-06-14,1019262420
2016-06-15,1026267660
2016-06-16,1009922100
2016-06-17,987349660
2016-06-20,1020040780
2016-06-21,1005641120
2016-06-22,987349660
2016-06-23,1025100120
2016-06-24,972560819
2016-06-27,942204780
2016-06-28,953491000
2016-06-29,978009340
2016-06-30,989439990
2016-07-01,985156700
2016-07-05,959067570
2016-07-06,968023540
2016-07-07,971917440
2016-07-08,1011635220
2016-07-11,1032662280
2016-07-12,1062645310
2016-07-13,1079389080
2016-07-14,1071211890
2016-07-15,1052910560
2016-07-18,1069654330
2016-07-19,1056025680
2016-07-20,1054857510
2016-07-21,1069654330
2016-07-22,1076663350
2016-07-25,1066539210
2016-07-26,1057583240
2016-07-27,1046290930
2016-07-28,1043175810
2016-07-29,1043175810
2016-08-01,1040060690
2016-08-02,1020201800
2016-08-03,1049016660
2016-08-04,1045512150
2016-08-05,1103141870
2016-08-08,1097301020
2016-08-09,1100416140
2016-08-10,1068096770
2016-08-11,1091849560
2016-08-12,1091070780
2016-08-15,1121832590
2016-08-16,1075495180
2016-08-17,1077831520
2016-08-18,1052521170
2016-08-19,1032272890
2016-08-22,1045901540
2016-08-23,1049795440
2016-08-24,1044343980
2016-08-25,1027989600
2016-08-26,1020201800
2016-08-29,1020201800
2016-08-30,1020980580
2016-08-31,1014360950
2016-09-01,1016697290
2016-09-02,1031494109
2016-09-06,1025653260
2016-09-07,1028378990
2016-09-08,1024874480
2016-09-09,980094630
2016-09-12,987103650
2016-09-13,968802320
2016-09-14,956341840
2016-09-15,992944500
2016-09-16,980873410
2016-09-19,982820359
2016-09-20,975811340
2016-09-21,975421950
2016-09-22,1002679250
2016-09-23,983988530
2016-09-26,981262800
2016-09-27,994502060
2016-09-28,985546090
2016-09-29,988271820
2016-09-30,1015744450
2016-10-03,988165920
2016-10-04,980008890
2016-10-05,988554350
2016-10-06,994380800
2016-10-07,977678310
2016-10-10,973017150
2016-10-11,956314660
2016-10-12,948546060
2016-10-13,916306370
2016-10-14,932232000
2016-10-17,925240260
2016-10-18,936504730
2016-10-19,953984080
2016-10-20,951653500
2016-10-21,952041930
2016-10-24,965248550
2016-10-25,948934490
2016-10-26,930289850
2016-10-27,915917939
2016-10-28,906207189
2016-10-31,910091490
2016-11-01,909314630
2016-11-02,898050160
2016-11-03,923298110
2016-11-04,916306370
2016-11-07,931843569
2016-11-08,937281590
2016-11-09,984281620
2016-11-10,994380800
2016-11-11,1028174210
2016-11-14,1043711410
2016-11-15,986223770
2016-11-16,987777490
2016-11-17,1015744450
2016-11-18,1023513050
2016-11-21,1024289910
2016-11-22,1040603970
2016-11-23,1053033730
2016-11-25,1068959360
2016-11-28,1071678370
2016-11-29,1082165980
2016-11-30,1066240350
2016-12-01,1054199020
2016-12-02,1060025470
2016-12-05,1080612260
2016-12-06,1103529630
2016-12-07,1115959390
2016-12-08,1128389150
2016-12-09,1156356110
2016-12-12,1112851950
2016-12-13,1107802360
2016-12-14,1070513080
2016-12-15,1063521340
2016-12-16,1077504820
2016-12-19,1067405640
2016-12-20,1070124650
2016-12-21,1095372600
2016-12-22,1068570930
2016-12-23,1060025470
2016-12-27,1071289939
2016-12-28,1042157689
2016-12-29,1032446939
2016-12-30,1037884960
2017-01-03,1030564080
2017-01-04,1044195880
2017-01-05,1024332400
2017-01-06,985773880
2017-01-09,976815839
2017-01-10,975257920
2017-01-11,966299880
2017-01-12,983826480
2017-01-13,1003300480
2017-01-17,1002132040
2017-01-18,997068800
2017-01-19,994342440
2017-01-20,986163360
2017-01-23,979542200
2017-01-24,983437000
2017-01-25,995510880
2017-01-26,990058160
2017-01-27,985384400
2017-01-30,995121400
2017-01-31,1003689960
2017-02-01,1007584760
2017-02-02,1005247880
2017-02-03,1012648000
2017-02-06,1006026839
2017-02-07,997847760
2017-02-08,969415720
2017-02-09,978373760
2017-02-10,1017711240
2017-02-13,1022385000
2017-02-14,1024332400
2017-02-15,1045753800
2017-02-16,1071070000
2017-02-17,1071459480
2017-02-21,1076522720
2017-02-22,1087817640
2017-02-23,1074185840
2017-02-24,1058217160
2017-02-27,1067564680
2017-02-28,1065227800
2017-03-01,1073796360
2017-03-02,1057048720
2017-03-03,1064838320
2017-03-06,1040690560
2017-03-07,1038353680
2017-03-08,1039132640
2017-03-09,1023942920
2017-03-10,1028227200
2017-03-13,1020827080
2017-03-14,1013816440
2017-03-15,1013037480
2017-03-16,1026669280
2017-03-17,1020437600
2017-03-20,1003300480
2017-03-21,970194680
2017-03-22,964352480
2017-03-23,950720680
2017-03-24,921509680
2017-03-27,911383200
2017-03-28,924625519
2017-03-29,935141480
2017-03-30,951889120
2017-03-31,958669159
2017-04-03,941898300
2017-04-04,937218060
2017-04-05,924737420
2017-04-06,938388120
2017-04-07,950478740
2017-04-10,959839220
2017-04-11,975440020
2017-04-12,982850400
2017-04-13,964129440
2017-04-17,974269960
2017-04-18,965299500
2017-04-19,978950200
2017-04-20,997281140
2017-04-21,1002351400
2017-04-24,993380940
2017-04-25,998451200
2017-04-26,1012101900
2017-04-27,1022632440
2017-04-28,1006251600
2017-05-01,1023802500
2017-05-02,1023412479
2017-05-03,994551000
2017-05-04,1003911479
2017-05-05,1015222060
2017-05-08,1004691520
2017-05-09,1007031640
2017-05-10,967639620
2017-05-11,937608080
2017-05-12,940728240
2017-05-15,936048000
2017-05-16,954378940
2017-05-17,928247600
2017-05-18,916547000
2017-05-19,937218060
2017-05-22,947748600
2017-05-23,950088720
2017-05-24,950088720
2017-05-25,954378940
2017-05-26,952038820
2017-05-30,942288320
2017-05-31,943068360
2017-06-01,955158979
2017-06-02,956329040
2017-06-05,966859580
2017-06-06,969979740
2017-06-07,1006641620
2017-06-08,997671159
2017-06-09,1005081540
2017-06-12,1018342220
2017-06-13,1005861580
2017-06-14,1003131440
2017-06-15,998451200
2017-06-16,996891120
2017-06-19,1000011280
2017-06-20,996111080
2017-06-21,987140620
2017-06-22,990650800
2017-06-23,986360580
2017-06-26,998841220
2017-06-27,1014442020
2017-06-28,1021462380
2017-06-29,1023412479
2017-06-30,1028909880
2017-07-03,1046474730
2017-07-05,1044132750
2017-07-06,1020712950
2017-07-07,1026567900
2017-07-10,1014858000
2017-07-11,1014858000
2017-07-12,1026958230
2017-07-13,1038277800
2017-07-14,1054281330
2017-07-17,1058184630
2017-07-18,1067942880
2017-07-19,1080043110
2017-07-20,1075359150
2017-07-21,1038668130
2017-07-24,1038277800
2017-07-25,1034374500
2017-07-26,1033984169
2017-07-27,1020322620
2017-07-28,1029690540
2017-07-31,999244800
2017-08-01,999244800
2017-08-02,993780180
2017-08-03,988705889
2017-08-04,990657540
2017-08-07,999635130
2017-08-08,1006270740
2017-08-09,1053891000
2017-08-10,1013687010
2017-08-11,993780180
2017-08-14,1018370970
2017-08-15,1010174040
2017-08-16,1008222389
2017-08-17,990657540
2017-08-18,980118630
2017-08-21,982850940
2017-08-22,999244800
2017-08-23,999244800
2017-08-24,1005490080
2017-08-25,1013687010
2017-08-28,1014858000
2017-08-29,1003148100
2017-08-30,1015248330
2017-08-31,1027738889
2017-09-01,1034764830
2017-09-05,1018761300
2017-09-06,1010564370
2017-09-07,1004319090
2017-09-08,1001977110
2017-09-11,1016028990
2017-09-12,1005490080
2017-09-13,998464139
2017-09-14,1002367440
2017-09-15,983631600
2017-09-18,976605660
2017-09-19,968408730
2017-09-20,970750710
2017-09-21,976215330
2017-09-22,982070280
2017-09-25,1000806120
2017-09-26,1018761300
2017-09-27,1035545490
2017-09-28,1047255389
2017-09-29,1053500669
2017-10-02,1036105940
2017-10-03,1046626760
2017-10-04,1056757920
2017-10-05,1072344320
2017-10-06,1066499420
2017-10-09,1064940779
2017-10-10,1081696160
2017-10-11,1091827320
2017-10-12,1076630580
2017-10-13,1077409900
2017-10-16,1066889080
2017-10-17,1063382140
2017-10-18,1063771800
2017-10-19,1060264860
2017-10-20,1068058060
2017-10-23,1047016420
2017-10-24,1050913020
2017-10-25,1056368260
2017-10-26,1083644460
2017-10-27,1081696160
2017-10-30,1087151400
2017-10-31,1107413720
2017-11-01,1114817260
2017-11-02,1118324200
2017-11-03,1122220800
2017-11-06,1130014000
2017-11-07,1130793320
2017-11-08,1191969940
2017-11-09,1187683680
2017-11-10,1172097280
2017-11-13,1163914420
2017-11-14,1194307900
2017-11-15,1182228440
2017-11-16,1188463000
2017-11-17,1188073340
2017-11-20,1201321780
2017-11-21,1207946000
2017-11-22,1202880420
2017-11-24,1237170500
2017-11-27,1229766960
2017-11-28,1236780840
2017-11-29,1246132680
2017-11-30,1245353360
2017-12-01,1243405060
2017-12-04,1234832540
2017-12-05,1216128860
2017-12-06,1215739200
2017-12-07,1218466820
2017-12-08,1234832540
2017-12-11,1238339480
2017-12-12,1235611860
2017-12-13,1237949820
2017-12-14,1204439060
2017-12-15,1213790900
2017-12-18,1232884240
2017-12-19,1233663560
2017-12-20,1229766960
2017-12-21,1233273900
2017-12-22,1246132680
2017-12-26,1254315540
2017-12-27,1253925880
2017-12-28,1260550100
2017-12-29,1270681260
