,ELV
2004-05-13,12171627908
2004-05-14,12318240698
2004-05-17,12221420931
2004-05-18,12199290698
2004-05-19,12038846512
2004-05-20,11823076745
2004-05-21,11903298838
2004-05-24,12063743024
2004-05-25,12016716280
2004-05-26,12152263954
2004-05-27,12179926745
2004-05-28,12246317442
2004-06-01,12260148838
2004-06-02,12240784884
2004-06-03,12395696512
2004-06-04,12384631396
2004-06-07,12749780233
2004-06-08,12641895349
2004-06-09,12517412791
2004-06-10,12550608140
2004-06-14,12448255815
2004-06-15,12434424419
2004-06-16,12495282559
2004-06-17,12495282559
2004-06-18,12462087210
2004-06-21,12102470931
2004-06-22,11856272094
2004-06-23,11922662791
2004-06-24,12077574419
2004-06-25,12146731396
2004-06-28,11942026745
2004-06-29,12091405814
2004-06-30,12461193100
2004-07-01,12338751721
2004-07-02,12285879307
2004-07-06,12021517238
2004-07-07,12271965514
2004-07-08,12169003445
2004-07-09,12169003445
2004-07-12,12302575859
2004-07-13,12706075858
2004-07-14,12772862065
2004-07-15,12925913789
2004-07-16,12995482755
2004-07-19,12937044824
2004-07-20,12856344824
2004-07-21,12731120686
2004-07-22,12522413790
2004-07-23,12355448272
2004-07-26,12266399996
2004-07-27,11378699997
2004-07-28,11278520686
2004-07-29,11453834479
2004-07-30,11476096548
2004-08-02,11451051721
2004-08-03,11320262066
2004-08-04,11206168962
2004-08-05,11025289652
2004-08-06,10958503445
2004-08-09,10958503445
2004-08-10,11306348273
2004-08-11,11389831031
2004-08-12,11256258617
2004-08-13,11278520686
2004-08-16,11314696548
2004-08-17,11406527583
2004-08-18,11562362066
2004-08-19,11339741376
2004-08-20,11439920686
2004-08-23,11409310342
2004-08-24,11325827583
2004-08-25,11256258617
2004-08-26,11167210342
2004-08-27,11328610342
2004-08-30,11272955169
2004-08-31,11303565514
2004-09-01,11250693100
2004-09-02,11395396548
2004-09-03,11464965514
2004-09-07,11695934479
2004-09-08,11715413790
2004-09-09,11743241376
2004-09-10,11757155169
2004-09-13,11851768962
2004-09-14,11974210341
2004-09-15,12196831031
2004-09-16,12160655169
2004-09-17,11982558617
2004-09-20,11924120686
2004-09-21,11960296548
2004-09-22,11979775859
2004-09-23,11896293100
2004-09-24,12079955169
2004-09-27,11951948272
2004-09-28,12163437928
2004-09-29,12052127583
2004-09-30,26722905628
2004-10-01,26563658425
2004-10-04,26330912513
2004-10-05,26153290633
2004-10-06,26128791063
2004-10-07,26312537836
2004-10-08,26061417247
2004-10-11,25957294075
2004-10-12,26092041709
2004-10-13,25693923701
2004-10-14,25148808276
2004-10-15,24971186396
2004-10-18,24805814301
2004-10-19,22570228567
2004-10-20,23348089905
2004-10-21,22576353460
2004-10-22,22839723834
2004-10-25,22355857333
2004-10-26,23531836677
2004-10-27,24842563655
2004-10-28,24622067528
