,GNRC
2014-03-12,3982148760
2014-03-13,3882937150
2014-03-14,4137466246
2014-03-17,4185361506
2014-03-18,4151150606
2014-03-19,4144308426
2014-03-20,4153887478
2014-03-21,4144992644
2014-03-24,4067676010
2014-03-25,4073149754
2014-03-26,3961622220
2014-03-27,3913042742
2014-03-28,3975990798
2014-03-31,4041700661
2014-04-01,4061576754
2014-04-02,4136968830
2014-04-03,4074599021
2014-04-04,3946432492
2014-04-07,3864186591
2014-04-08,3975903940
2014-04-09,4034846836
2014-04-10,3940264049
2014-04-11,3838142056
2014-04-14,3860074296
2014-04-15,3899141099
2014-04-16,3929297929
2014-04-17,3956027847
2014-04-21,3984128530
2014-04-22,4026622246
2014-04-23,4026622246
2014-04-24,4045812956
2014-04-25,3978645470
2014-04-28,4027307628
2014-04-29,4013599978
2014-04-30,4035532218
2014-05-01,3737390827
2014-05-02,3769603805
2014-05-05,3720941646
2014-05-06,3611965827
2014-05-07,3668852576
2014-05-08,3512585363
2014-05-09,3537944516
2014-05-12,3684616373
2014-05-13,3614707357
2014-05-14,3517383041
2014-05-15,3529719926
2014-05-16,3567415964
2014-05-19,3580438232
2014-05-20,3502304626
2014-05-21,3492023888
2014-05-22,3414575664
2014-05-23,3474203943
2014-05-27,3505731538
2014-05-28,3464608588
2014-05-29,3303543698
2014-05-30,3336442058
2014-06-02,3337127441
2014-06-03,3338498206
2014-06-04,3307655993
2014-06-05,3335756676
2014-06-06,3304229080
2014-06-09,3197309409
2014-06-10,3223353944
2014-06-11,3279555310
2014-06-12,3215814736
2014-06-13,3202107086
2014-06-16,3202792469
2014-06-17,3213073206
2014-06-18,3173321021
2014-06-19,3171264873
2014-06-20,3217870884
2014-06-23,3354262003
2014-06-24,3361115829
2014-06-25,3403609544
2014-06-26,3363171976
2014-06-27,3394014189
2014-06-30,3341421925
2014-07-01,3233103365
2014-07-02,3220077715
2014-07-03,3292061569
2014-07-07,3185114129
2014-07-08,3129583728
2014-07-09,3095305702
2014-07-10,3089135658
2014-07-11,3089135658
2014-07-14,3071311084
2014-07-15,3025378530
2014-07-16,3001383912
2014-07-17,2954080237
2014-07-18,3006182836
2014-07-21,2986987142
2014-07-22,2999327231
2014-07-23,3002755033
2014-07-24,3000698352
2014-07-25,2989043823
2014-07-28,2963678084
2014-07-29,2982188218
2014-07-30,3103532428
2014-07-31,2975332613
2014-08-01,2955451358
2014-08-04,3080223371
2014-08-05,3103532428
2014-08-06,3074053326
2014-08-07,3075424447
2014-08-08,3148093861
2014-08-11,3175516282
2014-08-12,3138496014
2014-08-13,3163176193
2014-08-14,3153578346
2014-08-15,3134382651
2014-08-18,3174145161
2014-08-19,3215964352
2014-08-20,3160433951
2014-08-21,3193340855
2014-08-22,3194711976
2014-08-25,3215278791
2014-08-26,3256412422
2014-08-27,3215278791
2014-08-28,3208423186
2014-08-29,3189227492
2014-09-02,3163176193
2014-09-03,3148093861
2014-09-04,3199510900
2014-09-05,3176201842
2014-09-08,3185114129
2014-09-09,3064455479
2014-09-10,3094620142
2014-09-11,3056228753
2014-09-12,3012352880
2014-09-15,2965049205
2014-09-16,2928714498
2014-09-17,2902663199
2014-09-18,2917059970
2014-09-19,2904719880
2014-09-22,2880725263
2014-09-23,2922544454
2014-09-24,2938997906
2014-09-25,2877983020
2014-09-26,2893750912
2014-09-29,2886209747
2014-09-30,2780975487
2014-10-01,2706203329
2014-10-02,2846143881
2014-10-03,2819390541
2014-10-06,2786463352
2014-10-07,2753536163
2014-10-08,2826250372
2014-10-09,2733642653
2014-10-10,2665044343
2014-10-13,2670532208
2014-10-14,2734328636
2014-10-15,2772743690
2014-10-16,2841342000
2014-10-17,2855061662
2014-10-20,2910626293
2014-10-21,2985398451
2014-10-22,3010093842
2014-10-23,3062914541
2014-10-24,3055368727
2014-10-27,3060170609
2014-10-28,3116421223
2014-10-29,3109561392
2014-10-30,3060170609
2014-10-31,3110247375
2014-11-03,3082808051
2014-11-04,3028615386
2014-11-05,2985398451
2014-11-06,2887302867
2014-11-07,2802926946
2014-11-10,2791265233
2014-11-11,2910626293
2014-11-12,2863979442
2014-11-13,2877013121
2014-11-14,2872211239
