,Log-Normal kappa=2
2013-01-14,-0.00887170384133226
2013-01-15,-0.003848723552410484
2013-01-16,0.007318185436154353
2013-01-17,0.0005098095872236863
2013-01-18,0.0003735986943052925
2013-01-22,0.0027163631972339413
2013-01-23,0.010878126445101955
2013-01-24,-0.021612897193627044
2013-01-25,-0.0005176650963607115
2013-01-28,0.003363944430765335
2013-01-29,0.007237421971904593
2013-01-30,-0.0031242744874463227
2013-01-31,-0.0029618415372523552
2013-02-01,0.00549051057033003
2013-02-04,-0.011714729608655572
2013-02-05,0.010085530088138691
2013-02-06,0.0008874230154176417
2013-02-07,0.001863838061561136
2013-02-08,0.005846350935691672
2013-02-11,0.0017092313710591832
2013-02-12,-0.0036616064325512188
2013-02-13,0.0008245547027069131
2013-02-14,-6.697992943872233e-05
2013-02-15,-0.0031178190110930856
2013-02-19,0.005098540263956304
2013-02-20,-0.007492160412787879
2013-02-21,-0.0014516197256099247
2013-02-22,0.005124878474129873
2013-02-25,-0.011768107393925841
2013-02-26,0.006072953515008355
2013-02-27,0.006193418652766615
2013-02-28,-0.002943276645159101
2013-03-01,-0.000888992901053608
2013-03-04,0.0020855450661974237
2013-03-05,0.008120904635873106
2013-03-06,-0.0022780038598154214
2013-03-07,0.001626878635794238
2013-03-08,0.0014622854961373545
2013-03-11,0.0032762446486383906
2013-03-12,-0.003588294381653118
2013-03-13,0.0003385875742377875
2013-03-14,0.004898622198760121
2013-03-15,0.0016488890118005301
2013-03-18,0.00024681133948456296
2013-03-19,0.0008014238561662685
2013-03-20,0.0023114716668944167
2013-03-21,-0.0029333480635023407
2013-03-22,0.006582037771949388
2013-03-25,-0.0009452223344212879
2013-03-26,0.0033395167850319178
2013-03-27,-0.003879139569158421
2013-03-28,-0.0033247438631929787
2013-04-01,-0.0011588214459129099
2013-04-02,0.004078935463988176
2013-04-03,-0.004022664231605835
2013-04-04,-0.0006881537435053254
2013-04-05,-0.004694707875299501
2013-04-08,-4.417742078253674e-05
2013-04-09,0.00475484927725692
2013-04-10,0.007202155424880261
2013-04-11,-0.0007949848944430681
2013-04-12,-0.0019288232066213239
2013-04-15,-0.0114012154636793
2013-04-16,0.007629790072898796
2013-04-17,-0.012015004955831968
2013-04-18,-0.006240256853806436
2013-04-19,0.004412975023894998
2013-04-22,0.005151337338752406
2013-04-23,0.008774306888215015
2013-04-24,-0.002233048128099039
2013-04-25,0.0015392258308284377
2013-04-26,0.0035274985028997657
2013-04-29,0.009910248936751652
2013-04-30,0.005948737632840793
2013-05-01,-0.006772204130286149
2013-05-02,0.008280961991334037
2013-05-03,0.008385720165720452
2013-05-06,0.0031838469447414562
2013-05-07,0.0005294319140252142
2013-05-08,0.004219828772634118
2013-05-09,-0.0034197166356061104
2013-05-10,0.0006836521848347831
2013-05-13,-0.00011099126516872496
2013-05-14,0.004705057905258441
2013-05-15,0.0022782682553038267
2013-05-16,-0.001280365690263943
2013-05-17,0.005105897920007788
2013-05-20,0.0033098747577482227
2013-05-21,0.0006541232873354357
2013-05-22,-0.0044740226676006686
2013-05-23,-0.0032330173062454
2013-05-24,0.0033730519327235357
2013-05-28,0.0036338727698116
2013-05-29,-0.005279244843475246
2013-05-30,0.0030676584742118057
2013-05-31,-0.00928346277823183
2013-06-03,0.005792490579670702
2013-06-04,-0.005692397763757154
2013-06-05,-0.007313635708174265
2013-06-06,0.0020219260346682807
2013-06-07,0.009379555917214342
2013-06-10,-0.000694972915673309
2013-06-11,-0.00614076661403091
2013-06-12,-0.00662626787430515
2013-06-13,0.007301471938103682
2013-06-14,-0.006209893660618029
2013-06-17,0.00689477587267824
2013-06-18,0.004264902816466991
2013-06-19,-0.009875590286544075
2013-06-20,-0.016993223187136766
2013-06-21,0.002733496862750746
2013-06-24,-0.006517789673517399
2013-06-25,0.0028303305663834348
2013-06-26,0.0058663454156295215
2013-06-27,0.001619322372683919
2013-06-28,-0.003112309554671776
2013-07-01,0.0060260654404032474
2013-07-02,0.0018714236027694078
2013-07-03,0.0020648384881378516
2013-07-05,0.0048107971263632344
2013-07-08,0.005347122734874408
2013-07-09,0.004416079289958782
2013-07-10,-0.0007621030452895387
2013-07-11,0.008188604860122085
2013-07-12,0.0019998083245596466
2013-07-15,0.002933244403592403
2013-07-16,-0.0003169132559158249
2013-07-17,-0.0006614088164769901
2013-07-18,0.0031692811499479862
2013-07-19,-0.008233175148291869
2013-07-22,0.0028273369667672376
2013-07-23,-0.0018203406287869346
2013-07-24,0.00470136637637497
2013-07-25,-0.0031424468286616173
2013-07-26,0.0007079490352473581
2013-07-29,-0.0007599948073868819
2013-07-30,0.0026634796129769746
2013-07-31,-0.00026983416397589015
2013-08-01,0.004239205995434253
2013-08-02,0.0016857130966152704
2013-08-05,-0.0005104494842674102
2013-08-06,-0.004419672924322593
2013-08-07,-0.0004740313586549925
2013-08-08,0.0012364753870096649
2013-08-09,-0.005189452279003692
2013-08-12,0.0016308364734857557
2013-08-13,0.006021866646437569
2013-08-14,-0.0022793255751481674
2013-08-15,-0.008147635618454137
