,Equally-Weighted
2019-07-15,0.0013112257878227244
2019-07-16,-0.004604431922068057
2019-07-17,-0.004131673552358613
2019-07-18,0.0007637550641991219
2019-07-19,-0.007529282979520943
2019-07-22,0.00288452083037494
2019-07-23,0.004168574745323356
2019-07-24,0.0011021267773970132
2019-07-25,-0.003461185304697665
2019-07-26,0.014979330243223609
2019-07-29,-0.0004803239543186109
2019-07-30,-0.005467696333620856
2019-07-31,-0.012618387002714846
2019-08-01,-0.008078085014130548
2019-08-02,-0.006843214155349719
2019-08-05,-0.029694039618907334
2019-08-06,0.014213093304327868
2019-08-07,-0.0011948276506031279
2019-08-08,0.019766118710707596
2019-08-09,-0.00689389886504762
2019-08-12,-0.012226648322450323
2019-08-13,0.015651755978454713
2019-08-14,-0.02811976052570529
2019-08-15,0.0030965475453956517
2019-08-16,0.011954205449153925
2019-08-19,0.011740717130801609
2019-08-20,-0.0076885120741302816
2019-08-21,0.00838965454020733
2019-08-22,-0.0019803923432008385
2019-08-23,-0.025307780083556716
2019-08-26,0.012067522981171665
2019-08-27,-0.001969123500817415
2019-08-28,0.006775865244102904
2019-08-29,0.011337360759280563
2019-08-30,-6.601345776951453e-05
2019-09-03,-0.006624668427564194
2019-09-04,0.008611163632101172
2019-09-05,0.012047895223668552
2019-09-06,0.00036881256443764966
2019-09-09,-0.001565501395710452
2019-09-10,-0.001018991841558675
2019-09-11,0.005122974940689863
2019-09-12,0.006228880591436198
2019-09-13,0.0018620271655639974
2019-09-16,-0.005454057764470797
2019-09-17,0.0016249300680421508
2019-09-18,0.0018968595483531893
2019-09-19,-9.760353411538744e-05
2019-09-20,-0.004745808301005596
2019-09-23,0.0009009316324797679
2019-09-24,-0.007572303811260202
2019-09-25,0.005365659101089348
2019-09-26,-0.004672209259784338
2019-09-27,-0.0047107329650620386
2019-09-30,0.0027130449524961023
2019-10-01,-0.007314171940527999
2019-10-02,-0.019573708355072297
2019-10-03,0.006795146470052269
2019-10-04,0.01593846440837926
2019-10-07,-0.00409684573122897
2019-10-08,-0.012962767346497803
2019-10-09,0.008793025741046666
2019-10-10,0.005959328678190933
2019-10-11,0.00927140222868965
2019-10-14,-0.0012449058509003844
2019-10-15,0.008963862597959622
2019-10-16,-9.145788269074636e-05
2019-10-17,0.0017962882655311254
2019-10-18,-0.00996091716599178
2019-10-21,0.005856163365712759
2019-10-22,-0.0011579715020773734
2019-10-23,0.003844651263959487
2019-10-24,0.00369122010732993
2019-10-25,0.005669221028001516
2019-10-28,0.006648077807049844
2019-10-29,-0.0064578808234864605
2019-10-30,0.0033755201530330163
2019-10-31,-0.002531212535220821
2019-11-01,0.009031594865504554
2019-11-04,0.001562443632284494
2019-11-05,-0.00155655997370106
2019-11-06,0.0019214172527341918
2019-11-07,0.0074939806691687785
2019-11-08,0.002062038232389927
2019-11-11,-0.00295220760326069
2019-11-12,-1.596693806140575e-05
2019-11-13,0.0034089689544279434
2019-11-14,0.0012849589222851368
2019-11-15,0.007372497879995615
2019-11-18,0.003525840624552015
2019-11-19,-0.0018149450894966493
2019-11-20,-0.0042542717113417325
2019-11-21,-0.00025064248488300807
2019-11-22,0.0011857040867216061
2019-11-25,0.007302800749332847
2019-11-26,0.004024299573810957
